model,scale,U,n,miss_rate,R_p50,R_p99,R_p999,R_max,C_p50,C_p99,RoverD_p50,RoverD_p99,RoverD_p999,alpha_p50,alpha_p99,delta_p50,delta_p99
model3-w2_sib_res_pooled,tight,0.1,15000,0.66647,10030.7,20040.31234,28860.84629400021,50562.567,1329.8415,2063.78906,1.0030700000000001,2.004031234,2.886084629400021,1.3298415000000001,2.0637890599999995,0.48200916666666666,0.9903345800000002
model3-w2_sib_res_pooled,tight,0.2,15000,0.92833,10248.313,20077.004920000003,25660.583368000105,33612.417,2668.0855,4198.35859,1.0248313,2.007700492,2.5660583368000105,1.33404275,2.099179295,0.4760048125,0.9907737374999999
model3-w2_sib_res_pooled,tight,0.3,15000,0.9998,10644.135,21320.231980000004,24660.520148000025,32278.974,4172.014999999999,6807.156440000001,1.0644135000000001,2.1320231980000006,2.466052014800003,1.3906716666666665,2.2690521466666667,0.45962174999999994,1.0473453
model3-w2_sib_res_pooled,tight,0.4,10000,0.4999,8545.183,20493.850530000003,24347.18510500003,28995.99,4558.564,8575.509479999999,0.8545183000000001,2.0493850530000004,2.434718510500003,1.139641,2.14387737,0.2782334166666667,0.9947435191666668
model3-w2_sib_res_pooled,tight,0.5,10000,0.9999,11755.6705,17495.61341,23541.370103000005,26456.457,6973.1555,9782.67542,1.1755670500000002,1.749561341,2.3541370103000006,1.3946310999999998,1.9565350840000002,0.4765338499999999,0.9498425200000005
model3-w2_sib_res_pooled,tight,0.6,10000,0.5002,10631.309000000001,15009.214750000001,18913.649238000024,26797.643,7378.672500000001,10339.365440000001,1.0631309,1.5009214750000002,1.8913649238000023,1.22977875,1.7232275733333335,0.38056000000000006,0.7660711125000005
model3-w2_sib_res_pooled,tight,0.7,10000,1.0,11637.578000000001,15335.362960000002,20529.930723000158,26185.365,9003.5875,11413.012640000003,1.1637578,1.5335362960000003,2.0529930723000156,1.2862267857142857,1.6304303771428577,0.42960508333333325,0.8132065133333335
model3-w2_sib_res_pooled,tight,0.8,10000,0.5002,11284.1405,15930.32367000001,20510.82051000003,25350.073,9845.936,13257.7542,1.12841405,1.593032367000001,2.051082051000003,1.230742,1.6572192749999999,0.19020600000000012,0.9407241475000001
model3-w2_sib_res_pooled,tight,0.9,10000,0.9967,12142.5805,16196.609880000007,21003.405736000048,24405.043,11673.1,14000.45304,1.21425805,1.6196609880000008,2.1003405736000045,1.2970111111111113,1.5556058933333334,0.3986327500000002,1.6177424050000002
model3-w2_sib_res_pooled,tight,0.94,10000,0.9902,12294.7875,17824.69356,22719.933588000004,50514.366,12165.706,16088.149820000002,1.22947875,1.7824693560000002,2.2719933588000005,1.2942240425531915,1.7115053000000002,0.357019583333334,2.3300764416666695
model3-w2_sib_res_pooled,soft,0.1,20000,0.75,102773.69200000001,107135.65101,109858.87546200004,205629.864,13011.6475,16782.143649999998,1.0277369200000002,1.0713565101,1.0985887546200002,1.3011647499999999,1.6782143649999999,0.4987098888888889,0.5117929048333332
model3-w2_sib_res_pooled,soft,0.2,20000,0.75015,107021.12849999999,207485.15993,210763.12552000003,226794.676,27132.3935,46855.21820999998,1.070211285,2.0748515992999996,2.1076312552000003,1.356619675,2.3427609104999987,0.496453553125,1.003845519875
model3-w2_sib_res_pooled,soft,0.3,20000,0.75,108460.3695,201568.33325,208932.301626,218108.398,38612.4755,61884.30022999999,1.084603695,2.0156833325,2.08932301626,1.2870825166666666,2.0628100076666667,0.4955877714285714,0.9966506236428573
model3-w2_sib_res_pooled,soft,0.4,20000,0.75005,116445.109,126432.29069,135758.75085100002,230955.663,56437.1915,65947.71883,1.16445109,1.2643229068999997,1.3575875085100002,1.4109297875,1.64869297075,0.498189775,0.5148982921666666
model3-w2_sib_res_pooled,soft,0.5,20000,0.75,121211.63149999999,129646.32752999998,135728.731567,204001.137,71648.6915,79504.54390999995,1.2121163149999998,1.2964632752999998,1.3572873156700003,1.43297383,1.5900908781999987,0.49787541,0.5168644187999998
model3-w2_sib_res_pooled,soft,0.6,20000,0.75,131290.412,154234.81918000002,158831.75619000004,221495.91,91522.61499999999,114028.00102,1.3129041199999998,1.5423481918000002,1.5883175619000003,1.5253769166666666,1.9004666836666666,0.4917249062500001,0.5264301901249999
model3-w2_sib_res_pooled,soft,0.7,20000,0.75,125123.75649999999,153323.70424999998,158076.120184,205615.204,95249.274,123725.47821999998,1.2512375649999998,1.5332370425,1.5807612018400001,1.3607039142857142,1.7675068317142852,0.492444375,0.533577007
model3-w2_sib_res_pooled,soft,0.8,20000,0.75,128934.15299999999,155887.77727999998,160996.243387,167308.992,108899.7255,135780.86009999996,1.28934153,1.5588777728,1.6099624338699998,1.36124656875,1.6972607512499998,0.4917858250000001,0.5475264569999996
model3-w2_sib_res_pooled,soft,0.9,20000,0.75,145493.072,161179.80271000002,166780.47952900003,184988.886,135986.10950000002,151631.77735,1.4549307200000001,1.6117980271,1.6678047952900001,1.5109567722222224,1.6847975261111108,0.47108564999999947,0.6000586724999992
model3-w2_sib_res_pooled,soft,0.94,20000,0.75,135542.5625,161113.0494,166377.9298690001,213082.846,130145.933,155274.9565,1.355425625,1.611130494,1.6637792986900009,1.3845312021276595,1.651861239361702,0.43358283333333386,0.6677554358333307
