model,scale,U,n,miss_count,miss_rate,longest_consecutive_miss_run_max_across_sources,alpha_p99,alpha_max,delta_p99,delta_max
model3-w2_sib_res_pooled,soft,0.1,20000,15000,0.75,5000,1.6782,2.5354,0.5118,1.0458
model3-w2_sib_res_pooled,soft,0.2,20000,15003,0.75015,5000,2.3428,2.8375,1.0038,1.1293
model3-w2_sib_res_pooled,soft,0.3,20000,15000,0.75,5000,2.0628,2.6192,0.9967,1.043
model3-w2_sib_res_pooled,soft,0.4,20000,15001,0.75005,5000,1.6487,2.7772,0.5149,1.0041
model3-w2_sib_res_pooled,soft,0.5,20000,15000,0.75,5000,1.5901,2.0813,0.5169,0.9994
model3-w2_sib_res_pooled,soft,0.6,20000,15000,0.75,5000,1.9005,2.3577,0.5264,1.0051
model3-w2_sib_res_pooled,soft,0.7,20000,15000,0.75,5000,1.7675,2.0793,0.5336,1.0011
model3-w2_sib_res_pooled,soft,0.8,20000,15000,0.75,5000,1.6973,1.8485,0.5475,0.7334
model3-w2_sib_res_pooled,soft,0.9,20000,15000,0.75,5000,1.6848,1.9436,0.6001,0.907
model3-w2_sib_res_pooled,soft,0.94,20000,15000,0.75,5000,1.6519,1.7947,0.6678,5.7593
model3-w2_sib_res_pooled,tight,0.1,15000,9997,0.66647,3136,2.0638,5.7126,0.9903,2.7025
model3-w2_sib_res_pooled,tight,0.2,15000,13925,0.92833,5000,2.0992,3.6196,0.9908,1.6707
model3-w2_sib_res_pooled,tight,0.3,15000,14997,0.9998,5000,2.2691,3.4188,1.0473,1.8179
model3-w2_sib_res_pooled,tight,0.4,10000,4999,0.4999,2115,2.1439,2.8327,0.9947,1.653
model3-w2_sib_res_pooled,tight,0.5,10000,9999,0.9999,5000,1.9565,2.8432,0.9498,1.5177
model3-w2_sib_res_pooled,tight,0.6,10000,5002,0.5002,5000,1.7232,2.2629,0.7661,1.8439
model3-w2_sib_res_pooled,tight,0.7,10000,10000,1.0,5000,1.6304,2.4367,0.8132,2.0093
model3-w2_sib_res_pooled,tight,0.8,10000,5002,0.5002,5000,1.6572,2.1702,0.9407,2.832
model3-w2_sib_res_pooled,tight,0.9,10000,9967,0.9967,5000,1.5556,2.1147,1.6177,5.2418
model3-w2_sib_res_pooled,tight,0.94,10000,9902,0.9902,5000,1.7115,5.0936,2.3301,5.6793
