model,scale,U,n,miss_rate,R_p50,R_p99,R_p999,R_max,C_p50,C_p99,RoverD_p50,RoverD_p99,RoverD_p999,alpha_p50,alpha_p99,delta_p50,delta_p99
model3-w2_sib_res_round3,tight,0.1,5000,0.0002,775.39,798.2770600000001,853.9834030000003,10422.589,755.048,772.9431400000001,0.077539,0.07982770600000001,0.08539834030000003,0.755048,0.7729431400000001,0.0011321944444444448,0.0015071483333333364
model3-w2_sib_res_round3,tight,0.2,5000,0.0004,1482.6484999999998,1514.1903900000002,1540.9714790000005,21786.961,1462.8465,1491.5391000000002,0.14826485,0.15141903900000003,0.15409714790000006,0.73142325,0.7457695500000001,0.0012553750000000008,0.0015632556249999966
model3-w2_sib_res_round3,tight,0.3,5000,0.876,10119.869,10140.710669999999,10344.991835,17671.448,3612.761,3625.88247,1.0119869000000001,1.014071067,1.0344991835,1.2042536666666668,1.20862749,0.4647964642857143,0.46602976071428565
model3-w2_sib_res_round3,tight,0.4,5000,0.0002,2945.773,3014.29457,3050.0505420000004,12893.273,2926.5815000000002,2991.4184700000005,0.2945773,0.301429457,0.3050050542,0.731645375,0.7478546175000002,0.001629208333333319,0.0020088341666666854
model3-w2_sib_res_round3,tight,0.5,5000,1.0,10331.256,10466.13314,10625.374244999999,15509.415,5860.5485,5915.85354,1.0331256,1.046613314,1.0625374245,1.1721097,1.183170708,0.44700054999999994,0.4590373379999999
model3-w2_sib_res_round3,tight,0.6,5000,0.0002,4229.2474999999995,4297.59259,4361.440520000001,12326.634,4210.6675,4279.32935,0.42292475,0.429759259,0.43614405200000006,0.7017779166666667,0.7132215583333333,0.002329937500000028,0.00292487874999993
model3-w2_sib_res_round3,tight,0.7,5000,1.0,10021.3815,10026.07317,10166.898900000018,16781.328,7505.238,7538.3322499999995,1.00213815,1.002607317,1.0166898900000019,1.0721768571428572,1.0769046071428572,0.41942866666666667,0.44167471999999997
model3-w2_sib_res_round3,tight,0.8,5000,1.0,10021.5695,10027.17955,10304.363106,17478.527,8255.9725,8287.886559999999,1.0021569499999998,1.002717955,1.0304363106,1.0319965624999998,1.03598582,0.4415443750000002,0.47190418
model3-w2_sib_res_round3,tight,0.9,5000,0.0004,7526.622,7747.614660000001,8052.768967,28648.631,7507.662,7729.73456,0.7526622000000001,0.7747614660000001,0.8052768967,0.8341846666666667,0.8588593955555556,0.00921100000000024,0.011592184999999654
model3-w2_sib_res_round3,tight,0.94,5000,0.001,9085.59,9302.29656,9404.417525000124,10019.603,9064.157,9280.42821,0.908559,0.930229656,0.9404417525000125,0.9642720212765958,0.9872795968085106,0.016296666666667077,0.02050030000000031
model3-w2_sib_res_round3,soft,0.1,5000,1.0,105066.8395,108025.19627000001,111556.51316901804,205629.864,15138.639500000001,17633.631220000003,1.050668395,1.0802519627000002,1.1155651316901802,1.51386395,1.7633631220000003,0.49917918055555555,0.5162188985555556
model3-w2_sib_res_round3,soft,0.2,5000,1.0,107776.7735,113925.14612,119039.61126500004,201655.184,27721.563000000002,31934.423570000003,1.0777677350000001,1.1392514612,1.1903961126500004,1.38607815,1.5967211785000002,0.5004531343749999,0.5206661231250002
model3-w2_sib_res_round3,soft,0.3,5000,1.0,108735.092,115547.30698000001,119990.87506600007,200599.097,38765.8765,45260.86155000004,1.08735092,1.1554730698000002,1.1999087506600006,1.2921958833333331,1.5086953850000013,0.4986325035714285,0.5237385740714285
model3-w2_sib_res_round3,soft,0.4,5000,1.0,117876.6625,125083.65955000001,138172.670397001,230955.663,57798.8385,64253.91698000001,1.178766625,1.2508365955,1.3817267039700099,1.4449709624999998,1.6063479245000003,0.5002295916666666,0.5231637508333333
model3-w2_sib_res_round3,soft,0.5,5000,1.0,121350.70550000001,129791.46212,135729.32808600014,204001.137,71811.49849999999,79928.76200000003,1.213507055,1.2979146212,1.3572932808600016,1.4362299699999999,1.5985752400000008,0.49460918499999995,0.5268461689
model3-w2_sib_res_round3,soft,0.6,5000,1.0,125229.58,134541.73900000003,141253.31729300006,221495.91,85202.66649999999,94548.82459,1.2522958,1.3454173900000002,1.4125331729300008,1.4200444416666667,1.5758137431666668,0.5005192624999999,0.53635964775
model3-w2_sib_res_round3,soft,0.7,5000,1.0,123524.1795,132544.66418,143484.94029400015,205615.204,93904.98199999999,103050.78779,1.2352417949999999,1.3254466418,1.4348494029400014,1.3414997428571427,1.4721541112857144,0.49213764166666674,0.5489872335
model3-w2_sib_res_round3,soft,0.8,5000,1.0,128947.0285,140078.67995000002,147971.52084700012,158328.801,108908.1715,120016.6185,1.2894702850000002,1.4007867995,1.4797152084700012,1.36135214375,1.50020773125,0.5007085500000001,0.5749473129999998
model3-w2_sib_res_round3,soft,0.9,5000,1.0,133324.592,155616.76575000005,172591.32471800016,184988.886,123224.907,145305.06309000004,1.33324592,1.5561676575000003,1.7259132471800016,1.3691656333333333,1.6145007010000005,0.5027353499999994,0.649419765500001
model3-w2_sib_res_round3,soft,0.94,5000,1.0,131966.336,147428.79052,163264.37384000013,213082.846,126458.444,141424.87842,1.3196633599999998,1.4742879052,1.6326437384000012,1.345302595744681,1.5045199831914895,0.4491791250000012,0.761141947500002
