model,scale,U,n,miss_count,miss_rate,tardiness_max_us,tardiness_mean_us,longest_consecutive_miss_run,alpha_p99,alpha_max,delta_p99,delta_max
model3-w2_sib_res_round5,soft,0.1,5000,5,0.001,975.1,568.5,1,0.7429,1.0862,0.0014,0.5012
model3-w2_sib_res_round5,soft,0.2,5000,6,0.0012,2886.1,1444.7,1,0.7303,1.1569,0.0015,0.5012
model3-w2_sib_res_round5,soft,0.3,5000,0,0.0,0.0,0.0,0,0.7183,0.9687,0.0017,0.0595
model3-w2_sib_res_round5,soft,0.4,5000,5000,1.0,34776.3,10855.5,5000,1.3664,1.8736,0.4989,0.6499
model3-w2_sib_res_round5,soft,0.5,5000,4885,0.977,10241.3,4076.8,3343,1.1054,1.21,0.4996,0.5115
model3-w2_sib_res_round5,soft,0.6,5000,0,0.0,0.0,0.0,0,0.7225,0.9236,0.0027,0.4056
model3-w2_sib_res_round5,soft,0.7,5000,0,0.0,0.0,0.0,0,0.7163,0.9014,0.0037,0.3015
model3-w2_sib_res_round5,soft,0.8,5000,0,0.0,0.0,0.0,0,0.7034,0.839,0.0053,0.0175
model3-w2_sib_res_round5,soft,0.9,5000,4,0.0008,5992.5,2768.4,1,0.944,1.0721,0.0018,0.5151
model3-w2_sib_res_round5,soft,0.94,5000,2,0.0004,6627.4,3330.3,1,0.8776,1.0754,0.0033,0.4972
model3-w2_sib_res_round5,tight,0.1,5000,4984,0.9968,50846.1,170.3,2282,1.2774,6.8024,0.5016,3.0024
model3-w2_sib_res_round5,tight,0.2,5000,24,0.0048,8144.3,681.8,2,0.8349,1.6664,0.0031,0.969
model3-w2_sib_res_round5,tight,0.3,5000,5,0.001,783.2,356.2,1,0.7482,1.5665,0.002,0.5097
model3-w2_sib_res_round5,tight,0.4,5000,2646,0.5292,8266.3,32.2,16,1.0541,1.5204,0.5029,1.1783
