model,scale,U,n,miss_rate,R_p50,R_p99,R_p999,R_max,C_p50,C_p99,RoverD_p50,RoverD_p99,RoverD_p999,alpha_p50,alpha_p99,delta_p50,delta_p99
model3-w3_phys_cfs_pooled,tight,0.1,20000,0.0009,763.5160000000001,810.05248,8351.97325,40035.81,742.6795,781.4231099999995,0.0763516,0.08100524799999999,0.835197325,0.7426794999999999,0.7814231099999995,0.0010816666666666683,0.0023290077777777776
model3-w3_phys_cfs_pooled,tight,0.2,20000,0.00065,1461.6765,1638.4165999999998,1971.6812600000035,11285.169,1438.8815,1515.08568,0.14616764999999998,0.16384166,0.19716812600000033,0.7194407500000001,0.7575428399999999,0.001220593750000006,0.011714766249999984
model3-w3_phys_cfs_pooled,tight,0.3,20000,0.0002,2159.6575000000003,2270.8146399999996,2636.9291320000016,10502.697,2139.1465,2234.96235,0.21596575,0.22708146399999998,0.26369291320000016,0.7130488333333334,0.7449874499999999,0.0014158928571428565,0.0029047199999999787
model3-w3_phys_cfs_pooled,tight,0.4,20000,0.0001,2905.9425,3014.0676599999997,3594.766626000009,10033.968,2885.117,2988.02098,0.29059425000000005,0.301406766,0.3594766626000009,0.72127925,0.747005245,0.0016005833333333232,0.002954120833333303
model3-w3_phys_cfs_pooled,tight,0.5,20000,0.00025,3615.2799999999997,3828.209309999999,4049.203810000003,28794.196,3592.0565,3721.30455,0.36152799999999996,0.38282093099999986,0.40492038100000033,0.7184113000000001,0.7442609099999999,0.0019178499999999987,0.020762946999999955
model3-w3_phys_cfs_pooled,tight,0.6,20000,0.0001,4192.706,4354.65932,4538.002700000004,26740.054,4170.1315,4317.3473699999995,0.4192706,0.435465932,0.45380027000000034,0.6950219166666667,0.719557895,0.0025621250000000375,0.0045987499999999735
model3-w3_phys_cfs_pooled,tight,0.7,20000,0.0002,5058.842500000001,5231.9546,5372.292562000003,13877.522,5038.9145,5207.896849999999,0.50588425,0.52319546,0.5372292562000003,0.7198449285714286,0.7439852642857142,0.003189833333333354,0.0048393516666666745
model3-w3_phys_cfs_pooled,tight,0.8,20000,0.00015,5827.110000000001,6043.04918,6148.463497000001,18063.291,5807.1325,6021.289149999999,0.582711,0.6043049180000001,0.6148463497000001,0.7258915625,0.7526611437499998,0.004785249999999905,0.006803320000000149
model3-w3_phys_cfs_pooled,tight,0.9,20000,0.0002,6486.7085,6726.0411,6856.839295000003,20168.367,6467.2635,6704.9067000000005,0.64867085,0.6726041100000001,0.6856839295000003,0.7185848333333333,0.7449896333333333,0.009337499999999863,0.01273205999999996
model3-w3_phys_cfs_pooled,tight,0.94,20000,0.00015,6749.1195,6949.1654,7328.158953000002,15702.178,6729.7384999999995,6926.396509999998,0.67491195,0.69491654,0.7328158953000002,0.7159296276595745,0.7368506925531914,0.01544291666666633,0.0214349999999998
model3-w3_phys_cfs_pooled,soft,0.1,20000,0.0,7203.605,7548.91216,7927.745364000001,17488.951,7041.146500000001,7419.865579999997,0.07203604999999999,0.0754891216,0.07927745364000001,0.70411465,0.7419865579999997,0.0008791055555555558,0.0013612057777777748
model3-w3_phys_cfs_pooled,soft,0.2,20000,5e-05,14174.4475,14752.599479999999,15471.213254000015,100078.327,14017.089,14633.081149999998,0.14174447499999998,0.1475259948,0.15471213254000016,0.70085445,0.7316540574999999,0.0009939937499999928,0.0015752387499999914
model3-w3_phys_cfs_pooled,soft,0.3,20000,0.0,21343.9215,22076.033069999998,22681.961095,32545.014,21188.7685,21985.15443,0.21343921500000002,0.22076033069999998,0.22681961095,0.7062922833333334,0.732838481,0.0011499249999999978,0.0017887643571428548
model3-w3_phys_cfs_pooled,soft,0.4,20000,0.0,28179.08,28896.877379999994,30435.117896000018,36390.188,28013.997499999998,28821.119469999998,0.2817908,0.2889687737999999,0.3043511789600002,0.7003499375,0.72052798675,0.0013733374999999948,0.002070875333333336
model3-w3_phys_cfs_pooled,soft,0.5,20000,0.0,35959.823000000004,36858.61603999999,37550.504765000005,48897.041,35807.124500000005,36779.497930000005,0.35959823,0.3685861604,0.37550504765000003,0.71614249,0.7355899586,0.0016041349999999874,0.0024951242000000235
model3-w3_phys_cfs_pooled,soft,0.6,20000,0.0,43215.0055,43953.38342,44476.94829100002,50726.922,43154.008,43889.65316,0.432150055,0.43953383420000003,0.44476948291000024,0.7192334666666667,0.7314942193333334,0.00036483124999999746,0.0028572887499999844
model3-w3_phys_cfs_pooled,soft,0.7,20000,0.0,49433.3095,51214.9309,51748.762137,56016.656,49393.9395,51156.41964999999,0.494333095,0.512149309,0.51748762137,0.7056277071428572,0.7308059949999999,0.00044651666666662397,0.0035781185000000218
model3-w3_phys_cfs_pooled,soft,0.8,20000,0.0,56166.848,57053.63934999999,57628.98190400001,62484.626,56086.8845,57002.29747,0.56166848,0.5705363935,0.5762898190400001,0.70108605625,0.712528718375,0.003601299999999992,0.0058333582500000635
model3-w3_phys_cfs_pooled,soft,0.9,20000,0.0,64782.64,65736.40907999998,66512.45193600001,77285.184,64756.9055,65693.597,0.6478264,0.6573640907999999,0.66512451936,0.7195211722222222,0.7299288555555555,0.0012390500000001338,0.0022798544999997165
model3-w3_phys_cfs_pooled,soft,0.94,20000,0.0,66461.8065,69062.09016,69680.919742,75514.616,66436.03099999999,69012.08945,0.664618065,0.6906209016,0.69680919742,0.7067662872340426,0.7341711643617022,0.002122375000000223,0.004548091666665858
