model,scale,U,n,miss_count,miss_rate,longest_consecutive_miss_run_max_across_sources,alpha_p99,alpha_max,delta_p99,delta_max
model3-w3_phys_cfs_pooled,soft,0.1,20000,0,0.0,0,0.742,0.9016,0.0014,0.0583
model3-w3_phys_cfs_pooled,soft,0.2,20000,1,5e-05,1,0.7317,1.0007,0.0016,0.5004
model3-w3_phys_cfs_pooled,soft,0.3,20000,0,0.0,0,0.7328,0.8408,0.0018,0.0784
model3-w3_phys_cfs_pooled,soft,0.4,20000,0,0.0,0,0.7205,0.8863,0.0021,0.0666
model3-w3_phys_cfs_pooled,soft,0.5,20000,0,0.0,0,0.7356,0.7988,0.0025,0.136
model3-w3_phys_cfs_pooled,soft,0.6,20000,0,0.0,0,0.7315,0.7599,0.0029,0.0904
model3-w3_phys_cfs_pooled,soft,0.7,20000,0,0.0,0,0.7308,0.7598,0.0036,0.1145
model3-w3_phys_cfs_pooled,soft,0.8,20000,0,0.0,0,0.7125,0.7396,0.0058,0.1537
model3-w3_phys_cfs_pooled,soft,0.9,20000,0,0.0,0,0.7299,0.7585,0.0023,0.6098
model3-w3_phys_cfs_pooled,soft,0.94,20000,0,0.0,0,0.7342,0.7693,0.0045,0.7278
model3-w3_phys_cfs_pooled,tight,0.1,20000,18,0.0009,1,0.7814,4.1799,0.0023,1.992
model3-w3_phys_cfs_pooled,tight,0.2,20000,13,0.00065,2,0.7575,1.7275,0.0117,0.5385
model3-w3_phys_cfs_pooled,tight,0.3,20000,4,0.0002,1,0.745,1.6523,0.0029,0.5167
model3-w3_phys_cfs_pooled,tight,0.4,20000,2,0.0001,1,0.747,0.9972,0.003,0.5597
model3-w3_phys_cfs_pooled,tight,0.5,20000,5,0.00025,1,0.7443,0.9479,0.0208,2.5312
model3-w3_phys_cfs_pooled,tight,0.6,20000,2,0.0001,1,0.7196,1.039,0.0046,2.8286
model3-w3_phys_cfs_pooled,tight,0.7,20000,4,0.0002,1,0.744,0.7938,0.0048,1.5023
model3-w3_phys_cfs_pooled,tight,0.8,20000,3,0.00015,1,0.7527,1.0133,0.0068,3.0981
model3-w3_phys_cfs_pooled,tight,0.9,20000,4,0.0002,1,0.745,0.954,0.0127,6.9488
model3-w3_phys_cfs_pooled,tight,0.94,20000,3,0.00015,1,0.7369,0.9541,0.0214,7.5828
