model,scale,U,n,miss_rate,R_p50,R_p99,R_p999,R_max,C_p50,C_p99,RoverD_p50,RoverD_p99,RoverD_p999,alpha_p50,alpha_p99,delta_p50,delta_p99
model3-w3_phys_cfs_round2,tight,0.1,5000,0.0002,772.483,805.3091200000001,893.6598370000191,10928.119,753.7674999999999,782.81304,0.0772483,0.08053091200000001,0.08936598370000191,0.7537674999999999,0.7828130400000001,0.0010751388888888868,0.0013413544444444453
model3-w3_phys_cfs_round2,tight,0.2,5000,0.0,1476.019,1536.45108,1562.373145000005,8547.704,1456.5885,1514.86225,0.1476019,0.153645108,0.15623731450000053,0.72829425,0.757431125,0.0011969687499999962,0.0015460893750000055
model3-w3_phys_cfs_round2,tight,0.3,5000,0.0,2167.637,2303.59954,2469.2775830000082,6463.191,2147.2635,2233.69529,0.2167637,0.230359954,0.24692775830000083,0.7157545000000001,0.7445650966666667,0.001365785714285721,0.011037607142857153
model3-w3_phys_cfs_round2,tight,0.4,5000,0.0,2925.3575,3016.2005200000003,3084.292832000012,9052.123,2905.7115000000003,2990.83984,0.29253575,0.301620052,0.3084292832000012,0.726427875,0.7477099600000001,0.0016184166666666896,0.0020579658333333478
model3-w3_phys_cfs_round2,tight,0.5,5000,0.0,3627.5465000000004,3864.24548,3975.196683000001,5302.567,3604.984,3723.96951,0.36275465,0.386424548,0.39751966830000013,0.7209968,0.744793902,0.001886500000000001,0.023668720000000018
model3-w3_phys_cfs_round2,tight,0.6,5000,0.0,4214.049,4380.312599999999,4486.303063000005,4853.158,4193.1165,4312.28957,0.42140489999999997,0.43803126,0.44863030630000045,0.69885275,0.7187149283333333,0.0024801250000000435,0.025470937500000023
model3-w3_phys_cfs_round2,tight,0.7,5000,0.0002,5083.796,5200.12856,5251.926762000001,10545.5,5065.1745,5180.0170499999995,0.5083796,0.5200128559999999,0.5251926762000001,0.7235963571428572,0.7400024357142857,0.003120250000000018,0.003914836666666715
model3-w3_phys_cfs_round2,tight,0.8,5000,0.0,5815.2725,5951.78135,6005.696867,6140.866,5795.911,5932.51166,0.5815272499999999,0.595178135,0.6005696867000001,0.724488875,0.7415639575000001,0.004828375000000051,0.006369519999999927
model3-w3_phys_cfs_round2,tight,0.9,5000,0.0002,6610.4205,6758.141460000001,6856.858216000008,10404.762,6591.093000000001,6737.58655,0.66104205,0.6758141460000001,0.6856858216000007,0.7323436666666667,0.7486207277777778,0.009541749999999866,0.011903219999999801
model3-w3_phys_cfs_round2,tight,0.94,5000,0.0004,6761.951999999999,6916.696260000001,6985.505778000009,15702.178,6742.3285,6893.89104,0.6761952,0.691669626,0.6985505778000008,0.7172689893617021,0.7333926638297873,0.015258333333333667,0.02180505833333347
model3-w3_phys_cfs_round2,soft,0.1,5000,0.0,7113.572,7244.56307,7405.587411000013,7615.308,6978.874,7074.239820000001,0.07113572000000001,0.0724456307,0.07405587411000014,0.6978873999999999,0.707423982,0.0008564000000000002,0.001220654388888887
model3-w3_phys_cfs_round2,soft,0.2,5000,0.0,14033.6305,14206.99416,14442.368951,16009.289,13914.012999999999,14047.4413,0.140336305,0.1420699416,0.14442368951,0.69570065,0.702372065,0.0009636562499999969,0.001365385312499996
model3-w3_phys_cfs_round2,soft,0.3,5000,0.0,21128.1795,21478.56248,21732.087449,23783.923,20996.860500000003,21317.76552,0.211281795,0.21478562480000002,0.21732087449,0.69989535,0.7105921839999999,0.0011204285714285756,0.001594336928571444
model3-w3_phys_cfs_round2,soft,0.4,5000,0.0,28016.273,28570.742019999998,28760.008855000007,32348.047,27874.3825,28393.47635,0.28016273,0.2857074202,0.28760008855000013,0.6968595625,0.70983690875,0.0014088374999999965,0.002058541416666674
model3-w3_phys_cfs_round2,soft,0.5,5000,0.0,35732.149000000005,36394.21079,36996.474220000004,47164.297,35614.861000000004,36230.46176,0.35732149,0.3639421079,0.36996474220000003,0.71229722,0.7246092352,0.0009070500000000175,0.0024701349999999905
model3-w3_phys_cfs_round2,soft,0.6,5000,0.0,43362.641,43669.9041,44476.96039400002,45599.186,43320.694,43603.63981,0.43362641,0.436699041,0.44476960394000026,0.7220115666666667,0.7267273301666667,0.00036896874999997636,0.002642928999999948
model3-w3_phys_cfs_round2,soft,0.7,5000,0.0,49573.793000000005,49835.02693,50192.979349000045,53471.436,49544.605500000005,49800.80011,0.49573793,0.4983502693,0.5019297934900006,0.7077800785714286,0.7114400015714285,0.00044778333333330615,0.0028208691666666732
model3-w3_phys_cfs_round2,soft,0.8,5000,0.0,56304.161,56607.27858,57406.769783,58457.428,56278.870500000005,56581.1087,0.56304161,0.5660727858,0.57406769783,0.70348588125,0.70726385875,0.0006231499999999869,0.0007535529999999963
model3-w3_phys_cfs_round2,soft,0.9,5000,0.0,64986.3715,65369.51165,66474.847645,68297.055,64960.4625,65340.67376,0.649863715,0.6536951165,0.66474847645,0.7217829166666667,0.7260074862222222,0.0012636249999999564,0.0014925029999999279
model3-w3_phys_cfs_round2,soft,0.94,5000,0.0,66661.255,67127.54784999999,67628.70217800002,68110.42,66637.161,67101.09004,0.66661255,0.6712754785,0.6762870217800002,0.7089059680851064,0.7138413834042554,0.002004166666666303,0.0024241749999997166
