model,scale,U,n,miss_count,miss_rate,tardiness_max_us,tardiness_mean_us,longest_consecutive_miss_run,alpha_p99,alpha_max,delta_p99,delta_max
model3-w3_phys_cfs_round2,soft,0.1,5000,0,0.0,0.0,0.0,0,0.7074,0.752,0.0012,0.0017
model3-w3_phys_cfs_round2,soft,0.2,5000,0,0.0,0.0,0.0,0,0.7024,0.7484,0.0014,0.0133
model3-w3_phys_cfs_round2,soft,0.3,5000,0,0.0,0.0,0.0,0,0.7106,0.7874,0.0016,0.0022
model3-w3_phys_cfs_round2,soft,0.4,5000,0,0.0,0.0,0.0,0,0.7098,0.7284,0.0021,0.0364
model3-w3_phys_cfs_round2,soft,0.5,5000,0,0.0,0.0,0.0,0,0.7246,0.7557,0.0025,0.1112
model3-w3_phys_cfs_round2,soft,0.6,5000,0,0.0,0.0,0.0,0,0.7267,0.7595,0.0026,0.0041
model3-w3_phys_cfs_round2,soft,0.7,5000,0,0.0,0.0,0.0,0,0.7114,0.7342,0.0028,0.0705
model3-w3_phys_cfs_round2,soft,0.8,5000,0,0.0,0.0,0.0,0,0.7073,0.7304,0.0008,0.0013
model3-w3_phys_cfs_round2,soft,0.9,5000,0,0.0,0.0,0.0,0,0.726,0.7585,0.0015,0.1514
model3-w3_phys_cfs_round2,soft,0.94,5000,0,0.0,0.0,0.0,0,0.7138,0.7243,0.0024,0.0141
model3-w3_phys_cfs_round2,tight,0.1,5000,1,0.0002,928.1,928.1,1,0.7828,0.8009,0.0013,0.5654
model3-w3_phys_cfs_round2,tight,0.2,5000,0,0.0,0.0,0.0,0,0.7574,0.9298,0.0015,0.444
model3-w3_phys_cfs_round2,tight,0.3,5000,0,0.0,0.0,0.0,0,0.7446,0.7628,0.011,0.3127
model3-w3_phys_cfs_round2,tight,0.4,5000,0,0.0,0.0,0.0,0,0.7477,0.7809,0.0021,0.5105
model3-w3_phys_cfs_round2,tight,0.5,5000,0,0.0,0.0,0.0,0,0.7448,0.7775,0.0237,0.1692
model3-w3_phys_cfs_round2,tight,0.6,5000,0,0.0,0.0,0.0,0,0.7187,0.7729,0.0255,0.0451
model3-w3_phys_cfs_round2,tight,0.7,5000,1,0.0002,545.5,545.5,1,0.74,0.7515,0.0039,0.9034
model3-w3_phys_cfs_round2,tight,0.8,5000,0,0.0,0.0,0.0,0,0.7416,0.7653,0.0064,0.0239
model3-w3_phys_cfs_round2,tight,0.9,5000,1,0.0002,404.8,404.8,1,0.7486,0.7973,0.0119,1.9123
model3-w3_phys_cfs_round2,tight,0.94,5000,2,0.0004,5702.2,4754.8,1,0.7334,0.937,0.0218,7.5828
