model,scale,U,n,miss_rate,R_p50,R_p99,R_p999,R_max,C_p50,C_p99,RoverD_p50,RoverD_p99,RoverD_p999,alpha_p50,alpha_p99,delta_p50,delta_p99
model3-w4_phys_res_pooled,tight,0.1,20000,0.00365,740.685,807.1284499999997,10039.170166,17591.35,720.0935,777.1282399999994,0.0740685,0.08071284499999998,1.0039170166,0.7200934999999999,0.7771282399999995,0.0011777222222222198,0.0020641333333333294
model3-w4_phys_res_pooled,tight,0.2,20000,0.0023,1438.5994999999998,1610.1555799999994,10035.926411,13428.167,1416.7085000000002,1522.32846,0.14385995,0.16101555799999995,1.0035926411,0.70835425,0.7611642299999999,0.0013701250000000015,0.009864006249999963
model3-w4_phys_res_pooled,tight,0.3,15000,0.00273,2188.6515,2342.5793100000005,10445.696959000004,24833.695,2166.1324999999997,2309.3214100000005,0.21886515,0.23425793100000006,1.0445696959000004,0.7220441666666666,0.7697738033333335,0.001644892857142866,0.0026317814285714337
model3-w4_phys_res_pooled,tight,0.4,15000,0.00447,2932.43,3302.046320000001,10664.630849000001,11218.523,2908.955,3253.7717800000005,0.293243,0.33020463200000005,1.0664630849,0.72723875,0.8134429450000001,0.0018404999999999821,0.017640876666666697
model3-w4_phys_res_pooled,tight,0.5,15000,0.02347,3622.576,10467.50315,10840.814752000002,14069.545,3597.7745,5745.40314,0.3622576,1.0467503150000002,1.0840814752000003,0.7195549,1.149080628,0.0022230999999999996,0.47213657
model3-w4_phys_res_pooled,tight,0.6,15000,0.0034,4376.986999999999,4810.697910000002,10785.775152,20049.322,4350.906,4739.2714000000005,0.4376987,0.48106979100000014,1.0785775152,0.725151,0.7898785666666668,0.0026977500000000417,0.02000168624999997
model3-w4_phys_res_pooled,tight,0.7,15000,0.0034,5110.5695,5545.6702700000005,11026.92568600001,11690.77,5086.2805,5515.221820000001,0.51105695,0.554567027,1.1026925686000009,0.7266115,0.7878888314285715,0.0034916666666666364,0.005915834999999982
model3-w4_phys_res_pooled,tight,0.8,15000,0.00353,5868.6,6354.18375,11198.262558,38007.337,5845.173000000001,6318.1976600000025,0.5868599999999999,0.6354183750000001,1.1198262558,0.7306466250000001,0.7897747075000003,0.005441749999999956,0.008614340000000083
model3-w4_phys_res_pooled,tight,0.9,15000,0.0026,6560.3189999999995,7080.02178,11426.354936000002,15863.705,6537.0025000000005,7043.086730000001,0.6560318999999999,0.708002178,1.1426354936000003,0.7263336111111112,0.7825651922222223,0.010461250000000064,0.021972340000000215
model3-w4_phys_res_pooled,tight,0.94,15000,0.0028,6851.2325,7493.212280000001,11685.161386000002,17235.089,6827.627,7459.53484,0.68512325,0.749321228,1.1685161386000003,0.7263432978723404,0.7935675361702128,0.017504166666666758,0.029866825000000118
model3-w4_phys_res_pooled,soft,0.1,20000,0.0016,7315.24,7746.036849999995,100059.16618799999,101427.943,7200.374,7686.172789999998,0.0731524,0.07746036849999995,1.00059166188,0.7200374,0.7686172789999998,0.0009448611111111127,0.0013836689444444443
model3-w4_phys_res_pooled,soft,0.2,20000,0.0004,14598.774,15115.590749999998,18836.12536200002,102240.16,14495.2195,15031.114829999995,0.14598773999999998,0.15115590749999996,0.18836125362000022,0.724760975,0.7515557414999997,0.0010574874999999906,0.0015817894375000068
model3-w4_phys_res_pooled,soft,0.3,20000,0.0001,21827.933,22525.99299,26887.492165000003,102385.971,21709.057,22458.266279999985,0.21827933,0.2252599299,0.26887492165,0.7236352333333333,0.7486088759999995,0.0012317571428571423,0.001830124285714289
model3-w4_phys_res_pooled,soft,0.4,20000,0.00105,29158.936999999998,30987.551689999967,100988.89688900014,108588.339,29033.189,30938.620639999997,0.29158937,0.30987551689999965,1.0098889688900015,0.725829725,0.7734655159999999,0.001434483333333325,0.002121230750000012
model3-w4_phys_res_pooled,soft,0.5,20000,0.0,36351.3685,38781.09495,44647.15402200014,52494.407,36221.1665,38690.072299999985,0.36351368500000003,0.3878109495,0.4464715402200014,0.72442333,0.7738014459999997,0.0016935350000000108,0.002470671500000027
model3-w4_phys_res_pooled,soft,0.6,20000,0.0051,43435.7,48667.429789999944,114466.02451100001,122211.0,43390.1705,48598.24131999998,0.434357,0.48667429789999944,1.14466024511,0.7231695083333334,0.8099706886666663,0.00037847500000002583,0.002908485749999997
model3-w4_phys_res_pooled,soft,0.7,20000,0.00085,50781.932,54809.59558999999,62962.41654000026,110008.351,50692.74,54693.755539999904,0.50781932,0.5480959558999998,0.6296241654000025,0.724182,0.7813393648571415,0.0008461500000000038,0.004132781499999937
model3-w4_phys_res_pooled,soft,0.8,20000,0.00085,57823.0655,62284.14638999999,70850.99280000012,109525.911,57738.307,62189.48179999998,0.578230655,0.6228414639,0.7085099280000012,0.7217288374999999,0.7773685224999998,0.001451812500000051,0.006120313750000031
model3-w4_phys_res_pooled,soft,0.9,20000,0.00065,65217.265,69789.04608,79152.212687,105162.918,65187.8915,69637.44982999998,0.65217265,0.6978904608,0.7915221268700001,0.7243099055555555,0.7737494425555553,0.0013787750000001323,0.0025257030000001355
model3-w4_phys_res_pooled,soft,0.94,20000,0.00085,67969.245,72749.77840999998,81259.10121300003,113671.937,67941.01199999999,72713.80672999997,0.6796924499999999,0.7274977840999999,0.8125910121300004,0.7227767234042553,0.7735511354255317,0.0023160833333337604,0.003886424166666533
