model,scale,U,n,miss_count,miss_rate,longest_consecutive_miss_run_max_across_sources,alpha_p99,alpha_max,delta_p99,delta_max
model3-w4_phys_res_pooled,soft,0.1,20000,32,0.0016,1,0.7686,1.1985,0.0014,0.5001
model3-w4_phys_res_pooled,soft,0.2,20000,8,0.0004,1,0.7516,1.1266,0.0016,0.5013
model3-w4_phys_res_pooled,soft,0.3,20000,2,0.0001,1,0.7486,1.0989,0.0018,0.4959
model3-w4_phys_res_pooled,soft,0.4,20000,21,0.00105,1,0.7735,1.2361,0.0021,0.4998
model3-w4_phys_res_pooled,soft,0.5,20000,0,0.0,0,0.7738,0.9864,0.0025,0.1568
model3-w4_phys_res_pooled,soft,0.6,20000,102,0.0051,91,0.81,1.3732,0.0029,0.4978
model3-w4_phys_res_pooled,soft,0.7,20000,17,0.00085,1,0.7813,1.1475,0.0041,0.495
model3-w4_phys_res_pooled,soft,0.8,20000,17,0.00085,1,0.7774,1.1221,0.0061,0.4943
model3-w4_phys_res_pooled,soft,0.9,20000,13,0.00065,1,0.7737,1.0594,0.0025,0.691
model3-w4_phys_res_pooled,soft,0.94,20000,17,0.00085,1,0.7736,1.1506,0.0039,0.4613
model3-w4_phys_res_pooled,tight,0.1,20000,73,0.00365,4,0.7771,1.3717,0.0021,0.9365
model3-w4_phys_res_pooled,tight,0.2,20000,46,0.0023,2,0.7612,1.4065,0.0099,0.7388
model3-w4_phys_res_pooled,tight,0.3,15000,41,0.00273,4,0.7698,1.3153,0.0026,1.6098
model3-w4_phys_res_pooled,tight,0.4,15000,67,0.00447,4,0.8134,1.3104,0.0176,0.5826
model3-w4_phys_res_pooled,tight,0.5,15000,352,0.02347,7,1.1491,1.4042,0.4721,1.0289
model3-w4_phys_res_pooled,tight,0.6,15000,51,0.0034,3,0.7899,1.4001,0.02,1.9355
model3-w4_phys_res_pooled,tight,0.7,15000,51,0.0034,3,0.7879,1.3215,0.0059,1.0341
model3-w4_phys_res_pooled,tight,0.8,15000,53,0.00353,3,0.7898,1.3052,0.0086,8.0178
model3-w4_phys_res_pooled,tight,0.9,15000,39,0.0026,4,0.7826,1.3134,0.022,4.6089
model3-w4_phys_res_pooled,tight,0.94,15000,42,0.0028,4,0.7936,1.2935,0.0299,8.4407
