model,scale,U,n,miss_rate,R_p50,R_p99,R_p999,R_max,C_p50,C_p99,RoverD_p50,RoverD_p99,RoverD_p999,alpha_p50,alpha_p99,delta_p50,delta_p99
model3-w4_phys_res_round3,tight,0.1,5000,0.0136,728.3745,10028.67519,10050.26624,12214.588,696.2345,1130.7311300000024,0.07283745,1.002867519,1.005026624,0.6962345000000001,1.1307311300000022,0.0015634722222222213,0.48586694
model3-w4_phys_res_round3,tight,0.2,5000,0.0088,1463.393,1905.3667600000026,10047.65588,13428.167,1438.267,1860.7535400000006,0.1463393,0.19053667600000027,1.004765588,0.7191335,0.9303767700000003,0.0017144999999999938,0.0029016537500000245
model3-w4_phys_res_round3,tight,0.3,5000,0.008,2198.5445,2809.81726,10565.278256000016,24833.695,2171.1715,2664.2707299999997,0.21985444999999998,0.280981726,1.0565278256000017,0.7237238333333333,0.8880902433333333,0.0018678928571428546,0.003190270000000028
model3-w4_phys_res_round3,tight,0.4,5000,0.0134,2982.6440000000002,10241.61332,10982.828364000006,11218.523,2957.4170000000004,4280.976940000003,0.2982644,1.024161332,1.0982828364000008,0.7393542500000001,1.0702442350000008,0.0019962500000000128,0.4961774175
model3-w4_phys_res_round3,tight,0.5,5000,0.0702,3666.408,10565.028760000001,11047.312561000006,14069.545,3638.092,5832.7982200000015,0.3666408,1.0565028760000001,1.1047312561000007,0.7276184000000001,1.1665596440000003,0.0029616000000000212,0.47314711800000003
model3-w4_phys_res_round3,tight,0.6,5000,0.0098,4412.452,5942.9011400002655,11145.032177000017,20049.322,4386.706,5699.872320000035,0.4412452,0.5942901140000265,1.1145032177000016,0.7311176666666667,0.9499787200000058,0.0034465625000000273,0.12299771125004556
model3-w4_phys_res_round3,tight,0.7,5000,0.01,5134.844,7022.171120000661,11410.492057000009,11690.77,5108.5255,6948.529540000006,0.5134844000000001,0.7022171120000661,1.141049205700001,0.7297893571428571,0.992647077142858,0.004308166666666693,0.011486846666753385
model3-w4_phys_res_round3,tight,0.8,5000,0.01,5900.3795,7993.801740000446,11593.148816000014,12052.074,5875.904,7952.4636300000075,0.5900379499999999,0.7993801740000447,1.1593148816000014,0.734488,0.9940579537500009,0.0058846250000001415,0.015327275000083265
model3-w4_phys_res_round3,tight,0.9,5000,0.0074,6650.4595,8552.226490000014,12196.168449,15863.705,6622.582,8397.530880000022,0.66504595,0.8552226490000014,1.2196168449,0.7358424444444445,0.9330589866666692,0.013825000000000046,0.025813640000000204
model3-w4_phys_res_round3,tight,0.94,5000,0.0078,6963.7485,9040.954920000002,12556.34833900001,17235.089,6938.3805,8891.532000000028,0.69637485,0.9040954920000003,1.255634833900001,0.738125585106383,0.9459076595744711,0.021066666666666834,0.03820437500000051
model3-w4_phys_res_round3,soft,0.1,5000,0.0,7501.249,7680.21231,7797.696051000006,11921.572,7322.775,7482.96109,0.07501249,0.0768021231,0.07797696051000007,0.7322775,0.748296109,0.000960658333333332,0.00142133572222222
model3-w4_phys_res_round3,soft,0.2,5000,0.0,14796.246500000001,15037.70065,15307.516377000002,28990.399,14617.0185,14845.84576,0.147962465,0.1503770065,0.15307516377,0.730850925,0.7422922879999999,0.0010761468749999948,0.001776253187499992
model3-w4_phys_res_round3,soft,0.3,5000,0.0,22089.059,22342.56406,22621.753283000005,27333.345,21903.63,22152.92838,0.22089059,0.2234256406,0.22621753283000004,0.730121,0.738430946,0.001263596428571431,0.0018735350714285822
model3-w4_phys_res_round3,soft,0.4,5000,0.0002,29007.326999999997,29849.530609999998,30380.7402200008,108588.339,28819.349000000002,29651.41349,0.29007327,0.29849530609999997,0.303807402200008,0.720483725,0.74128533725,0.0014736083333333379,0.0021399751666666827
model3-w4_phys_res_round3,soft,0.5,5000,0.0,35581.546,36342.663830000005,36821.84832800002,41499.141,35414.837,36179.69164,0.35581546,0.36342663830000005,0.3682184832800002,0.70829674,0.7235938328,0.001671775000000016,0.0023682840000000135
model3-w4_phys_res_round3,soft,0.6,5000,0.0,42995.642,43951.44537,45184.82754900048,51061.588,42938.904,43874.37937,0.42995642,0.43951445370000003,0.45184827549000484,0.7156484000000001,0.7312396561666668,0.00035351250000003345,0.002837289499999998
model3-w4_phys_res_round3,soft,0.7,5000,0.0,50514.8145,51325.340990000004,51998.291361000025,57332.47,50432.664,51252.56466,0.5051481449999999,0.5132534099,0.5199829136100003,0.7204666285714285,0.7321794951428572,0.00045253333333336435,0.004022137166666677
model3-w4_phys_res_round3,soft,0.8,5000,0.0,58051.879499999995,58772.38192,59995.92134400001,64918.212,57866.826,58584.943640000005,0.5805187949999999,0.5877238192,0.5999592134400001,0.7233353250000001,0.7323117955,0.004333324999999968,0.006563899499999886
model3-w4_phys_res_round3,soft,0.9,5000,0.0,65367.2775,66085.93084,68007.87831100053,79152.198,65339.4295,66057.71278,0.653672775,0.6608593084000001,0.6800787831100052,0.7259936611111111,0.7339745864444444,0.00135887500000008,0.0015522029999997249
model3-w4_phys_res_round3,soft,0.94,5000,0.0,67915.0705,68803.85759,69073.70896500001,81420.153,67889.753,68777.53093,0.6791507050000001,0.6880385759000001,0.6907370896500001,0.722231414893617,0.7316758609574467,0.0020468333333337795,0.0025063650000000668
