model,scale,U,n,miss_count,miss_rate,tardiness_max_us,tardiness_mean_us,longest_consecutive_miss_run,alpha_p99,alpha_max,delta_p99,delta_max
model3-w4_phys_res_round4,soft,0.1,5000,0,0.0,0.0,0.0,0,0.7387,0.953,0.0014,0.0018
model3-w4_phys_res_round4,soft,0.2,5000,1,0.0002,2072.1,2072.1,1,0.7402,1.0931,0.0016,0.5013
model3-w4_phys_res_round4,soft,0.3,5000,0,0.0,0.0,0.0,0,0.7353,0.8321,0.002,0.0934
model3-w4_phys_res_round4,soft,0.4,5000,0,0.0,0.0,0.0,0,0.74,0.8449,0.0023,0.0089
model3-w4_phys_res_round4,soft,0.5,5000,0,0.0,0.0,0.0,0,0.7367,0.7717,0.0027,0.1568
model3-w4_phys_res_round4,soft,0.6,5000,0,0.0,0.0,0.0,0,0.7361,0.8424,0.0028,0.2533
model3-w4_phys_res_round4,soft,0.7,5000,0,0.0,0.0,0.0,0,0.7356,0.7718,0.0047,0.0055
model3-w4_phys_res_round4,soft,0.8,5000,0,0.0,0.0,0.0,0,0.7305,0.8431,0.0008,0.2476
model3-w4_phys_res_round4,soft,0.9,5000,0,0.0,0.0,0.0,0,0.7338,0.7824,0.0016,0.4489
model3-w4_phys_res_round4,soft,0.94,5000,0,0.0,0.0,0.0,0,0.7327,0.7611,0.0026,0.0068
model3-w4_phys_res_round4,tight,0.1,5000,1,0.0002,7591.4,7591.4,1,0.7569,0.7997,0.0016,0.9365
model3-w4_phys_res_round4,tight,0.2,5000,1,0.0002,706.3,706.3,1,0.7398,1.399,0.0016,0.4943
model3-w4_phys_res_round4,tight,0.3,5000,1,0.0002,100.4,100.4,1,0.7573,1.3153,0.002,0.5343
model3-w4_phys_res_round4,tight,0.4,5000,0,0.0,0.0,0.0,0,0.7517,0.8488,0.0198,0.5826
model3-w4_phys_res_round4,tight,0.5,5000,1,0.0002,53.6,53.6,1,0.7458,1.0624,0.0029,0.597
model3-w4_phys_res_round4,tight,0.6,5000,1,0.0002,8197.7,8197.7,1,0.752,0.8069,0.0197,1.7388
model3-w4_phys_res_round4,tight,0.7,5000,0,0.0,0.0,0.0,0,0.7521,0.7819,0.004,0.4146
model3-w4_phys_res_round4,tight,0.8,5000,1,0.0002,28007.3,28007.3,1,0.7512,0.7668,0.0066,8.0178
model3-w4_phys_res_round4,tight,0.9,5000,0,0.0,0.0,0.0,0,0.7433,0.8716,0.0123,0.0817
model3-w4_phys_res_round4,tight,0.94,5000,2,0.0004,3673.0,1846.7,1,0.7444,1.0032,0.0274,5.8722
