model,scale,U,n,miss_rate,R_p50,R_p99,R_p999,R_max,C_p50,C_p99,RoverD_p50,RoverD_p99,RoverD_p999,alpha_p50,alpha_p99,delta_p50,delta_p99
model3_sib_cfs_pooled,tight,0.1,20000,0.48685,982.425,10406.78369,12985.337338000276,19248.159,954.1505,1448.4734799999997,0.09824250000000001,1.0406783689999999,1.2985337338000276,0.9541504999999999,1.4484734799999996,0.00133266666666667,0.5025601194444445
model3_sib_cfs_pooled,tight,0.2,20000,0.07405,1483.899,10167.444189999998,10235.377886,20438.762,1464.4830000000002,2215.53806,0.14838990000000002,1.016744419,1.0235377886,0.7322415,1.1077690299999998,0.0012167499999999976,0.50872276625
model3_sib_cfs_pooled,tight,0.3,20000,0.35215,2436.5550000000003,12622.879319999998,20039.524054,20081.671,2252.3505,5670.493539999993,0.2436555,1.2622879319999998,2.0039524054,0.7507835,1.8901645133333311,0.0015202500000000003,0.5118161442857143
model3_sib_cfs_pooled,tight,0.4,20000,0.2503,3225.05,10858.792539999999,11082.488834000002,16138.557,3205.566,4884.421199999999,0.322505,1.085879254,1.1082488834000002,0.8013915,1.2211052999999996,0.0016646666666666572,0.5075314241666666
model3_sib_cfs_pooled,tight,0.5,20000,0.2612,4385.0405,10228.39001,10438.889281000002,22198.325,4346.6715,5152.897169999999,0.43850405000000003,1.022839001,1.0438889281000001,0.8693343,1.030579434,0.002085000000000014,0.5231699089999999
model3_sib_cfs_pooled,tight,0.6,20000,0.25005,4331.4535,10332.73901,10445.937122000003,15341.085,4306.4915,6528.62025,0.43314535,1.033273901,1.0445937122000004,0.7177485833333334,1.088103375,0.0024425624999999513,0.4769641587500001
model3_sib_cfs_pooled,tight,0.7,20000,0.50005,10016.349,10780.989969999999,11260.576625000002,20898.327,7082.9015,8562.035309999992,1.0016349,1.078098997,1.1260576625000003,1.0118430714285715,1.2231479014285702,0.3455573333333334,0.5065036749999999
model3_sib_cfs_pooled,tight,0.8,20000,0.48985,7811.759,10219.512480000001,10559.114714,47539.256,7656.136,8373.47464,0.7811759,1.0219512480000001,1.0559114714,0.957017,1.04668433,0.005877124999999978,0.5364835724999997
model3_sib_cfs_pooled,tight,0.9,20000,0.0393,8454.322,10021.088,10152.037369000007,24109.678,8435.5405,9143.37091,0.8454322000000001,1.0021088,1.0152037369000007,0.9372822777777778,1.0159301011111113,0.00930200000000059,0.4973041699999993
model3_sib_cfs_pooled,tight,0.94,15000,0.01873,7659.049,10019.19813,10024.269285,21679.145,7640.23,9437.084760000002,0.7659049,1.001919813,1.0024269285,0.8127904255319149,1.0039451872340426,0.014785000000000157,0.4779521333333329
model3_sib_cfs_pooled,soft,0.1,20000,0.4691,81629.109,103690.99066,103861.19601,4780926.224,9555.486499999999,14000.30003,0.81629109,1.0369099065999998,1.0386119601000001,0.95554865,1.4000300030000001,0.39625156388888894,0.49832657283333337
model3_sib_cfs_pooled,soft,0.2,20000,0.2436,14167.406500000001,101140.81551,103216.36933500002,108219.245,13996.443,21839.517819999997,0.14167406500000002,1.0114081551,1.0321636933500005,0.69982215,1.091975891,0.0010992906249999977,0.49994575056249996
model3_sib_cfs_pooled,soft,0.3,20000,0.0,21171.8595,21977.114349999996,24606.613152,33056.696,21021.5685,21790.42005,0.211718595,0.21977114349999996,0.24606613152000004,0.70071895,0.7263473349999999,0.0011855857142857142,0.0017436015714285666
model3_sib_cfs_pooled,soft,0.4,20000,0.25075,37239.697,100815.93511,103549.714336,115574.237,32888.1305,41319.40288,0.37239697,1.0081593511,1.03549714336,0.8222032625,1.032985072,0.0014204708333333202,0.49743461916666676
model3_sib_cfs_pooled,soft,0.5,20000,0.25295,47723.075,103585.75537,103914.54239,107346.221,46266.407,53793.97871999999,0.47723075,1.0358575536999999,1.0391454239000002,0.92532814,1.0758795743999998,0.0016502899999999863,0.5009798887000001
model3_sib_cfs_pooled,soft,0.6,20000,0.5,82421.1375,109787.47927,112320.11726800002,116062.974,62118.686499999996,70287.06648,0.824211375,1.0978747927,1.1232011726800002,1.0353114416666667,1.171451108,0.35682653124999997,0.5044395791249999
model3_sib_cfs_pooled,soft,0.7,20000,0.5,85320.31349999999,116552.48589999999,128082.75650100007,141612.396,70386.787,86428.06843999996,0.853203135,1.1655248589999998,1.2808275650100007,1.0055255285714284,1.2346866919999995,0.3055955583333333,0.5049471836666666
model3_sib_cfs_pooled,soft,0.8,20000,5e-05,59667.7575,65444.24273,67528.256904,103793.791,59643.136,65402.462569999974,0.596677575,0.6544424273,0.6752825690400001,0.7455392000000001,0.8175307821249997,0.0005977999999999157,0.004118533499999926
model3_sib_cfs_pooled,soft,0.9,20000,0.19745,86718.4195,144534.22726999997,148614.713388,154358.835,86692.014,134691.92369999998,0.8671841950000001,1.4453422726999998,1.48614713388,0.9632446,1.4965769299999998,0.001160399999999936,0.4999768719999997
model3_sib_cfs_pooled,soft,0.94,20000,0.06375,89484.21849999999,112386.33870999994,131133.14981900025,146207.961,89461.4385,107010.01151999988,0.8948421849999999,1.1238633870999994,1.3113314981900026,0.9517174308510639,1.1384043778723394,0.001809416666666948,0.4623962650000004
