model,scale,U,n,miss_count,miss_rate,longest_consecutive_miss_run_max_across_sources,alpha_p99,alpha_max,delta_p99,delta_max
model3_sib_cfs_pooled,soft,0.1,20000,9382,0.4691,5000,1.4,1.6003,0.4983,26.4934
model3_sib_cfs_pooled,soft,0.2,20000,4872,0.2436,314,1.092,1.332,0.4999,0.5457
model3_sib_cfs_pooled,soft,0.3,20000,0,0.0,0,0.7263,0.9318,0.0017,0.0866
model3_sib_cfs_pooled,soft,0.4,20000,5015,0.25075,4103,1.033,1.1972,0.4974,0.6232
model3_sib_cfs_pooled,soft,0.5,20000,5059,0.25295,5000,1.0759,1.1463,0.501,0.5028
model3_sib_cfs_pooled,soft,0.6,20000,10000,0.5,5000,1.1715,1.2699,0.5044,0.576
model3_sib_cfs_pooled,soft,0.7,20000,10000,0.5,5000,1.2347,1.595,0.5049,0.6049
model3_sib_cfs_pooled,soft,0.8,20000,1,5e-05,1,0.8175,1.0583,0.0041,0.4783
model3_sib_cfs_pooled,soft,0.9,20000,3949,0.19745,45,1.4966,1.6057,0.5,0.9792
model3_sib_cfs_pooled,soft,0.94,20000,1275,0.06375,10,1.1384,1.4964,0.4624,0.5893
model3_sib_cfs_pooled,tight,0.1,20000,9737,0.48685,3010,1.4485,1.8798,0.5026,0.9963
model3_sib_cfs_pooled,tight,0.2,20000,1481,0.07405,1137,1.1078,1.8251,0.5087,1.1411
model3_sib_cfs_pooled,tight,0.3,20000,7043,0.35215,5000,1.8902,2.0783,0.5118,1.1463
model3_sib_cfs_pooled,tight,0.4,20000,5006,0.2503,5000,1.2211,1.3926,0.5075,0.9258
model3_sib_cfs_pooled,tight,0.5,20000,5224,0.2612,25,1.0306,1.3592,0.5232,1.7276
model3_sib_cfs_pooled,tight,0.6,20000,5001,0.25005,3709,1.0881,1.2501,0.477,1.1014
model3_sib_cfs_pooled,tight,0.7,20000,10001,0.50005,5000,1.2231,1.3882,0.5065,1.9882
model3_sib_cfs_pooled,tight,0.8,20000,9797,0.48985,337,1.0467,1.3856,0.5365,9.8308
model3_sib_cfs_pooled,tight,0.9,20000,786,0.0393,5,1.0159,1.2729,0.4973,7.5239
model3_sib_cfs_pooled,tight,0.94,15000,281,0.01873,3,1.0039,1.2256,0.478,10.5725
