model,scale,U,n,miss_count,miss_rate,tardiness_max_us,tardiness_mean_us,longest_consecutive_miss_run,alpha_p99,alpha_max,delta_p99,delta_max
model3_sib_cfs_round4,soft,0.1,5000,0,0.0,0.0,0.0,0,0.7224,0.8859,0.0014,0.0016
model3_sib_cfs_round4,soft,0.2,5000,0,0.0,0.0,0.0,0,0.7017,0.7786,0.0015,0.0022
model3_sib_cfs_round4,soft,0.3,5000,0,0.0,0.0,0.0,0,0.7042,0.7175,0.0017,0.0866
model3_sib_cfs_round4,soft,0.4,5000,15,0.003,6775.5,1332.5,1,0.9638,1.1849,0.0005,0.5003
model3_sib_cfs_round4,soft,0.5,5000,59,0.0118,7346.2,1688.2,2,1.0047,1.1463,0.5,0.501
model3_sib_cfs_round4,soft,0.6,5000,0,0.0,0.0,0.0,0,0.7021,0.8328,0.0027,0.0032
model3_sib_cfs_round4,soft,0.7,5000,5000,1.0,5185.8,1435.8,5000,1.0326,1.0771,0.5011,0.503
model3_sib_cfs_round4,soft,0.8,5000,0,0.0,0.0,0.0,0,0.7668,0.8103,0.0008,0.002
model3_sib_cfs_round4,soft,0.9,5000,9,0.0018,508.3,81.1,2,0.9934,1.015,0.0015,0.5014
model3_sib_cfs_round4,soft,0.94,5000,526,0.1052,46208.0,8953.2,10,1.247,1.4964,0.4629,0.5032
model3_sib_cfs_round4,tight,0.1,5000,4730,0.946,9248.2,133.7,122,1.3805,1.8326,0.5032,0.9963
model3_sib_cfs_round4,tight,0.2,5000,1137,0.2274,10438.8,169.9,1137,1.1173,1.217,0.5007,1.1411
model3_sib_cfs_round4,tight,0.3,5000,5000,1.0,10081.7,1325.8,5000,1.9961,2.0783,0.9898,1.0037
model3_sib_cfs_round4,tight,0.4,5000,1,0.0002,514.0,514.0,1,0.7096,1.2649,0.0023,0.4545
model3_sib_cfs_round4,tight,0.5,5000,3780,0.756,10197.6,104.4,25,1.0358,1.1895,0.5255,1.4368
model3_sib_cfs_round4,tight,0.6,5000,4999,0.9998,1207.5,241.6,3709,1.0986,1.2501,0.4819,0.4937
model3_sib_cfs_round4,tight,0.7,5000,1,0.0002,1067.0,1067.0,1,0.7053,1.0487,0.0039,0.621
model3_sib_cfs_round4,tight,0.8,5000,4877,0.9754,624.9,83.1,337,1.0315,1.0674,0.5538,0.5802
model3_sib_cfs_round4,tight,0.9,5000,8,0.0016,7410.1,1765.9,1,0.9367,1.2352,0.0109,3.8614
model3_sib_cfs_round4,tight,0.94,5000,1,0.0002,11679.1,11679.1,1,0.8219,0.9566,0.0189,10.5725
