model,scale,U,n,miss_rate,R_p50,R_p99,R_p999,R_max,C_p50,C_p99,RoverD_p50,RoverD_p99,RoverD_p999,alpha_p50,alpha_p99,delta_p50,delta_p99
model3_sib_cfs_round5,tight,0.2,5000,0.487,1974.7965,10228.56423,10285.789643,15798.94,1921.0,2117.99762,0.19747965,1.0228564230000001,1.0285789643,0.9604999999999999,1.05899881,0.0023389999999999986,0.5168483718750001
model3_sib_cfs_round5,tight,0.3,5000,1.0,10722.413499999999,10973.30859,11121.577151000021,15866.738,4163.862999999999,4263.57073,1.07224135,1.0973308590000002,1.1121577151000022,1.3879543333333333,1.4211902433333334,0.468828,0.4835023014285715
model3_sib_cfs_round5,tight,0.4,5000,0.0002,2910.3385,3002.36315,3049.865179,18436.196,2890.5155,2982.5462300000004,0.29103385000000004,0.30023631500000003,0.3049865179,0.7226288750000001,0.7456365575,0.001604208333333323,0.0019622983333333365
model3_sib_cfs_round5,tight,0.5,5000,0.0002,3607.271,3726.33945,3772.0323230000004,11161.672,3589.008,3707.3095799999996,0.3607271,0.372633945,0.3772032323,0.7178016,0.741461916,0.0018229500000000146,0.0021961340000000245
model3_sib_cfs_round5,tight,0.6,5000,0.0002,4186.998,4311.6279,4373.194664000002,12948.76,4168.402,4291.99005,0.4186998,0.4311627900000001,0.43731946640000025,0.6947336666666667,0.715331675,0.0022769375000000307,0.002833928750000036
model3_sib_cfs_round5,tight,0.7,5000,0.1522,6321.6625,10236.668249999999,10408.036687000002,18604.201,6294.808,7471.61215,0.63216625,1.023666825,1.0408036687000002,0.8992582857142857,1.0673731642857143,0.0031794166666666117,0.5058737766666669
model3_sib_cfs_round5,tight,0.8,5000,0.0004,6214.262000000001,6394.409210000001,6616.748335000004,12574.545,6194.987,6373.54198,0.6214261999999999,0.639440921,0.6616748335000004,0.774373375,0.7966927475000001,0.00480074999999988,0.0063112524999999736
model3_sib_cfs_round5,tight,0.9,5000,0.8374,10029.2115,10296.2147,11717.696117000025,18006.385,9136.2435,9305.95281,1.00292115,1.02962147,1.1717696117000025,1.0151381666666666,1.0339947566666667,0.44289299999999954,0.5625156699999997
model3_sib_cfs_round5,tight,0.94,5000,0.7554,10019.9585,14415.218310000004,14909.90127000001,16354.694,9523.935000000001,14087.335810000004,1.00199585,1.4415218310000002,1.490990127000001,1.0131845744680852,1.4986527457446812,0.2564800000000006,0.5236927833333338
model3_sib_cfs_round5,soft,0.1,5000,1.0,103786.03899999999,103885.50203,104163.645129,104442.588,14154.945500000002,14243.454510000001,1.03786039,1.0388550203,1.0416364512899998,1.41549455,1.4243454510000002,0.49795276388888887,0.4980275702777778
model3_sib_cfs_round5,soft,0.2,5000,0.0,14572.4225,14762.66641,14869.130593000004,26689.72,14386.449,14570.04541,0.145724225,0.1476266641,0.14869130593000002,0.7193224500000001,0.7285022705,0.0011104531250000038,0.0016972809999999962
model3_sib_cfs_round5,soft,0.3,5000,0.0,21830.1285,22081.6372,22247.46249800001,29236.373,21642.557,21872.22122,0.218301285,0.220816372,0.22247462498000012,0.7214185666666667,0.7290740406666667,0.0012706821428571467,0.0019411106428571475
model3_sib_cfs_round5,soft,0.4,5000,0.0,28299.9815,28707.75444,29493.102955000093,34433.66,28115.1545,28505.48486,0.28299981500000004,0.28707754440000005,0.29493102955000094,0.7028788625,0.7126371215,0.0014633083333333314,0.002253563416666667
model3_sib_cfs_round5,soft,0.5,5000,0.0,38746.855,39349.13109,39693.09181100002,41546.449,38559.534,39151.22823,0.38746855,0.3934913109,0.3969309181100002,0.77119068,0.7830245646,0.0017889550000000235,0.0026509424000000035
model3_sib_cfs_round5,soft,0.6,5000,0.0002,52549.4785,53307.935639999996,53725.50903800008,110884.897,52362.033,53086.011190000005,0.525494785,0.5330793563999999,0.5372550903800007,0.87270055,0.8847668531666667,0.0022291375000000244,0.0034797779999999456
model3_sib_cfs_round5,soft,0.7,5000,0.004,68803.9035,69880.21085,100282.57110900003,106427.44,68780.927,69844.79327000001,0.688039035,0.6988021084999999,1.0028257110900003,0.9825846714285713,0.9977827610000001,0.00037620000000000193,0.0006744536666666108
model3_sib_cfs_round5,soft,0.8,5000,0.9994,102142.723,103400.63454,104956.572566,107400.661,82229.89749999999,83322.27219,1.02142723,1.0340063454000001,1.04956572566,1.02787371875,1.0415284023750002,0.49670832499999995,0.5057095482500001
model3_sib_cfs_round5,soft,0.9,5000,0.0,70914.14,71539.23352000001,71802.03605500015,75208.115,70891.46549999999,71516.67644,0.7091414,0.7153923352,0.7180203605500014,0.78768295,0.7946297382222223,0.0011089250000000904,0.0014282560000001179
model3_sib_cfs_round5,soft,0.94,5000,0.2386,91965.486,114238.79627,116127.38009400001,116523.87,91941.9005,108874.38123,0.91965486,1.1423879627,1.16127380094,0.9781053244680851,1.1582380981914893,0.001844208333333275,0.4839763508333332
