# probe kind=matmul M=48 K=870 buf_kb=0 period_us=100000 priority=90 cpu=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,4891617129.846,4891617151.938,4891663040.023,45887.303,45910.177,22.874,22.092,0.782,54089.823,0,0.000,0,870,48,0
1,4891717129.846,4891717174.770,4891763901.672,46725.736,46771.826,46.090,44.924,1.166,53228.174,0,0.000,0,870,48,0
2,4891817129.846,4891817170.494,4891863427.994,46256.423,46298.148,41.725,40.648,1.077,53701.852,0,0.000,0,870,48,0
3,4891917129.846,4891917174.681,4891963627.715,46451.893,46497.869,45.976,44.835,1.141,53502.131,0,0.000,0,870,48,0
4,4892017129.846,4892017175.483,4892063390.983,46214.426,46261.137,46.711,45.637,1.074,53738.863,0,0.000,0,870,48,0
5,4892117129.846,4892117172.928,4892162912.761,45739.175,45782.915,43.740,43.082,0.658,54217.085,0,0.000,0,870,48,0
6,4892217129.846,4892217170.272,4892263487.887,46316.783,46358.041,41.258,40.426,0.832,53641.959,0,0.000,0,870,48,0
7,4892317129.846,4892317174.650,4892363073.139,45897.715,45943.293,45.578,44.804,0.774,54056.707,0,0.000,0,870,48,0
8,4892417129.846,4892417176.212,4892463444.707,46267.370,46314.861,47.491,46.366,1.125,53685.139,0,0.000,0,870,48,0
9,4892517129.846,4892517169.901,4892562867.705,45697.162,45737.859,40.697,40.055,0.642,54262.141,0,0.000,0,870,48,0
10,4892617129.846,4892617169.772,4892662977.984,45807.449,45848.138,40.689,39.926,0.763,54151.862,0,0.000,0,870,48,0
11,4892717129.846,4892717172.491,4892763500.916,46327.594,46371.070,43.476,42.645,0.831,53628.930,0,0.000,0,870,48,0
12,4892817129.846,4892817168.866,4892863147.840,45978.228,46017.994,39.766,39.020,0.746,53982.006,0,0.000,0,870,48,0
13,4892917129.846,4892917170.061,4892963385.526,46214.813,46255.680,40.867,40.215,0.652,53744.320,0,0.000,0,870,48,0
14,4893017129.846,4893017170.111,4893063356.690,46186.015,46226.844,40.829,40.265,0.564,53773.156,0,0.000,0,870,48,0
15,4893117129.846,4893117171.529,4893162931.991,45759.331,45802.145,42.814,41.683,1.131,54197.855,0,0.000,0,870,48,0
16,4893217129.846,4893217177.436,4893262928.123,45749.544,45798.277,48.733,47.590,1.143,54201.723,0,0.000,0,870,48,0
17,4893317129.846,4893317174.658,4893362894.290,45719.004,45764.444,45.440,44.812,0.628,54235.556,0,0.000,0,870,48,0
18,4893417129.846,4893417173.741,4893463119.630,45944.736,45989.784,45.048,43.895,1.153,54010.216,0,0.000,0,870,48,0
19,4893517129.846,4893517176.577,4893563284.673,46106.797,46154.827,48.030,46.731,1.299,53845.173,0,0.000,0,870,48,0
20,4893617129.846,4893617176.019,4893662956.787,45778.916,45826.941,48.025,46.173,1.852,54173.059,0,0.000,0,870,48,0
21,4893717129.846,4893717183.033,4893763720.264,46535.834,46590.418,54.584,53.187,1.397,53409.582,0,0.000,0,870,48,0
22,4893817129.846,4893817176.375,4893863231.202,46053.775,46101.356,47.581,46.529,1.052,53898.644,0,0.000,0,870,48,0
23,4893917129.846,4893917176.056,4893963307.106,46129.983,46177.260,47.277,46.210,1.067,53822.740,0,0.000,0,870,48,0
24,4894017129.846,4894017175.465,4894063216.910,46040.230,46087.064,46.834,45.619,1.215,53912.936,0,0.000,0,870,48,0
25,4894117129.846,4894117177.333,4894163097.264,45919.024,45967.418,48.394,47.487,0.907,54032.582,0,0.000,0,870,48,0
26,4894217129.846,4894217175.506,4894263352.714,46175.918,46222.868,46.950,45.660,1.290,53777.132,0,0.000,0,870,48,0
27,4894317129.846,4894317180.527,4894363186.986,46005.258,46057.140,51.882,50.681,1.201,53942.860,0,0.000,0,870,48,0
28,4894417129.846,4894417178.089,4894463655.373,46475.838,46525.527,49.689,48.243,1.446,53474.473,0,0.000,0,870,48,0
29,4894517129.846,4894517176.162,4894563055.832,45878.724,45925.986,47.262,46.316,0.946,54074.014,0,0.000,0,870,48,0
30,4894617129.846,4894617172.741,4894663382.708,46209.140,46252.862,43.722,42.895,0.827,53747.138,0,0.000,0,870,48,0
31,4894717129.846,4894717177.421,4894763192.469,46013.992,46062.623,48.631,47.575,1.056,53937.377,0,0.000,0,870,48,0
32,4894817129.846,4894817171.477,4894863536.383,46363.577,46406.537,42.960,41.631,1.329,53593.463,0,0.000,0,870,48,0
33,4894917129.846,4894917178.005,4894963592.530,46413.534,46462.684,49.150,48.159,0.991,53537.316,0,0.000,0,870,48,0
34,4895017129.846,4895017173.510,4895063363.819,46189.061,46233.973,44.912,43.664,1.248,53766.027,0,0.000,0,870,48,0
35,4895117129.846,4895117178.103,4895163294.455,46114.981,46164.609,49.628,48.257,1.371,53835.391,0,0.000,0,870,48,0
36,4895217129.846,4895217177.439,4895263809.749,46630.985,46679.903,48.918,47.593,1.325,53320.097,0,0.000,0,870,48,0
37,4895317129.846,4895317180.561,4895363637.005,46455.184,46507.159,51.975,50.715,1.260,53492.841,0,0.000,0,870,48,0
38,4895417129.846,4895417183.217,4895463743.502,46559.211,46613.656,54.445,53.371,1.074,53386.344,0,0.000,0,870,48,0
39,4895517129.846,4895517174.013,4895563237.722,46062.221,46107.876,45.655,44.167,1.488,53892.124,0,0.000,0,870,48,0
40,4895617129.846,4895617174.404,4895663526.069,46350.737,46396.223,45.486,44.558,0.928,53603.777,0,0.000,0,870,48,0
41,4895717129.846,4895717168.747,4895763367.655,46197.799,46237.809,40.010,38.901,1.109,53762.191,0,0.000,0,870,48,0
42,4895817129.846,4895817174.797,4895863301.395,46125.241,46171.549,46.308,44.951,1.357,53828.451,0,0.000,0,870,48,0
43,4895917129.846,4895917176.545,4895963277.140,46099.507,46147.294,47.787,46.699,1.088,53852.706,0,0.000,0,870,48,0
44,4896017129.846,4896017179.446,4896063235.633,46054.722,46105.787,51.065,49.600,1.465,53894.213,0,0.000,0,870,48,0
45,4896117129.846,4896117183.162,4896163164.853,45980.512,46035.007,54.495,53.316,1.179,53964.993,0,0.000,0,870,48,0
46,4896217129.846,4896217176.186,4896263347.302,46170.130,46217.456,47.326,46.340,0.986,53782.544,0,0.000,0,870,48,0
47,4896317129.846,4896317176.542,4896363169.447,45991.716,46039.601,47.885,46.696,1.189,53960.399,0,0.000,0,870,48,0
48,4896417129.846,4896417177.612,4896463741.735,46563.127,46611.889,48.762,47.766,0.996,53388.111,0,0.000,0,870,48,0
49,4896517129.846,4896517177.323,4896562930.781,45752.229,45800.935,48.706,47.477,1.229,54199.065,0,0.000,0,870,48,0
50,4896617129.846,4896617177.905,4896663567.053,46388.213,46437.207,48.994,48.059,0.935,53562.793,0,0.000,0,870,48,0
51,4896717129.846,4896717174.575,4896763629.063,46453.283,46499.217,45.934,44.729,1.205,53500.783,0,0.000,0,870,48,0
52,4896817129.846,4896817176.641,4896863214.749,46037.094,46084.903,47.809,46.795,1.014,53915.097,0,0.000,0,870,48,0
53,4896917129.846,4896917176.316,4896963425.668,46247.988,46295.822,47.834,46.470,1.364,53704.178,0,0.000,0,870,48,0
54,4897017129.846,4897017178.053,4897063555.635,46376.712,46425.789,49.077,48.207,0.870,53574.211,0,0.000,0,870,48,0
55,4897117129.846,4897117175.337,4897163204.232,46027.560,46074.386,46.826,45.491,1.335,53925.614,0,0.000,0,870,48,0
56,4897217129.846,4897217176.521,4897263369.714,46191.981,46239.868,47.887,46.675,1.212,53760.132,0,0.000,0,870,48,0
57,4897317129.846,4897317179.636,4897363319.528,46138.469,46189.682,51.213,49.790,1.423,53810.318,0,0.000,0,870,48,0
58,4897417129.846,4897417173.716,4897463506.524,46331.769,46376.678,44.909,43.870,1.039,53623.322,0,0.000,0,870,48,0
59,4897517129.846,4897517169.655,4897563538.657,46368.117,46408.811,40.694,39.809,0.885,53591.189,0,0.000,0,870,48,0
60,4897617129.846,4897617171.677,4897663182.940,46010.301,46053.094,42.793,41.831,0.962,53946.906,0,0.000,0,870,48,0
61,4897717129.846,4897717178.029,4897763696.469,46517.484,46566.623,49.139,48.183,0.956,53433.377,0,0.000,0,870,48,0
62,4897817129.846,4897817175.737,4897863308.397,46131.817,46178.551,46.734,45.891,0.843,53821.449,0,0.000,0,870,48,0
63,4897917129.846,4897917172.971,4897963653.426,46479.357,46523.580,44.223,43.125,1.098,53476.420,0,0.000,0,870,48,0
64,4898017129.846,4898017173.456,4898063162.615,45988.024,46032.769,44.745,43.610,1.135,53967.231,0,0.000,0,870,48,0
