# probe kind=matmul M=48 K=72 buf_kb=0 period_us=10000 priority=90 cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,163610466438.768,163610466458.660,163610476458.327,4248.132,10019.559,5771.427,19.892,5751.535,-19.559,1,19.559,1,72,48,1
1,163610486438.768,163610486458.385,163610496461.298,4154.574,10022.530,5867.956,19.617,5848.339,-22.530,1,22.530,1,72,48,1
2,163610506438.768,163610506458.863,163610516459.857,4228.268,10021.089,5792.821,20.095,5772.726,-21.089,1,21.089,1,72,48,1
3,163610526438.768,163610526458.048,163610536459.363,4252.189,10020.595,5768.406,19.280,5749.126,-20.595,1,20.595,1,72,48,1
4,163610546438.768,163610546457.886,163610556459.588,4209.383,10020.820,5811.437,19.118,5792.319,-20.820,1,20.820,1,72,48,1
5,163610566438.768,163610566456.907,163610576459.486,4236.332,10020.718,5784.386,18.139,5766.247,-20.718,1,20.718,1,72,48,1
6,163610586438.768,163610586458.905,163610596458.660,4241.540,10019.892,5778.352,20.137,5758.215,-19.892,1,19.892,1,72,48,1
7,163610606438.768,163610606457.609,163610616460.166,4230.966,10021.398,5790.432,18.841,5771.591,-21.398,1,21.398,1,72,48,1
8,163610626438.768,163610626458.736,163610636459.439,4181.903,10020.671,5838.768,19.968,5818.800,-20.671,1,20.671,1,72,48,1
9,163610646438.768,163610646457.784,163610656461.682,4251.903,10022.914,5771.011,19.016,5751.995,-22.914,1,22.914,1,72,48,1
10,163610666438.768,163610666459.106,163610676461.474,4254.759,10022.706,5767.947,20.338,5747.609,-22.706,1,22.706,1,72,48,1
11,163610686438.768,163610686458.293,163610696462.086,4250.201,10023.318,5773.117,19.525,5753.592,-23.318,1,23.318,1,72,48,1
12,163610706438.768,163610706460.092,163610716460.644,4263.722,10021.876,5758.154,21.324,5736.830,-21.876,1,21.876,1,72,48,1
13,163610726438.768,163610726459.728,163610736460.972,4256.770,10022.204,5765.434,20.960,5744.474,-22.204,1,22.204,1,72,48,1
14,163610746438.768,163610746457.547,163610756459.364,4243.506,10020.596,5777.090,18.779,5758.311,-20.596,1,20.596,1,72,48,1
15,163610766438.768,163610766460.306,163610776462.215,4251.448,10023.447,5771.999,21.538,5750.461,-23.447,1,23.447,1,72,48,1
16,163610786438.768,163610786458.313,163610796461.232,4210.056,10022.464,5812.408,19.545,5792.863,-22.464,1,22.464,1,72,48,1
17,163610806438.768,163610806457.646,163610816459.971,4215.647,10021.203,5805.556,18.878,5786.678,-21.203,1,21.203,1,72,48,1
