# probe kind=matmul M=48 K=122 buf_kb=0 period_us=10000 priority=90 cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,36517107982.755,36517108009.935,36517118326.060,7325.370,10343.305,3017.935,27.180,2990.755,-343.305,1,343.305,1,122,48,1
1,36517127982.755,36517128006.504,36517138342.514,7345.473,10359.759,3014.286,23.749,2990.537,-359.759,1,359.759,1,122,48,1
2,36517147982.755,36517148006.653,36517158463.320,7466.764,10480.565,3013.801,23.898,2989.903,-480.565,1,480.565,1,122,48,1
3,36517167982.755,36517168005.549,36517178586.311,7495.779,10603.556,3107.777,22.794,3084.983,-603.556,1,603.556,1,122,48,1
4,36517187982.755,36517188006.087,36517198470.289,7458.578,10487.534,3028.956,23.332,3005.624,-487.534,1,487.534,1,122,48,1
5,36517207982.755,36517208016.860,36517218350.156,7338.638,10367.401,3028.763,34.105,2994.658,-367.401,1,367.401,1,122,48,1
6,36517227982.755,36517228011.571,36517238364.273,7355.885,10381.518,3025.633,28.816,2996.817,-381.518,1,381.518,1,122,48,1
7,36517247982.755,36517248010.463,36517258510.669,7501.229,10527.914,3026.685,27.708,2998.977,-527.914,1,527.914,1,122,48,1
8,36517267982.755,36517268012.561,36517278005.758,7370.182,10023.003,2652.821,29.806,2623.015,-23.003,1,23.003,1,122,48,1
9,36517287982.755,36517288006.068,36517298316.816,7316.092,10334.061,3017.969,23.313,2994.656,-334.061,1,334.061,1,122,48,1
10,36517307982.755,36517308013.199,36517318005.789,7604.240,10023.034,2418.794,30.444,2388.350,-23.034,1,23.034,1,122,48,1
11,36517327982.755,36517327999.804,36517338362.990,7361.258,10380.235,3018.977,17.049,3001.928,-380.235,1,380.235,1,122,48,1
12,36517347982.755,36517348010.872,36517358794.028,7787.578,10811.273,3023.695,28.117,2995.578,-811.273,1,811.273,1,122,48,1
13,36517367982.755,36517368016.552,36517378333.409,7300.787,10350.654,3049.867,33.797,3016.070,-350.654,1,350.654,1,122,48,1
14,36517387982.755,36517388006.116,36517398410.139,7408.872,10427.384,3018.512,23.361,2995.151,-427.384,1,427.384,1,122,48,1
15,36517407982.755,36517408012.745,36517418006.593,7524.736,10023.838,2499.102,29.990,2469.112,-23.838,1,23.838,1,122,48,1
16,36517427982.755,36517428006.570,36517438298.056,7296.203,10315.301,3019.098,23.815,2995.283,-315.301,1,315.301,1,122,48,1
17,36517447982.755,36517448015.492,36517458006.622,7657.949,10023.867,2365.918,32.737,2333.181,-23.867,1,23.867,1,122,48,1
18,36517467982.755,36517468007.509,36517478380.248,7362.596,10397.493,3034.897,24.754,3010.143,-397.493,1,397.493,1,122,48,1
19,36517487982.755,36517488013.424,36517498006.533,7811.878,10023.778,2211.900,30.669,2181.231,-23.778,1,23.778,1,122,48,1
20,36517507982.755,36517511990.834,36517522594.763,7740.875,14612.008,6871.133,4008.079,2863.054,-4612.008,1,4612.008,1,122,48,1
21,36517527982.755,36517528006.947,36517538360.577,7357.959,10377.822,3019.863,24.192,2995.671,-377.822,1,377.822,1,122,48,1
22,36517547982.755,36517548016.027,36517558008.264,7561.627,10025.509,2463.882,33.272,2430.610,-25.509,1,25.509,1,122,48,1
23,36517567982.755,36517568008.766,36517578243.398,7235.161,10260.643,3025.482,26.011,2999.471,-260.643,1,260.643,1,122,48,1
24,36517587982.755,36517588011.931,36517598429.964,7411.727,10447.209,3035.482,29.176,3006.306,-447.209,1,447.209,1,122,48,1
25,36517607982.755,36517608012.601,36517618390.330,7379.635,10407.575,3027.940,29.846,2998.094,-407.575,1,407.575,1,122,48,1
26,36517627982.755,36517628013.190,36517638007.073,7375.083,10024.318,2649.235,30.435,2618.800,-24.318,1,24.318,1,122,48,1
27,36517647982.755,36517648006.844,36517658319.409,7316.019,10336.654,3020.635,24.089,2996.546,-336.654,1,336.654,1,122,48,1
28,36517667982.755,36517668014.189,36517678006.525,7319.809,10023.770,2703.961,31.434,2672.527,-23.770,1,23.770,1,122,48,1
29,36517687982.755,36517688007.679,36517698287.898,7280.847,10305.143,3024.296,24.924,2999.372,-305.143,1,305.143,1,122,48,1
30,36517707982.755,36517708015.552,36517718008.359,7576.619,10025.604,2448.985,32.797,2416.188,-25.604,1,25.604,1,122,48,1
31,36517727982.755,36517728007.701,36517738286.524,7282.187,10303.769,3021.582,24.946,2996.636,-303.769,1,303.769,1,122,48,1
32,36517747982.755,36517748013.315,36517758007.756,7382.569,10025.001,2642.432,30.560,2611.872,-25.001,1,25.001,1,122,48,1
33,36517767982.755,36517768005.188,36517778324.388,7321.427,10341.633,3020.206,22.433,2997.773,-341.633,1,341.633,1,122,48,1
34,36517787982.755,36517788011.677,36517798453.995,7444.746,10471.240,3026.494,28.922,2997.572,-471.240,1,471.240,1,122,48,1
35,36517807982.755,36517808020.245,36517818318.029,7299.516,10335.274,3035.758,37.490,2998.268,-335.274,1,335.274,1,122,48,1
36,36517827982.755,36517828012.522,36517838372.620,7363.944,10389.865,3025.921,29.767,2996.154,-389.865,1,389.865,1,122,48,1
37,36517847982.755,36517848014.940,36517858007.170,7488.693,10024.415,2535.722,32.185,2503.537,-24.415,1,24.415,1,122,48,1
38,36517867982.755,36517867999.918,36517878392.084,7388.033,10409.329,3021.296,17.163,3004.133,-409.329,1,409.329,1,122,48,1
39,36517887982.755,36517888014.365,36517898009.654,7341.699,10026.899,2685.200,31.610,2653.590,-26.899,1,26.899,1,122,48,1
40,36517907982.755,36517908008.439,36517918294.191,7286.593,10311.436,3024.843,25.684,2999.159,-311.436,1,311.436,1,122,48,1
41,36517927982.755,36517928013.704,36517938005.831,7394.731,10023.076,2628.345,30.949,2597.396,-23.076,1,23.076,1,122,48,1
42,36517947982.755,36517948006.802,36517958435.856,7431.676,10453.101,3021.425,24.047,2997.378,-453.101,1,453.101,1,122,48,1
43,36517967982.755,36517968012.858,36517978339.055,7321.253,10356.300,3035.047,30.103,3004.944,-356.300,1,356.300,1,122,48,1
44,36517987982.755,36517988014.820,36517998308.960,7300.150,10326.205,3026.055,32.065,2993.990,-326.205,1,326.205,1,122,48,1
45,36518007982.755,36518008014.064,36518018006.789,7524.881,10024.034,2499.153,31.309,2467.844,-24.034,1,24.034,1,122,48,1
46,36518027982.755,36518028006.775,36518038384.412,7382.924,10401.657,3018.733,24.020,2994.713,-401.657,1,401.657,1,122,48,1
47,36518047982.755,36518048014.481,36518058006.593,7366.650,10023.838,2657.188,31.726,2625.462,-23.838,1,23.838,1,122,48,1
48,36518067982.755,36518068007.417,36518078241.626,7233.467,10258.871,3025.404,24.662,3000.742,-258.871,1,258.871,1,122,48,1
49,36518087982.755,36518088015.061,36518098007.084,7350.333,10024.329,2673.996,32.306,2641.690,-24.329,1,24.329,1,122,48,1
50,36518107982.755,36518108006.546,36518118538.726,7322.294,10555.971,3233.677,23.791,3209.886,-555.971,1,555.971,1,122,48,1
51,36518127982.755,36518128007.123,36518138253.949,7239.901,10271.194,3031.293,24.368,3006.925,-271.194,1,271.194,1,122,48,1
52,36518147982.755,36518148014.256,36518158006.644,7430.642,10023.889,2593.247,31.501,2561.746,-23.889,1,23.889,1,122,48,1
53,36518167982.755,36518167999.991,36518178385.249,7387.408,10402.494,3015.086,17.236,2997.850,-402.494,1,402.494,1,122,48,1
54,36518187982.755,36518188014.079,36518198006.246,7566.463,10023.491,2457.028,31.324,2425.704,-23.491,1,23.491,1,122,48,1
55,36518207982.755,36518208008.094,36518218350.612,7347.023,10367.857,3020.834,25.339,2995.495,-367.857,1,367.857,1,122,48,1
56,36518227982.755,36518228019.506,36518238516.714,7500.271,10533.959,3033.688,36.751,2996.937,-533.959,1,533.959,1,122,48,1
57,36518247982.755,36518248011.056,36518258342.302,7324.422,10359.547,3035.125,28.301,3006.824,-359.547,1,359.547,1,122,48,1
