# probe kind=matmul M=48 K=174 buf_kb=0 period_us=100000 priority=90 cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,8743085322.506,8743085501.645,8743092399.887,6895.809,7077.381,181.572,179.139,2.433,92922.619,0,0.000,0,174,48,0
1,8743185322.506,8743185495.913,8743192432.849,6934.245,7110.343,176.098,173.407,2.691,92889.657,0,0.000,0,174,48,0
2,8743285322.506,8743285487.270,8743292489.354,6999.540,7166.848,167.308,164.764,2.544,92833.152,0,0.000,0,174,48,0
3,8743385322.506,8743385521.259,8743392643.981,7120.197,7321.475,201.278,198.753,2.525,92678.525,0,0.000,0,174,48,0
4,8743485322.506,8743485494.630,8743492455.691,6958.688,7133.185,174.497,172.124,2.373,92866.815,0,0.000,0,174,48,0
5,8743585322.506,8743585495.660,8743592506.242,7008.283,7183.736,175.453,173.154,2.299,92816.264,0,0.000,0,174,48,0
6,8743685322.506,8743685541.383,8743692593.063,7049.331,7270.557,221.226,218.877,2.349,92729.443,0,0.000,0,174,48,0
7,8743785322.506,8743785493.368,8743792606.292,7110.391,7283.786,173.395,170.862,2.533,92716.214,0,0.000,0,174,48,0
8,8743885322.506,8743885497.760,8743892457.890,6957.873,7135.384,177.511,175.254,2.257,92864.616,0,0.000,0,174,48,0
9,8743985322.506,8743985532.683,8743992618.676,7083.721,7296.170,212.449,210.177,2.272,92703.830,0,0.000,0,174,48,0
10,8744085322.506,8744085494.289,8744092505.328,7009.053,7182.822,173.769,171.783,1.986,92817.178,0,0.000,0,174,48,0
11,8744185322.506,8744185486.968,8744192580.395,7091.389,7257.889,166.500,164.462,2.038,92742.111,0,0.000,0,174,48,0
12,8744285322.506,8744285498.694,8744292565.798,7064.525,7243.292,178.767,176.188,2.579,92756.708,0,0.000,0,174,48,0
13,8744385322.506,8744385494.539,8744392400.902,6904.207,7078.396,174.189,172.033,2.156,92921.604,0,0.000,0,174,48,0
14,8744485322.506,8744485538.296,8744492551.372,7011.004,7228.866,217.862,215.790,2.072,92771.134,0,0.000,0,174,48,0
15,8744585322.506,8744585502.259,8744592585.758,7080.905,7263.252,182.347,179.753,2.594,92736.748,0,0.000,0,174,48,0
16,8744685322.506,8744685502.841,8744692588.583,7083.468,7266.077,182.609,180.335,2.274,92733.923,0,0.000,0,174,48,0
17,8744785322.506,8744785538.637,8744792656.234,7115.753,7333.728,217.975,216.131,1.844,92666.272,0,0.000,0,174,48,0
18,8744885322.506,8744885543.493,8744892556.978,7011.329,7234.472,223.143,220.987,2.156,92765.528,0,0.000,0,174,48,0
19,8744985322.506,8744985495.541,8744992536.709,7038.919,7214.203,175.284,173.035,2.249,92785.797,0,0.000,0,174,48,0
20,8745085322.506,8745085508.498,8745092553.079,7042.281,7230.573,188.292,185.992,2.300,92769.427,0,0.000,0,174,48,0
21,8745185322.506,8745185491.075,8745192663.247,7169.523,7340.741,171.218,168.569,2.649,92659.259,0,0.000,0,174,48,0
22,8745285322.506,8745285494.504,8745292550.707,7054.020,7228.201,174.181,171.998,2.183,92771.799,0,0.000,0,174,48,0
23,8745385322.506,8745385486.999,8745392480.759,6991.220,7158.253,167.033,164.493,2.540,92841.747,0,0.000,0,174,48,0
24,8745485322.506,8745485491.479,8745492664.993,7170.732,7342.487,171.755,168.973,2.782,92657.513,0,0.000,0,174,48,0
25,8745585322.506,8745585494.817,8745592570.011,7072.910,7247.505,174.595,172.311,2.284,92752.495,0,0.000,0,174,48,0
26,8745685322.506,8745685569.392,8745692683.548,7111.763,7361.042,249.279,246.886,2.393,92638.958,0,0.000,0,174,48,0
27,8745785322.506,8745785492.386,8745792554.270,7059.697,7231.764,172.067,169.880,2.187,92768.236,0,0.000,0,174,48,0
28,8745885322.506,8745885495.086,8745892716.253,7218.617,7393.747,175.130,172.580,2.550,92606.253,0,0.000,0,174,48,0
29,8745985322.506,8745985550.444,8745992615.892,7062.991,7293.386,230.395,227.938,2.457,92706.614,0,0.000,0,174,48,0
30,8746085322.506,8746085490.818,8746092632.104,7138.868,7309.598,170.730,168.312,2.418,92690.402,0,0.000,0,174,48,0
31,8746185322.506,8746185495.535,8746192476.439,6978.306,7153.933,175.627,173.029,2.598,92846.067,0,0.000,0,174,48,0
32,8746285322.506,8746285519.595,8746292781.452,7259.534,7458.946,199.412,197.089,2.323,92541.054,0,0.000,0,174,48,0
33,8746385322.506,8746385513.216,8746392612.273,7096.561,7289.767,193.206,190.710,2.496,92710.233,0,0.000,0,174,48,0
34,8746485322.506,8746485482.233,8746492556.443,7071.826,7233.937,162.111,159.727,2.384,92766.063,0,0.000,0,174,48,0
35,8746585322.506,8746585502.727,8746592500.017,6995.180,7177.511,182.331,180.221,2.110,92822.489,0,0.000,0,174,48,0
36,8746685322.506,8746685529.904,8746692478.643,6946.643,7156.137,209.494,207.398,2.096,92843.863,0,0.000,0,174,48,0
37,8746785322.506,8746785485.642,8746792587.326,7099.436,7264.820,165.384,163.136,2.248,92735.180,0,0.000,0,174,48,0
38,8746885322.506,8746885499.228,8746892571.569,7070.023,7249.063,179.040,176.722,2.318,92750.937,0,0.000,0,174,48,0
39,8746985322.506,8746985543.477,8746992665.411,7119.589,7342.905,223.316,220.971,2.345,92657.095,0,0.000,0,174,48,0
40,8747085322.506,8747085496.150,8747092511.198,7012.258,7188.692,176.434,173.644,2.790,92811.308,0,0.000,0,174,48,0
41,8747185322.506,8747185548.950,8747192686.780,7135.187,7364.274,229.087,226.444,2.643,92635.726,0,0.000,0,174,48,0
42,8747285322.506,8747285490.810,8747292465.965,6972.772,7143.459,170.687,168.304,2.383,92856.541,0,0.000,0,174,48,0
43,8747385322.506,8747385506.046,8747392630.034,7121.974,7307.528,185.554,183.540,2.014,92692.472,0,0.000,0,174,48,0
44,8747485322.506,8747485537.773,8747492610.322,7070.453,7287.816,217.363,215.267,2.096,92712.184,0,0.000,0,174,48,0
45,8747585322.506,8747585490.492,8747592581.289,7088.576,7258.783,170.207,167.986,2.221,92741.217,0,0.000,0,174,48,0
46,8747685322.506,8747685496.604,8747692573.031,7074.316,7250.525,176.209,174.098,2.111,92749.475,0,0.000,0,174,48,0
47,8747785322.506,8747785487.760,8747792562.398,7072.316,7239.892,167.576,165.254,2.322,92760.108,0,0.000,0,174,48,0
48,8747885322.506,8747885502.210,8747892574.901,7070.623,7252.395,181.772,179.704,2.068,92747.605,0,0.000,0,174,48,0
49,8747985322.506,8747985504.386,8747992582.242,7075.398,7259.736,184.338,181.880,2.458,92740.264,0,0.000,0,174,48,0
50,8748085322.506,8748085509.476,8748092567.651,7056.013,7245.145,189.132,186.970,2.162,92754.855,0,0.000,0,174,48,0
51,8748185322.506,8748185574.975,8748192633.425,7055.774,7310.919,255.145,252.469,2.676,92689.081,0,0.000,0,174,48,0
52,8748285322.506,8748285495.996,8748292669.634,7171.488,7347.128,175.640,173.490,2.150,92652.872,0,0.000,0,174,48,0
53,8748385322.506,8748385510.261,8748392589.477,7076.418,7266.971,190.553,187.755,2.798,92733.029,0,0.000,0,174,48,0
54,8748485322.506,8748485494.121,8748492537.930,7041.468,7215.424,173.956,171.615,2.341,92784.576,0,0.000,0,174,48,0
