# probe kind=matmul M=48 K=1042 buf_kb=0 period_us=100000 priority=90 cpu=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,31314747425.901,31314747449.681,31314793244.266,45793.368,45818.365,24.997,23.780,1.217,54181.635,0,0.000,0,1042,48,0
1,31314847425.901,31314847589.824,31314894029.590,46437.847,46603.689,165.842,163.923,1.919,53396.311,0,0.000,0,1042,48,0
2,31314947425.901,31314947592.247,31314993736.744,46142.384,46310.843,168.459,166.346,2.113,53689.157,0,0.000,0,1042,48,0
3,31315047425.901,31315047590.122,31315093219.982,45628.401,45794.081,165.680,164.221,1.459,54205.919,0,0.000,0,1042,48,0
4,31315147425.901,31315147584.583,31315193410.254,45823.887,45984.353,160.466,158.682,1.784,54015.647,0,0.000,0,1042,48,0
5,31315247425.901,31315247589.288,31315293688.709,46097.146,46262.808,165.662,163.387,2.275,53737.192,0,0.000,0,1042,48,0
6,31315347425.901,31315347603.079,31315394058.351,46452.893,46632.450,179.557,177.178,2.379,53367.550,0,0.000,0,1042,48,0
7,31315447425.901,31315447598.327,31315493583.117,45983.106,46157.216,174.110,172.426,1.684,53842.784,0,0.000,0,1042,48,0
8,31315547425.901,31315547583.050,31315593545.717,45961.106,46119.816,158.710,157.149,1.561,53880.184,0,0.000,0,1042,48,0
9,31315647425.901,31315647592.835,31315693825.288,46230.917,46399.387,168.470,166.934,1.536,53600.613,0,0.000,0,1042,48,0
10,31315747425.901,31315747589.452,31315794234.408,46643.558,46808.507,164.949,163.551,1.398,53191.493,0,0.000,0,1042,48,0
11,31315847425.901,31315847662.353,31315894208.735,46543.826,46782.834,239.008,236.452,2.556,53217.166,0,0.000,0,1042,48,0
12,31315947425.901,31315947584.986,31315993499.771,45912.842,46073.870,161.028,159.085,1.943,53926.130,0,0.000,0,1042,48,0
13,31316047425.901,31316047587.528,31316094295.095,46706.218,46869.194,162.976,161.627,1.349,53130.806,0,0.000,0,1042,48,0
14,31316147425.901,31316147584.910,31316193824.723,46238.109,46398.822,160.713,159.009,1.704,53601.178,0,0.000,0,1042,48,0
15,31316247425.901,31316247597.661,31316293706.092,46106.021,46280.191,174.170,171.760,2.410,53719.809,0,0.000,0,1042,48,0
16,31316347425.901,31316347613.751,31316393780.036,46164.747,46354.135,189.388,187.850,1.538,53645.865,0,0.000,0,1042,48,0
17,31316447425.901,31316447612.699,31316493394.429,45779.891,45968.528,188.637,186.798,1.839,54031.472,0,0.000,0,1042,48,0
18,31316547425.901,31316547585.662,31316593469.253,45881.892,46043.352,161.460,159.761,1.699,53956.648,0,0.000,0,1042,48,0
19,31316647425.901,31316647598.038,31316693924.438,46324.056,46498.537,174.481,172.137,2.344,53501.463,0,0.000,0,1042,48,0
20,31316747425.901,31316747622.588,31316793829.860,46204.843,46403.959,199.116,196.687,2.429,53596.041,0,0.000,0,1042,48,0
21,31316847425.901,31316847595.320,31316894176.321,46578.886,46750.420,171.534,169.419,2.115,53249.580,0,0.000,0,1042,48,0
22,31316947425.901,31316947594.766,31316994220.180,46623.485,46794.279,170.794,168.865,1.929,53205.721,0,0.000,0,1042,48,0
23,31317047425.901,31317047635.546,31317094310.772,46673.560,46884.871,211.311,209.645,1.666,53115.129,0,0.000,0,1042,48,0
24,31317147425.901,31317147668.371,31317193713.578,46043.071,46287.677,244.606,242.470,2.136,53712.323,0,0.000,0,1042,48,0
25,31317247425.901,31317247637.070,31317293545.539,45906.701,46119.638,212.937,211.169,1.768,53880.362,0,0.000,0,1042,48,0
26,31317347425.901,31317347594.611,31317393776.762,46180.609,46350.861,170.252,168.710,1.542,53649.139,0,0.000,0,1042,48,0
27,31317447425.901,31317447581.141,31317493696.476,46113.828,46270.575,156.747,155.240,1.507,53729.425,0,0.000,0,1042,48,0
