# probe kind=matmul M=48 K=18 buf_kb=0 period_us=10000 priority=90 cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,36054319385.589,36054319405.743,36054320136.800,730.235,751.211,20.976,20.154,0.822,9248.789,0,0.000,0,18,48,0
1,36054329385.589,36054329403.877,36054330104.539,699.882,718.950,19.068,18.288,0.780,9281.050,0,0.000,0,18,48,0
2,36054339385.589,36054339402.633,36054340117.412,714.255,731.823,17.568,17.044,0.524,9268.177,0,0.000,0,18,48,0
3,36054349385.589,36054349405.148,36054350111.151,705.312,725.562,20.250,19.559,0.691,9274.438,0,0.000,0,18,48,0
4,36054359385.589,36054359404.619,36054360109.071,703.762,723.482,19.720,19.030,0.690,9276.518,0,0.000,0,18,48,0
5,36054369385.589,36054369408.559,36054370113.983,704.855,728.394,23.539,22.970,0.569,9271.606,0,0.000,0,18,48,0
6,36054379385.589,36054379403.806,36054380108.558,704.084,722.969,18.885,18.217,0.668,9277.031,0,0.000,0,18,48,0
7,36054389385.589,36054389403.961,36054390109.080,704.442,723.491,19.049,18.372,0.677,9276.509,0,0.000,0,18,48,0
8,36054399385.589,36054399404.758,36054400113.043,707.679,727.454,19.775,19.169,0.606,9272.546,0,0.000,0,18,48,0
9,36054409385.589,36054409415.578,36054410121.955,705.854,736.366,30.512,29.989,0.523,9263.634,0,0.000,0,18,48,0
10,36054419385.589,36054419405.778,36054420107.997,701.225,722.408,21.183,20.189,0.994,9277.592,0,0.000,0,18,48,0
11,36054429385.589,36054429405.150,36054430119.266,713.540,733.677,20.137,19.561,0.576,9266.323,0,0.000,0,18,48,0
12,36054439385.589,36054439406.414,36054440111.846,704.870,726.257,21.387,20.825,0.562,9273.743,0,0.000,0,18,48,0
13,36054449385.589,36054449405.643,36054450109.928,703.724,724.339,20.615,20.054,0.561,9275.661,0,0.000,0,18,48,0
