# probe kind=matmul M=48 K=87 buf_kb=0 period_us=10000 priority=90 cpu=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,17414203951.294,17414203973.035,17414216129.913,7188.156,12178.619,4990.463,21.741,4968.722,-2178.619,1,2178.619,1,87,48,1
1,17414223951.294,17414223976.090,17414236147.075,7206.194,12195.781,4989.587,24.796,4964.791,-2195.781,1,2195.781,1,87,48,1
2,17414243951.294,17414243977.584,17414256143.943,7201.981,12192.649,4990.668,26.290,4964.378,-2192.649,1,2192.649,1,87,48,1
3,17414263951.294,17414263977.895,17414276136.393,7189.365,12185.099,4995.734,26.601,4969.133,-2185.099,1,2185.099,1,87,48,1
4,17414283951.294,17414283978.379,17414296136.091,7195.383,12184.797,4989.414,27.085,4962.329,-2184.797,1,2184.797,1,87,48,1
5,17414303951.294,17414303978.771,17414316145.686,7199.991,12194.392,4994.401,27.477,4966.924,-2194.392,1,2194.392,1,87,48,1
6,17414323951.294,17414323990.362,17414336845.788,7882.437,12894.494,5012.057,39.068,4972.989,-2894.494,1,2894.494,1,87,48,1
7,17414343951.294,17414343987.568,17414356423.402,7467.477,12472.108,5004.631,36.274,4968.357,-2472.108,1,2472.108,1,87,48,1
8,17414363951.294,17414364008.886,17414376183.940,7195.347,12232.646,5037.299,57.592,4979.707,-2232.646,1,2232.646,1,87,48,1
9,17414383951.294,17414384019.956,17414396210.380,7184.200,12259.086,5074.886,68.662,5006.224,-2259.086,1,2259.086,1,87,48,1
10,17414403951.294,17414403978.216,17414416147.591,7203.734,12196.297,4992.563,26.922,4965.641,-2196.297,1,2196.297,1,87,48,1
11,17414423951.294,17414423978.973,17414436142.292,7196.209,12190.998,4994.789,27.679,4967.110,-2190.998,1,2190.998,1,87,48,1
12,17414443951.294,17414443978.113,17414456146.006,7200.043,12194.712,4994.669,26.819,4967.850,-2194.712,1,2194.712,1,87,48,1
13,17414463951.294,17414463979.037,17414476338.669,7386.096,12387.375,5001.279,27.743,4973.536,-2387.375,1,2387.375,1,87,48,1
14,17414483951.294,17414483975.799,17414496146.733,7210.367,12195.439,4985.072,24.505,4960.567,-2195.439,1,2195.439,1,87,48,1
15,17414503951.294,17414503981.803,17414516187.355,7237.711,12236.061,4998.350,30.509,4967.841,-2236.061,1,2236.061,1,87,48,1
16,17414523951.294,17414523980.874,17414536201.000,7254.486,12249.706,4995.220,29.580,4965.640,-2249.706,1,2249.706,1,87,48,1
17,17414543951.294,17414543987.847,17414556147.071,7197.587,12195.777,4998.190,36.553,4961.637,-2195.777,1,2195.777,1,87,48,1
18,17414563951.294,17414563985.298,17414576151.261,7189.421,12199.967,5010.546,34.004,4976.542,-2199.967,1,2199.967,1,87,48,1
19,17414583951.294,17414583976.826,17414596466.397,7197.906,12515.103,5317.197,25.532,5291.665,-2515.103,1,2515.103,1,87,48,1
20,17414603951.294,17414603972.716,17414616137.927,7199.488,12186.633,4987.145,21.422,4965.723,-2186.633,1,2186.633,1,87,48,1
21,17414623951.294,17414623978.299,17414636147.281,7204.203,12195.987,4991.784,27.005,4964.779,-2195.987,1,2195.987,1,87,48,1
