# probe kind=matmul M=48 K=550 buf_kb=0 period_us=100000 priority=90 cpu=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,14015607068.477,14015607090.666,14015642255.931,35164.087,35187.454,23.367,22.189,1.178,64812.546,0,0.000,0,550,48,0
1,14015707068.477,14015707088.972,14015742297.748,35207.789,35229.271,21.482,20.495,0.987,64770.729,0,0.000,0,550,48,0
2,14015807068.477,14015807089.320,14015842370.171,35279.883,35301.694,21.811,20.843,0.968,64698.306,0,0.000,0,550,48,0
3,14015907068.477,14015907090.070,14015942897.813,35806.616,35829.336,22.720,21.593,1.127,64170.664,0,0.000,0,550,48,0
4,14016007068.477,14016007090.740,14016042449.686,35357.869,35381.209,23.340,22.263,1.077,64618.791,0,0.000,0,550,48,0
5,14016107068.477,14016107090.137,14016142234.974,35143.810,35166.497,22.687,21.660,1.027,64833.503,0,0.000,0,550,48,0
6,14016207068.477,14016207089.013,14016242280.508,35190.467,35212.031,21.564,20.536,1.028,64787.969,0,0.000,0,550,48,0
7,14016307068.477,14016307094.713,14016343834.671,36737.853,36766.194,28.341,26.236,2.105,63233.806,0,0.000,0,550,48,0
8,14016407068.477,14016407091.285,14016442382.835,35290.473,35314.358,23.885,22.808,1.077,64685.642,0,0.000,0,550,48,0
9,14016507068.477,14016507092.455,14016542674.246,35580.464,35605.769,25.305,23.978,1.327,64394.231,0,0.000,0,550,48,0
10,14016607068.477,14016607090.460,14016642473.861,35382.414,35405.384,22.970,21.983,0.987,64594.616,0,0.000,0,550,48,0
11,14016707068.477,14016707089.346,14016742443.162,35352.829,35374.685,21.856,20.869,0.987,64625.315,0,0.000,0,550,48,0
12,14016807068.477,14016807088.983,14016842313.740,35223.749,35245.263,21.514,20.506,1.008,64754.737,0,0.000,0,550,48,0
