# probe kind=matmul M=48 K=190 buf_kb=0 period_us=100000 priority=90 cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,14610533531.365,14610533577.423,14610548436.938,14857.592,14905.573,47.981,46.058,1.923,85094.427,0,0.000,0,190,48,0
1,14610633531.365,14610633581.503,14610648437.899,14854.627,14906.534,51.907,50.138,1.769,85093.466,0,0.000,0,190,48,0
2,14610733531.365,14610733581.654,14610833586.222,20092.886,100054.857,79961.971,50.289,79911.682,-54.857,1,54.857,1,190,48,1
3,14610933531.365,14610933579.302,14610948430.066,14848.913,14898.701,49.788,47.937,1.851,85101.299,0,0.000,0,190,48,0
4,14611033531.365,14611033583.111,14611048440.552,14855.491,14909.187,53.696,51.746,1.950,85090.813,0,0.000,0,190,48,0
5,14611133531.365,14611133579.179,14611148446.997,14865.785,14915.632,49.847,47.814,2.033,85084.368,0,0.000,0,190,48,0
6,14611233531.365,14611233820.859,14611248840.179,15017.586,15308.814,291.228,289.494,1.734,84691.186,0,0.000,0,190,48,0
7,14611333531.365,14611333804.118,14611348827.322,15021.413,15295.957,274.544,272.753,1.791,84704.043,0,0.000,0,190,48,0
8,14611433531.365,14611433582.562,14611448449.965,14865.715,14918.600,52.885,51.197,1.688,85081.400,0,0.000,0,190,48,0
9,14611533531.365,14611533580.537,14611548476.874,14894.528,14945.509,50.981,49.172,1.809,85054.491,0,0.000,0,190,48,0
10,14611633531.365,14611633582.421,14611647932.763,14348.729,14401.398,52.669,51.056,1.613,85598.602,0,0.000,0,190,48,0
11,14611733531.365,14611733578.420,14611748440.720,14860.401,14909.355,48.954,47.055,1.899,85090.645,0,0.000,0,190,48,0
12,14611833531.365,14611833582.345,14611848440.105,14856.033,14908.740,52.707,50.980,1.727,85091.260,0,0.000,0,190,48,0
13,14611933531.365,14611933754.623,14611948730.198,14973.902,15198.833,224.931,223.258,1.673,84801.167,0,0.000,0,190,48,0
14,14612033531.365,14612033578.732,14612048458.547,14877.819,14927.182,49.363,47.367,1.996,85072.818,0,0.000,0,190,48,0
15,14612133531.365,14612133581.804,14612148469.687,14886.071,14938.322,52.251,50.439,1.812,85061.678,0,0.000,0,190,48,0
16,14612233531.365,14612233577.305,14612251031.566,17452.106,17500.201,48.095,45.940,2.155,82499.799,0,0.000,0,190,48,0
17,14612333531.365,14612333578.695,14612348429.803,14848.961,14898.438,49.477,47.330,2.147,85101.562,0,0.000,0,190,48,0
18,14612433531.365,14612433580.402,14612448441.217,14858.984,14909.852,50.868,49.037,1.831,85090.148,0,0.000,0,190,48,0
19,14612533531.365,14612533578.575,14612548419.134,14838.703,14887.769,49.066,47.210,1.856,85112.231,0,0.000,0,190,48,0
20,14612633531.365,14612635796.687,14612652337.609,16539.019,18806.244,2267.225,2265.322,1.903,81193.756,0,0.000,0,190,48,0
