# probe kind=matmul M=48 K=66 buf_kb=0 period_us=10000 priority=90 cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,49352081719.621,49352081736.718,49352085953.463,4215.707,4233.842,18.135,17.097,1.038,5766.158,0,0.000,0,66,48,0
1,49352091719.621,49352091736.292,49352095956.333,4219.083,4236.712,17.629,16.671,0.958,5763.288,0,0.000,0,66,48,0
2,49352101719.621,49352101736.047,49352105952.010,4215.005,4232.389,17.384,16.426,0.958,5767.611,0,0.000,0,66,48,0
3,49352111719.621,49352111738.296,49352115955.792,4216.569,4236.171,19.602,18.675,0.927,5763.829,0,0.000,0,66,48,0
4,49352121719.621,49352121736.037,49352125954.144,4217.170,4234.523,17.353,16.416,0.937,5765.477,0,0.000,0,66,48,0
5,49352131719.621,49352131736.482,49352135954.209,4216.838,4234.588,17.750,16.861,0.889,5765.412,0,0.000,0,66,48,0
6,49352141719.621,49352141736.507,49352145955.286,4217.861,4235.665,17.804,16.886,0.918,5764.335,0,0.000,0,66,48,0
7,49352151719.621,49352151736.222,49352155961.322,4224.202,4241.701,17.499,16.601,0.898,5758.299,0,0.000,0,66,48,0
8,49352161719.621,49352161736.006,49352165953.723,4216.830,4234.102,17.272,16.385,0.887,5765.898,0,0.000,0,66,48,0
9,49352171719.621,49352171736.502,49352175956.714,4219.244,4237.093,17.849,16.881,0.968,5762.907,0,0.000,0,66,48,0
10,49352181719.621,49352181736.067,49352185956.138,4219.184,4236.517,17.333,16.446,0.887,5763.483,0,0.000,0,66,48,0
11,49352191719.621,49352191736.482,49352195952.536,4215.115,4232.915,17.800,16.861,0.939,5767.085,0,0.000,0,66,48,0
12,49352201719.621,49352201735.956,49352205961.969,4225.104,4242.348,17.244,16.335,0.909,5757.652,0,0.000,0,66,48,0
13,49352211719.621,49352211735.911,49352215971.050,4234.242,4251.429,17.187,16.290,0.897,5748.571,0,0.000,0,66,48,0
14,49352221719.621,49352221736.728,49352225969.683,4232.047,4250.062,18.015,17.107,0.908,5749.938,0,0.000,0,66,48,0
15,49352231719.621,49352231736.081,49352235972.503,4235.494,4252.882,17.388,16.460,0.928,5747.118,0,0.000,0,66,48,0
16,49352241719.621,49352241736.868,49352245972.268,4234.472,4252.647,18.175,17.247,0.928,5747.353,0,0.000,0,66,48,0
17,49352251719.621,49352251736.712,49352255972.644,4234.993,4253.023,18.030,17.091,0.939,5746.977,0,0.000,0,66,48,0
18,49352261719.621,49352261736.697,49352265972.318,4234.733,4252.697,17.964,17.076,0.888,5747.303,0,0.000,0,66,48,0
19,49352271719.621,49352271735.571,49352275971.191,4234.713,4251.570,16.857,15.950,0.907,5748.430,0,0.000,0,66,48,0
20,49352281719.621,49352281736.447,49352285974.081,4236.716,4254.460,17.744,16.826,0.918,5745.540,0,0.000,0,66,48,0
21,49352291719.621,49352291736.732,49352295975.198,4237.498,4255.577,18.079,17.111,0.968,5744.423,0,0.000,0,66,48,0
22,49352301719.621,49352301737.609,49352305972.719,4234.172,4253.098,18.926,17.988,0.938,5746.902,0,0.000,0,66,48,0
23,49352311719.621,49352311736.031,49352315966.692,4229.714,4247.071,17.357,16.410,0.947,5752.929,0,0.000,0,66,48,0
24,49352321719.621,49352321735.425,49352325974.903,4238.529,4255.282,16.753,15.804,0.949,5744.718,0,0.000,0,66,48,0
25,49352331719.621,49352331741.171,49352335975.529,4233.400,4255.908,22.508,21.550,0.958,5744.092,0,0.000,0,66,48,0
26,49352341719.621,49352341736.668,49352345972.027,4234.472,4252.406,17.934,17.047,0.887,5747.594,0,0.000,0,66,48,0
27,49352351719.621,49352351735.631,49352355971.561,4234.993,4251.940,16.947,16.010,0.937,5748.060,0,0.000,0,66,48,0
