model,scale,U,n,miss_rate,R_p50,R_p99,R_p999,R_max,C_p50,C_p99,RoverD_p50,RoverD_p99,RoverD_p999,alpha_p50,alpha_p99,delta_p50,delta_p99
model1,tight,0.1,5000,0.0008,391.44500000000005,546.56577,5618.3155600001255,11330.703,370.47249999999997,520.8800900000002,0.0391445,0.054656577000000005,0.5618315560000126,0.3704725,0.5208800900000002,0.0010915833333333342,0.0023636788888888953
model1,tight,0.2,5000,0.0,1404.352,1483.4290400000002,1842.856515000009,7082.652,1384.408,1454.9365300000002,0.1404352,0.14834290400000003,0.1842856515000009,0.6922039999999999,0.7274682650000001,0.0012252187500000032,0.002131174999999998
model1,tight,0.3,5000,0.01,2120.2045,9036.288200000216,10123.844693000003,10244.909,2096.952,2980.339780000001,0.21202045000000003,0.9036288200000215,1.0123844693000001,0.698984,0.9934465933333337,0.0016167857142857136,0.45367523714285724
model1,tight,0.4,5000,0.0006,2750.5254999999997,2863.6364599999997,3735.653474000731,11237.43,2730.7245000000003,2837.89963,0.27505255,0.28636364599999997,0.3735653474000731,0.682681125,0.7094749075,0.0016020416666666696,0.00251931250000002
model1,tight,0.5,5000,0.0002,3422.0119999999997,3593.82097,3984.9346140000016,14508.153,3414.567,3584.75208,0.3422012,0.359382097,0.39849346140000014,0.6829134,0.7169504160000001,0.0007120000000000119,0.001400249000000023
model1,tight,0.6,5000,0.0004,4218.6715,4459.5926100000015,5513.9475660000135,10157.174,4197.6669999999995,4375.26993,0.42186714999999997,0.44595926100000016,0.5513947566000014,0.6996111666666667,0.7292116550000001,0.0023756249999999568,0.019534826250000033
model1,tight,0.7,5000,0.0002,4842.4775,5049.007100000001,5349.938450000007,14637.607,4834.9555,5040.36123,0.48424775,0.50490071,0.5349938450000006,0.6907079285714286,0.7200516042857144,0.001179583333333312,0.002312169999999933
model1,tight,0.8,5000,0.0054,5607.2075,6914.966520000001,11016.008586000005,11370.679,5583.48,6882.168200000002,0.56072075,0.6914966520000001,1.1016008586000006,0.697935,0.8602710250000002,0.004246374999999944,0.009944882499999889
model1,tight,0.9,5000,0.0002,6320.854,6565.01106,7308.701890000023,18405.422,6302.050499999999,6545.75256,0.6320854,0.6565011060000001,0.7308701890000023,0.7002278333333334,0.72730584,0.009197999999999866,0.01173150999999987
model1,tight,0.94,5000,0.0072,6726.383,8780.556390000003,11705.116836000003,15226.315,6706.4400000000005,8731.53506,0.6726383,0.8780556390000003,1.1705116836000002,0.7134510638297873,0.9288867085106383,0.014306666666666388,0.02937167500000008
model1,soft,0.1,5000,0.0,6800.3745,7102.698550000001,7326.667270000001,25880.529,6788.228499999999,7088.709070000001,0.068003745,0.0710269855,0.07326667270000001,0.67882285,0.7088709070000001,5.782222222222168e-05,0.00011954588888888907
model1,soft,0.2,5000,0.0,13737.895499999999,14199.9981,17234.21085000005,24232.242,13615.4475,14062.65011,0.137378955,0.14199998100000003,0.1723421085000005,0.680772375,0.7031325055,0.00036985937499999866,0.0015184931874999976
model1,soft,0.3,5000,0.0,20610.217,21175.123919999998,21587.20747500006,24636.573,20589.79,21153.96328,0.20610217,0.2117512392,0.2158720747500006,0.6863263333333334,0.7051321093333334,0.0001425571428571467,0.00019995921428573148
model1,soft,0.4,5000,0.0,27095.6555,27944.15038,29147.31291100002,30681.34,26954.5105,27810.65725,0.270956555,0.2794415038,0.29147312911000023,0.6738627625,0.69526643125,0.0013508791666666637,0.0019478305833333387
model1,soft,0.5,5000,0.0,33760.8925,34805.7897,34955.186232000015,35748.304,33739.563500000004,34784.533780000005,0.33760892499999995,0.348057897,0.34955186232000013,0.67479127,0.6956906756,0.00021302000000003317,0.00028335490000006334
model1,soft,0.6,5000,0.0,40651.784,41773.06206,41955.74686300022,54230.561,40624.407999999996,41745.443660000004,0.40651784,0.4177306206,0.41955746863000215,0.6770734666666667,0.6957573943333334,0.00033155624999999417,0.00048381949999997054
model1,soft,0.7,5000,0.0,47476.285,48819.353670000004,49429.66065900006,55659.96,47452.6955,48784.520220000006,0.47476284999999996,0.48819353670000004,0.4942966065900006,0.67789565,0.6969217174285715,0.00030689166666670643,0.0026805216666666333
model1,soft,0.8,5000,0.0,55888.592000000004,57302.42544,58198.91389400008,66385.771,55825.7885,57228.17672,0.55888592,0.5730242544,0.5819891389400008,0.6978223562500001,0.7153522090000001,0.0006355375000000095,0.005634763999999969
model1,soft,0.9,5000,0.0,60970.8095,62544.93704,63519.765608000074,67353.109,60945.613,62510.102869999995,0.609708095,0.6254493704,0.6351976560800007,0.6771734777777778,0.6945566985555556,0.0011999499999998079,0.002478201499999907
model1,soft,0.94,5000,0.0,64212.88,65863.24152,66798.34157400002,71274.9,64187.183,65832.94129,0.6421288,0.6586324151999999,0.6679834157400002,0.6828423723404256,0.7003504392553191,0.001998000000000199,0.004114931666666738
