model,scale,U,n,miss_count,miss_rate,tardiness_max_us,tardiness_mean_us,longest_consecutive_miss_run,alpha_p99,alpha_max,delta_p99,delta_max
model1,soft,0.1,5000,0,0.0,0.0,0.0,0,0.7089,0.7748,0.0001,0.1055
model1,soft,0.2,5000,0,0.0,0.0,0.0,0,0.7031,0.8891,0.0015,0.0643
model1,soft,0.3,5000,0,0.0,0.0,0.0,0,0.7051,0.82,0.0002,0.0259
model1,soft,0.4,5000,0,0.0,0.0,0.0,0,0.6953,0.7658,0.0019,0.0181
model1,soft,0.5,5000,0,0.0,0.0,0.0,0,0.6957,0.7146,0.0003,0.0026
model1,soft,0.6,5000,0,0.0,0.0,0.0,0,0.6958,0.7268,0.0005,0.1729
model1,soft,0.7,5000,0,0.0,0.0,0.0,0,0.6969,0.7947,0.0027,0.1095
model1,soft,0.8,5000,0,0.0,0.0,0.0,0,0.7154,0.7484,0.0056,0.2633
model1,soft,0.9,5000,0,0.0,0.0,0.0,0,0.6946,0.7481,0.0025,0.2607
model1,soft,0.94,5000,0,0.0,0.0,0.0,0,0.7004,0.7392,0.0041,0.5835
model1,tight,0.1,5000,4,0.0008,1330.7,375.5,1,0.5209,1.1363,0.0024,0.6084
model1,tight,0.2,5000,0,0.0,0.0,0.0,0,0.7275,0.9628,0.0021,0.3566
model1,tight,0.3,5000,50,0.01,244.9,53.8,4,0.9934,1.2954,0.4537,0.505
model1,tight,0.4,5000,3,0.0006,1237.4,711.1,1,0.7095,1.3507,0.0025,0.4925
model1,tight,0.5,5000,1,0.0002,4508.2,4508.2,1,0.717,0.8286,0.0014,1.1032
model1,tight,0.6,5000,2,0.0004,157.2,90.6,1,0.7292,1.0773,0.0195,0.4875
model1,tight,0.7,5000,1,0.0002,4637.6,4637.6,1,0.7201,0.8021,0.0023,1.624
model1,tight,0.8,5000,27,0.0054,1370.7,498.2,4,0.8603,1.2395,0.0099,0.5057
model1,tight,0.9,5000,1,0.0002,8405.4,8405.4,1,0.7273,0.9467,0.0117,6.0616
model1,tight,0.94,5000,36,0.0072,5226.3,895.8,4,0.9289,1.2468,0.0294,7.0819
