# matmul M=48 K=34 period_us=10000 priority=90 cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,7528510359.831,7528510383.485,7528511804.307,1418.917,1444.476,25.559,23.654,1.905,8555.524,0,0.000,0,34,48,0
1,7528520359.831,7528520378.301,7528521761.076,1381.928,1401.245,19.317,18.470,0.847,8598.755,0,0.000,0,34,48,0
2,7528530359.831,7528530379.944,7528531805.233,1424.370,1445.402,21.032,20.113,0.919,8554.598,0,0.000,0,34,48,0
3,7528540359.831,7528540378.434,7528541803.791,1424.490,1443.960,19.470,18.603,0.867,8556.040,0,0.000,0,34,48,0
4,7528550359.831,7528550379.077,7528551759.085,1379.291,1399.254,19.963,19.246,0.717,8600.746,0,0.000,0,34,48,0
5,7528560359.831,7528560379.881,7528561813.482,1432.891,1453.651,20.760,20.050,0.710,8546.349,0,0.000,0,34,48,0
6,7528570359.831,7528570380.262,7528571782.293,1401.198,1422.462,21.264,20.431,0.833,8577.538,0,0.000,0,34,48,0
7,7528580359.831,7528580380.611,7528581760.726,1379.290,1400.895,21.605,20.780,0.825,8599.105,0,0.000,0,34,48,0
8,7528590359.831,7528590379.987,7528591809.430,1428.701,1449.599,20.898,20.156,0.742,8550.401,0,0.000,0,34,48,0
9,7528600359.831,7528600382.827,7528601807.229,1423.663,1447.398,23.735,22.996,0.739,8552.602,0,0.000,0,34,48,0
10,7528610359.831,7528610378.915,7528611761.504,1381.949,1401.673,19.724,19.084,0.640,8598.327,0,0.000,0,34,48,0
11,7528620359.831,7528620380.943,7528621748.651,1366.859,1388.820,21.961,21.112,0.849,8611.180,0,0.000,0,34,48,0
12,7528630359.831,7528630381.664,7528631736.312,1353.927,1376.481,22.554,21.833,0.721,8623.519,0,0.000,0,34,48,0
13,7528640359.831,7528640378.229,7528641750.353,1371.392,1390.522,19.130,18.398,0.732,8609.478,0,0.000,0,34,48,0
14,7528650359.831,7528650379.297,7528651735.656,1355.571,1375.825,20.254,19.466,0.788,8624.175,0,0.000,0,34,48,0
15,7528660359.831,7528660380.421,7528661787.482,1406.315,1427.651,21.336,20.590,0.746,8572.349,0,0.000,0,34,48,0
16,7528670359.831,7528670381.112,7528671780.093,1398.142,1420.262,22.120,21.281,0.839,8579.738,0,0.000,0,34,48,0
17,7528680359.831,7528680379.977,7528681775.385,1394.664,1415.554,20.890,20.146,0.744,8584.446,0,0.000,0,34,48,0
18,7528690359.831,7528690379.095,7528691763.516,1383.634,1403.685,20.051,19.264,0.787,8596.315,0,0.000,0,34,48,0
19,7528700359.831,7528700389.828,7528701810.387,1419.180,1450.556,31.376,29.997,1.379,8549.444,0,0.000,0,34,48,0
20,7528710359.831,7528710378.828,7528711755.974,1376.501,1396.143,19.642,18.997,0.645,8603.857,0,0.000,0,34,48,0
21,7528720359.831,7528720379.562,7528721766.272,1385.998,1406.441,20.443,19.731,0.712,8593.559,0,0.000,0,34,48,0
22,7528730359.831,7528730378.579,7528731755.094,1375.850,1395.263,19.413,18.748,0.665,8604.737,0,0.000,0,34,48,0
23,7528740359.831,7528740380.849,7528741766.023,1384.241,1406.192,21.951,21.018,0.933,8593.808,0,0.000,0,34,48,0
24,7528750359.831,7528750380.574,7528751806.268,1424.810,1446.437,21.627,20.743,0.884,8553.563,0,0.000,0,34,48,0
25,7528760359.831,7528760379.324,7528761807.107,1427.099,1447.276,20.177,19.493,0.684,8552.724,0,0.000,0,34,48,0
26,7528770359.831,7528770379.940,7528771743.111,1362.491,1383.280,20.789,20.109,0.680,8616.720,0,0.000,0,34,48,0
27,7528780359.831,7528780380.761,7528781740.289,1358.603,1380.458,21.855,20.930,0.925,8619.542,0,0.000,0,34,48,0
28,7528790359.831,7528790379.981,7528791808.921,1427.882,1449.090,21.208,20.150,1.058,8550.910,0,0.000,0,34,48,0
29,7528800359.831,7528800380.709,7528801751.759,1370.200,1391.928,21.728,20.878,0.850,8608.072,0,0.000,0,34,48,0
30,7528810359.831,7528810379.826,7528811759.212,1378.795,1399.381,20.586,19.995,0.591,8600.619,0,0.000,0,34,48,0
31,7528820359.831,7528820379.979,7528821758.772,1378.024,1398.941,20.917,20.148,0.769,8601.059,0,0.000,0,34,48,0
32,7528830359.831,7528830379.945,7528831756.925,1376.176,1397.094,20.918,20.114,0.804,8602.906,0,0.000,0,34,48,0
33,7528840359.831,7528840379.415,7528841758.714,1378.605,1398.883,20.278,19.584,0.694,8601.117,0,0.000,0,34,48,0
34,7528850359.831,7528850383.219,7528851760.563,1376.481,1400.732,24.251,23.388,0.863,8599.268,0,0.000,0,34,48,0
35,7528860359.831,7528860380.475,7528861756.691,1375.583,1396.860,21.277,20.644,0.633,8603.140,0,0.000,0,34,48,0
36,7528870359.831,7528870381.078,7528871747.891,1366.076,1388.060,21.984,21.247,0.737,8611.940,0,0.000,0,34,48,0
37,7528880359.831,7528880379.622,7528881762.339,1382.073,1402.508,20.435,19.791,0.644,8597.492,0,0.000,0,34,48,0
38,7528890359.831,7528890379.028,7528891754.797,1375.086,1394.966,19.880,19.197,0.683,8605.034,0,0.000,0,34,48,0
39,7528900359.831,7528900377.441,7528901753.659,1375.465,1393.828,18.363,17.610,0.753,8606.172,0,0.000,0,34,48,0
40,7528910359.831,7528910377.239,7528911755.475,1377.523,1395.644,18.121,17.408,0.713,8604.356,0,0.000,0,34,48,0
41,7528920359.831,7528920378.327,7528921715.697,1336.582,1355.866,19.284,18.496,0.788,8644.134,0,0.000,0,34,48,0
42,7528930359.831,7528930376.923,7528931771.296,1393.557,1411.465,17.908,17.092,0.816,8588.535,0,0.000,0,34,48,0
43,7528940359.831,7528940379.278,7528941755.286,1375.437,1395.455,20.018,19.447,0.571,8604.545,0,0.000,0,34,48,0
44,7528950359.831,7528950378.772,7528951803.959,1424.503,1444.128,19.625,18.941,0.684,8555.872,0,0.000,0,34,48,0
45,7528960359.831,7528960379.000,7528961776.855,1397.007,1417.024,20.017,19.169,0.848,8582.976,0,0.000,0,34,48,0
46,7528970359.831,7528970381.624,7528971736.095,1353.686,1376.264,22.578,21.793,0.785,8623.736,0,0.000,0,34,48,0
47,7528980359.831,7528980382.460,7528981770.392,1387.115,1410.561,23.446,22.629,0.817,8589.439,0,0.000,0,34,48,0
48,7528990359.831,7528990380.983,7528991811.378,1429.475,1451.547,22.072,21.152,0.920,8548.453,0,0.000,0,34,48,0
49,7529000359.831,7529000380.464,7529001803.287,1421.906,1443.456,21.550,20.633,0.917,8556.544,0,0.000,0,34,48,0
50,7529010359.831,7529010377.623,7529011803.707,1425.414,1443.876,18.462,17.792,0.670,8556.124,0,0.000,0,34,48,0
51,7529020359.831,7529020378.703,7529021803.049,1423.679,1443.218,19.539,18.872,0.667,8556.782,0,0.000,0,34,48,0
52,7529030359.831,7529030384.744,7529032123.037,1737.403,1763.206,25.803,24.913,0.890,8236.794,0,0.000,0,34,48,0
53,7529040359.831,7529040384.430,7529041764.967,1379.566,1405.136,25.570,24.599,0.971,8594.864,0,0.000,0,34,48,0
54,7529050359.831,7529050381.146,7529051793.455,1411.475,1433.624,22.149,21.315,0.834,8566.376,0,0.000,0,34,48,0
55,7529060359.831,7529060378.215,7529061786.817,1407.690,1426.986,19.296,18.384,0.912,8573.014,0,0.000,0,34,48,0
56,7529070359.831,7529070380.084,7529071806.926,1426.081,1447.095,21.014,20.253,0.761,8552.905,0,0.000,0,34,48,0
57,7529080359.831,7529080380.589,7529081802.959,1421.704,1443.128,21.424,20.758,0.666,8556.872,0,0.000,0,34,48,0
58,7529090359.831,7529090378.108,7529091773.508,1394.605,1413.677,19.072,18.277,0.795,8586.323,0,0.000,0,34,48,0
59,7529100359.831,7529100379.590,7529101801.972,1421.588,1442.141,20.553,19.759,0.794,8557.859,0,0.000,0,34,48,0
60,7529110359.831,7529110380.616,7529111803.611,1422.231,1443.780,21.549,20.785,0.764,8556.220,0,0.000,0,34,48,0
61,7529120359.831,7529120381.862,7529121806.838,1424.090,1447.007,22.917,22.031,0.886,8552.993,0,0.000,0,34,48,0
62,7529130359.831,7529130394.872,7529131810.629,1414.254,1450.798,36.544,35.041,1.503,8549.202,0,0.000,0,34,48,0
63,7529140359.831,7529140376.955,7529141773.408,1395.797,1413.577,17.780,17.124,0.656,8586.423,0,0.000,0,34,48,0
64,7529150359.831,7529150377.312,7529151802.475,1424.452,1442.644,18.192,17.481,0.711,8557.356,0,0.000,0,34,48,0
65,7529160359.831,7529160380.513,7529161803.059,1421.946,1443.228,21.282,20.682,0.600,8556.772,0,0.000,0,34,48,0
66,7529170359.831,7529170384.055,7529171771.078,1386.364,1411.247,24.883,24.224,0.659,8588.753,0,0.000,0,34,48,0
67,7529180359.831,7529180377.278,7529181753.370,1375.325,1393.539,18.214,17.447,0.767,8606.461,0,0.000,0,34,48,0
68,7529190359.831,7529190379.619,7529191776.462,1396.169,1416.631,20.462,19.788,0.674,8583.369,0,0.000,0,34,48,0
69,7529200359.831,7529200378.838,7529201766.616,1387.132,1406.785,19.653,19.007,0.646,8593.215,0,0.000,0,34,48,0
70,7529210359.831,7529210377.648,7529211799.921,1421.649,1440.090,18.441,17.817,0.624,8559.910,0,0.000,0,34,48,0
71,7529220359.831,7529220381.938,7529221781.462,1398.715,1421.631,22.916,22.107,0.809,8578.369,0,0.000,0,34,48,0
72,7529230359.831,7529230378.988,7529231755.467,1375.824,1395.636,19.812,19.157,0.655,8604.364,0,0.000,0,34,48,0
73,7529240359.831,7529240378.210,7529241754.020,1375.083,1394.189,19.106,18.379,0.727,8605.811,0,0.000,0,34,48,0
74,7529250359.831,7529250378.259,7529251745.543,1366.523,1385.712,19.189,18.428,0.761,8614.288,0,0.000,0,34,48,0
75,7529260359.831,7529260381.165,7529261751.643,1369.620,1391.812,22.192,21.334,0.858,8608.188,0,0.000,0,34,48,0
76,7529270359.831,7529270380.543,7529271742.073,1360.696,1382.242,21.546,20.712,0.834,8617.758,0,0.000,0,34,48,0
77,7529280359.831,7529280381.429,7529281809.070,1426.936,1449.239,22.303,21.598,0.705,8550.761,0,0.000,0,34,48,0
78,7529290359.831,7529290379.615,7529291755.690,1375.163,1395.859,20.696,19.784,0.912,8604.141,0,0.000,0,34,48,0
79,7529300359.831,7529300378.696,7529301754.797,1375.286,1394.966,19.680,18.865,0.815,8605.034,0,0.000,0,34,48,0
80,7529310359.831,7529310379.371,7529311798.921,1418.960,1439.090,20.130,19.540,0.590,8560.910,0,0.000,0,34,48,0
81,7529320359.831,7529320378.132,7529321754.682,1375.721,1394.851,19.130,18.301,0.829,8605.149,0,0.000,0,34,48,0
82,7529330359.831,7529330378.752,7529331757.780,1378.323,1397.949,19.626,18.921,0.705,8602.051,0,0.000,0,34,48,0
83,7529340359.831,7529340376.729,7529341752.806,1375.509,1392.975,17.466,16.898,0.568,8607.025,0,0.000,0,34,48,0
84,7529350359.831,7529350381.057,7529351756.980,1375.215,1397.149,21.934,21.226,0.708,8602.851,0,0.000,0,34,48,0
85,7529360359.831,7529360377.796,7529361760.598,1382.162,1400.767,18.605,17.965,0.640,8599.233,0,0.000,0,34,48,0
86,7529370359.831,7529370378.831,7529371796.580,1416.880,1436.749,19.869,19.000,0.869,8563.251,0,0.000,0,34,48,0
87,7529380359.831,7529380378.111,7529381800.055,1421.218,1440.224,19.006,18.280,0.726,8559.776,0,0.000,0,34,48,0
88,7529390359.831,7529390376.442,7529391753.353,1376.232,1393.522,17.290,16.611,0.679,8606.478,0,0.000,0,34,48,0
89,7529400359.831,7529400380.509,7529401764.164,1382.953,1404.333,21.380,20.678,0.702,8595.667,0,0.000,0,34,48,0
90,7529410359.831,7529410378.003,7529411754.315,1375.663,1394.484,18.821,18.172,0.649,8605.516,0,0.000,0,34,48,0
91,7529420359.831,7529420403.832,7529421808.585,1402.628,1448.754,46.126,44.001,2.125,8551.246,0,0.000,0,34,48,0
92,7529430359.831,7529430382.298,7529431807.984,1425.046,1448.153,23.107,22.467,0.640,8551.847,0,0.000,0,34,48,0
93,7529440359.831,7529440386.044,7529441813.161,1426.154,1453.330,27.176,26.213,0.963,8546.670,0,0.000,0,34,48,0
94,7529450359.831,7529450380.084,7529451776.218,1395.402,1416.387,20.985,20.253,0.732,8583.613,0,0.000,0,34,48,0
95,7529460359.831,7529460380.313,7529461810.605,1429.211,1450.774,21.563,20.482,1.081,8549.226,0,0.000,0,34,48,0
96,7529470359.831,7529470381.316,7529471773.802,1391.507,1413.971,22.464,21.485,0.979,8586.029,0,0.000,0,34,48,0
97,7529480359.831,7529480379.272,7529481715.985,1335.929,1356.154,20.225,19.441,0.784,8643.846,0,0.000,0,34,48,0
98,7529490359.831,7529490378.699,7529491749.200,1369.903,1389.369,19.466,18.868,0.598,8610.631,0,0.000,0,34,48,0
99,7529500359.831,7529500384.519,7529501774.799,1389.443,1414.968,25.525,24.688,0.837,8585.032,0,0.000,0,34,48,0
100,7529510359.831,7529510378.350,7529511740.904,1361.777,1381.073,19.296,18.519,0.777,8618.927,0,0.000,0,34,48,0
101,7529520359.831,7529520381.335,7529521762.378,1380.323,1402.547,22.224,21.504,0.720,8597.453,0,0.000,0,34,48,0
102,7529530359.831,7529530378.327,7529531772.147,1393.213,1412.316,19.103,18.496,0.607,8587.684,0,0.000,0,34,48,0
103,7529540359.831,7529540380.409,7529541742.761,1361.566,1382.930,21.364,20.578,0.786,8617.070,0,0.000,0,34,48,0
104,7529550359.831,7529550380.138,7529551741.103,1360.367,1381.272,20.905,20.307,0.598,8618.728,0,0.000,0,34,48,0
105,7529560359.831,7529560380.123,7529561777.830,1396.784,1417.999,21.215,20.292,0.923,8582.001,0,0.000,0,34,48,0
106,7529570359.831,7529570378.939,7529571779.104,1399.550,1419.273,19.723,19.108,0.615,8580.727,0,0.000,0,34,48,0
107,7529580359.831,7529580378.733,7529581754.791,1375.489,1394.960,19.471,18.902,0.569,8605.040,0,0.000,0,34,48,0
108,7529590359.831,7529590376.000,7529591766.347,1389.685,1406.516,16.831,16.169,0.662,8593.484,0,0.000,0,34,48,0
109,7529600359.831,7529600377.337,7529601769.707,1391.715,1409.876,18.161,17.506,0.655,8590.124,0,0.000,0,34,48,0
110,7529610359.831,7529610376.737,7529611721.020,1343.570,1361.189,17.619,16.906,0.713,8638.811,0,0.000,0,34,48,0
111,7529620359.831,7529620377.245,7529621727.768,1349.703,1367.937,18.234,17.414,0.820,8632.063,0,0.000,0,34,48,0
112,7529630359.831,7529630379.251,7529631755.357,1375.271,1395.526,20.255,19.420,0.835,8604.474,0,0.000,0,34,48,0
113,7529640359.831,7529640381.837,7529641761.384,1378.766,1401.553,22.787,22.006,0.781,8598.447,0,0.000,0,34,48,0
114,7529650359.831,7529650378.877,7529651723.720,1344.239,1363.889,19.650,19.046,0.604,8636.111,0,0.000,0,34,48,0
115,7529660359.831,7529660378.124,7529661768.730,1389.929,1408.899,18.970,18.293,0.677,8591.101,0,0.000,0,34,48,0
116,7529670359.831,7529670380.446,7529671765.669,1384.528,1405.838,21.310,20.615,0.695,8594.162,0,0.000,0,34,48,0
117,7529680359.831,7529680378.718,7529681761.158,1381.771,1401.327,19.556,18.887,0.669,8598.673,0,0.000,0,34,48,0
118,7529690359.831,7529690377.900,7529691720.288,1341.544,1360.457,18.913,18.069,0.844,8639.543,0,0.000,0,34,48,0
119,7529700359.831,7529700379.297,7529701755.858,1375.768,1396.027,20.259,19.466,0.793,8603.973,0,0.000,0,34,48,0
120,7529710359.831,7529710379.606,7529711770.033,1389.664,1410.202,20.538,19.775,0.763,8589.798,0,0.000,0,34,48,0
121,7529720359.831,7529720378.279,7529721754.401,1375.449,1394.570,19.121,18.448,0.673,8605.430,0,0.000,0,34,48,0
122,7529730359.831,7529730378.191,7529731753.988,1375.013,1394.157,19.144,18.360,0.784,8605.843,0,0.000,0,34,48,0
123,7529740359.831,7529740377.894,7529741805.425,1426.849,1445.594,18.745,18.063,0.682,8554.406,0,0.000,0,34,48,0
124,7529750359.831,7529750378.556,7529751771.910,1392.761,1412.079,19.318,18.725,0.593,8587.921,0,0.000,0,34,48,0
125,7529760359.831,7529760379.036,7529761805.274,1425.468,1445.443,19.975,19.205,0.770,8554.557,0,0.000,0,34,48,0
126,7529770359.831,7529770376.903,7529771753.695,1376.119,1393.864,17.745,17.072,0.673,8606.136,0,0.000,0,34,48,0
127,7529780359.831,7529780378.680,7529781773.970,1394.412,1414.139,19.727,18.849,0.878,8585.861,0,0.000,0,34,48,0
128,7529790359.831,7529790377.161,7529791721.413,1343.606,1361.582,17.976,17.330,0.646,8638.418,0,0.000,0,34,48,0
129,7529800359.831,7529800378.825,7529801755.125,1375.576,1395.294,19.718,18.994,0.724,8604.706,0,0.000,0,34,48,0
