# matmul M=48 K=504 period_us=100000 priority=90 cpu=0 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,12148657777.348,12148657791.583,12148678197.270,20398.861,20419.922,21.061,14.235,6.826,79580.078,0,0.000,1,504,48,0
1,12148757777.348,12148757796.071,12148778282.293,20484.543,20504.945,20.402,18.723,1.679,79495.055,0,0.000,0,504,48,0
2,12148857777.348,12148857796.701,12148878180.360,20381.807,20403.012,21.205,19.353,1.852,79596.988,0,0.000,0,504,48,0
3,12148957777.348,12148957795.759,12148978186.856,20389.237,20409.508,20.271,18.411,1.860,79590.492,0,0.000,0,504,48,0
4,12149057777.348,12149057798.181,12149078340.260,20540.354,20562.912,22.558,20.833,1.725,79437.088,0,0.000,0,504,48,0
5,12149157777.348,12149157797.075,12149178452.400,20653.590,20675.052,21.462,19.727,1.735,79324.948,0,0.000,0,504,48,0
6,12149257777.348,12149257796.408,12149278294.270,20496.159,20516.922,20.763,19.060,1.703,79483.078,0,0.000,0,504,48,0
7,12149357777.348,12149357798.361,12149378250.531,20450.547,20473.183,22.636,21.013,1.623,79526.817,0,0.000,0,504,48,0
8,12149457777.348,12149457796.819,12149478245.741,20446.967,20468.393,21.426,19.471,1.955,79531.607,0,0.000,0,504,48,0
9,12149557777.348,12149557796.289,12149578145.374,20347.298,20368.026,20.728,18.941,1.787,79631.974,0,0.000,0,504,48,0
10,12149657777.348,12149657796.755,12149678370.601,20571.898,20593.253,21.355,19.407,1.948,79406.747,0,0.000,0,504,48,0
11,12149757777.348,12149757797.389,12149778505.367,20706.259,20728.019,21.760,20.041,1.719,79271.981,0,0.000,0,504,48,0
12,12149857777.348,12149857797.069,12149878267.438,20468.795,20490.090,21.295,19.721,1.574,79509.910,0,0.000,0,504,48,0
13,12149957777.348,12149957796.761,12149978252.272,20453.766,20474.924,21.158,19.413,1.745,79525.076,0,0.000,0,504,48,0
14,12150057777.348,12150057796.798,12150078366.511,20567.936,20589.163,21.227,19.450,1.777,79410.837,0,0.000,0,504,48,0
15,12150157777.348,12150157796.289,12150178428.878,20630.957,20651.530,20.573,18.941,1.632,79348.470,0,0.000,0,504,48,0
16,12150257777.348,12150257797.347,12150278090.705,20291.442,20313.357,21.915,19.999,1.916,79686.643,0,0.000,0,504,48,0
17,12150357777.348,12150357797.039,12150378435.017,20636.431,20657.669,21.238,19.691,1.547,79342.331,0,0.000,0,504,48,0
18,12150457777.348,12150457797.737,12150478676.833,20877.570,20899.485,21.915,20.389,1.526,79100.515,0,0.000,0,504,48,0
19,12150557777.348,12150557796.037,12150578115.798,20318.362,20338.450,20.088,18.689,1.399,79661.550,0,0.000,0,504,48,0
20,12150657777.348,12150657797.546,12150678144.943,20345.678,20367.595,21.917,20.198,1.719,79632.405,0,0.000,0,504,48,0
21,12150757777.348,12150757798.234,12150778424.036,20624.102,20646.688,22.586,20.886,1.700,79353.312,0,0.000,0,504,48,0
22,12150857777.348,12150857796.290,12150878300.793,20502.734,20523.445,20.711,18.942,1.769,79476.555,0,0.000,0,504,48,0
23,12150957777.348,12150957796.069,12150978134.660,20336.815,20357.312,20.497,18.721,1.776,79642.688,0,0.000,0,504,48,0
24,12151057777.348,12151057798.197,12151078548.963,20748.888,20771.615,22.727,20.849,1.878,79228.385,0,0.000,0,504,48,0
25,12151157777.348,12151157797.231,12151178234.229,20435.481,20456.881,21.400,19.883,1.517,79543.119,0,0.000,0,504,48,0
26,12151257777.348,12151257797.590,12151278050.020,20250.566,20272.672,22.106,20.242,1.864,79727.328,0,0.000,0,504,48,0
27,12151357777.348,12151357796.761,12151378490.049,20691.478,20712.701,21.223,19.413,1.810,79287.299,0,0.000,0,504,48,0
28,12151457777.348,12151457797.655,12151478287.961,20488.568,20510.613,22.045,20.307,1.738,79489.387,0,0.000,0,504,48,0
29,12151557777.348,12151557798.501,12151578161.296,20360.766,20383.948,23.182,21.153,2.029,79616.052,0,0.000,0,504,48,0
30,12151657777.348,12151657796.194,12151678288.708,20491.061,20511.360,20.299,18.846,1.453,79488.640,0,0.000,0,504,48,0
31,12151757777.348,12151757797.141,12151778257.267,20458.344,20479.919,21.575,19.793,1.782,79520.081,0,0.000,0,504,48,0
32,12151857777.348,12151857796.475,12151878249.044,20450.970,20471.696,20.726,19.127,1.599,79528.304,0,0.000,0,504,48,0
33,12151957777.348,12151957796.748,12151978026.266,20228.019,20248.918,20.899,19.400,1.499,79751.082,0,0.000,0,504,48,0
34,12152057777.348,12152057797.598,12152078537.149,20737.819,20759.801,21.982,20.250,1.732,79240.199,0,0.000,0,504,48,0
35,12152157777.348,12152157797.638,12152178269.853,20470.531,20492.505,21.974,20.290,1.684,79507.495,0,0.000,0,504,48,0
36,12152257777.348,12152257797.877,12152278255.387,20455.748,20478.039,22.291,20.529,1.762,79521.961,0,0.000,0,504,48,0
37,12152357777.348,12152357801.142,12152378237.467,20434.633,20460.119,25.486,23.794,1.692,79539.881,0,0.000,0,504,48,0
38,12152457777.348,12152457796.769,12152478331.104,20532.662,20553.756,21.094,19.421,1.673,79446.244,0,0.000,0,504,48,0
39,12152557777.348,12152557796.888,12152578523.063,20723.869,20745.715,21.846,19.540,2.306,79254.285,0,0.000,0,504,48,0
40,12152657777.348,12152657797.104,12152678201.744,20396.625,20424.396,27.771,19.756,8.015,79575.604,0,0.000,1,504,48,0
41,12152757777.348,12152757797.878,12152778252.683,20453.130,20475.335,22.205,20.530,1.675,79524.665,0,0.000,0,504,48,0
42,12152857777.348,12152857797.978,12152878107.416,20307.657,20330.068,22.411,20.630,1.781,79669.932,0,0.000,0,504,48,0
43,12152957777.348,12152957796.288,12152978373.308,20575.138,20595.960,20.822,18.940,1.882,79404.040,0,0.000,0,504,48,0
44,12153057777.348,12153057798.032,12153078329.631,20529.861,20552.283,22.422,20.684,1.738,79447.717,0,0.000,0,504,48,0
45,12153157777.348,12153157797.540,12153178301.663,20502.527,20524.315,21.788,20.192,1.596,79475.685,0,0.000,0,504,48,0
46,12153257777.348,12153257797.602,12153278316.338,20516.765,20538.990,22.225,20.254,1.971,79461.010,0,0.000,0,504,48,0
47,12153357777.348,12153357798.399,12153378570.625,20770.301,20793.277,22.976,21.051,1.925,79206.723,0,0.000,0,504,48,0
48,12153457777.348,12153457795.558,12153478242.516,20445.239,20465.168,19.929,18.210,1.719,79534.832,0,0.000,0,504,48,0
49,12153557777.348,12153557797.189,12153578294.588,20495.627,20517.240,21.613,19.841,1.772,79482.760,0,0.000,0,504,48,0
50,12153657777.348,12153657797.329,12153678274.756,20475.896,20497.408,21.512,19.981,1.531,79502.592,0,0.000,0,504,48,0
51,12153757777.348,12153757797.081,12153778155.101,20356.510,20377.753,21.243,19.733,1.510,79622.247,0,0.000,0,504,48,0
52,12153857777.348,12153857797.796,12153878125.314,20325.829,20347.966,22.137,20.448,1.689,79652.034,0,0.000,0,504,48,0
53,12153957777.348,12153957797.081,12153978526.753,20727.827,20749.405,21.578,19.733,1.845,79250.595,0,0.000,0,504,48,0
54,12154057777.348,12154057796.904,12154078400.516,20602.090,20623.168,21.078,19.556,1.522,79376.832,0,0.000,0,504,48,0
55,12154157777.348,12154157798.213,12154178082.369,20282.431,20305.021,22.590,20.865,1.725,79694.979,0,0.000,0,504,48,0
56,12154257777.348,12154257798.554,12154278357.804,20557.420,20580.456,23.036,21.206,1.830,79419.544,0,0.000,0,504,48,0
57,12154357777.348,12154357798.209,12154378517.357,20717.132,20740.009,22.877,20.861,2.016,79259.991,0,0.000,0,504,48,0
58,12154457777.348,12154457796.059,12154478260.305,20462.685,20482.957,20.272,18.711,1.561,79517.043,0,0.000,0,504,48,0
59,12154557777.348,12154557798.373,12154578450.874,20650.576,20673.526,22.950,21.025,1.925,79326.474,0,0.000,0,504,48,0
60,12154657777.348,12154657796.030,12154678433.348,20635.806,20656.000,20.194,18.682,1.512,79344.000,0,0.000,0,504,48,0
61,12154757777.348,12154757796.505,12154778243.699,20445.345,20466.351,21.006,19.157,1.849,79533.649,0,0.000,0,504,48,0
62,12154857777.348,12154857795.698,12154878684.332,20886.759,20906.984,20.225,18.350,1.875,79093.016,0,0.000,0,504,48,0
63,12154957777.348,12154957797.614,12154978237.631,20438.221,20460.283,22.062,20.266,1.796,79539.717,0,0.000,0,504,48,0
64,12155057777.348,12155057798.482,12155078436.183,20635.877,20658.835,22.958,21.134,1.824,79341.165,0,0.000,0,504,48,0
65,12155157777.348,12155157797.650,12155178350.569,20551.306,20573.221,21.915,20.302,1.613,79426.779,0,0.000,0,504,48,0
66,12155257777.348,12155257797.558,12155278305.761,20506.482,20528.413,21.931,20.210,1.721,79471.587,0,0.000,0,504,48,0
67,12155357777.348,12155357796.003,12155378344.923,20547.336,20567.575,20.239,18.655,1.584,79432.425,0,0.000,0,504,48,0
68,12155457777.348,12155457796.432,12155478317.881,20519.816,20540.533,20.717,19.084,1.633,79459.467,0,0.000,0,504,48,0
69,12155557777.348,12155557797.249,12155578346.000,20547.134,20568.652,21.518,19.901,1.617,79431.348,0,0.000,0,504,48,0
70,12155657777.348,12155657797.300,12155678136.635,20337.509,20359.287,21.778,19.952,1.826,79640.713,0,0.000,0,504,48,0
71,12155757777.348,12155757796.646,12155778296.355,20498.022,20519.007,20.985,19.298,1.687,79480.993,0,0.000,0,504,48,0
72,12155857777.348,12155857796.818,12155878514.580,20715.978,20737.232,21.254,19.470,1.784,79262.768,0,0.000,0,504,48,0
73,12155957777.348,12155957796.401,12155978307.965,20510.007,20530.617,20.610,19.053,1.557,79469.383,0,0.000,0,504,48,0
74,12156057777.348,12156057795.643,12156078185.887,20388.634,20408.539,19.905,18.295,1.610,79591.461,0,0.000,0,504,48,0
75,12156157777.348,12156157797.995,12156178151.401,20351.798,20374.053,22.255,20.647,1.608,79625.947,0,0.000,0,504,48,0
76,12156257777.348,12156257796.852,12156278618.681,20820.117,20841.333,21.216,19.504,1.712,79158.667,0,0.000,0,504,48,0
77,12156357777.348,12156357797.573,12156378576.072,20776.921,20798.724,21.803,20.225,1.578,79201.276,0,0.000,0,504,48,0
78,12156457777.348,12156457796.297,12156478450.373,20652.395,20673.025,20.630,18.949,1.681,79326.975,0,0.000,0,504,48,0
79,12156557777.348,12156557796.692,12156578421.387,20622.896,20644.039,21.143,19.344,1.799,79355.961,0,0.000,0,504,48,0
80,12156657777.348,12156657796.995,12156678537.499,20732.982,20760.151,27.169,19.647,7.522,79239.849,0,0.000,1,504,48,0
81,12156757777.348,12156757797.210,12156778640.914,20841.797,20863.566,21.769,19.862,1.907,79136.434,0,0.000,0,504,48,0
82,12156857777.348,12156857796.802,12156878169.534,20371.192,20392.186,20.994,19.454,1.540,79607.814,0,0.000,0,504,48,0
83,12156957777.348,12156957796.029,12156978462.942,20665.159,20685.594,20.435,18.681,1.754,79314.406,0,0.000,0,504,48,0
