model,scale,U,n,miss_rate,R_p50,R_p99,R_p999,R_max,C_p50,C_p99,RoverD_p50,RoverD_p99,RoverD_p999,alpha_p50,alpha_p99,delta_p50,delta_p99
model1_Friday_1130,tight,0.1,5000,0.0,382.1725,402.7026200000001,628.969449000001,6304.326,375.1485,393.60267999999996,0.03821725,0.04027026200000001,0.0628969449000001,0.3751485,0.39360268,0.00041824999999999886,0.0007568355555555551
model1_Friday_1130,tight,0.2,5000,0.008,1449.357,1895.429210000003,10523.934841000004,10567.749,1427.8575,1864.3217800000014,0.1449357,0.18954292100000028,1.0523934841000004,0.71392875,0.9321608900000007,0.0012852499999999978,0.0034029718750000076
model1_Friday_1130,tight,0.3,5000,0.0002,2117.121,2188.3333900000002,2241.557134,11941.121,2096.5315,2166.03414,0.2117121,0.21883333900000002,0.22415571340000004,0.6988438333333333,0.7220113800000001,0.0014457500000000078,0.0017964371428571494
model1_Friday_1130,tight,0.4,5000,0.0,2751.0575,2896.73067,3063.5481820000064,8522.355,2742.832,2888.33301,0.27510575000000004,0.28967306699999995,0.30635481820000066,0.685708,0.7220832524999999,0.0006244166666666615,0.001229198333333334
model1_Friday_1130,tight,0.5,5000,0.0052,3527.9665,4141.771360000003,10856.593809000004,11069.932,3507.898,4108.8990300000005,0.35279665,0.41417713600000033,1.0856593809000001,0.7015796000000001,0.8217798060000001,0.00203934999999999,0.004252333000000006
model1_Friday_1130,tight,0.6,5000,0.0,4254.0275,4397.4824499999995,4623.070029000007,9751.128,4234.2185,4376.25011,0.42540275000000005,0.439748245,0.4623070029000007,0.7057030833333333,0.7293750183333333,0.0024455000000000384,0.0030335300000000048
model1_Friday_1130,tight,0.7,5000,0.0,4897.937,5078.28893,5134.670729,6525.772,4878.271,5058.18619,0.4897937,0.507828893,0.5134670728999999,0.6968958571428572,0.7225980271428573,0.0032134166666666414,0.00406836333333331
model1_Friday_1130,tight,0.8,5000,0.0002,5544.7575,5858.8831199999995,5996.256133000012,14420.732,5537.24,5849.95091,0.5544757499999999,0.585888312,0.5996256133000011,0.6921550000000001,0.73124386375,0.0018579999999999472,0.003389775000000048
model1_Friday_1130,tight,0.9,5000,0.0002,6384.3085,6584.74789,6675.862183000035,10738.684,6365.0560000000005,6564.72199,0.63843085,0.658474789,0.6675862183000035,0.7072284444444444,0.7294135544444444,0.009497499999999945,0.011929004999999639
model1_Friday_1130,tight,0.94,5000,0.0,6645.623,6848.324310000001,6897.109898000001,6945.333,6626.567,6830.31833,0.6645623,0.684832431,0.6897109898000001,0.7049539361702127,0.7266296095744681,0.015548333333333251,0.020909199999999985
model1_Friday_1130,soft,0.1,5000,0.0,6892.5425,7191.681970000001,7326.321981,19696.421,6879.33,7174.95536,0.068925425,0.0719168197,0.07326321981,0.6879329999999999,0.7174955359999999,6.440000000000054e-05,0.0001285672777777768
model1_Friday_1130,soft,0.2,5000,0.0,13775.222,14140.17266,14381.24435500001,19801.587,13587.9885,13938.578679999999,0.13775222,0.1414017266,0.14381244355000009,0.6793994250000001,0.696928934,0.0011100781249999956,0.001721129000000004
model1_Friday_1130,soft,0.3,5000,0.0,20509.6045,20933.5035,21127.869060000008,23581.603,20487.6075,20912.26791,0.205096045,0.20933503499999997,0.2112786906000001,0.68292025,0.697075597,0.00015365714285713432,0.00020658007142858648
model1_Friday_1130,soft,0.4,5000,0.0,27262.423499999997,27777.821969999997,28056.934051000004,29051.106,27077.822500000002,27584.17881,0.272624235,0.2777782197,0.28056934051000004,0.6769455625,0.68960447025,0.0014633416666666866,0.002194475749999992
model1_Friday_1130,soft,0.5,5000,0.0,34246.2945,34818.765100000004,35053.823414000064,45605.154,34218.233,34775.79551,0.342462945,0.34818765100000004,0.3505382341400007,0.68436466,0.6955159102,0.00028353000000002796,0.00036038640000000466
model1_Friday_1130,soft,0.6,5000,0.0,41140.36350000001,41708.36545,42036.10688700016,50632.86,41119.6085,41685.33313,0.41140363500000005,0.41708365449999996,0.42036106887000163,0.6853268083333333,0.6947555521666667,0.0002626625000000331,0.00033259687500004497
model1_Friday_1130,soft,0.7,5000,0.0,48263.2935,48833.05734,49657.48728800007,51102.753,48210.0945,48753.81529,0.482632935,0.48833057339999997,0.49657487288000074,0.6887156357142857,0.6964830755714286,0.0004266083333332669,0.004061695500000016
model1_Friday_1130,soft,0.8,5000,0.0,56596.675,57363.0197,57963.20197000008,63059.074,56584.9595,57349.90367,0.5659667500000001,0.573630197,0.5796320197000008,0.70731199375,0.716873795875,0.00024396249999990687,0.0005231037499999784
model1_Friday_1130,soft,0.9,5000,0.0016,62826.558999999994,69590.65656,101204.984842,105309.624,62797.7315,69553.50071000001,0.62826559,0.6959065656,1.0120498484200002,0.6977525722222222,0.7728166745555557,0.0014358249999999316,0.0025656089999999063
model1_Friday_1130,soft,0.94,5000,0.0188,66411.14499999999,110299.06652000002,122465.59234400002,129808.654,66383.6265,104962.15545,0.66411145,1.1029906652000003,1.2246559234400003,0.7062087925531915,1.116618675,0.0023558333333330668,0.4434002816666675
