model,scale,U,n,miss_count,miss_rate,tardiness_max_us,tardiness_mean_us,longest_consecutive_miss_run,alpha_p99,alpha_max,delta_p99,delta_max
model1_Friday_1130,soft,0.1,5000,0,0.0,0.0,0.0,0,0.7175,0.7331,0.0001,0.0709
model1_Friday_1130,soft,0.2,5000,0,0.0,0.0,0.0,0,0.6969,0.729,0.0017,0.0374
model1_Friday_1130,soft,0.3,5000,0,0.0,0.0,0.0,0,0.6971,0.7054,0.0002,0.0183
model1_Friday_1130,soft,0.4,5000,0,0.0,0.0,0.0,0,0.6896,0.715,0.0022,0.0161
model1_Friday_1130,soft,0.5,5000,0,0.0,0.0,0.0,0,0.6955,0.72,0.0004,0.1136
model1_Friday_1130,soft,0.6,5000,0,0.0,0.0,0.0,0,0.6948,0.7588,0.0003,0.1167
model1_Friday_1130,soft,0.7,5000,0,0.0,0.0,0.0,0,0.6965,0.7192,0.0041,0.0376
model1_Friday_1130,soft,0.8,5000,0,0.0,0.0,0.0,0,0.7169,0.7878,0.0005,0.0053
model1_Friday_1130,soft,0.9,5000,8,0.0016,5309.6,2076.0,1,0.7728,1.0685,0.0026,0.4574
model1_Friday_1130,soft,0.94,5000,94,0.0188,29808.7,13302.6,94,1.1166,1.3243,0.4434,1.2088
model1_Friday_1130,tight,0.1,5000,0,0.0,0.0,0.0,0,0.3936,0.8579,0.0008,0.3292
model1_Friday_1130,tight,0.2,5000,40,0.008,567.7,312.6,3,0.9322,1.277,0.0034,0.5021
model1_Friday_1130,tight,0.3,5000,1,0.0002,1941.1,1941.1,1,0.722,0.9595,0.0018,0.7014
model1_Friday_1130,tight,0.4,5000,0,0.0,0.0,0.0,0,0.7221,0.9623,0.0012,0.4756
model1_Friday_1130,tight,0.5,5000,26,0.0052,1069.9,534.1,3,0.8218,1.2375,0.0043,0.4977
model1_Friday_1130,tight,0.6,5000,0,0.0,0.0,0.0,0,0.7294,0.773,0.003,0.6855
model1_Friday_1130,tight,0.7,5000,0,0.0,0.0,0.0,0,0.7226,0.9293,0.0041,0.0067
model1_Friday_1130,tight,0.8,5000,1,0.0002,4420.7,4420.7,1,0.7312,0.8262,0.0034,2.2159
model1_Friday_1130,tight,0.9,5000,1,0.0002,738.7,738.7,1,0.7294,0.7597,0.0119,2.2038
model1_Friday_1130,tight,0.94,5000,0,0.0,0.0,0.0,0,0.7266,0.737,0.0209,0.0891
