# matmul M=48 K=119 period_us=10000 priority=90 cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,17968251661.533,17968251684.966,17968256633.523,4946.514,4971.990,25.476,23.433,2.043,5028.010,0,0.000,0,119,48,0
1,17968261661.533,17968261679.478,17968266543.648,4863.619,4882.115,18.496,17.945,0.551,5117.885,0,0.000,0,119,48,0
2,17968271661.533,17968271678.626,17968276464.679,4785.321,4803.146,17.825,17.093,0.732,5196.854,0,0.000,0,119,48,0
3,17968281661.533,17968281678.276,17968286504.523,4825.485,4842.990,17.505,16.743,0.762,5157.010,0,0.000,0,119,48,0
4,17968291661.533,17968291679.496,17968296516.140,4835.962,4854.607,18.645,17.963,0.682,5145.393,0,0.000,0,119,48,0
5,17968301661.533,17968301683.412,17968306526.923,4842.715,4865.390,22.675,21.879,0.796,5134.610,0,0.000,0,119,48,0
6,17968311661.533,17968311688.222,17968316664.774,4975.786,5003.241,27.455,26.689,0.766,4996.759,0,0.000,0,119,48,0
7,17968321661.533,17968321681.397,17968326668.252,4986.026,5006.719,20.693,19.864,0.829,4993.281,0,0.000,0,119,48,0
8,17968331661.533,17968331685.020,17968336636.626,4950.866,4975.093,24.227,23.487,0.740,5024.907,0,0.000,0,119,48,0
9,17968341661.533,17968341678.258,17968346761.552,5082.715,5100.019,17.304,16.725,0.579,4899.981,0,0.000,0,119,48,0
10,17968351661.533,17968351678.970,17968356518.477,4838.864,4856.944,18.080,17.437,0.643,5143.056,0,0.000,0,119,48,0
11,17968361661.533,17968361680.456,17968366497.429,4816.292,4835.896,19.604,18.923,0.681,5164.104,0,0.000,0,119,48,0
12,17968371661.533,17968371684.129,17968376638.284,4953.535,4976.751,23.216,22.596,0.620,5023.249,0,0.000,0,119,48,0
13,17968381661.533,17968381677.904,17968386485.180,4806.474,4823.647,17.173,16.371,0.802,5176.353,0,0.000,0,119,48,0
14,17968391661.533,17968391679.090,17968396642.508,4962.753,4980.975,18.222,17.557,0.665,5019.025,0,0.000,0,119,48,0
15,17968401661.533,17968401678.855,17968406646.757,4967.245,4985.224,17.979,17.322,0.657,5014.776,0,0.000,0,119,48,0
16,17968411661.533,17968411678.385,17968416553.812,4874.770,4892.279,17.509,16.852,0.657,5107.721,0,0.000,0,119,48,0
17,17968421661.533,17968421678.537,17968426595.940,4916.850,4934.407,17.557,17.004,0.553,5065.593,0,0.000,0,119,48,0
18,17968431661.533,17968431678.974,17968436467.563,4787.925,4806.030,18.105,17.441,0.664,5193.970,0,0.000,0,119,48,0
19,17968441661.533,17968441680.841,17968446628.014,4946.511,4966.481,19.970,19.308,0.662,5033.519,0,0.000,0,119,48,0
20,17968451661.533,17968451679.896,17968456511.840,4831.150,4850.307,19.157,18.363,0.794,5149.693,0,0.000,0,119,48,0
21,17968461661.533,17968461679.741,17968466392.204,4711.800,4730.671,18.871,18.208,0.663,5269.329,0,0.000,0,119,48,0
22,17968471661.533,17968471679.046,17968476489.873,4810.241,4828.340,18.099,17.513,0.586,5171.660,0,0.000,0,119,48,0
23,17968481661.533,17968481680.613,17968486502.492,4821.236,4840.959,19.723,19.080,0.643,5159.041,0,0.000,0,119,48,0
24,17968491661.533,17968491679.779,17968496545.327,4864.663,4883.794,19.131,18.246,0.885,5116.206,0,0.000,0,119,48,0
25,17968501661.533,17968501680.048,17968506628.565,4947.868,4967.032,19.164,18.515,0.649,5032.968,0,0.000,0,119,48,0
26,17968511661.533,17968511679.219,17968516561.435,4881.442,4899.902,18.460,17.686,0.774,5100.098,0,0.000,0,119,48,0
27,17968521661.533,17968521679.318,17968526526.520,4846.644,4864.987,18.343,17.785,0.558,5135.013,0,0.000,0,119,48,0
28,17968531661.533,17968531681.316,17968536675.093,4993.071,5013.560,20.489,19.783,0.706,4986.440,0,0.000,0,119,48,0
29,17968541661.533,17968541682.118,17968546535.541,4852.668,4874.008,21.340,20.585,0.755,5125.992,0,0.000,0,119,48,0
30,17968551661.533,17968551680.120,17968556523.990,4843.197,4862.457,19.260,18.587,0.673,5137.543,0,0.000,0,119,48,0
31,17968561661.533,17968561687.532,17968566563.549,4875.280,4902.016,26.736,25.999,0.737,5097.984,0,0.000,0,119,48,0
32,17968571661.533,17968571682.053,17968576510.379,4827.552,4848.846,21.294,20.520,0.774,5151.154,0,0.000,0,119,48,0
33,17968581661.533,17968581682.131,17968586643.755,4960.777,4982.222,21.445,20.598,0.847,5017.778,0,0.000,0,119,48,0
34,17968591661.533,17968591680.421,17968596365.211,4684.168,4703.678,19.510,18.888,0.622,5296.322,0,0.000,0,119,48,0
35,17968601661.533,17968601679.652,17968606522.218,4841.834,4860.685,18.851,18.119,0.732,5139.315,0,0.000,0,119,48,0
36,17968611661.533,17968611679.490,17968616623.283,4943.050,4961.750,18.700,17.957,0.743,5038.250,0,0.000,0,119,48,0
37,17968621661.533,17968621681.916,17968626516.933,4834.196,4855.400,21.204,20.383,0.821,5144.600,0,0.000,0,119,48,0
38,17968631661.533,17968631679.687,17968636630.834,4950.534,4969.301,18.767,18.154,0.613,5030.699,0,0.000,0,119,48,0
39,17968641661.533,17968641679.491,17968646522.585,4842.479,4861.052,18.573,17.958,0.615,5138.948,0,0.000,0,119,48,0
40,17968651661.533,17968651681.960,17968656513.175,4830.439,4851.642,21.203,20.427,0.776,5148.358,0,0.000,0,119,48,0
41,17968661661.533,17968661680.300,17968666649.961,4968.928,4988.428,19.500,18.767,0.733,5011.572,0,0.000,0,119,48,0
42,17968671661.533,17968671681.874,17968676527.917,4845.375,4866.384,21.009,20.341,0.668,5133.616,0,0.000,0,119,48,0
43,17968681661.533,17968681679.048,17968686510.779,4830.815,4849.246,18.431,17.515,0.916,5150.754,0,0.000,0,119,48,0
44,17968691661.533,17968691682.669,17968696669.621,4986.172,5008.088,21.916,21.136,0.780,4991.912,0,0.000,0,119,48,0
45,17968701661.533,17968701678.623,17968706488.800,4809.472,4827.267,17.795,17.090,0.705,5172.733,0,0.000,0,119,48,0
46,17968711661.533,17968711679.034,17968716435.448,4755.759,4773.915,18.156,17.501,0.655,5226.085,0,0.000,0,119,48,0
47,17968721661.533,17968721678.740,17968726496.097,4816.635,4834.564,17.929,17.207,0.722,5165.436,0,0.000,0,119,48,0
48,17968731661.533,17968731680.925,17968736471.700,4789.960,4810.167,20.207,19.392,0.815,5189.833,0,0.000,0,119,48,0
49,17968741661.533,17968741687.048,17968746610.270,4922.394,4948.737,26.343,25.515,0.828,5051.263,0,0.000,0,119,48,0
50,17968751661.533,17968751679.889,17968756579.555,4899.038,4918.022,18.984,18.356,0.628,5081.978,0,0.000,0,119,48,0
51,17968761661.533,17968761678.801,17968766586.655,4907.090,4925.122,18.032,17.268,0.764,5074.878,0,0.000,0,119,48,0
52,17968771661.533,17968771681.043,17968776712.519,5030.920,5050.986,20.066,19.510,0.556,4949.014,0,0.000,0,119,48,0
53,17968781661.533,17968781680.476,17968786528.025,4846.737,4866.492,19.755,18.943,0.812,5133.508,0,0.000,0,119,48,0
54,17968791661.533,17968791680.793,17968796555.113,4873.518,4893.580,20.062,19.260,0.802,5106.420,0,0.000,0,119,48,0
55,17968801661.533,17968801680.192,17968806472.941,4791.987,4811.408,19.421,18.659,0.762,5188.592,0,0.000,0,119,48,0
56,17968811661.533,17968811678.971,17968816456.912,4777.329,4795.379,18.050,17.438,0.612,5204.621,0,0.000,0,119,48,0
57,17968821661.533,17968821679.535,17968826495.989,4815.566,4834.456,18.890,18.002,0.888,5165.544,0,0.000,0,119,48,0
58,17968831661.533,17968831680.351,17968836626.624,4945.568,4965.091,19.523,18.818,0.705,5034.909,0,0.000,0,119,48,0
59,17968841661.533,17968841679.704,17968846549.730,4869.371,4888.197,18.826,18.171,0.655,5111.803,0,0.000,0,119,48,0
60,17968851661.533,17968851680.747,17968856664.881,4983.423,5003.348,19.925,19.214,0.711,4996.652,0,0.000,0,119,48,0
61,17968861661.533,17968861681.330,17968866630.441,4948.320,4968.908,20.588,19.797,0.791,5031.092,0,0.000,0,119,48,0
62,17968871661.533,17968871680.956,17968876811.491,5129.776,5149.958,20.182,19.423,0.759,4850.042,0,0.000,0,119,48,0
63,17968881661.533,17968881678.651,17968886618.679,4939.359,4957.146,17.787,17.118,0.669,5042.854,0,0.000,0,119,48,0
64,17968891661.533,17968891682.955,17968896520.207,4836.394,4858.674,22.280,21.422,0.858,5141.326,0,0.000,0,119,48,0
65,17968901661.533,17968901682.357,17968906666.532,4983.455,5004.999,21.544,20.824,0.720,4995.001,0,0.000,0,119,48,0
66,17968911661.533,17968911680.531,17968916596.345,4914.742,4934.812,20.070,18.998,1.072,5065.188,0,0.000,0,119,48,0
67,17968921661.533,17968921679.172,17968926543.847,4863.912,4882.314,18.402,17.639,0.763,5117.686,0,0.000,0,119,48,0
68,17968931661.533,17968931680.304,17968936620.162,4939.144,4958.629,19.485,18.771,0.714,5041.371,0,0.000,0,119,48,0
69,17968941661.533,17968941679.793,17968946535.838,4855.310,4874.305,18.995,18.260,0.735,5125.695,0,0.000,0,119,48,0
70,17968951661.533,17968951679.255,17968956627.122,4947.146,4965.589,18.443,17.722,0.721,5034.411,0,0.000,0,119,48,0
71,17968961661.533,17968961679.679,17968966585.112,4904.757,4923.579,18.822,18.146,0.676,5076.421,0,0.000,0,119,48,0
72,17968971661.533,17968971680.812,17968976730.017,5048.247,5068.484,20.237,19.279,0.958,4931.516,0,0.000,0,119,48,0
73,17968981661.533,17968981679.916,17968986625.247,4944.671,4963.714,19.043,18.383,0.660,5036.286,0,0.000,0,119,48,0
74,17968991661.533,17968991680.703,17968996601.208,4919.628,4939.675,20.047,19.170,0.877,5060.325,0,0.000,0,119,48,0
75,17969001661.533,17969001679.379,17969006529.003,4848.817,4867.470,18.653,17.846,0.807,5132.530,0,0.000,0,119,48,0
76,17969011661.533,17969011679.023,17969016637.140,4957.461,4975.607,18.146,17.490,0.656,5024.393,0,0.000,0,119,48,0
77,17969021661.533,17969021680.173,17969026661.605,4980.878,5000.072,19.194,18.640,0.554,4999.928,0,0.000,0,119,48,0
78,17969031661.533,17969031678.440,17969036517.081,4837.796,4855.548,17.752,16.907,0.845,5144.452,0,0.000,0,119,48,0
79,17969041661.533,17969041678.816,17969046622.672,4943.224,4961.139,17.915,17.283,0.632,5038.861,0,0.000,0,119,48,0
80,17969051661.533,17969051679.991,17969056486.624,4806.075,4825.091,19.016,18.458,0.558,5174.909,0,0.000,0,119,48,0
81,17969061661.533,17969061678.974,17969066575.314,4895.808,4913.781,17.973,17.441,0.532,5086.219,0,0.000,0,119,48,0
