# probe kind=matmul M=48 K=571 buf_kb=0 period_us=100000 priority=90 cpu=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,10712010618.743,10712010647.553,10712034378.279,23728.466,23759.536,31.070,28.810,2.260,76240.464,0,0.000,0,571,48,0
1,10712110618.743,10712110858.841,10712134731.987,23871.092,24113.244,242.152,240.098,2.054,75886.756,0,0.000,0,571,48,0
2,10712210618.743,10712210666.568,10712234189.368,23520.685,23570.625,49.940,47.825,2.115,76429.375,0,0.000,0,571,48,0
3,10712310618.743,10712310804.029,10712334408.865,23602.679,23790.122,187.443,185.286,2.157,76209.878,0,0.000,0,571,48,0
4,10712410618.743,10712410796.430,10712434595.467,23796.867,23976.724,179.857,177.687,2.170,76023.276,0,0.000,0,571,48,0
5,10712510618.743,10712510849.069,10712534045.992,23194.814,23427.249,232.435,230.326,2.109,76572.751,0,0.000,0,571,48,0
6,10712610618.743,10712610790.942,10712634485.789,23692.650,23867.046,174.396,172.199,2.197,76132.954,0,0.000,0,571,48,0
7,10712710618.743,10712710798.538,10712734547.311,23746.976,23928.568,181.592,179.795,1.797,76071.432,0,0.000,0,571,48,0
8,10712810618.743,10712810876.959,10712834502.230,23623.106,23883.487,260.381,258.216,2.165,76116.513,0,0.000,0,571,48,0
9,10712910618.743,10712910805.765,10712934655.640,23847.562,24036.897,189.335,187.022,2.313,75963.103,0,0.000,0,571,48,0
10,10713010618.743,10713010793.706,10713034297.332,23501.412,23678.589,177.177,174.963,2.214,76321.411,0,0.000,0,571,48,0
11,10713110618.743,10713110791.963,10713134514.717,23720.537,23895.974,175.437,173.220,2.217,76104.026,0,0.000,0,571,48,0
12,10713210618.743,10713210797.036,10713234455.630,23656.530,23836.887,180.357,178.293,2.064,76163.113,0,0.000,0,571,48,0
13,10713310618.743,10713310799.374,10713333728.811,22927.190,23110.068,182.878,180.631,2.247,76889.932,0,0.000,0,571,48,0
14,10713410618.743,10713410822.431,10713434330.358,23505.762,23711.615,205.853,203.688,2.165,76288.385,0,0.000,0,571,48,0
15,10713510618.743,10713510795.906,10713534403.761,23605.619,23785.018,179.399,177.163,2.236,76214.982,0,0.000,0,571,48,0
16,10713610618.743,10713610799.483,10713634537.122,23735.366,23918.379,183.013,180.740,2.273,76081.621,0,0.000,0,571,48,0
17,10713710618.743,10713710787.968,10713734510.665,23720.425,23891.922,171.497,169.225,2.272,76108.078,0,0.000,0,571,48,0
18,10713810618.743,10713810794.628,10713834807.339,24010.594,24188.596,178.002,175.885,2.117,75811.404,0,0.000,0,571,48,0
19,10713910618.743,10713910807.434,10713934248.103,23438.323,23629.360,191.037,188.691,2.346,76370.640,0,0.000,0,571,48,0
20,10714010618.743,10714010790.519,10714034167.464,23374.858,23548.721,173.863,171.776,2.087,76451.279,0,0.000,0,571,48,0
21,10714110618.743,10714110793.137,10714134443.703,23648.441,23824.960,176.519,174.394,2.125,76175.040,0,0.000,0,571,48,0
22,10714210618.743,10714210796.012,10714234423.265,23625.293,23804.522,179.229,177.269,1.960,76195.478,0,0.000,0,571,48,0
23,10714310618.743,10714310807.273,10714334304.383,23494.795,23685.640,190.845,188.530,2.315,76314.360,0,0.000,0,571,48,0
24,10714410618.743,10714410861.969,10714434494.152,23630.023,23875.409,245.386,243.226,2.160,76124.591,0,0.000,0,571,48,0
25,10714510618.743,10714510802.425,10714534494.086,23689.564,23875.343,185.779,183.682,2.097,76124.657,0,0.000,0,571,48,0
26,10714610618.743,10714610786.350,10714634561.382,23772.710,23942.639,169.929,167.607,2.322,76057.361,0,0.000,0,571,48,0
27,10714710618.743,10714710860.645,10714734433.289,23570.252,23814.546,244.294,241.902,2.392,76185.454,0,0.000,0,571,48,0
28,10714810618.743,10714810800.353,10714834612.943,23810.350,23994.200,183.850,181.610,2.240,76005.800,0,0.000,0,571,48,0
29,10714910618.743,10714910927.032,10714934408.802,23479.513,23790.059,310.546,308.289,2.257,76209.941,0,0.000,0,571,48,0
30,10715010618.743,10715010792.528,10715034139.672,23345.002,23520.929,175.927,173.785,2.142,76479.071,0,0.000,0,571,48,0
31,10715110618.743,10715110672.792,10715134091.126,23416.405,23472.383,55.978,54.049,1.929,76527.617,0,0.000,0,571,48,0
32,10715210618.743,10715210791.562,10715234450.596,23656.635,23831.853,175.218,172.819,2.399,76168.147,0,0.000,0,571,48,0
33,10715310618.743,10715310845.359,10715334087.119,23239.707,23468.376,228.669,226.616,2.053,76531.624,0,0.000,0,571,48,0
34,10715410618.743,10715410797.133,10715434213.240,23413.754,23594.497,180.743,178.390,2.353,76405.503,0,0.000,0,571,48,0
35,10715510618.743,10715510812.887,10715533982.354,23166.958,23363.611,196.653,194.144,2.509,76636.389,0,0.000,0,571,48,0
36,10715610618.743,10715610792.999,10715634322.625,23527.232,23703.882,176.650,174.256,2.394,76296.118,0,0.000,0,571,48,0
37,10715710618.743,10715710795.431,10715734271.073,23472.768,23652.330,179.562,176.688,2.874,76347.670,0,0.000,0,571,48,0
38,10715810618.743,10715810787.289,10715834291.800,23502.683,23673.057,170.374,168.546,1.828,76326.943,0,0.000,0,571,48,0
39,10715910618.743,10715910809.189,10715934426.041,23614.700,23807.298,192.598,190.446,2.152,76192.702,0,0.000,0,571,48,0
40,10716010618.743,10716010864.340,10716034513.314,23646.848,23894.571,247.723,245.597,2.126,76105.429,0,0.000,0,571,48,0
41,10716110618.743,10716110848.000,10716134511.821,23661.411,23893.078,231.667,229.257,2.410,76106.922,0,0.000,0,571,48,0
42,10716210618.743,10716210801.343,10716234340.821,23537.258,23722.078,184.820,182.600,2.220,76277.922,0,0.000,0,571,48,0
43,10716310618.743,10716310803.476,10716334464.264,23658.807,23845.521,186.714,184.733,1.981,76154.479,0,0.000,0,571,48,0
44,10716410618.743,10716410816.332,10716434322.677,23504.251,23703.934,199.683,197.589,2.094,76296.066,0,0.000,0,571,48,0
45,10716510618.743,10716510786.763,10716534251.735,23462.998,23632.992,169.994,168.020,1.974,76367.008,0,0.000,0,571,48,0
46,10716610618.743,10716610840.689,10716634391.340,23548.586,23772.597,224.011,221.946,2.065,76227.403,0,0.000,0,571,48,0
47,10716710618.743,10716710833.045,10716734136.183,23301.254,23517.440,216.186,214.302,1.884,76482.560,0,0.000,0,571,48,0
48,10716810618.743,10716810795.446,10716834243.566,23445.924,23624.823,178.899,176.703,2.196,76375.177,0,0.000,0,571,48,0
49,10716910618.743,10716910839.546,10716934484.603,23642.951,23865.860,222.909,220.803,2.106,76134.140,0,0.000,0,571,48,0
50,10717010618.743,10717010790.918,10717034588.015,23794.867,23969.272,174.405,172.175,2.230,76030.728,0,0.000,0,571,48,0
51,10717110618.743,10717110784.099,10717134409.813,23623.523,23791.070,167.547,165.356,2.191,76208.930,0,0.000,0,571,48,0
52,10717210618.743,10717210870.996,10717234563.722,23690.319,23944.979,254.660,252.253,2.407,76055.021,0,0.000,0,571,48,0
53,10717310618.743,10717310852.991,10717334305.703,23450.281,23686.960,236.679,234.248,2.431,76313.040,0,0.000,0,571,48,0
54,10717410618.743,10717410794.463,10717434345.800,23549.190,23727.057,177.867,175.720,2.147,76272.943,0,0.000,0,571,48,0
