# probe kind=primes M=48 K=173 period_us=100000 priority=90 cpu=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,7236514011.940,7236514039.694,7236579280.279,65241.483,65268.339,26.856,27.754,-0.898,34731.661,0,0.000,0,173,48,0
1,7236614011.940,7236614034.968,7236679248.628,65215.813,65236.688,20.875,23.028,-2.153,34763.312,0,0.000,0,173,48,0
2,7236714011.940,7236714042.511,7236779709.986,65669.629,65698.046,28.417,30.571,-2.154,34301.954,0,0.000,0,173,48,0
3,7236814011.940,7236814032.034,7236879416.029,65386.184,65404.089,17.905,20.094,-2.189,34595.911,0,0.000,0,173,48,0
4,7236914011.940,7236914040.087,7236979550.552,65512.768,65538.612,25.844,28.147,-2.303,34461.388,0,0.000,0,173,48,0
5,7237014011.940,7237014034.760,7237079434.509,65401.990,65422.569,20.579,22.820,-2.241,34577.431,0,0.000,0,173,48,0
6,7237114011.940,7237114044.304,7237179963.979,65922.012,65952.039,30.027,32.364,-2.337,34047.961,0,0.000,0,173,48,0
7,7237214011.940,7237214034.646,7237279808.233,65775.945,65796.293,20.348,22.706,-2.358,34203.707,0,0.000,0,173,48,0
8,7237314011.940,7237314045.953,7237379479.676,65435.944,65467.736,31.792,34.013,-2.221,34532.264,0,0.000,0,173,48,0
9,7237414011.940,7237414038.294,7237479177.425,65141.443,65165.485,24.042,26.354,-2.312,34834.515,0,0.000,0,173,48,0
10,7237514011.940,7237514030.505,7237579855.115,65827.040,65843.175,16.135,18.565,-2.430,34156.825,0,0.000,0,173,48,0
11,7237614011.940,7237614040.328,7237679191.882,65153.647,65179.942,26.295,28.388,-2.093,34820.058,0,0.000,0,173,48,0
12,7237714011.940,7237714041.641,7237779652.202,65612.886,65640.262,27.376,29.701,-2.325,34359.738,0,0.000,0,173,48,0
13,7237814011.940,7237814042.691,7237879238.607,65198.039,65226.667,28.628,30.751,-2.123,34773.333,0,0.000,0,173,48,0
14,7237914011.940,7237914041.692,7237979795.670,65756.247,65783.730,27.483,29.752,-2.269,34216.270,0,0.000,0,173,48,0
15,7238014011.940,7238014033.614,7238079635.948,65604.670,65624.008,19.338,21.674,-2.336,34375.992,0,0.000,0,173,48,0
16,7238114011.940,7238114039.844,7238179451.892,65414.284,65439.952,25.668,27.904,-2.236,34560.048,0,0.000,0,173,48,0
17,7238214011.940,7238214040.689,7238279743.362,65704.888,65731.422,26.534,28.749,-2.215,34268.578,0,0.000,0,173,48,0
18,7238314011.940,7238314031.257,7238379546.503,65517.582,65534.563,16.981,19.317,-2.336,34465.437,0,0.000,0,173,48,0
19,7238414011.940,7238414036.742,7238479742.595,65708.105,65730.655,22.550,24.802,-2.252,34269.345,0,0.000,0,173,48,0
20,7238514011.940,7238514046.041,7238579754.561,65710.819,65742.621,31.802,34.101,-2.299,34257.379,0,0.000,0,173,48,0
21,7238614011.940,7238614034.847,7238679897.266,65864.673,65885.326,20.653,22.907,-2.254,34114.674,0,0.000,0,173,48,0
22,7238714011.940,7238714035.589,7238779327.968,65294.533,65316.028,21.495,23.649,-2.154,34683.972,0,0.000,0,173,48,0
23,7238814011.940,7238814044.881,7238879511.763,65469.223,65499.823,30.600,32.941,-2.341,34500.177,0,0.000,0,173,48,0
24,7238914011.940,7238914036.075,7238979619.485,65585.729,65607.545,21.816,24.135,-2.319,34392.455,0,0.000,0,173,48,0
25,7239014011.940,7239014044.221,7239079761.931,65720.027,65749.991,29.964,32.281,-2.317,34250.009,0,0.000,0,173,48,0
26,7239114011.940,7239114034.150,7239179480.664,65448.704,65468.724,20.020,22.210,-2.190,34531.276,0,0.000,0,173,48,0
27,7239214011.940,7239214040.739,7239279585.850,65547.401,65573.910,26.509,28.799,-2.290,34426.090,0,0.000,0,173,48,0
28,7239314011.940,7239314038.499,7239379379.897,65343.571,65367.957,24.386,26.559,-2.173,34632.043,0,0.000,0,173,48,0
29,7239414011.940,7239414039.747,7239479368.542,65331.137,65356.602,25.465,27.807,-2.342,34643.398,0,0.000,0,173,48,0
30,7239514011.940,7239514042.734,7239579728.027,65687.680,65716.087,28.407,30.794,-2.387,34283.913,0,0.000,0,173,48,0
31,7239614011.940,7239614045.972,7239679496.952,65453.088,65485.012,31.924,34.032,-2.108,34514.988,0,0.000,0,173,48,0
32,7239714011.940,7239714033.426,7239779693.352,65662.296,65681.412,19.116,21.486,-2.370,34318.588,0,0.000,0,173,48,0
33,7239814011.940,7239814035.706,7239879244.144,65210.454,65232.204,21.750,23.766,-2.016,34767.796,0,0.000,0,173,48,0
34,7239914011.940,7239914031.794,7239979515.939,65486.501,65503.999,17.498,19.854,-2.356,34496.001,0,0.000,0,173,48,0
35,7240014011.940,7240014033.090,7240079723.920,65693.176,65711.980,18.804,21.150,-2.346,34288.020,0,0.000,0,173,48,0
36,7240114011.940,7240114045.909,7240179965.828,65922.163,65953.888,31.725,33.969,-2.244,34046.112,0,0.000,0,173,48,0
37,7240214011.940,7240214031.678,7240279728.375,65699.001,65716.435,17.434,19.738,-2.304,34283.565,0,0.000,0,173,48,0
38,7240314011.940,7240314043.892,7240379380.101,65338.404,65368.161,29.757,31.952,-2.195,34631.839,0,0.000,0,173,48,0
39,7240414011.940,7240414038.856,7240479703.861,65667.364,65691.921,24.557,26.916,-2.359,34308.079,0,0.000,0,173,48,0
40,7240514011.940,7240514037.745,7240579655.025,65619.727,65643.085,23.358,25.805,-2.447,34356.915,0,0.000,0,173,48,0
41,7240614011.940,7240614036.621,7240679793.321,65758.873,65781.381,22.508,24.681,-2.173,34218.619,0,0.000,0,173,48,0
42,7240714011.940,7240714034.098,7240779656.042,65624.264,65644.102,19.838,22.158,-2.320,34355.898,0,0.000,0,173,48,0
43,7240814011.940,7240814044.136,7240879104.498,65062.636,65092.558,29.922,32.196,-2.274,34907.442,0,0.000,0,173,48,0
44,7240914011.940,7240914033.113,7240979066.840,65035.982,65054.900,18.918,21.173,-2.255,34945.100,0,0.000,0,173,48,0
45,7241014011.940,7241014031.027,7241079621.877,65593.222,65609.937,16.715,19.087,-2.372,34390.063,0,0.000,0,173,48,0
46,7241114011.940,7241114031.749,7241179736.795,65707.387,65724.855,17.468,19.809,-2.341,34275.145,0,0.000,0,173,48,0
47,7241214011.940,7241214039.626,7241279581.434,65544.141,65569.494,25.353,27.686,-2.333,34430.506,0,0.000,0,173,48,0
48,7241314011.940,7241314044.152,7241379538.604,65496.713,65526.664,29.951,32.212,-2.261,34473.336,0,0.000,0,173,48,0
49,7241414011.940,7241414044.215,7241479798.127,65756.255,65786.187,29.932,32.275,-2.343,34213.813,0,0.000,0,173,48,0
50,7241514011.940,7241514036.840,7241579440.539,65405.901,65428.599,22.698,24.900,-2.202,34571.401,0,0.000,0,173,48,0
51,7241614011.940,7241614047.438,7241679442.767,65397.679,65430.827,33.148,35.498,-2.350,34569.173,0,0.000,0,173,48,0
52,7241714011.940,7241714042.181,7241779328.667,65288.493,65316.727,28.234,30.241,-2.007,34683.273,0,0.000,0,173,48,0
53,7241814011.940,7241814033.205,7241878999.004,64968.112,64987.064,18.952,21.265,-2.313,35012.936,0,0.000,0,173,48,0
54,7241914011.940,7241914038.216,7241979826.079,65790.238,65814.139,23.901,26.276,-2.375,34185.861,0,0.000,0,173,48,0
55,7242014011.940,7242014031.015,7242079389.899,65361.223,65377.959,16.736,19.075,-2.339,34622.041,0,0.000,0,173,48,0
56,7242114011.940,7242114033.415,7242179917.637,65886.308,65905.697,19.389,21.475,-2.086,34094.303,0,0.000,0,173,48,0
57,7242214011.940,7242214034.628,7242279016.873,64984.524,65004.933,20.409,22.688,-2.279,34995.067,0,0.000,0,173,48,0
58,7242314011.940,7242314043.216,7242379241.340,65200.396,65229.400,29.004,31.276,-2.272,34770.600,0,0.000,0,173,48,0
59,7242414011.940,7242414034.855,7242479753.741,65721.142,65741.801,20.659,22.915,-2.256,34258.199,0,0.000,0,173,48,0
60,7242514011.940,7242514033.366,7242579496.982,65465.976,65485.042,19.066,21.426,-2.360,34514.958,0,0.000,0,173,48,0
61,7242614011.940,7242614035.449,7242679905.416,65872.350,65893.476,21.126,23.509,-2.383,34106.524,0,0.000,0,173,48,0
62,7242714011.940,7242714039.030,7242779389.980,65353.287,65378.040,24.753,27.090,-2.337,34621.960,0,0.000,0,173,48,0
63,7242814011.940,7242814042.531,7242879591.174,65551.080,65579.234,28.154,30.591,-2.437,34420.766,0,0.000,0,173,48,0
64,7242914011.940,7242914034.650,7242979852.155,65819.967,65840.215,20.248,22.710,-2.462,34159.785,0,0.000,0,173,48,0
65,7243014011.940,7243014037.550,7243079442.491,65407.313,65430.551,23.238,25.610,-2.372,34569.449,0,0.000,0,173,48,0
66,7243114011.940,7243114044.822,7243179847.269,65804.821,65835.329,30.508,32.882,-2.374,34164.671,0,0.000,0,173,48,0
67,7243214011.940,7243214038.174,7243279403.810,65367.985,65391.870,23.885,26.234,-2.349,34608.130,0,0.000,0,173,48,0
68,7243314011.940,7243314046.005,7243379451.743,65408.019,65439.803,31.784,34.065,-2.281,34560.197,0,0.000,0,173,48,0
69,7243414011.940,7243414036.996,7243479375.979,65340.989,65364.039,23.050,25.056,-2.006,34635.961,0,0.000,0,173,48,0
70,7243514011.940,7243514038.643,7243579576.608,65540.224,65564.668,24.444,26.703,-2.259,34435.332,0,0.000,0,173,48,0
71,7243614011.940,7243614050.137,7243679875.284,65827.317,65863.344,36.027,38.197,-2.170,34136.656,0,0.000,0,173,48,0
72,7243714011.940,7243714044.959,7243779631.263,65588.592,65619.323,30.731,33.019,-2.288,34380.677,0,0.000,0,173,48,0
73,7243814011.940,7243814033.970,7243879325.699,65293.825,65313.759,19.934,22.030,-2.096,34686.241,0,0.000,0,173,48,0
74,7243914011.940,7243914045.356,7243979672.042,65628.882,65660.102,31.220,33.416,-2.196,34339.898,0,0.000,0,173,48,0
75,7244014011.940,7244014043.278,7244079494.101,65453.119,65482.161,29.042,31.338,-2.296,34517.839,0,0.000,0,173,48,0
76,7244114011.940,7244114031.667,7244178963.779,64934.329,64951.839,17.510,19.727,-2.217,35048.161,0,0.000,0,173,48,0
77,7244214011.940,7244214040.931,7244279250.484,65211.855,65238.544,26.689,28.991,-2.302,34761.456,0,0.000,0,173,48,0
78,7244314011.940,7244314044.189,7244378885.262,64843.483,64873.322,29.839,32.249,-2.410,35126.678,0,0.000,0,173,48,0
79,7244414011.940,7244414045.248,7244479427.350,65384.462,65415.410,30.948,33.308,-2.360,34584.590,0,0.000,0,173,48,0
80,7244514011.940,7244514038.650,7244579583.014,65546.716,65571.074,24.358,26.710,-2.352,34428.926,0,0.000,0,173,48,0
81,7244614011.940,7244614031.905,7244679948.988,65919.359,65937.048,17.689,19.965,-2.276,34062.952,0,0.000,0,173,48,0
82,7244714011.940,7244714043.952,7244778912.439,64870.631,64900.499,29.868,32.012,-2.144,35099.501,0,0.000,0,173,48,0
83,7244814011.940,7244814041.037,7244879741.361,65702.680,65729.421,26.741,29.097,-2.356,34270.579,0,0.000,0,173,48,0
84,7244914011.940,7244914047.172,7244979733.743,65688.816,65721.803,32.987,35.232,-2.245,34278.197,0,0.000,0,173,48,0
85,7245014011.940,7245014044.322,7245079288.700,65246.730,65276.760,30.030,32.382,-2.352,34723.240,0,0.000,0,173,48,0
86,7245114011.940,7245114041.271,7245179122.880,65083.885,65110.940,27.055,29.331,-2.276,34889.060,0,0.000,0,173,48,0
87,7245214011.940,7245214031.433,7245279591.123,65562.108,65579.183,17.075,19.493,-2.418,34420.817,0,0.000,0,173,48,0
88,7245314011.940,7245314043.060,7245380027.305,65986.548,66015.365,28.817,31.120,-2.303,33984.635,0,0.000,0,173,48,0
89,7245414011.940,7245414032.298,7245479458.100,65428.040,65446.160,18.120,20.358,-2.238,34553.840,0,0.000,0,173,48,0
90,7245514011.940,7245514042.898,7245580090.899,66050.366,66078.959,28.593,30.958,-2.365,33921.041,0,0.000,0,173,48,0
91,7245614011.940,7245614044.635,7245679587.151,65544.780,65575.211,30.431,32.695,-2.264,34424.789,0,0.000,0,173,48,0
92,7245714011.940,7245714042.757,7245779114.564,65074.119,65102.624,28.505,30.817,-2.312,34897.376,0,0.000,0,173,48,0
93,7245814011.940,7245814042.574,7245880209.411,66169.050,66197.471,28.421,30.634,-2.213,33802.529,0,0.000,0,173,48,0
94,7245914011.940,7245914042.786,7245979390.606,65350.149,65378.666,28.517,30.846,-2.329,34621.334,0,0.000,0,173,48,0
95,7246014011.940,7246014038.435,7246078982.805,64946.648,64970.865,24.217,26.495,-2.278,35029.135,0,0.000,0,173,48,0
96,7246114011.940,7246114042.488,7246179439.533,65399.330,65427.593,28.263,30.548,-2.285,34572.407,0,0.000,0,173,48,0
97,7246214011.940,7246214032.637,7246279671.947,65641.537,65660.007,18.470,20.697,-2.227,34339.993,0,0.000,0,173,48,0
98,7246314011.940,7246314036.715,7246379379.015,65344.551,65367.075,22.524,24.775,-2.251,34632.925,0,0.000,0,173,48,0
99,7246414011.940,7246414036.482,7246479163.622,65129.429,65151.682,22.253,24.542,-2.289,34848.318,0,0.000,0,173,48,0
100,7246514011.940,7246514039.851,7246579401.872,65364.166,65389.932,25.766,27.911,-2.145,34610.068,0,0.000,0,173,48,0
101,7246614011.940,7246614044.095,7246679589.359,65547.728,65577.419,29.691,32.155,-2.464,34422.581,0,0.000,0,173,48,0
102,7246714011.940,7246714041.631,7246779666.191,65626.954,65654.251,27.297,29.691,-2.394,34345.749,0,0.000,0,173,48,0
103,7246814011.940,7246814033.717,7246880290.149,66258.880,66278.209,19.329,21.777,-2.448,33721.791,0,0.000,0,173,48,0
104,7246914011.940,7246914035.777,7246980238.044,66204.607,66226.104,21.497,23.837,-2.340,33773.896,0,0.000,0,173,48,0
105,7247014011.940,7247014034.334,7247079682.141,65649.925,65670.201,20.276,22.394,-2.118,34329.799,0,0.000,0,173,48,0
106,7247114011.940,7247114044.986,7247179652.211,65609.480,65640.271,30.791,33.046,-2.255,34359.729,0,0.000,0,173,48,0
107,7247214011.940,7247214033.561,7247279593.635,65562.297,65581.695,19.398,21.621,-2.223,34418.305,0,0.000,0,173,48,0
108,7247314011.940,7247314033.048,7247379246.998,65216.316,65235.058,18.742,21.108,-2.366,34764.942,0,0.000,0,173,48,0
109,7247414011.940,7247414045.503,7247479581.736,65538.571,65569.796,31.225,33.563,-2.338,34430.204,0,0.000,0,173,48,0
110,7247514011.940,7247514040.555,7247579406.121,65367.646,65394.181,26.535,28.615,-2.080,34605.819,0,0.000,0,173,48,0
111,7247614011.940,7247614034.154,7247679524.395,65492.520,65512.455,19.935,22.214,-2.279,34487.545,0,0.000,0,173,48,0
112,7247714011.940,7247714033.173,7247779290.150,65259.263,65278.210,18.947,21.233,-2.286,34721.790,0,0.000,0,173,48,0
113,7247814011.940,7247814043.459,7247879512.126,65470.951,65500.186,29.235,31.519,-2.284,34499.814,0,0.000,0,173,48,0
114,7247914011.940,7247914032.852,7247979619.196,65588.590,65607.256,18.666,20.912,-2.246,34392.744,0,0.000,0,173,48,0
115,7248014011.940,7248014038.202,7248079538.441,65502.569,65526.501,23.932,26.262,-2.330,34473.499,0,0.000,0,173,48,0
116,7248114011.940,7248114044.244,7248179670.606,65628.392,65658.666,30.274,32.304,-2.030,34341.334,0,0.000,0,173,48,0
117,7248214011.940,7248214042.880,7248279663.913,65623.070,65651.973,28.903,30.940,-2.037,34348.027,0,0.000,0,173,48,0
118,7248314011.940,7248314045.039,7248379793.892,65750.995,65781.952,30.957,33.099,-2.142,34218.048,0,0.000,0,173,48,0
119,7248414011.940,7248414034.154,7248479644.138,65612.215,65632.198,19.983,22.214,-2.231,34367.802,0,0.000,0,173,48,0
120,7248514011.940,7248514047.883,7248579728.327,65682.710,65716.387,33.677,35.943,-2.266,34283.613,0,0.000,0,173,48,0
121,7248614011.940,7248614034.865,7248679665.200,65632.609,65653.260,20.651,22.925,-2.274,34346.740,0,0.000,0,173,48,0
122,7248714011.940,7248714040.130,7248778873.441,64835.599,64861.501,25.902,28.190,-2.288,35138.499,0,0.000,0,173,48,0
123,7248814011.940,7248814032.911,7248879546.254,65515.659,65534.314,18.655,20.971,-2.316,34465.686,0,0.000,0,173,48,0
124,7248914011.940,7248914032.188,7248980219.055,66189.262,66207.115,17.853,20.248,-2.395,33792.885,0,0.000,0,173,48,0
125,7249014011.940,7249014038.827,7249079628.221,65591.758,65616.281,24.523,26.887,-2.364,34383.719,0,0.000,0,173,48,0
126,7249114011.940,7249114034.903,7249179182.432,65149.993,65170.492,20.499,22.963,-2.464,34829.508,0,0.000,0,173,48,0
127,7249214011.940,7249214031.809,7249279709.004,65679.417,65697.064,17.647,19.869,-2.222,34302.936,0,0.000,0,173,48,0
