# probe kind=primes M=48 K=11 period_us=10000 priority=90 cpu=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,6246555409.840,6246555434.368,6246559700.203,4263.775,4290.363,26.588,24.528,2.060,5709.637,0,0.000,0,11,48,0
1,6246565409.840,6246565427.074,6246569639.157,4211.457,4229.317,17.860,17.234,0.626,5770.683,0,0.000,0,11,48,0
2,6246575409.840,6246575427.468,6246579676.791,4248.536,4266.951,18.415,17.628,0.787,5733.049,0,0.000,0,11,48,0
3,6246585409.840,6246585428.197,6246589728.013,4299.226,4318.173,18.947,18.357,0.590,5681.827,0,0.000,0,11,48,0
4,6246595409.840,6246595427.822,6246599706.434,4278.032,4296.594,18.562,17.982,0.580,5703.406,0,0.000,0,11,48,0
5,6246605409.840,6246605429.244,6246609758.724,4328.873,4348.884,20.011,19.404,0.607,5651.116,0,0.000,0,11,48,0
6,6246615409.840,6246615427.306,6246619737.034,4309.174,4327.194,18.020,17.466,0.554,5672.806,0,0.000,0,11,48,0
7,6246625409.840,6246625428.024,6246629660.448,4231.818,4250.608,18.790,18.184,0.606,5749.392,0,0.000,0,11,48,0
8,6246635409.840,6246635427.377,6246639824.329,4396.368,4414.489,18.121,17.537,0.584,5585.511,0,0.000,0,11,48,0
9,6246645409.840,6246645427.307,6246649570.540,4142.615,4160.700,18.085,17.467,0.618,5839.300,0,0.000,0,11,48,0
10,6246655409.840,6246655427.592,6246659617.113,4188.598,4207.273,18.675,17.752,0.923,5792.727,0,0.000,0,11,48,0
11,6246665409.840,6246665428.592,6246669857.542,4428.245,4447.702,19.457,18.752,0.705,5552.298,0,0.000,0,11,48,0
12,6246675409.840,6246675427.429,6246679857.650,4429.426,4447.810,18.384,17.589,0.795,5552.190,0,0.000,0,11,48,0
13,6246685409.840,6246685427.306,6246689638.444,4210.653,4228.604,17.951,17.466,0.485,5771.396,0,0.000,0,11,48,0
14,6246695409.840,6246695429.430,6246699658.863,4228.701,4249.023,20.322,19.590,0.732,5750.977,0,0.000,0,11,48,0
15,6246705409.840,6246705431.462,6246709703.334,4271.029,4293.494,22.465,21.622,0.843,5706.506,0,0.000,0,11,48,0
16,6246715409.840,6246715428.368,6246719773.310,4344.061,4363.470,19.409,18.528,0.881,5636.530,0,0.000,0,11,48,0
17,6246725409.840,6246725430.048,6246729787.941,4357.307,4378.101,20.794,20.208,0.586,5621.899,0,0.000,0,11,48,0
18,6246735409.840,6246735426.908,6246739679.883,4252.425,4270.043,17.618,17.068,0.550,5729.957,0,0.000,0,11,48,0
19,6246745409.840,6246745429.159,6246749637.347,4207.508,4227.507,19.999,19.319,0.680,5772.493,0,0.000,0,11,48,0
20,6246755409.840,6246755427.155,6246759526.826,4099.148,4116.986,17.838,17.315,0.523,5883.014,0,0.000,0,11,48,0
21,6246765409.840,6246765427.471,6246769676.882,4248.738,4267.042,18.304,17.631,0.673,5732.958,0,0.000,0,11,48,0
22,6246775409.840,6246775427.315,6246779652.161,4224.160,4242.321,18.161,17.475,0.686,5757.679,0,0.000,0,11,48,0
23,6246785409.840,6246785430.247,6246789707.765,4276.680,4297.925,21.245,20.407,0.838,5702.075,0,0.000,0,11,48,0
24,6246795409.840,6246795427.858,6246799626.167,4197.700,4216.327,18.627,18.018,0.609,5783.673,0,0.000,0,11,48,0
25,6246805409.840,6246805430.037,6246809710.712,4280.060,4300.872,20.812,20.197,0.615,5699.128,0,0.000,0,11,48,0
26,6246815409.840,6246815428.273,6246819799.119,4370.287,4389.279,18.992,18.433,0.559,5610.721,0,0.000,0,11,48,0
27,6246825409.840,6246825435.254,6246829730.008,4293.857,4320.168,26.311,25.414,0.897,5679.832,0,0.000,0,11,48,0
28,6246835409.840,6246835428.612,6246839619.979,4190.739,4210.139,19.400,18.772,0.628,5789.861,0,0.000,0,11,48,0
29,6246845409.840,6246845428.156,6246849555.876,4127.192,4146.036,18.844,18.316,0.528,5853.964,0,0.000,0,11,48,0
30,6246855409.840,6246855428.879,6246859635.127,4205.577,4225.287,19.710,19.039,0.671,5774.713,0,0.000,0,11,48,0
31,6246865409.840,6246865428.823,6246869802.722,4373.262,4392.882,19.620,18.983,0.637,5607.118,0,0.000,0,11,48,0
32,6246875409.840,6246875426.963,6246879589.898,4162.275,4180.058,17.783,17.123,0.660,5819.942,0,0.000,0,11,48,0
33,6246885409.840,6246885428.451,6246889621.694,4192.480,4211.854,19.374,18.611,0.763,5788.146,0,0.000,0,11,48,0
