# probe kind=matmul M=48 K=19 buf_kb=0 period_us=10000 priority=90 cpu=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,25505151647.187,25505151671.941,25505152446.576,772.798,799.389,26.591,24.754,1.837,9200.611,0,0.000,0,19,48,0
1,25505161647.187,25505161675.409,25505162424.865,747.673,777.678,30.005,28.222,1.783,9222.322,0,0.000,0,19,48,0
2,25505171647.187,25505171665.847,25505172423.449,756.951,776.262,19.311,18.660,0.651,9223.738,0,0.000,0,19,48,0
3,25505181647.187,25505181668.048,25505182424.114,755.499,776.927,21.428,20.861,0.567,9223.073,0,0.000,0,19,48,0
4,25505191647.187,25505191664.006,25505192420.592,755.779,773.405,17.626,16.819,0.807,9226.595,0,0.000,0,19,48,0
5,25505201647.187,25505201663.920,25505202402.397,737.818,755.210,17.392,16.733,0.659,9244.790,0,0.000,0,19,48,0
6,25505211647.187,25505211666.556,25505212423.462,756.293,776.275,19.982,19.369,0.613,9223.725,0,0.000,0,19,48,0
7,25505221647.187,25505221665.640,25505222439.456,773.072,792.269,19.197,18.453,0.744,9207.731,0,0.000,0,19,48,0
8,25505231647.187,25505231666.412,25505232405.222,738.188,758.035,19.847,19.225,0.622,9241.965,0,0.000,0,19,48,0
9,25505241647.187,25505241664.751,25505242424.475,759.016,777.288,18.272,17.564,0.708,9222.712,0,0.000,0,19,48,0
10,25505251647.187,25505251667.034,25505252424.705,756.915,777.518,20.603,19.847,0.756,9222.482,0,0.000,0,19,48,0
11,25505261647.187,25505261666.870,25505262433.570,766.042,786.383,20.341,19.683,0.658,9213.617,0,0.000,0,19,48,0
12,25505271647.187,25505271667.274,25505272436.947,768.914,789.760,20.846,20.087,0.759,9210.240,0,0.000,0,19,48,0
13,25505281647.187,25505281664.886,25505282421.371,755.925,774.184,18.259,17.699,0.560,9225.816,0,0.000,0,19,48,0
14,25505291647.187,25505291665.947,25505292456.820,790.149,809.633,19.484,18.760,0.724,9190.367,0,0.000,0,19,48,0
15,25505301647.187,25505301666.081,25505302434.344,767.500,787.157,19.657,18.894,0.763,9212.843,0,0.000,0,19,48,0
16,25505311647.187,25505311666.927,25505312405.423,737.741,758.236,20.495,19.740,0.755,9241.764,0,0.000,0,19,48,0
17,25505321647.187,25505321664.109,25505322420.214,755.471,773.027,17.556,16.922,0.634,9226.973,0,0.000,0,19,48,0
18,25505331647.187,25505331664.490,25505332431.571,766.513,784.384,17.871,17.303,0.568,9215.616,0,0.000,0,19,48,0
19,25505341647.187,25505341665.007,25505342421.568,756.004,774.381,18.377,17.820,0.557,9225.619,0,0.000,0,19,48,0
20,25505351647.187,25505351666.256,25505352423.039,755.941,775.852,19.911,19.069,0.842,9224.148,0,0.000,0,19,48,0
21,25505361647.187,25505361665.467,25505362423.588,757.277,776.401,19.124,18.280,0.844,9223.599,0,0.000,0,19,48,0
