# probe kind=ptrchase M=48 K=21 buf_kb=131072 period_us=10000 priority=90 cpu=0 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,11626755262.516,11626755272.800,11626756693.572,1418.832,1431.056,12.224,10.284,1.940,8568.944,0,0.000,0,21,48,0
1,11626765262.516,11626765269.952,11626766670.915,1400.428,1408.399,7.971,7.436,0.535,8591.601,0,0.000,0,21,48,0
2,11626775262.516,11626775269.584,11626776686.925,1416.820,1424.409,7.589,7.068,0.521,8575.591,0,0.000,0,21,48,0
3,11626785262.516,11626785270.147,11626786696.631,1425.829,1434.115,8.286,7.631,0.655,8565.885,0,0.000,0,21,48,0
4,11626795262.516,11626795269.368,11626796691.673,1421.759,1429.157,7.398,6.852,0.546,8570.843,0,0.000,0,21,48,0
5,11626805262.516,11626805269.732,11626806673.499,1403.247,1410.983,7.736,7.216,0.520,8589.017,0,0.000,0,21,48,0
6,11626815262.516,11626815268.990,11626816683.172,1413.594,1420.656,7.062,6.474,0.588,8579.344,0,0.000,0,21,48,0
7,11626825262.516,11626825269.686,11626826674.765,1404.555,1412.249,7.694,7.170,0.524,8587.751,0,0.000,0,21,48,0
8,11626835262.516,11626835269.555,11626836679.663,1409.574,1417.147,7.573,7.039,0.534,8582.853,0,0.000,0,21,48,0
9,11626845262.516,11626845269.196,11626846679.460,1409.734,1416.944,7.210,6.680,0.530,8583.056,0,0.000,0,21,48,0
10,11626855262.516,11626855270.435,11626856679.816,1408.846,1417.300,8.454,7.919,0.535,8582.700,0,0.000,0,21,48,0
11,11626865262.516,11626865269.252,11626866682.079,1412.324,1419.563,7.239,6.736,0.503,8580.437,0,0.000,0,21,48,0
12,11626875262.516,11626875269.670,11626876680.973,1410.778,1418.457,7.679,7.154,0.525,8581.543,0,0.000,0,21,48,0
13,11626885262.516,11626885270.288,11626886680.868,1409.978,1418.352,8.374,7.772,0.602,8581.648,0,0.000,0,21,48,0
14,11626895262.516,11626895274.773,11626896820.006,1543.638,1557.490,13.852,12.257,1.595,8442.510,0,0.000,0,21,48,0
15,11626905262.516,11626905271.058,11626906812.095,1540.474,1549.579,9.105,8.542,0.563,8450.421,0,0.000,0,21,48,0
16,11626915262.516,11626915269.762,11626916743.875,1473.573,1481.359,7.786,7.246,0.540,8518.641,0,0.000,0,21,48,0
17,11626925262.516,11626925269.702,11626926704.547,1434.315,1442.031,7.716,7.186,0.530,8557.969,0,0.000,0,21,48,0
18,11626935262.516,11626935268.846,11626936684.747,1415.381,1422.231,6.850,6.330,0.520,8577.769,0,0.000,0,21,48,0
19,11626945262.516,11626945269.697,11626946677.571,1407.326,1415.055,7.729,7.181,0.548,8584.945,0,0.000,0,21,48,0
