# probe kind=ptrchase M=48 K=941 buf_kb=131072 period_us=100000 priority=90 cpu=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,41403764697.131,41403764730.552,41403827188.573,62455.789,62491.442,35.653,33.421,2.232,37508.558,0,0.000,0,941,48,0
1,41403864697.131,41403864865.413,41403927833.533,62966.341,63136.402,170.061,168.282,1.779,36863.598,0,0.000,0,941,48,0
2,41403964697.131,41403964723.727,41404027329.598,62605.735,62632.467,26.732,26.596,0.136,37367.533,0,0.000,0,941,48,0
3,41404064697.131,41404064719.754,41404127262.878,62542.943,62565.747,22.804,22.623,0.181,37434.253,0,0.000,0,941,48,0
4,41404164697.131,41404164721.688,41404227208.257,62486.398,62511.126,24.728,24.557,0.171,37488.874,0,0.000,0,941,48,0
5,41404264697.131,41404264724.959,41404327417.735,62692.641,62720.604,27.963,27.828,0.135,37279.396,0,0.000,0,941,48,0
6,41404364697.131,41404364720.582,41404427070.756,62350.072,62373.625,23.553,23.451,0.102,37626.375,0,0.000,0,941,48,0
7,41404464697.131,41404464724.657,41404527353.145,62628.235,62656.014,27.779,27.526,0.253,37343.986,0,0.000,0,941,48,0
8,41404564697.131,41404564727.924,41404627433.103,62704.830,62735.972,31.142,30.793,0.349,37264.028,0,0.000,0,941,48,0
9,41404664697.131,41404664722.480,41404727268.621,62545.833,62571.490,25.657,25.349,0.308,37428.510,0,0.000,0,941,48,0
10,41404764697.131,41404764719.985,41404827155.663,62435.418,62458.532,23.114,22.854,0.260,37541.468,0,0.000,0,941,48,0
11,41404864697.131,41404864720.418,41404927396.071,62675.364,62698.940,23.576,23.287,0.289,37301.060,0,0.000,0,941,48,0
12,41404964697.131,41404964719.941,41405027662.993,62942.677,62965.862,23.185,22.810,0.375,37034.138,0,0.000,0,941,48,0
13,41405064697.131,41405064720.744,41405127369.645,62648.594,62672.514,23.920,23.613,0.307,37327.486,0,0.000,0,941,48,0
14,41405164697.131,41405164719.648,41405227288.544,62568.686,62591.413,22.727,22.517,0.210,37408.587,0,0.000,0,941,48,0
15,41405264697.131,41405264723.703,41405327915.115,63191.018,63217.984,26.966,26.572,0.394,36782.016,0,0.000,0,941,48,0
16,41405364697.131,41405364721.228,41405427242.251,62520.672,62545.120,24.448,24.097,0.351,37454.880,0,0.000,0,941,48,0
17,41405464697.131,41405464719.887,41405527188.190,62468.081,62491.059,22.978,22.756,0.222,37508.941,0,0.000,0,941,48,0
18,41405564697.131,41405564720.233,41405626989.131,62268.333,62292.000,23.667,23.102,0.565,37708.000,0,0.000,0,941,48,0
19,41405664697.131,41405664718.195,41405726891.873,62173.593,62194.742,21.149,21.064,0.085,37805.258,0,0.000,0,941,48,0
20,41405764697.131,41405764719.379,41405826851.284,62131.611,62154.153,22.542,22.248,0.294,37845.847,0,0.000,0,941,48,0
21,41405864697.131,41405864717.811,41405927111.865,62393.917,62414.734,20.817,20.680,0.137,37585.266,0,0.000,0,941,48,0
22,41405964697.131,41405964723.505,41406027064.748,62341.080,62367.617,26.537,26.374,0.163,37632.383,0,0.000,0,941,48,0
23,41406064697.131,41406064719.137,41406126721.300,62001.983,62024.169,22.186,22.006,0.180,37975.831,0,0.000,0,941,48,0
24,41406164697.131,41406164719.439,41406226780.399,62060.737,62083.268,22.531,22.308,0.223,37916.732,0,0.000,0,941,48,0
25,41406264697.131,41406264723.222,41406327387.248,62663.610,62690.117,26.507,26.091,0.416,37309.883,0,0.000,0,941,48,0
26,41406364697.131,41406364721.692,41406427035.234,62313.377,62338.103,24.726,24.561,0.165,37661.897,0,0.000,0,941,48,0
27,41406464697.131,41406464719.666,41406527210.125,62490.089,62512.994,22.905,22.535,0.370,37487.006,0,0.000,0,941,48,0
28,41406564697.131,41406564724.065,41406627236.752,62512.453,62539.621,27.168,26.934,0.234,37460.379,0,0.000,0,941,48,0
29,41406664697.131,41406664719.700,41406726749.195,62029.225,62052.064,22.839,22.569,0.270,37947.936,0,0.000,0,941,48,0
30,41406764697.131,41406764720.342,41406826917.304,62196.641,62220.173,23.532,23.211,0.321,37779.827,0,0.000,0,941,48,0
31,41406864697.131,41406864719.907,41406927860.861,63140.690,63163.730,23.040,22.776,0.264,36836.270,0,0.000,0,941,48,0
32,41406964697.131,41406964720.700,41407027379.244,62658.169,62682.113,23.944,23.569,0.375,37317.887,0,0.000,0,941,48,0
33,41407064697.131,41407064719.321,41407127266.795,62547.269,62569.664,22.395,22.190,0.205,37430.336,0,0.000,0,941,48,0
34,41407164697.131,41407164720.537,41407227500.938,62779.983,62803.807,23.824,23.406,0.418,37196.193,0,0.000,0,941,48,0
35,41407264697.131,41407264726.022,41407327538.650,62812.334,62841.519,29.185,28.891,0.294,37158.481,0,0.000,0,941,48,0
