# probe kind=ptrchase M=48 K=390 buf_kb=131072 period_us=100000 priority=90 cpu=0 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,22937407515.068,22937407535.798,22937430711.348,23173.632,23196.280,22.648,20.730,1.918,76803.720,0,0.000,0,390,48,0
1,22937507515.068,22937507533.484,22937530770.785,23235.363,23255.717,20.354,18.416,1.938,76744.283,0,0.000,0,390,48,0
2,22937607515.068,22937607533.943,22937630694.930,23159.225,23179.862,20.637,18.875,1.762,76820.138,0,0.000,0,390,48,0
3,22937707515.068,22937707533.650,22937730612.817,23077.081,23097.749,20.668,18.582,2.086,76902.251,0,0.000,0,390,48,0
4,22937807515.068,22937807533.768,22937830662.511,23126.800,23147.443,20.643,18.700,1.943,76852.557,0,0.000,0,390,48,0
5,22937907515.068,22937907534.788,22937930825.347,23288.552,23310.279,21.727,19.720,2.007,76689.721,0,0.000,0,390,48,0
6,22938007515.068,22938007533.507,22938030868.998,23334.026,23353.930,19.904,18.439,1.465,76646.070,0,0.000,0,390,48,0
7,22938107515.068,22938107536.439,22938130802.109,23263.669,23287.041,23.372,21.371,2.001,76712.959,0,0.000,0,390,48,0
8,22938207515.068,22938207535.740,22938230876.301,23338.901,23361.233,22.332,20.672,1.660,76638.767,0,0.000,0,390,48,0
9,22938307515.068,22938307532.668,22938330836.716,23302.376,23321.648,19.272,17.600,1.672,76678.352,0,0.000,0,390,48,0
10,22938407515.068,22938407532.345,22938430756.855,23222.551,23241.787,19.236,17.277,1.959,76758.213,0,0.000,0,390,48,0
11,22938507515.068,22938507535.074,22938530729.962,23193.355,23214.894,21.539,20.006,1.533,76785.106,0,0.000,0,390,48,0
12,22938607515.068,22938607532.831,22938630731.947,23197.368,23216.879,19.511,17.763,1.748,76783.121,0,0.000,0,390,48,0
13,22938707515.068,22938707533.643,22938730730.765,23195.269,23215.697,20.428,18.575,1.853,76784.303,0,0.000,0,390,48,0
14,22938807515.068,22938807535.718,22938830776.729,23238.830,23261.661,22.831,20.650,2.181,76738.339,0,0.000,0,390,48,0
15,22938907515.068,22938907533.576,22938930888.714,23353.139,23373.646,20.507,18.508,1.999,76626.354,0,0.000,0,390,48,0
16,22939007515.068,22939007534.352,22939030841.803,23305.600,23326.735,21.135,19.284,1.851,76673.265,0,0.000,0,390,48,0
17,22939107515.068,22939107533.794,22939130876.273,23340.506,23361.205,20.699,18.726,1.973,76638.795,0,0.000,0,390,48,0
18,22939207515.068,22939207534.246,22939230765.988,23229.755,23250.920,21.165,19.178,1.987,76749.080,0,0.000,0,390,48,0
19,22939307515.068,22939307534.911,22939330782.444,23245.648,23267.376,21.728,19.843,1.885,76732.624,0,0.000,0,390,48,0
20,22939407515.068,22939407534.391,22939430762.564,23226.187,23247.496,21.309,19.323,1.986,76752.504,0,0.000,0,390,48,0
21,22939507515.068,22939507532.930,22939530805.691,23271.232,23290.623,19.391,17.862,1.529,76709.377,0,0.000,0,390,48,0
22,22939607515.068,22939607533.457,22939630823.080,23287.762,23308.012,20.250,18.389,1.861,76691.988,0,0.000,0,390,48,0
