# probe kind=matmul M=48 K=571 buf_kb=0 period_us=100000 priority=90 cpu=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,4464938106.895,4464938137.854,4464961170.895,23031.171,23064.000,32.829,30.959,1.870,76936.000,0,0.000,0,571,48,0
1,4465038106.895,4465038359.304,4465062135.771,23774.392,24028.876,254.484,252.409,2.075,75971.124,0,0.000,0,571,48,0
2,4465138106.895,4465138332.083,4465161982.663,23648.473,23875.768,227.295,225.188,2.107,76124.232,0,0.000,0,571,48,0
3,4465238106.895,4465238320.676,4465261458.948,23135.743,23352.053,216.310,213.781,2.529,76647.947,0,0.000,0,571,48,0
4,4465338106.895,4465338317.421,4465361971.580,23652.195,23864.685,212.490,210.526,1.964,76135.315,0,0.000,0,571,48,0
5,4465438106.895,4465438287.195,4465461916.543,23627.518,23809.648,182.130,180.300,1.830,76190.352,0,0.000,0,571,48,0
6,4465538106.895,4465538339.411,4465561770.667,23428.873,23663.772,234.899,232.516,2.383,76336.228,0,0.000,0,571,48,0
7,4465638106.895,4465638272.869,4465661483.992,23208.916,23377.097,168.181,165.974,2.207,76622.903,0,0.000,0,571,48,0
8,4465738106.895,4465738276.084,4465761977.464,23699.218,23870.569,171.351,169.189,2.162,76129.431,0,0.000,0,571,48,0
9,4465838106.895,4465838317.841,4465861890.288,23570.806,23783.393,212.587,210.946,1.641,76216.607,0,0.000,0,571,48,0
10,4465938106.895,4465938280.342,4465961631.540,23349.328,23524.645,175.317,173.447,1.870,76475.355,0,0.000,0,571,48,0
11,4466038106.895,4466038312.114,4466061609.999,23296.153,23503.104,206.951,205.219,1.732,76496.896,0,0.000,0,571,48,0
12,4466138106.895,4466138293.743,4466161931.461,23635.313,23824.566,189.253,186.848,2.405,76175.434,0,0.000,0,571,48,0
13,4466238106.895,4466238279.958,4466261463.058,23180.842,23356.163,175.321,173.063,2.258,76643.837,0,0.000,0,571,48,0
14,4466338106.895,4466338294.898,4466361214.600,22917.292,23107.705,190.413,188.003,2.410,76892.295,0,0.000,0,571,48,0
15,4466438106.895,4466438347.026,4466461460.239,23111.108,23353.344,242.236,240.131,2.105,76646.656,0,0.000,0,571,48,0
16,4466538106.895,4466538329.133,4466562011.924,23680.496,23905.029,224.533,222.238,2.295,76094.971,0,0.000,0,571,48,0
17,4466638106.895,4466638280.762,4466661829.503,23546.674,23722.608,175.934,173.867,2.067,76277.392,0,0.000,0,571,48,0
18,4466738106.895,4466738269.991,4466761972.002,23699.402,23865.107,165.705,163.096,2.609,76134.893,0,0.000,0,571,48,0
19,4466838106.895,4466838276.838,4466861796.183,23517.108,23689.288,172.180,169.943,2.237,76310.712,0,0.000,0,571,48,0
20,4466938106.895,4466938370.658,4466961949.327,23576.285,23842.432,266.147,263.763,2.384,76157.568,0,0.000,0,571,48,0
21,4467038106.895,4467038343.166,4467061910.600,23565.079,23803.705,238.626,236.271,2.355,76196.295,0,0.000,0,571,48,0
22,4467138106.895,4467138358.658,4467161638.839,23278.076,23531.944,253.868,251.763,2.105,76468.056,0,0.000,0,571,48,0
23,4467238106.895,4467238299.541,4467261253.198,22951.670,23146.303,194.633,192.646,1.987,76853.697,0,0.000,0,571,48,0
24,4467338106.895,4467338292.128,4467361762.229,23467.235,23655.334,188.099,185.233,2.866,76344.666,0,0.000,0,571,48,0
25,4467438106.895,4467438314.270,4467461474.220,23157.663,23367.325,209.662,207.375,2.287,76632.675,0,0.000,0,571,48,0
26,4467538106.895,4467538305.986,4467561361.077,23052.498,23254.182,201.684,199.091,2.593,76745.818,0,0.000,0,571,48,0
27,4467638106.895,4467638279.439,4467661853.589,23572.067,23746.694,174.627,172.544,2.083,76253.306,0,0.000,0,571,48,0
28,4467738106.895,4467738268.970,4467761800.305,23529.352,23693.410,164.058,162.075,1.983,76306.590,0,0.000,0,571,48,0
29,4467838106.895,4467838275.878,4467862048.087,23769.514,23941.192,171.678,168.983,2.695,76058.808,0,0.000,0,571,48,0
30,4467938106.895,4467938295.882,4467961681.201,23383.027,23574.306,191.279,188.987,2.292,76425.694,0,0.000,0,571,48,0
31,4468038106.895,4468038312.678,4468061651.036,23335.827,23544.141,208.314,205.783,2.531,76455.859,0,0.000,0,571,48,0
32,4468138106.895,4468138313.654,4468161275.183,22959.050,23168.288,209.238,206.759,2.479,76831.712,0,0.000,0,571,48,0
33,4468238106.895,4468238287.296,4468261551.202,23261.700,23444.307,182.607,180.401,2.206,76555.693,0,0.000,0,571,48,0
34,4468338106.895,4468338350.985,4468361938.193,23584.935,23831.298,246.363,244.090,2.273,76168.702,0,0.000,0,571,48,0
