# probe kind=matmul M=48 K=18 buf_kb=0 period_us=10000 priority=90 cpu=0 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,89852920137.984,89852920149.759,89852920906.062,754.528,768.078,13.550,11.775,1.775,9231.922,0,0.000,0,18,48,0
1,89852930137.984,89852930145.402,89852930895.762,749.945,757.778,7.833,7.418,0.415,9242.222,0,0.000,0,18,48,0
2,89852940137.984,89852940145.653,89852940895.896,749.811,757.912,8.101,7.669,0.432,9242.088,0,0.000,0,18,48,0
3,89852950137.984,89852950145.650,89852950902.000,755.940,764.016,8.076,7.666,0.410,9235.984,0,0.000,0,18,48,0
4,89852960137.984,89852960146.292,89852960904.896,758.175,766.912,8.737,8.308,0.429,9233.088,0,0.000,0,18,48,0
5,89852970137.984,89852970145.390,89852970895.557,749.747,757.573,7.826,7.406,0.420,9242.427,0,0.000,0,18,48,0
6,89852980137.984,89852980145.418,89852980922.612,776.775,784.628,7.853,7.434,0.419,9215.372,0,0.000,0,18,48,0
7,89852990137.984,89852990151.743,89852990909.285,756.311,771.301,14.990,13.759,1.231,9228.699,0,0.000,0,18,48,0
8,89853000137.984,89853000146.313,89853000901.454,754.643,763.470,8.827,8.329,0.498,9236.530,0,0.000,0,18,48,0
9,89853010137.984,89853010145.361,89853010891.949,746.186,753.965,7.779,7.377,0.402,9246.035,0,0.000,0,18,48,0
10,89853020137.984,89853020145.477,89853020871.469,725.649,733.485,7.836,7.493,0.343,9266.515,0,0.000,0,18,48,0
11,89853030137.984,89853030147.001,89853030902.171,754.793,764.187,9.394,9.017,0.377,9235.813,0,0.000,0,18,48,0
12,89853040137.984,89853040146.495,89853040893.847,747.004,755.863,8.859,8.511,0.348,9244.137,0,0.000,0,18,48,0
13,89853050137.984,89853050145.115,89853050933.484,787.982,795.500,7.518,7.131,0.387,9204.500,0,0.000,0,18,48,0
14,89853060137.984,89853060145.501,89853060896.054,750.202,758.070,7.868,7.517,0.351,9241.930,0,0.000,0,18,48,0
15,89853070137.984,89853070145.606,89853070876.196,730.223,738.212,7.989,7.622,0.367,9261.788,0,0.000,0,18,48,0
16,89853080137.984,89853080145.316,89853080875.551,729.843,737.567,7.724,7.332,0.392,9262.433,0,0.000,0,18,48,0
17,89853090137.984,89853090144.742,89853090879.300,734.158,741.316,7.158,6.758,0.400,9258.684,0,0.000,0,18,48,0
18,89853100137.984,89853100145.946,89853100895.986,749.691,758.002,8.311,7.962,0.349,9241.998,0,0.000,0,18,48,0
19,89853110137.984,89853110145.177,89853110897.909,752.347,759.925,7.578,7.193,0.385,9240.075,0,0.000,0,18,48,0
20,89853120137.984,89853120145.267,89853120895.107,749.474,757.123,7.649,7.283,0.366,9242.877,0,0.000,0,18,48,0
21,89853130137.984,89853130145.823,89853130896.044,749.858,758.060,8.202,7.839,0.363,9241.940,0,0.000,0,18,48,0
22,89853140137.984,89853140152.115,89853140881.134,728.533,743.150,14.617,14.131,0.486,9256.850,0,0.000,0,18,48,0
23,89853150137.984,89853150145.964,89853150872.467,726.147,734.483,8.336,7.980,0.356,9265.517,0,0.000,0,18,48,0
24,89853160137.984,89853160146.268,89853160872.085,725.453,734.101,8.648,8.284,0.364,9265.899,0,0.000,0,18,48,0
25,89853170137.984,89853170161.641,89853170911.984,749.952,774.000,24.048,23.657,0.391,9226.000,0,0.000,0,18,48,0
26,89853180137.984,89853180145.620,89853180895.890,749.907,757.906,7.999,7.636,0.363,9242.094,0,0.000,0,18,48,0
27,89853190137.984,89853190144.545,89853190899.953,754.987,761.969,6.982,6.561,0.421,9238.031,0,0.000,0,18,48,0
28,89853200137.984,89853200145.763,89853200897.867,751.745,759.883,8.138,7.779,0.359,9240.117,0,0.000,0,18,48,0
29,89853210137.984,89853210146.119,89853210890.630,744.149,752.646,8.497,8.135,0.362,9247.354,0,0.000,0,18,48,0
30,89853220137.984,89853220145.317,89853220898.899,753.194,760.915,7.721,7.333,0.388,9239.085,0,0.000,0,18,48,0
31,89853230137.984,89853230150.437,89853230900.604,749.802,762.620,12.818,12.453,0.365,9237.380,0,0.000,0,18,48,0
32,89853240137.984,89853240146.097,89853240896.654,750.194,758.670,8.476,8.113,0.363,9241.330,0,0.000,0,18,48,0
33,89853250137.984,89853250145.220,89853250883.601,738.001,745.617,7.616,7.236,0.380,9254.383,0,0.000,0,18,48,0
34,89853260137.984,89853260149.921,89853260878.468,728.175,740.484,12.309,11.937,0.372,9259.516,0,0.000,0,18,48,0
35,89853270137.984,89853270145.928,89853270889.254,742.952,751.270,8.318,7.944,0.374,9248.730,0,0.000,0,18,48,0
36,89853280137.984,89853280145.464,89853280895.748,749.867,757.764,7.897,7.480,0.417,9242.236,0,0.000,0,18,48,0
37,89853290137.984,89853290147.615,89853290897.847,749.873,759.863,9.990,9.631,0.359,9240.137,0,0.000,0,18,48,0
38,89853300137.984,89853300154.728,89853300912.514,756.656,774.530,17.874,16.744,1.130,9225.470,0,0.000,0,18,48,0
39,89853310137.984,89853310146.454,89853310869.922,723.012,731.938,8.926,8.470,0.456,9268.062,0,0.000,0,18,48,0
40,89853320137.984,89853320145.557,89853320896.870,750.923,758.886,7.963,7.573,0.390,9241.114,0,0.000,0,18,48,0
41,89853330137.984,89853330145.801,89853330896.430,750.239,758.446,8.207,7.817,0.390,9241.554,0,0.000,0,18,48,0
42,89853340137.984,89853340147.042,89853340897.610,750.157,759.626,9.469,9.058,0.411,9240.374,0,0.000,0,18,48,0
43,89853350137.984,89853350145.359,89853350871.723,725.994,733.739,7.745,7.375,0.370,9266.261,0,0.000,0,18,48,0
44,89853360137.984,89853360144.782,89853360870.739,725.601,732.755,7.154,6.798,0.356,9267.245,0,0.000,0,18,48,0
45,89853370137.984,89853370146.432,89853370899.011,752.234,761.027,8.793,8.448,0.345,9238.973,0,0.000,0,18,48,0
46,89853380137.984,89853380145.669,89853380871.753,725.720,733.769,8.049,7.685,0.364,9266.231,0,0.000,0,18,48,0
