# probe kind=matmul M=48 K=524 buf_kb=0 period_us=100000 priority=90 cpu=0 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,3145999655.680,3145999670.687,3146020865.406,21194.209,21209.726,15.517,15.007,0.510,78790.274,0,0.000,0,524,48,0
1,3146099655.680,3146099670.824,3146120905.173,21233.668,21249.493,15.825,15.144,0.681,78750.507,0,0.000,0,524,48,0
2,3146199655.680,3146199671.498,3146220899.307,21227.263,21243.627,16.364,15.818,0.546,78756.373,0,0.000,0,524,48,0
3,3146299655.680,3146299670.293,3146320837.333,21166.141,21181.653,15.512,14.613,0.899,78818.347,0,0.000,0,524,48,0
4,3146399655.680,3146399670.890,3146420841.112,21169.600,21185.432,15.832,15.210,0.622,78814.568,0,0.000,0,524,48,0
5,3146499655.680,3146499670.630,3146520859.734,21188.429,21204.054,15.625,14.950,0.675,78795.946,0,0.000,0,524,48,0
6,3146599655.680,3146599670.138,3146620817.794,21147.155,21162.114,14.959,14.458,0.501,78837.886,0,0.000,0,524,48,0
7,3146699655.680,3146699669.169,3146720853.102,21183.430,21197.422,13.992,13.489,0.503,78802.578,0,0.000,0,524,48,0
8,3146799655.680,3146799669.534,3146820883.203,21213.186,21227.523,14.337,13.854,0.483,78772.477,0,0.000,0,524,48,0
9,3146899655.680,3146899670.086,3146920757.395,21086.696,21101.715,15.019,14.406,0.613,78898.285,0,0.000,0,524,48,0
10,3146999655.680,3146999670.448,3147020785.448,21114.416,21129.768,15.352,14.768,0.584,78870.232,0,0.000,0,524,48,0
11,3147099655.680,3147099674.194,3147120729.285,21053.745,21073.605,19.860,18.514,1.346,78926.395,0,0.000,0,524,48,0
12,3147199655.680,3147199670.997,3147220819.924,21148.308,21164.244,15.936,15.317,0.619,78835.756,0,0.000,0,524,48,0
13,3147299655.680,3147299671.382,3147320801.355,21129.449,21145.675,16.226,15.702,0.524,78854.325,0,0.000,0,524,48,0
14,3147399655.680,3147399673.333,3147420774.300,21100.173,21118.620,18.447,17.653,0.794,78881.380,0,0.000,0,524,48,0
15,3147499655.680,3147499670.248,3147520884.196,21213.353,21228.516,15.163,14.568,0.595,78771.484,0,0.000,0,524,48,0
16,3147599655.680,3147599670.724,3147620663.972,20992.561,21008.292,15.731,15.044,0.687,78991.708,0,0.000,0,524,48,0
17,3147699655.680,3147699669.653,3147720823.187,21153.017,21167.507,14.490,13.973,0.517,78832.493,0,0.000,0,524,48,0
18,3147799655.680,3147799669.418,3147820795.728,21125.736,21140.048,14.312,13.738,0.574,78859.952,0,0.000,0,524,48,0
19,3147899655.680,3147899670.817,3147920807.432,21136.121,21151.752,15.631,15.137,0.494,78848.248,0,0.000,0,524,48,0
20,3147999655.680,3147999669.781,3148020750.967,21080.751,21095.287,14.536,14.101,0.435,78904.713,0,0.000,0,524,48,0
21,3148099655.680,3148099669.434,3148120590.521,20920.461,20934.841,14.380,13.754,0.626,79065.159,0,0.000,0,524,48,0
22,3148199655.680,3148199669.997,3148220877.583,21206.950,21221.903,14.953,14.317,0.636,78778.097,0,0.000,0,524,48,0
23,3148299655.680,3148299669.773,3148320914.620,21244.234,21258.940,14.706,14.093,0.613,78741.060,0,0.000,0,524,48,0
24,3148399655.680,3148399674.304,3148420988.086,21312.901,21332.406,19.505,18.624,0.881,78667.594,0,0.000,0,524,48,0
25,3148499655.680,3148499671.534,3148520841.578,21169.507,21185.898,16.391,15.854,0.537,78814.102,0,0.000,0,524,48,0
26,3148599655.680,3148599670.495,3148620824.111,21153.087,21168.431,15.344,14.815,0.529,78831.569,0,0.000,0,524,48,0
27,3148699655.680,3148699670.461,3148720686.959,21015.750,21031.279,15.529,14.781,0.748,78968.721,0,0.000,0,524,48,0
28,3148799655.680,3148799669.398,3148820634.799,20964.733,20979.119,14.386,13.718,0.668,79020.881,0,0.000,0,524,48,0
29,3148899655.680,3148899670.900,3148920520.972,20849.376,20865.292,15.916,15.220,0.696,79134.708,0,0.000,0,524,48,0
30,3148999655.680,3148999669.503,3149020673.558,21003.510,21017.878,14.368,13.823,0.545,78982.122,0,0.000,0,524,48,0
31,3149099655.680,3149099669.290,3149120823.097,21153.195,21167.417,14.222,13.610,0.612,78832.583,0,0.000,0,524,48,0
32,3149199655.680,3149199672.384,3149220825.867,21152.385,21170.187,17.802,16.704,1.098,78829.813,0,0.000,0,524,48,0
33,3149299655.680,3149299671.444,3149320717.550,21045.451,21061.870,16.419,15.764,0.655,78938.130,0,0.000,0,524,48,0
34,3149399655.680,3149399667.858,3149420813.795,21145.302,21158.115,12.813,12.178,0.635,78841.885,0,0.000,0,524,48,0
35,3149499655.680,3149499675.370,3149520878.302,21201.808,21222.622,20.814,19.690,1.124,78777.378,0,0.000,0,524,48,0
36,3149599655.680,3149599670.103,3149620824.033,21153.274,21168.353,15.079,14.423,0.656,78831.647,0,0.000,0,524,48,0
37,3149699655.680,3149699670.261,3149720793.307,21122.399,21137.627,15.228,14.581,0.647,78862.373,0,0.000,0,524,48,0
38,3149799655.680,3149799669.029,3149820761.957,21092.400,21106.277,13.877,13.349,0.528,78893.723,0,0.000,0,524,48,0
39,3149899655.680,3149899670.310,3149920802.734,21131.752,21147.054,15.302,14.630,0.672,78852.946,0,0.000,0,524,48,0
