model,scale,U,n,miss_count,miss_rate,tardiness_max_us,tardiness_mean_us,longest_consecutive_miss_run
model2,soft,0.1,5000,0,0.0,0.0,0.0,0
model2,soft,0.2,5000,0,0.0,0.0,0.0,0
model2,soft,0.3,5000,0,0.0,0.0,0.0,0
model2,soft,0.4,5000,0,0.0,0.0,0.0,0
model2,soft,0.5,5000,0,0.0,0.0,0.0,0
model2,soft,0.6,5000,0,0.0,0.0,0.0,0
model2,soft,0.7,5000,0,0.0,0.0,0.0,0
model2,soft,0.8,5000,0,0.0,0.0,0.0,0
model2,soft,0.9,5000,0,0.0,0.0,0.0,0
model2,soft,0.94,5000,0,0.0,0.0,0.0,0
model2,tight,0.1,5000,2,0.0004,3573.1,1792.4,1
model2,tight,0.2,5000,2,0.0004,7054.4,3533.3,1
model2,tight,0.3,5000,0,0.0,0.0,0.0,0
model2,tight,0.4,5000,0,0.0,0.0,0.0,0
model2,tight,0.5,5000,0,0.0,0.0,0.0,0
model2,tight,0.6,5000,0,0.0,0.0,0.0,0
model2,tight,0.7,5000,0,0.0,0.0,0.0,0
model2,tight,0.8,5000,2,0.0004,27408.7,15080.3,1
model2,tight,0.9,5000,1,0.0002,1762.5,1762.5,1
model2,tight,0.94,5000,1,0.0002,2487.9,2487.9,1
