# probe kind=matmul M=48 K=145 buf_kb=0 period_us=10000 priority=90 cpu=0 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,10266396760.640,10266396768.714,10266402778.970,6009.592,6018.330,8.738,8.074,0.664,3981.670,0,0.000,0,145,48,0
1,10266406760.640,10266406767.927,10266412730.418,5962.069,5969.778,7.709,7.287,0.422,4030.222,0,0.000,0,145,48,0
2,10266416760.640,10266416767.132,10266422648.630,5881.087,5887.990,6.903,6.492,0.411,4112.010,0,0.000,0,145,48,0
3,10266426760.640,10266426771.543,10266432647.021,5874.462,5886.381,11.919,10.903,1.016,4113.619,0,0.000,0,145,48,0
4,10266436760.640,10266436767.560,10266442589.686,5821.633,5829.046,7.413,6.920,0.493,4170.954,0,0.000,0,145,48,0
5,10266446760.640,10266446767.856,10266452806.077,6037.816,6045.437,7.621,7.216,0.405,3954.563,0,0.000,0,145,48,0
6,10266456760.640,10266456768.225,10266462694.530,5925.895,5933.890,7.995,7.585,0.410,4066.110,0,0.000,0,145,48,0
7,10266466760.640,10266466768.131,10266472774.589,6006.037,6013.949,7.912,7.491,0.421,3986.051,0,0.000,0,145,48,0
8,10266476760.640,10266476767.322,10266482706.211,5938.515,5945.571,7.056,6.682,0.374,4054.429,0,0.000,0,145,48,0
9,10266486760.640,10266486767.803,10266492699.852,5931.607,5939.212,7.605,7.163,0.442,4060.788,0,0.000,0,145,48,0
10,10266496760.640,10266496767.902,10266502652.773,5884.470,5892.133,7.663,7.262,0.401,4107.867,0,0.000,0,145,48,0
11,10266506760.640,10266506768.053,10266512651.161,5882.718,5890.521,7.803,7.413,0.390,4109.479,0,0.000,0,145,48,0
12,10266516760.640,10266516767.981,10266522787.158,6018.714,6026.518,7.804,7.341,0.463,3973.482,0,0.000,0,145,48,0
13,10266526760.640,10266526767.444,10266532610.886,5843.004,5850.246,7.242,6.804,0.438,4149.754,0,0.000,0,145,48,0
14,10266536760.640,10266536767.222,10266542772.235,6004.631,6011.595,6.964,6.582,0.382,3988.405,0,0.000,0,145,48,0
15,10266546760.640,10266546767.194,10266552702.507,5934.883,5941.867,6.984,6.554,0.430,4058.133,0,0.000,0,145,48,0
16,10266556760.640,10266556767.423,10266562719.904,5952.065,5959.264,7.199,6.783,0.416,4040.736,0,0.000,0,145,48,0
17,10266566760.640,10266566772.214,10266572877.241,6104.173,6116.601,12.428,11.574,0.854,3883.399,0,0.000,0,145,48,0
18,10266576760.640,10266576770.515,10266582597.440,5826.390,5836.800,10.410,9.875,0.535,4163.200,0,0.000,0,145,48,0
19,10266586760.640,10266586768.617,10266592797.435,6028.407,6036.795,8.388,7.977,0.411,3963.205,0,0.000,0,145,48,0
20,10266596760.640,10266596768.027,10266602793.698,6025.261,6033.058,7.797,7.387,0.410,3966.942,0,0.000,0,145,48,0
21,10266606760.640,10266606768.693,10266612847.126,6077.954,6086.486,8.532,8.053,0.479,3913.514,0,0.000,0,145,48,0
22,10266616760.640,10266616768.057,10266622644.636,5876.068,5883.996,7.928,7.417,0.511,4116.004,0,0.000,0,145,48,0
23,10266626760.640,10266626774.489,10266632762.698,5987.291,6002.058,14.767,13.849,0.918,3997.942,0,0.000,0,145,48,0
24,10266636760.640,10266636770.454,10266642537.344,5766.011,5776.704,10.693,9.814,0.879,4223.296,0,0.000,0,145,48,0
25,10266646760.640,10266646772.060,10266652580.347,5807.379,5819.707,12.328,11.420,0.908,4180.293,0,0.000,0,145,48,0
26,10266656760.640,10266656770.501,10266662673.751,5902.342,5913.111,10.769,9.861,0.908,4086.889,0,0.000,0,145,48,0
27,10266666760.640,10266666771.289,10266672691.561,5919.357,5930.921,11.564,10.649,0.915,4069.079,0,0.000,0,145,48,0
28,10266676760.640,10266676771.515,10266682685.595,5913.200,5924.955,11.755,10.875,0.880,4075.045,0,0.000,0,145,48,0
29,10266686760.640,10266686771.987,10266692787.213,6014.298,6026.573,12.275,11.347,0.928,3973.427,0,0.000,0,145,48,0
30,10266696760.640,10266696771.406,10266702612.516,5840.199,5851.876,11.677,10.766,0.911,4148.124,0,0.000,0,145,48,0
31,10266706760.640,10266706772.471,10266712914.347,6140.923,6153.707,12.784,11.831,0.953,3846.293,0,0.000,0,145,48,0
32,10266716760.640,10266716770.862,10266722676.875,5905.519,5916.235,10.716,10.222,0.494,4083.765,0,0.000,0,145,48,0
33,10266726760.640,10266726767.914,10266732697.309,5928.939,5936.669,7.730,7.274,0.456,4063.331,0,0.000,0,145,48,0
34,10266736760.640,10266736768.248,10266742694.798,5926.117,5934.158,8.041,7.608,0.433,4065.842,0,0.000,0,145,48,0
35,10266746760.640,10266746767.574,10266752852.562,6084.557,6091.922,7.365,6.934,0.431,3908.078,0,0.000,0,145,48,0
36,10266756760.640,10266756768.347,10266762785.999,6017.231,6025.359,8.128,7.707,0.421,3974.641,0,0.000,0,145,48,0
37,10266766760.640,10266766767.494,10266772950.227,6182.328,6189.587,7.259,6.854,0.405,3810.413,0,0.000,0,145,48,0
38,10266776760.640,10266776768.235,10266782628.034,5859.412,5867.394,7.982,7.595,0.387,4132.606,0,0.000,0,145,48,0
39,10266786760.640,10266786771.801,10266792766.971,5994.207,6006.331,12.124,11.161,0.963,3993.669,0,0.000,0,145,48,0
