# probe kind=matmul M=48 K=870 buf_kb=0 period_us=100000 priority=90 cpu=0 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,13392745438.738,13392745454.392,13392780665.161,35210.159,35226.423,16.264,15.654,0.610,64773.577,0,0.000,0,870,48,0
1,13392845438.738,13392845454.285,13392880626.417,35171.381,35187.679,16.298,15.547,0.751,64812.321,0,0.000,0,870,48,0
2,13392945438.738,13392945456.370,13392980555.395,35097.226,35116.657,19.431,17.632,1.799,64883.343,0,0.000,0,870,48,0
3,13393045438.738,13393045453.867,13393080484.076,35029.304,35045.338,16.034,15.129,0.905,64954.662,0,0.000,0,870,48,0
4,13393145438.738,13393145454.215,13393180578.561,35123.270,35139.823,16.553,15.477,1.076,64860.177,0,0.000,0,870,48,0
5,13393245438.738,13393245454.521,13393280334.636,34879.481,34895.898,16.417,15.783,0.634,65104.102,0,0.000,0,870,48,0
6,13393345438.738,13393345453.848,13393380610.394,35155.872,35171.656,15.784,15.110,0.674,64828.344,0,0.000,0,870,48,0
7,13393445438.738,13393445455.371,13393480592.724,35136.225,35153.986,17.761,16.633,1.128,64846.014,0,0.000,0,870,48,0
8,13393545438.738,13393545459.971,13393580670.187,35208.557,35231.449,22.892,21.233,1.659,64768.551,0,0.000,0,870,48,0
9,13393645438.738,13393645455.397,13393680556.219,35099.986,35117.481,17.495,16.659,0.836,64882.519,0,0.000,0,870,48,0
10,13393745438.738,13393745455.511,13393780733.739,35277.473,35295.001,17.528,16.773,0.755,64704.999,0,0.000,0,870,48,0
11,13393845438.738,13393845454.479,13393880553.709,35098.632,35114.971,16.339,15.741,0.598,64885.029,0,0.000,0,870,48,0
12,13393945438.738,13393945454.972,13393980487.585,35031.988,35048.847,16.859,16.234,0.625,64951.153,0,0.000,0,870,48,0
13,13394045438.738,13394045455.737,13394080444.976,34988.426,35006.238,17.812,16.999,0.813,64993.762,0,0.000,0,870,48,0
14,13394145438.738,13394145458.224,13394180360.418,34900.461,34921.680,21.219,19.486,1.733,65078.320,0,0.000,0,870,48,0
15,13394245438.738,13394245453.771,13394280558.395,35103.987,35119.657,15.670,15.033,0.637,64880.343,0,0.000,0,870,48,0
16,13394345438.738,13394345454.853,13394380354.128,34898.627,34915.390,16.763,16.115,0.648,65084.610,0,0.000,0,870,48,0
17,13394445438.738,13394445455.112,13394480153.837,34698.090,34715.099,17.009,16.374,0.635,65284.901,0,0.000,0,870,48,0
18,13394545438.738,13394545453.494,13394580496.832,35042.576,35058.094,15.518,14.756,0.762,64941.906,0,0.000,0,870,48,0
19,13394645438.738,13394645455.751,13394680452.123,34995.711,35013.385,17.674,17.013,0.661,64986.615,0,0.000,0,870,48,0
20,13394745438.738,13394745455.721,13394780584.704,35127.976,35145.966,17.990,16.983,1.007,64854.034,0,0.000,0,870,48,0
21,13394845438.738,13394845454.510,13394880520.267,35065.109,35081.529,16.420,15.772,0.648,64918.471,0,0.000,0,870,48,0
22,13394945438.738,13394945454.416,13394980872.696,35417.639,35433.958,16.319,15.678,0.641,64566.042,0,0.000,0,870,48,0
23,13395045438.738,13395045454.763,13395080634.111,35178.690,35195.373,16.683,16.025,0.658,64804.627,0,0.000,0,870,48,0
24,13395145438.738,13395145456.454,13395180474.730,35016.613,35035.992,19.379,17.716,1.663,64964.008,0,0.000,0,870,48,0
25,13395245438.738,13395245454.616,13395280552.583,35097.239,35113.845,16.606,15.878,0.728,64886.155,0,0.000,0,870,48,0
26,13395345438.738,13395345455.527,13395380375.939,34919.777,34937.201,17.424,16.789,0.635,65062.799,0,0.000,0,870,48,0
27,13395445438.738,13395445463.403,13395480389.459,34924.548,34950.721,26.173,24.665,1.508,65049.279,0,0.000,0,870,48,0
28,13395545438.738,13395545454.826,13395580527.271,35071.663,35088.533,16.870,16.088,0.782,64911.467,0,0.000,0,870,48,0
29,13395645438.738,13395645454.349,13395680551.598,35096.668,35112.860,16.192,15.611,0.581,64887.140,0,0.000,0,870,48,0
30,13395745438.738,13395745455.567,13395780426.161,34968.989,34987.423,18.434,16.829,1.605,65012.577,0,0.000,0,870,48,0
31,13395845438.738,13395845455.294,13395880559.283,35103.208,35120.545,17.337,16.556,0.781,64879.455,0,0.000,0,870,48,0
32,13395945438.738,13395945453.789,13395980464.601,35010.217,35025.863,15.646,15.051,0.595,64974.137,0,0.000,0,870,48,0
33,13396045438.738,13396045453.649,13396080472.580,35018.287,35033.842,15.555,14.911,0.644,64966.158,0,0.000,0,870,48,0
34,13396145438.738,13396145458.233,13396180676.913,35216.931,35238.175,21.244,19.495,1.749,64761.825,0,0.000,0,870,48,0
35,13396245438.738,13396245455.174,13396280032.768,34576.957,34594.030,17.073,16.436,0.637,65405.970,0,0.000,0,870,48,0
