# probe kind=matmul M=48 K=145 buf_kb=0 period_us=10000 priority=90 cpu=0 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,19229288197.653,19229288204.918,19229294724.398,6518.878,6526.745,7.867,7.265,0.602,3473.255,0,0.000,0,145,48,0
1,19229298197.653,19229298204.174,19229304220.770,6016.213,6023.117,6.904,6.521,0.383,3976.883,0,0.000,0,145,48,0
2,19229308197.653,19229308209.810,19229314697.912,6487.049,6500.259,13.210,12.157,1.053,3499.741,0,0.000,0,145,48,0
3,19229318197.653,19229318257.407,19229324210.999,5952.524,6013.346,60.822,59.754,1.068,3986.654,0,0.000,0,145,48,0
4,19229328197.653,19229328209.531,19229334670.059,6459.431,6472.406,12.975,11.878,1.097,3527.594,0,0.000,0,145,48,0
5,19229338197.653,19229338209.522,19229344184.698,5974.188,5987.045,12.857,11.869,0.988,4012.955,0,0.000,0,145,48,0
6,19229348197.653,19229348208.679,19229354662.428,6452.742,6464.775,12.033,11.026,1.007,3535.225,0,0.000,0,145,48,0
7,19229358197.653,19229358207.624,19229364168.856,5960.532,5971.203,10.671,9.971,0.700,4028.797,0,0.000,0,145,48,0
8,19229368197.653,19229368209.676,19229374629.788,6419.114,6432.135,13.021,12.023,0.998,3567.865,0,0.000,0,145,48,0
9,19229378197.653,19229378210.136,19229384181.113,5969.864,5983.460,13.596,12.483,1.113,4016.540,0,0.000,0,145,48,0
10,19229388197.653,19229388206.693,19229394614.897,6407.378,6417.244,9.866,9.040,0.826,3582.756,0,0.000,0,145,48,0
11,19229398197.653,19229398208.852,19229404251.509,6041.854,6053.856,12.002,11.199,0.803,3946.144,0,0.000,0,145,48,0
12,19229408197.653,19229408209.534,19229414695.256,6484.776,6497.603,12.827,11.881,0.946,3502.397,0,0.000,0,145,48,0
13,19229418197.653,19229418209.396,19229424177.858,5967.622,5980.205,12.583,11.743,0.840,4019.795,0,0.000,0,145,48,0
14,19229428197.653,19229428208.888,19229434663.038,6453.368,6465.385,12.017,11.235,0.782,3534.615,0,0.000,0,145,48,0
15,19229438197.653,19229438209.222,19229444180.921,5970.842,5983.268,12.426,11.569,0.857,4016.732,0,0.000,0,145,48,0
16,19229448197.653,19229448209.728,19229454682.224,6471.621,6484.571,12.950,12.075,0.875,3515.429,0,0.000,0,145,48,0
17,19229458197.653,19229458210.375,19229464194.868,5983.585,5997.215,13.630,12.722,0.908,4002.785,0,0.000,0,145,48,0
18,19229468197.653,19229468209.562,19229474681.353,6470.930,6483.700,12.770,11.909,0.861,3516.300,0,0.000,0,145,48,0
19,19229478197.653,19229478208.662,19229484170.946,5961.410,5973.293,11.883,11.009,0.874,4026.707,0,0.000,0,145,48,0
20,19229488197.653,19229488209.329,19229494664.035,6453.747,6466.382,12.635,11.676,0.959,3533.618,0,0.000,0,145,48,0
21,19229498197.653,19229498209.143,19229504208.895,5998.813,6011.242,12.429,11.490,0.939,3988.758,0,0.000,0,145,48,0
22,19229508197.653,19229508205.159,19229514664.486,6458.911,6466.833,7.922,7.506,0.416,3533.167,0,0.000,0,145,48,0
23,19229518197.653,19229518204.374,19229524159.291,5954.571,5961.638,7.067,6.721,0.346,4038.362,0,0.000,0,145,48,0
24,19229528197.653,19229528203.955,19229534575.794,6371.462,6378.141,6.679,6.302,0.377,3621.859,0,0.000,0,145,48,0
25,19229538197.653,19229538204.305,19229544145.195,5940.556,5947.542,6.986,6.652,0.334,4052.458,0,0.000,0,145,48,0
26,19229548197.653,19229548204.000,19229554621.085,6416.753,6423.432,6.679,6.347,0.332,3576.568,0,0.000,0,145,48,0
27,19229558197.653,19229558204.962,19229564119.944,5914.636,5922.291,7.655,7.309,0.346,4077.709,0,0.000,0,145,48,0
28,19229568197.653,19229568204.067,19229574669.652,6465.267,6471.999,6.732,6.414,0.318,3528.001,0,0.000,0,145,48,0
29,19229578197.653,19229578204.144,19229584171.279,5966.795,5973.626,6.831,6.491,0.340,4026.374,0,0.000,0,145,48,0
30,19229588197.653,19229588204.912,19229594596.685,6391.459,6399.032,7.573,7.259,0.314,3600.968,0,0.000,0,145,48,0
31,19229598197.653,19229598204.019,19229604118.614,5914.273,5920.961,6.688,6.366,0.322,4079.039,0,0.000,0,145,48,0
32,19229608197.653,19229608204.465,19229614614.950,6410.152,6417.297,7.145,6.812,0.333,3582.703,0,0.000,0,145,48,0
33,19229618197.653,19229618204.138,19229624172.729,5968.267,5975.076,6.809,6.485,0.324,4024.924,0,0.000,0,145,48,0
34,19229628197.653,19229628204.146,19229634674.822,6470.312,6477.169,6.857,6.493,0.364,3522.831,0,0.000,0,145,48,0
35,19229638197.653,19229638204.299,19229644166.263,5961.630,5968.610,6.980,6.646,0.334,4031.390,0,0.000,0,145,48,0
36,19229648197.653,19229648204.165,19229654691.256,6486.750,6493.603,6.853,6.512,0.341,3506.397,0,0.000,0,145,48,0
37,19229658197.653,19229658209.376,19229664206.933,5996.793,6009.280,12.487,11.723,0.764,3990.720,0,0.000,0,145,48,0
38,19229668197.653,19229668204.540,19229674649.270,6444.361,6451.617,7.256,6.887,0.369,3548.383,0,0.000,0,145,48,0
39,19229678197.653,19229678205.441,19229684121.419,5915.545,5923.766,8.221,7.788,0.433,4076.234,0,0.000,0,145,48,0
40,19229688197.653,19229688204.514,19229694589.681,6384.806,6392.028,7.222,6.861,0.361,3607.972,0,0.000,0,145,48,0
41,19229698197.653,19229698204.513,19229704158.660,5953.809,5961.007,7.198,6.860,0.338,4038.993,0,0.000,0,145,48,0
42,19229708197.653,19229708204.732,19229714600.282,6395.192,6402.629,7.437,7.079,0.358,3597.371,0,0.000,0,145,48,0
43,19229718197.653,19229718204.058,19229724193.001,5988.588,5995.348,6.760,6.405,0.355,4004.652,0,0.000,0,145,48,0
44,19229728197.653,19229728204.889,19229734667.010,6461.762,6469.357,7.595,7.236,0.359,3530.643,0,0.000,0,145,48,0
45,19229738197.653,19229738204.164,19229744184.883,5980.387,5987.230,6.843,6.511,0.332,4012.770,0,0.000,0,145,48,0
46,19229748197.653,19229748205.930,19229754729.361,6523.107,6531.708,8.601,8.277,0.324,3468.292,0,0.000,0,145,48,0
47,19229758197.653,19229758205.199,19229764121.317,5915.796,5923.664,7.868,7.546,0.322,4076.336,0,0.000,0,145,48,0
48,19229768197.653,19229768204.910,19229774703.427,6498.153,6505.774,7.621,7.257,0.364,3494.226,0,0.000,0,145,48,0
49,19229778197.653,19229778204.797,19229784184.001,5978.868,5986.348,7.480,7.144,0.336,4013.652,0,0.000,0,145,48,0
50,19229788197.653,19229788204.575,19229794620.753,6415.842,6423.100,7.258,6.922,0.336,3576.900,0,0.000,0,145,48,0
51,19229798197.653,19229798205.194,19229804184.019,5978.504,5986.366,7.862,7.541,0.321,4013.634,0,0.000,0,145,48,0
52,19229808197.653,19229808204.644,19229814669.453,6464.492,6471.800,7.308,6.991,0.317,3528.200,0,0.000,0,145,48,0
53,19229818197.653,19229818205.075,19229824176.594,5971.184,5978.941,7.757,7.422,0.335,4021.059,0,0.000,0,145,48,0
54,19229828197.653,19229828204.424,19229834594.556,6389.671,6396.903,7.232,6.771,0.461,3603.097,0,0.000,0,145,48,0
55,19229838197.653,19229838204.218,19229844129.197,5924.637,5931.544,6.907,6.565,0.342,4068.456,0,0.000,0,145,48,0
56,19229848197.653,19229848204.077,19229854665.216,6460.813,6467.563,6.750,6.424,0.326,3532.437,0,0.000,0,145,48,0
57,19229858197.653,19229858205.032,19229864096.122,5890.764,5898.469,7.705,7.379,0.326,4101.531,0,0.000,0,145,48,0
58,19229868197.653,19229868204.196,19229874642.706,6438.169,6445.053,6.884,6.543,0.341,3554.947,0,0.000,0,145,48,0
59,19229878197.653,19229878204.537,19229884087.944,5883.069,5890.291,7.222,6.884,0.338,4109.709,0,0.000,0,145,48,0
60,19229888197.653,19229888203.921,19229894650.355,6446.116,6452.702,6.586,6.268,0.318,3547.298,0,0.000,0,145,48,0
61,19229898197.653,19229898204.070,19229904143.811,5939.426,5946.158,6.732,6.417,0.315,4053.842,0,0.000,0,145,48,0
62,19229908197.653,19229908204.835,19229914678.822,6473.656,6481.169,7.513,7.182,0.331,3518.831,0,0.000,0,145,48,0
63,19229918197.653,19229918204.387,19229924138.655,5933.926,5941.002,7.076,6.734,0.342,4058.998,0,0.000,0,145,48,0
64,19229928197.653,19229928204.076,19229934643.473,6439.069,6445.820,6.751,6.423,0.328,3554.180,0,0.000,0,145,48,0
65,19229938197.653,19229938204.232,19229944195.296,5990.731,5997.643,6.912,6.579,0.333,4002.357,0,0.000,0,145,48,0
66,19229948197.653,19229948205.762,19229954750.152,6544.037,6552.499,8.462,8.109,0.353,3447.501,0,0.000,0,145,48,0
67,19229958197.653,19229958205.001,19229964153.942,5948.606,5956.289,7.683,7.348,0.335,4043.711,0,0.000,0,145,48,0
68,19229968197.653,19229968204.806,19229974687.113,6481.977,6489.460,7.483,7.153,0.330,3510.540,0,0.000,0,145,48,0
69,19229978197.653,19229978205.616,19229984105.385,5899.131,5907.732,8.601,7.963,0.638,4092.268,0,0.000,0,145,48,0
70,19229988197.653,19229988204.630,19229994651.188,6446.194,6453.535,7.341,6.977,0.364,3546.465,0,0.000,0,145,48,0
71,19229998197.653,19229998204.061,19230004083.425,5879.028,5885.772,6.744,6.408,0.336,4114.228,0,0.000,0,145,48,0
72,19230008197.653,19230008204.306,19230014620.440,6415.795,6422.787,6.992,6.653,0.339,3577.213,0,0.000,0,145,48,0
73,19230018197.653,19230018204.072,19230024187.204,5982.789,5989.551,6.762,6.419,0.343,4010.449,0,0.000,0,145,48,0
74,19230028197.653,19230028209.353,19230034625.728,6415.385,6428.075,12.690,11.700,0.990,3571.925,0,0.000,0,145,48,0
75,19230038197.653,19230038207.238,19230044139.205,5931.385,5941.552,10.167,9.585,0.582,4058.448,0,0.000,0,145,48,0
76,19230048197.653,19230048204.733,19230054565.936,6360.853,6368.283,7.430,7.080,0.350,3631.717,0,0.000,0,145,48,0
77,19230058197.653,19230058204.211,19230064085.853,5881.269,5888.200,6.931,6.558,0.373,4111.800,0,0.000,0,145,48,0
78,19230068197.653,19230068204.355,19230074533.421,6328.727,6335.768,7.041,6.702,0.339,3664.232,0,0.000,0,145,48,0
79,19230078197.653,19230078204.264,19230084109.872,5905.245,5912.219,6.974,6.611,0.363,4087.781,0,0.000,0,145,48,0
80,19230088197.653,19230088204.441,19230094599.675,6394.863,6402.022,7.159,6.788,0.371,3597.978,0,0.000,0,145,48,0
81,19230098197.653,19230098204.249,19230104149.844,5945.239,5952.191,6.952,6.596,0.356,4047.809,0,0.000,0,145,48,0
82,19230108197.653,19230108204.039,19230114651.828,6447.435,6454.175,6.740,6.386,0.354,3545.825,0,0.000,0,145,48,0
83,19230118197.653,19230118204.506,19230124148.508,5943.665,5950.855,7.190,6.853,0.337,4049.145,0,0.000,0,145,48,0
84,19230128197.653,19230128205.185,19230134597.682,6392.139,6400.029,7.890,7.532,0.358,3599.971,0,0.000,0,145,48,0
85,19230138197.653,19230138204.364,19230144113.555,5908.863,5915.902,7.039,6.711,0.328,4084.098,0,0.000,0,145,48,0
86,19230148197.653,19230148205.893,19230154637.158,6430.943,6439.505,8.562,8.240,0.322,3560.495,0,0.000,0,145,48,0
87,19230158197.653,19230158204.060,19230164068.044,5863.645,5870.391,6.746,6.407,0.339,4129.609,0,0.000,0,145,48,0
88,19230168197.653,19230168204.185,19230174640.603,6436.044,6442.950,6.906,6.532,0.374,3557.050,0,0.000,0,145,48,0
89,19230178197.653,19230178204.226,19230184156.102,5951.534,5958.449,6.915,6.573,0.342,4041.551,0,0.000,0,145,48,0
90,19230188197.653,19230188204.397,19230194792.543,6587.800,6594.890,7.090,6.744,0.346,3405.110,0,0.000,0,145,48,0
91,19230198197.653,19230198207.863,19230204171.534,5962.919,5973.881,10.962,10.210,0.752,4026.119,0,0.000,0,145,48,0
92,19230208197.653,19230208204.808,19230214669.577,6464.401,6471.924,7.523,7.155,0.368,3528.076,0,0.000,0,145,48,0
93,19230218197.653,19230218204.456,19230224142.477,5937.691,5944.824,7.133,6.803,0.330,4055.176,0,0.000,0,145,48,0
94,19230228197.653,19230228204.591,19230234608.823,6403.871,6411.170,7.299,6.938,0.361,3588.830,0,0.000,0,145,48,0
95,19230238197.653,19230238204.476,19230244121.451,5916.627,5923.798,7.171,6.823,0.348,4076.202,0,0.000,0,145,48,0
96,19230248197.653,19230248204.956,19230254731.392,6526.109,6533.739,7.630,7.303,0.327,3466.261,0,0.000,0,145,48,0
97,19230258197.653,19230258204.319,19230264149.597,5944.971,5951.944,6.973,6.666,0.307,4048.056,0,0.000,0,145,48,0
98,19230268197.653,19230268204.337,19230274622.992,6418.329,6425.339,7.010,6.684,0.326,3574.661,0,0.000,0,145,48,0
99,19230278197.653,19230278204.921,19230284153.780,5948.493,5956.127,7.634,7.268,0.366,4043.873,0,0.000,0,145,48,0
100,19230288197.653,19230288204.335,19230294580.516,6375.855,6382.863,7.008,6.682,0.326,3617.137,0,0.000,0,145,48,0
101,19230298197.653,19230298204.090,19230304092.470,5888.059,5894.817,6.758,6.437,0.321,4105.183,0,0.000,0,145,48,0
102,19230308197.653,19230308204.165,19230314753.703,6549.223,6556.050,6.827,6.512,0.315,3443.950,0,0.000,0,145,48,0
103,19230318197.653,19230318204.232,19230324154.196,5949.621,5956.543,6.922,6.579,0.343,4043.457,0,0.000,0,145,48,0
104,19230328197.653,19230328204.209,19230334649.769,6445.204,6452.116,6.912,6.556,0.356,3547.884,0,0.000,0,145,48,0
105,19230338197.653,19230338208.548,19230344155.488,5945.956,5957.835,11.879,10.895,0.984,4042.165,0,0.000,0,145,48,0
106,19230348197.653,19230348204.708,19230354593.401,6388.292,6395.748,7.456,7.055,0.401,3604.252,0,0.000,0,145,48,0
107,19230358197.653,19230358205.089,19230364142.440,5936.867,5944.787,7.920,7.436,0.484,4055.213,0,0.000,0,145,48,0
108,19230368197.653,19230368204.291,19230374629.633,6424.988,6431.980,6.992,6.638,0.354,3568.020,0,0.000,0,145,48,0
109,19230378197.653,19230378205.153,19230384133.345,5927.830,5935.692,7.862,7.500,0.362,4064.308,0,0.000,0,145,48,0
110,19230388197.653,19230388204.288,19230394613.868,6409.252,6416.215,6.963,6.635,0.328,3583.785,0,0.000,0,145,48,0
111,19230398197.653,19230398205.097,19230404089.843,5884.387,5892.190,7.803,7.444,0.359,4107.810,0,0.000,0,145,48,0
112,19230408197.653,19230408204.766,19230414653.708,6448.573,6456.055,7.482,7.113,0.369,3543.945,0,0.000,0,145,48,0
113,19230418197.653,19230418204.102,19230424130.710,5926.293,5933.057,6.764,6.449,0.315,4066.943,0,0.000,0,145,48,0
114,19230428197.653,19230428204.227,19230434670.198,6465.607,6472.545,6.938,6.574,0.364,3527.455,0,0.000,0,145,48,0
115,19230438197.653,19230438205.213,19230444159.602,5954.037,5961.949,7.912,7.560,0.352,4038.051,0,0.000,0,145,48,0
116,19230448197.653,19230448204.907,19230454645.003,6439.737,6447.350,7.613,7.254,0.359,3552.650,0,0.000,0,145,48,0
117,19230458197.653,19230458208.402,19230464112.477,5903.548,5914.824,11.276,10.749,0.527,4085.176,0,0.000,0,145,48,0
118,19230468197.653,19230468205.192,19230474544.607,6339.092,6346.954,7.862,7.539,0.323,3653.046,0,0.000,0,145,48,0
119,19230478197.653,19230478204.937,19230484126.318,5921.033,5928.665,7.632,7.284,0.348,4071.335,0,0.000,0,145,48,0
120,19230488197.653,19230488206.855,19230494610.752,6403.559,6413.099,9.540,9.202,0.338,3586.901,0,0.000,0,145,48,0
121,19230498197.653,19230498204.573,19230504122.453,5917.554,5924.800,7.246,6.920,0.326,4075.200,0,0.000,0,145,48,0
122,19230508197.653,19230508205.731,19230514797.608,6591.532,6599.955,8.423,8.078,0.345,3400.045,0,0.000,0,145,48,0
123,19230518197.653,19230518205.889,19230524232.419,6026.201,6034.766,8.565,8.236,0.329,3965.234,0,0.000,0,145,48,0
124,19230528197.653,19230528209.242,19230534544.995,6334.936,6347.342,12.406,11.589,0.817,3652.658,0,0.000,0,145,48,0
125,19230538197.653,19230538204.318,19230544128.651,5923.967,5930.998,7.031,6.665,0.366,4069.002,0,0.000,0,145,48,0
126,19230548197.653,19230548204.230,19230554544.706,6340.157,6347.053,6.896,6.577,0.319,3652.947,0,0.000,0,145,48,0
127,19230558197.653,19230558204.376,19230564118.164,5913.410,5920.511,7.101,6.723,0.378,4079.489,0,0.000,0,145,48,0
128,19230568197.653,19230568204.161,19230574627.509,6422.973,6429.856,6.883,6.508,0.375,3570.144,0,0.000,0,145,48,0
129,19230578197.653,19230578204.153,19230584118.705,5914.193,5921.052,6.859,6.500,0.359,4078.948,0,0.000,0,145,48,0
130,19230588197.653,19230588206.323,19230594614.074,6407.285,6416.421,9.136,8.670,0.466,3583.579,0,0.000,0,145,48,0
131,19230598197.653,19230598204.562,19230604128.328,5923.443,5930.675,7.232,6.909,0.323,4069.325,0,0.000,0,145,48,0
132,19230608197.653,19230608204.629,19230614615.610,6410.652,6417.957,7.305,6.976,0.329,3582.043,0,0.000,0,145,48,0
133,19230618197.653,19230618204.226,19230624162.246,5957.691,5964.593,6.902,6.573,0.329,4035.407,0,0.000,0,145,48,0
134,19230628197.653,19230628204.171,19230634635.946,6431.451,6438.293,6.842,6.518,0.324,3561.707,0,0.000,0,145,48,0
135,19230638197.653,19230638205.329,19230644183.938,5978.290,5986.285,7.995,7.676,0.319,4013.715,0,0.000,0,145,48,0
136,19230648197.653,19230648204.825,19230654668.156,6462.962,6470.503,7.541,7.172,0.369,3529.497,0,0.000,0,145,48,0
137,19230658197.653,19230658204.143,19230664171.458,5966.911,5973.805,6.894,6.490,0.404,4026.195,0,0.000,0,145,48,0
138,19230668197.653,19230668204.169,19230674596.427,6391.924,6398.774,6.850,6.516,0.334,3601.226,0,0.000,0,145,48,0
139,19230678197.653,19230678204.075,19230684194.545,5990.156,5996.892,6.736,6.422,0.314,4003.108,0,0.000,0,145,48,0
140,19230688197.653,19230688205.200,19230694638.614,6432.855,6440.961,8.106,7.547,0.559,3559.039,0,0.000,0,145,48,0
141,19230698197.653,19230698204.166,19230704072.410,5867.891,5874.757,6.866,6.513,0.353,4125.243,0,0.000,0,145,48,0
142,19230708197.653,19230708204.611,19230714620.902,6415.967,6423.249,7.282,6.958,0.324,3576.751,0,0.000,0,145,48,0
143,19230718197.653,19230718204.215,19230724160.680,5956.105,5963.027,6.922,6.562,0.360,4036.973,0,0.000,0,145,48,0
144,19230728197.653,19230728205.473,19230734674.186,6468.377,6476.533,8.156,7.820,0.336,3523.467,0,0.000,0,145,48,0
145,19230738197.653,19230738203.996,19230744187.107,5982.782,5989.454,6.672,6.343,0.329,4010.546,0,0.000,0,145,48,0
146,19230748197.653,19230748205.134,19230754634.591,6429.124,6436.938,7.814,7.481,0.333,3563.062,0,0.000,0,145,48,0
147,19230758197.653,19230758204.185,19230764199.334,5994.834,6001.681,6.847,6.532,0.315,3998.319,0,0.000,0,145,48,0
148,19230768197.653,19230768204.348,19230774638.864,6434.173,6441.211,7.038,6.695,0.343,3558.789,0,0.000,0,145,48,0
149,19230778197.653,19230778204.402,19230784137.473,5932.713,5939.820,7.107,6.749,0.358,4060.180,0,0.000,0,145,48,0
150,19230788197.653,19230788205.773,19230794584.895,6378.768,6387.242,8.474,8.120,0.354,3612.758,0,0.000,0,145,48,0
151,19230798197.653,19230798205.570,19230804185.614,5979.728,5987.961,8.233,7.917,0.316,4012.039,0,0.000,0,145,48,0
152,19230808197.653,19230808213.110,19230814689.941,6476.013,6492.288,16.275,15.457,0.818,3507.712,0,0.000,0,145,48,0
153,19230818197.653,19230818213.848,19230824194.464,5979.782,5996.811,17.029,16.195,0.834,4003.189,0,0.000,0,145,48,0
154,19230828197.653,19230828212.977,19230834700.091,6486.162,6502.438,16.276,15.324,0.952,3497.562,0,0.000,0,145,48,0
155,19230838197.653,19230838206.403,19230844209.006,6001.826,6011.353,9.527,8.750,0.777,3988.647,0,0.000,0,145,48,0
156,19230848197.653,19230848206.593,19230854707.609,6500.243,6509.956,9.713,8.940,0.773,3490.044,0,0.000,0,145,48,0
157,19230858197.653,19230858211.471,19230864158.824,5946.420,5961.171,14.751,13.818,0.933,4038.829,0,0.000,0,145,48,0
158,19230868197.653,19230868210.510,19230874629.770,6418.393,6432.117,13.724,12.857,0.867,3567.883,0,0.000,0,145,48,0
159,19230878197.653,19230878217.199,19230884190.417,5972.233,5992.764,20.531,19.546,0.985,4007.236,0,0.000,0,145,48,0
160,19230888197.653,19230888207.841,19230894638.184,6429.793,6440.531,10.738,10.188,0.550,3559.469,0,0.000,0,145,48,0
161,19230898197.653,19230898204.516,19230904120.930,5915.979,5923.277,7.298,6.863,0.435,4076.723,0,0.000,0,145,48,0
162,19230908197.653,19230908204.636,19230914616.052,6411.079,6418.399,7.320,6.983,0.337,3581.601,0,0.000,0,145,48,0
163,19230918197.653,19230918204.730,19230924146.571,5941.500,5948.918,7.418,7.077,0.341,4051.082,0,0.000,0,145,48,0
164,19230928197.653,19230928204.125,19230934617.795,6413.338,6420.142,6.804,6.472,0.332,3579.858,0,0.000,0,145,48,0
165,19230938197.653,19230938204.916,19230944109.487,5904.260,5911.834,7.574,7.263,0.311,4088.166,0,0.000,0,145,48,0
166,19230948197.653,19230948204.380,19230954597.796,6393.091,6400.143,7.052,6.727,0.325,3599.857,0,0.000,0,145,48,0
167,19230958197.653,19230958204.070,19230964161.292,5956.882,5963.639,6.757,6.417,0.340,4036.361,0,0.000,0,145,48,0
168,19230968197.653,19230968203.933,19230974606.445,6402.175,6408.792,6.617,6.280,0.337,3591.208,0,0.000,0,145,48,0
