# probe kind=matmul M=48 K=1353 buf_kb=0 period_us=100000 priority=90 cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,31185316156.166,31185316183.614,31185375434.934,59250.885,59278.768,27.883,27.448,0.435,40721.232,0,0.000,0,1353,48,0
1,31185416156.166,31185416204.337,31185475339.549,59134.317,59183.383,49.066,48.171,0.895,40816.617,0,0.000,0,1353,48,0
2,31185516156.166,31185516210.294,31185575246.987,59035.843,59090.821,54.978,54.128,0.850,40909.179,0,0.000,0,1353,48,0
3,31185616156.166,31185616205.797,31185675746.061,59539.065,59589.895,50.830,49.631,1.199,40410.105,0,0.000,0,1353,48,0
4,31185716156.166,31185716205.465,31185775575.496,59369.189,59419.330,50.141,49.299,0.842,40580.670,0,0.000,0,1353,48,0
5,31185816156.166,31185816202.192,31185875614.895,59412.048,59458.729,46.681,46.026,0.655,40541.271,0,0.000,0,1353,48,0
6,31185916156.166,31185916205.153,31185975631.133,59424.759,59474.967,50.208,48.987,1.221,40525.033,0,0.000,0,1353,48,0
7,31186016156.166,31186016204.292,31186075154.991,58950.076,58998.825,48.749,48.126,0.623,41001.175,0,0.000,0,1353,48,0
8,31186116156.166,31186116203.275,31186175683.383,59479.318,59527.217,47.899,47.109,0.790,40472.783,0,0.000,0,1353,48,0
9,31186216156.166,31186216209.676,31186275352.062,59141.645,59195.896,54.251,53.510,0.741,40804.104,0,0.000,0,1353,48,0
10,31186316156.166,31186316208.223,31186375370.678,59161.759,59214.512,52.753,52.057,0.696,40785.488,0,0.000,0,1353,48,0
11,31186416156.166,31186416202.592,31186475245.675,59042.105,59089.509,47.404,46.426,0.978,40910.491,0,0.000,0,1353,48,0
12,31186516156.166,31186516207.822,31186575195.235,58986.693,59039.069,52.376,51.656,0.720,40960.931,0,0.000,0,1353,48,0
13,31186616156.166,31186616207.158,31186675378.215,59170.189,59222.049,51.860,50.992,0.868,40777.951,0,0.000,0,1353,48,0
14,31186716156.166,31186716202.405,31186775833.900,59630.721,59677.734,47.013,46.239,0.774,40322.266,0,0.000,0,1353,48,0
15,31186816156.166,31186816205.681,31186876131.486,59924.811,59975.320,50.509,49.515,0.994,40024.680,0,0.000,0,1353,48,0
16,31186916156.166,31186916208.233,31186975616.897,59407.820,59460.731,52.911,52.067,0.844,40539.269,0,0.000,0,1353,48,0
17,31187016156.166,31187016206.111,31187075689.111,59482.125,59532.945,50.820,49.945,0.875,40467.055,0,0.000,0,1353,48,0
18,31187116156.166,31187116212.923,31187175221.702,59007.882,59065.536,57.654,56.757,0.897,40934.464,0,0.000,0,1353,48,0
19,31187216156.166,31187216209.020,31187274904.128,58694.276,58747.962,53.686,52.854,0.832,41252.038,0,0.000,0,1353,48,0
20,31187316156.166,31187316202.258,31187375614.376,59411.438,59458.210,46.772,46.092,0.680,40541.790,0,0.000,0,1353,48,0
21,31187416156.166,31187416206.662,31187475189.919,58982.363,59033.753,51.390,50.496,0.894,40966.247,0,0.000,0,1353,48,0
22,31187516156.166,31187516209.473,31187575231.541,59020.991,59075.375,54.384,53.307,1.077,40924.625,0,0.000,0,1353,48,0
23,31187616156.166,31187616207.395,31187675674.852,59466.549,59518.686,52.137,51.229,0.908,40481.314,0,0.000,0,1353,48,0
24,31187716156.166,31187716209.193,31187774564.819,58354.886,58408.653,53.767,53.027,0.740,41591.347,0,0.000,0,1353,48,0
25,31187816156.166,31187816202.613,31187875065.962,58862.690,58909.796,47.106,46.447,0.659,41090.204,0,0.000,0,1353,48,0
26,31187916156.166,31187916205.586,31187974799.016,58592.736,58642.850,50.114,49.420,0.694,41357.150,0,0.000,0,1353,48,0
27,31188016156.166,31188016209.890,31188075029.664,58818.854,58873.498,54.644,53.724,0.920,41126.502,0,0.000,0,1353,48,0
28,31188116156.166,31188116207.426,31188175701.990,59493.662,59545.824,52.162,51.260,0.902,40454.176,0,0.000,0,1353,48,0
29,31188216156.166,31188216208.070,31188275367.760,59158.940,59211.594,52.654,51.904,0.750,40788.406,0,0.000,0,1353,48,0
30,31188316156.166,31188316205.623,31188374898.589,58692.073,58742.423,50.350,49.457,0.893,41257.577,0,0.000,0,1353,48,0
31,31188416156.166,31188416208.900,31188475463.868,59254.104,59307.702,53.598,52.734,0.864,40692.298,0,0.000,0,1353,48,0
32,31188516156.166,31188516207.431,31188575149.509,58941.370,58993.343,51.973,51.265,0.708,41006.657,0,0.000,0,1353,48,0
33,31188616156.166,31188616204.924,31188675200.494,58994.748,59044.328,49.580,48.758,0.822,40955.672,0,0.000,0,1353,48,0
34,31188716156.166,31188716203.521,31188775467.039,59262.863,59310.873,48.010,47.355,0.655,40689.127,0,0.000,0,1353,48,0
