# probe kind=matmul M=48 K=101 buf_kb=0 period_us=10000 priority=90 cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,13997048960.438,13997048981.588,13997053419.138,4436.267,4458.700,22.433,21.150,1.283,5541.300,0,0.000,0,101,48,0
1,13997058960.438,13997058979.625,13997063403.694,4423.404,4443.256,19.852,19.187,0.665,5556.744,0,0.000,0,101,48,0
2,13997068960.438,13997068984.631,13997073543.253,4557.838,4582.815,24.977,24.193,0.784,5417.185,0,0.000,0,101,48,0
3,13997078960.438,13997078980.157,13997083427.772,4446.891,4467.334,20.443,19.719,0.724,5532.666,0,0.000,0,101,48,0
4,13997088960.438,13997088978.862,13997093431.676,4452.029,4471.238,19.209,18.424,0.785,5528.762,0,0.000,0,101,48,0
5,13997098960.438,13997098979.577,13997103493.120,4512.747,4532.682,19.935,19.139,0.796,5467.318,0,0.000,0,101,48,0
6,13997108960.438,13997108979.909,13997113485.697,4505.074,4525.259,20.185,19.471,0.714,5474.741,0,0.000,0,101,48,0
7,13997118960.438,13997118979.176,13997123440.406,4460.060,4479.968,19.908,18.738,1.170,5520.032,0,0.000,0,101,48,0
8,13997128960.438,13997128978.822,13997133422.757,4443.280,4462.319,19.039,18.384,0.655,5537.681,0,0.000,0,101,48,0
9,13997138960.438,13997138983.365,13997143438.917,4454.857,4478.479,23.622,22.927,0.695,5521.521,0,0.000,0,101,48,0
10,13997148960.438,13997148979.849,13997153461.252,4480.523,4500.814,20.291,19.411,0.880,5499.186,0,0.000,0,101,48,0
11,13997158960.438,13997158979.911,13997163442.911,4462.266,4482.473,20.207,19.473,0.734,5517.527,0,0.000,0,101,48,0
12,13997168960.438,13997168979.347,13997173424.199,4444.092,4463.761,19.669,18.909,0.760,5536.239,0,0.000,0,101,48,0
13,13997178960.438,13997178978.277,13997183420.872,4441.912,4460.434,18.522,17.839,0.683,5539.566,0,0.000,0,101,48,0
14,13997188960.438,13997188978.872,13997193491.402,4511.887,4530.964,19.077,18.434,0.643,5469.036,0,0.000,0,101,48,0
15,13997198960.438,13997198978.515,13997203394.943,4415.674,4434.505,18.831,18.077,0.754,5565.495,0,0.000,0,101,48,0
16,13997208960.438,13997208978.423,13997213444.597,4465.340,4484.159,18.819,17.985,0.834,5515.841,0,0.000,0,101,48,0
17,13997218960.438,13997218979.037,13997223330.260,4350.623,4369.822,19.199,18.599,0.600,5630.178,0,0.000,0,101,48,0
