# probe kind=matmul M=48 K=873 buf_kb=0 period_us=100000 priority=90 cpu=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,8377284729.257,8377284771.271,8377423356.738,88825.888,138627.481,49801.593,42.014,49759.579,-38627.481,1,38627.481,1,873,48,1
1,8377484729.257,8377484767.300,8377623222.071,88692.109,138492.814,49800.705,38.043,49762.662,-38492.814,1,38492.814,1,873,48,1
2,8377684729.257,8377684767.532,8377823303.739,88740.954,138574.482,49833.528,38.275,49795.253,-38574.482,1,38574.482,1,873,48,1
3,8377884729.257,8377884776.209,8378023247.766,88708.861,138518.509,49809.648,46.952,49762.696,-38518.509,1,38518.509,1,873,48,1
4,8378084729.257,8378084781.765,8378223153.568,88607.749,138424.311,49816.562,52.508,49764.054,-38424.311,1,38424.311,1,873,48,1
5,8378284729.257,8378284771.199,8378423080.921,88458.104,138351.664,49893.560,41.942,49851.618,-38351.664,1,38351.664,1,873,48,1
6,8378484729.257,8378484774.890,8378623130.053,88597.480,138400.796,49803.316,45.633,49757.683,-38400.796,1,38400.796,1,873,48,1
7,8378684729.257,8378684773.219,8378823402.591,88877.887,138673.334,49795.447,43.962,49751.485,-38673.334,1,38673.334,1,873,48,1
8,8378884729.257,8378884776.741,8379023450.574,88916.872,138721.317,49804.445,47.484,49756.961,-38721.317,1,38721.317,1,873,48,1
9,8379084729.257,8379084769.928,8379223215.688,88695.180,138486.431,49791.251,40.671,49750.580,-38486.431,1,38486.431,1,873,48,1
10,8379284729.257,8379284811.264,8379429227.527,94658.437,144498.270,49839.833,82.007,49757.826,-44498.270,1,44498.270,1,873,48,1
11,8379484729.257,8379484772.488,8379623407.632,88874.954,138678.375,49803.421,43.231,49760.190,-38678.375,1,38678.375,1,873,48,1
12,8379684729.257,8379684771.891,8379824510.267,89984.064,139781.010,49796.946,42.634,49754.312,-39781.010,1,39781.010,1,873,48,1
13,8379884729.257,8379884776.916,8380023431.324,88894.789,138702.067,49807.278,47.659,49759.619,-38702.067,1,38702.067,1,873,48,1
14,8380084729.257,8380084769.004,8380227599.339,93075.864,142870.082,49794.218,39.747,49754.471,-42870.082,1,42870.082,1,873,48,1
15,8380284729.257,8380284765.905,8380423204.720,88683.314,138475.463,49792.149,36.648,49755.501,-38475.463,1,38475.463,1,873,48,1
16,8380484729.257,8380484771.416,8380623240.231,88711.557,138510.974,49799.417,42.159,49757.258,-38510.974,1,38510.974,1,873,48,1
17,8380684729.257,8380684768.793,8380825883.126,91358.400,141153.869,49795.469,39.536,49755.933,-41153.869,1,41153.869,1,873,48,1
18,8380884729.257,8380884769.283,8381023667.374,89150.799,138938.117,49787.318,40.026,49747.292,-38938.117,1,38938.117,1,873,48,1
19,8381084729.257,8381084780.406,8381223312.964,88765.055,138583.707,49818.652,51.149,49767.503,-38583.707,1,38583.707,1,873,48,1
20,8381284729.257,8381284772.130,8381424672.929,90146.217,139943.672,49797.455,42.873,49754.582,-39943.672,1,39943.672,1,873,48,1
21,8381484729.257,8381484764.811,8381623200.834,88680.845,138471.577,49790.732,35.554,49755.178,-38471.577,1,38471.577,1,873,48,1
22,8381684729.257,8381684774.770,8381824260.137,89725.119,139530.880,49805.761,45.513,49760.248,-39530.880,1,39530.880,1,873,48,1
23,8381884729.257,8381884772.257,8382029385.853,94853.717,144656.596,49802.879,43.000,49759.879,-44656.596,1,44656.596,1,873,48,1
24,8382084729.257,8382084770.820,8382209822.862,75297.601,125093.605,49796.004,41.563,49754.441,-25093.605,1,25093.605,1,873,48,1
25,8382284729.257,8382284777.384,8382421256.693,86725.197,136527.436,49802.239,48.127,49754.112,-36527.436,1,36527.436,1,873,48,1
26,8382484729.257,8382484773.493,8382623414.295,88882.525,138685.038,49802.513,44.236,49758.277,-38685.038,1,38685.038,1,873,48,1
27,8382684729.257,8382684770.532,8382823219.370,88700.357,138490.113,49789.756,41.275,49748.481,-38490.113,1,38490.113,1,873,48,1
28,8382884729.257,8382884774.137,8383023292.825,88765.971,138563.568,49797.597,44.880,49752.717,-38563.568,1,38563.568,1,873,48,1
29,8383084729.257,8383084775.212,8383223343.720,88809.679,138614.463,49804.784,45.955,49758.829,-38614.463,1,38614.463,1,873,48,1
30,8383284729.257,8383284775.347,8383423394.139,88871.266,138664.882,49793.616,46.090,49747.526,-38664.882,1,38664.882,1,873,48,1
31,8383484729.257,8383484781.874,8383623602.040,89062.195,138872.783,49810.588,52.617,49757.971,-38872.783,1,38872.783,1,873,48,1
32,8383684729.257,8383684772.160,8383823257.456,88726.789,138528.199,49801.410,42.903,49758.507,-38528.199,1,38528.199,1,873,48,1
33,8383884729.257,8383884785.006,8384023229.422,88678.086,138500.165,49822.079,55.749,49766.330,-38500.165,1,38500.165,1,873,48,1
34,8384084729.257,8384084749.257,8384223084.438,88589.331,138355.181,49765.850,20.000,49745.850,-38355.181,1,38355.181,1,873,48,1
35,8384284729.257,8384284765.480,8384423271.369,88645.333,138542.112,49896.779,36.223,49860.556,-38542.112,1,38542.112,1,873,48,1
36,8384484729.257,8384484760.988,8384623207.139,88694.447,138477.882,49783.435,31.731,49751.704,-38477.882,1,38477.882,1,873,48,1
37,8384684729.257,8384684774.652,8384826107.793,91576.267,141378.536,49802.269,45.395,49756.874,-41378.536,1,41378.536,1,873,48,1
38,8384884729.257,8384884769.886,8385014142.290,79237.450,129413.033,50175.583,40.629,50134.954,-29413.033,1,29413.033,1,873,48,1
39,8385084729.257,8385084766.817,8385223210.825,88696.582,138481.568,49784.986,37.560,49747.426,-38481.568,1,38481.568,1,873,48,1
40,8385284729.257,8385284759.022,8385423291.604,88787.143,138562.347,49775.204,29.765,49745.439,-38562.347,1,38562.347,1,873,48,1
41,8385484729.257,8385484753.707,8385623258.318,88750.378,138529.061,49778.683,24.450,49754.233,-38529.061,1,38529.061,1,873,48,1
42,8385684729.257,8385684771.941,8385824599.188,90076.452,139869.931,49793.479,42.684,49750.795,-39869.931,1,39869.931,1,873,48,1
43,8385884729.257,8385884772.267,8386023248.708,88714.882,138519.451,49804.569,43.010,49761.559,-38519.451,1,38519.451,1,873,48,1
44,8386084729.257,8386084768.040,8386223436.075,88922.614,138706.818,49784.204,38.783,49745.421,-38706.818,1,38706.818,1,873,48,1
45,8386284729.257,8386284762.006,8386423140.393,88631.291,138411.136,49779.845,32.749,49747.096,-38411.136,1,38411.136,1,873,48,1
46,8386484729.257,8386484773.259,8386623308.331,88775.251,138579.074,49803.823,44.002,49759.821,-38579.074,1,38579.074,1,873,48,1
47,8386684729.257,8386684777.169,8386823503.620,88965.180,138774.363,49809.183,47.912,49761.271,-38774.363,1,38774.363,1,873,48,1
48,8386884729.257,8386884771.321,8387024420.908,89894.148,139691.651,49797.503,42.064,49755.439,-39691.651,1,39691.651,1,873,48,1
49,8387084729.257,8387084771.773,8387223287.048,88755.988,138557.791,49801.803,42.516,49759.287,-38557.791,1,38557.791,1,873,48,1
50,8387284729.257,8387284778.880,8387424370.390,89829.346,139641.133,49811.787,49.623,49762.164,-39641.133,1,39641.133,1,873,48,1
51,8387484729.257,8387484771.405,8387623395.876,88872.398,138666.619,49794.221,42.148,49752.073,-38666.619,1,38666.619,1,873,48,1
52,8387684729.257,8387684770.804,8387823230.689,88703.904,138501.432,49797.528,41.547,49755.981,-38501.432,1,38501.432,1,873,48,1
53,8387884729.257,8387884786.882,8388023352.665,88799.955,138623.408,49823.453,57.625,49765.828,-38623.408,1,38623.408,1,873,48,1
54,8388084729.257,8388084771.497,8388223374.941,88854.837,138645.684,49790.847,42.240,49748.607,-38645.684,1,38645.684,1,873,48,1
55,8388284729.257,8388284771.675,8388424041.161,89517.475,139311.904,49794.429,42.418,49752.011,-39311.904,1,39311.904,1,873,48,1
56,8388484729.257,8388484769.355,8388623222.325,88698.796,138493.068,49794.272,40.098,49754.174,-38493.068,1,38493.068,1,873,48,1
57,8388684729.257,8388684773.632,8388823268.304,88741.030,138539.047,49798.017,44.375,49753.642,-38539.047,1,38539.047,1,873,48,1
58,8388884729.257,8388884764.287,8389023118.734,88607.105,138389.477,49782.372,35.030,49747.342,-38389.477,1,38389.477,1,873,48,1
59,8389084729.257,8389084759.153,8389223186.552,88680.671,138457.295,49776.624,29.896,49746.728,-38457.295,1,38457.295,1,873,48,1
60,8389284729.257,8389284766.929,8389423207.568,88692.223,138478.311,49786.088,37.672,49748.416,-38478.311,1,38478.311,1,873,48,1
61,8389484729.257,8389484768.720,8389623268.236,88752.914,138538.979,49786.065,39.463,49746.602,-38538.979,1,38538.979,1,873,48,1
62,8389684729.257,8389684768.307,8389823223.737,88704.254,138494.480,49790.226,39.050,49751.176,-38494.480,1,38494.480,1,873,48,1
63,8389884729.257,8389884761.890,8390023208.566,88697.941,138479.309,49781.368,32.633,49748.735,-38479.309,1,38479.309,1,873,48,1
64,8390084729.257,8390084758.362,8390223271.728,88760.808,138542.471,49781.663,29.105,49752.558,-38542.471,1,38542.471,1,873,48,1
65,8390284729.257,8390284769.048,8390423283.375,88769.787,138554.118,49784.331,39.791,49744.540,-38554.118,1,38554.118,1,873,48,1
66,8390484729.257,8390484768.101,8390630543.324,96016.371,145814.067,49797.696,38.844,49758.852,-45814.067,1,45814.067,1,873,48,1
67,8390684729.257,8390684779.843,8390809966.771,75432.784,125237.514,49804.730,50.586,49754.144,-25237.514,1,25237.514,1,873,48,1
68,8390884729.257,8390884773.256,8391021240.757,86716.547,136511.500,49794.953,43.999,49750.954,-36511.500,1,36511.500,1,873,48,1
69,8391084729.257,8391084766.238,8391223201.243,88686.874,138471.986,49785.112,36.981,49748.131,-38471.986,1,38471.986,1,873,48,1
70,8391284729.257,8391284772.353,8391423246.810,88720.764,138517.553,49796.789,43.096,49753.693,-38517.553,1,38517.553,1,873,48,1
