# probe kind=matmul M=48 K=156 buf_kb=0 period_us=10000 priority=90 cpu=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,6437878658.467,6437878676.388,6437886268.117,7590.649,7609.650,19.001,17.921,1.080,2390.350,0,0.000,0,156,48,0
1,6437888658.467,6437888675.647,6437895173.003,6496.708,6514.536,17.828,17.180,0.648,3485.464,0,0.000,0,156,48,0
2,6437898658.467,6437898678.425,6437906288.652,7609.490,7630.185,20.695,19.958,0.737,2369.815,0,0.000,0,156,48,0
3,6437908658.467,6437908676.042,6437915219.805,6543.136,6561.338,18.202,17.575,0.627,3438.662,0,0.000,0,156,48,0
4,6437918658.467,6437918679.852,6437926258.531,7577.878,7600.064,22.186,21.385,0.801,2399.936,0,0.000,0,156,48,0
5,6437928658.467,6437928677.170,6437935080.115,6402.261,6421.648,19.387,18.703,0.684,3578.352,0,0.000,0,156,48,0
6,6437938658.467,6437938678.555,6437946174.453,7494.735,7515.986,21.251,20.088,1.163,2484.014,0,0.000,0,156,48,0
7,6437948658.467,6437948675.816,6437956307.320,7630.768,7648.853,18.085,17.349,0.736,2351.147,0,0.000,0,156,48,0
8,6437958658.467,6437958675.467,6437965139.853,6463.705,6481.386,17.681,17.000,0.681,3518.614,0,0.000,0,156,48,0
9,6437968658.467,6437968676.019,6437976207.467,7530.684,7549.000,18.316,17.552,0.764,2451.000,0,0.000,0,156,48,0
10,6437978658.467,6437978675.152,6437986238.635,7562.714,7580.168,17.454,16.685,0.769,2419.832,0,0.000,0,156,48,0
11,6437988658.467,6437988675.701,6437995224.293,6547.987,6565.826,17.839,17.234,0.605,3434.174,0,0.000,0,156,48,0
12,6437998658.467,6437998677.515,6438006148.466,7470.347,7489.999,19.652,19.048,0.604,2510.001,0,0.000,0,156,48,0
13,6438008658.467,6438008676.454,6438016168.067,7490.984,7509.600,18.616,17.987,0.629,2490.400,0,0.000,0,156,48,0
14,6438018658.467,6438018676.090,6438026126.393,7449.759,7467.926,18.167,17.623,0.544,2532.074,0,0.000,0,156,48,0
