# probe kind=matmul M=48 K=174 buf_kb=0 period_us=100000 priority=90 cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,11556649615.486,11556649665.805,11556753524.244,14203.826,103908.758,89704.932,50.319,89654.613,-3908.758,1,3908.758,1,174,48,1
1,11556849615.486,11556849669.568,11556953516.603,14204.411,103901.117,89696.706,54.082,89642.624,-3901.117,1,3901.117,1,174,48,1
2,11557049615.486,11557049669.584,11557153509.063,14194.724,103893.577,89698.853,54.098,89644.755,-3893.577,1,3893.577,1,174,48,1
3,11557249615.486,11557249670.863,11557353513.632,14199.276,103898.146,89698.870,55.377,89643.493,-3898.146,1,3898.146,1,174,48,1
4,11557449615.486,11557449666.897,11557553514.362,14200.709,103898.876,89698.167,51.411,89646.756,-3898.876,1,3898.876,1,174,48,1
5,11557649615.486,11557649669.420,11557753510.082,14183.284,103894.596,89711.312,53.934,89657.378,-3894.596,1,3894.596,1,174,48,1
6,11557849615.486,11557849665.611,11557953512.199,14202.554,103896.713,89694.159,50.125,89644.034,-3896.713,1,3896.713,1,174,48,1
7,11558049615.486,11558049667.658,11558153508.746,14192.471,103893.260,89700.789,52.172,89648.617,-3893.260,1,3893.260,1,174,48,1
8,11558249615.486,11558249667.056,11558353496.199,14186.710,103880.713,89694.003,51.570,89642.433,-3880.713,1,3880.713,1,174,48,1
9,11558449615.486,11558449661.771,11558553504.333,14190.865,103888.847,89697.982,46.285,89651.697,-3888.847,1,3888.847,1,174,48,1
10,11558649615.486,11558649665.679,11558753515.730,14206.642,103900.244,89693.602,50.193,89643.409,-3900.244,1,3900.244,1,174,48,1
11,11558849615.486,11558849667.309,11558953518.397,14194.426,103902.911,89708.485,51.823,89656.662,-3902.911,1,3902.911,1,174,48,1
12,11559049615.486,11559049665.189,11559153509.186,14201.392,103893.700,89692.308,49.703,89642.605,-3893.700,1,3893.700,1,174,48,1
13,11559249615.486,11559249664.476,11559353506.843,14196.135,103891.357,89695.222,48.990,89646.232,-3891.357,1,3891.357,1,174,48,1
14,11559449615.486,11559449665.188,11559553509.044,14194.016,103893.558,89699.542,49.702,89649.840,-3893.558,1,3893.558,1,174,48,1
15,11559649615.486,11559649669.440,11559753533.759,14210.999,103918.273,89707.274,53.954,89653.320,-3918.273,1,3918.273,1,174,48,1
16,11559849615.486,11559849671.174,11559953508.341,14193.310,103892.855,89699.545,55.688,89643.857,-3892.855,1,3892.855,1,174,48,1
17,11560049615.486,11560049668.951,11560153521.029,14197.489,103905.543,89708.054,53.465,89654.589,-3905.543,1,3905.543,1,174,48,1
18,11560249615.486,11560249664.505,11560353501.221,14194.484,103885.735,89691.251,49.019,89642.232,-3885.735,1,3885.735,1,174,48,1
19,11560449615.486,11560449664.976,11560553517.155,14197.757,103901.669,89703.912,49.490,89654.422,-3901.669,1,3901.669,1,174,48,1
20,11560649615.486,11560649665.305,11560753521.114,14212.999,103905.628,89692.629,49.819,89642.810,-3905.628,1,3905.628,1,174,48,1
21,11560849615.486,11560849667.255,11560953511.227,14197.540,103895.741,89698.201,51.769,89646.432,-3895.741,1,3895.741,1,174,48,1
22,11561049615.486,11561049667.959,11561153529.608,14213.241,103914.122,89700.881,52.473,89648.408,-3914.122,1,3914.122,1,174,48,1
23,11561249615.486,11561249668.074,11561353515.404,14203.421,103899.918,89696.497,52.588,89643.909,-3899.918,1,3899.918,1,174,48,1
24,11561449615.486,11561449669.127,11561553495.839,14179.500,103880.353,89700.853,53.641,89647.212,-3880.353,1,3880.353,1,174,48,1
25,11561649615.486,11561649666.081,11561753506.080,14197.299,103890.594,89693.295,50.595,89642.700,-3890.594,1,3890.594,1,174,48,1
26,11561849615.486,11561849664.320,11561953515.265,14191.952,103899.779,89707.827,48.834,89658.993,-3899.779,1,3899.779,1,174,48,1
27,11562049615.486,11562049667.354,11562153521.007,14213.349,103905.521,89692.172,51.868,89640.304,-3905.521,1,3905.521,1,174,48,1
28,11562249615.486,11562249665.993,11562353519.395,14198.914,103903.909,89704.995,50.507,89654.488,-3903.909,1,3903.909,1,174,48,1
29,11562449615.486,11562449666.965,11562553518.308,14202.239,103902.822,89700.583,51.479,89649.104,-3902.822,1,3902.822,1,174,48,1
30,11562649615.486,11562649666.481,11562753526.194,14203.094,103910.708,89707.614,50.995,89656.619,-3910.708,1,3910.708,1,174,48,1
31,11562849615.486,11562849669.452,11562953515.679,14199.019,103900.193,89701.174,53.966,89647.208,-3900.193,1,3900.193,1,174,48,1
32,11563049615.486,11563049668.192,11563153516.435,14202.388,103900.949,89698.561,52.706,89645.855,-3900.949,1,3900.949,1,174,48,1
33,11563249615.486,11563249669.733,11563353525.079,14203.595,103909.593,89705.998,54.247,89651.751,-3909.593,1,3909.593,1,174,48,1
34,11563449615.486,11563449665.320,11563553495.572,14186.376,103880.086,89693.710,49.834,89643.876,-3880.086,1,3880.086,1,174,48,1
35,11563649615.486,11563649665.721,11563753515.634,14191.623,103900.148,89708.525,50.235,89658.290,-3900.148,1,3900.148,1,174,48,1
36,11563849615.486,11563849669.981,11563953517.983,14203.358,103902.497,89699.139,54.495,89644.644,-3902.497,1,3902.497,1,174,48,1
37,11564049615.486,11564049669.555,11564153533.042,14208.166,103917.556,89709.390,54.069,89655.321,-3917.556,1,3917.556,1,174,48,1
38,11564249615.486,11564249669.908,11564353515.839,14199.606,103900.353,89700.747,54.422,89646.325,-3900.353,1,3900.353,1,174,48,1
39,11564449615.486,11564449665.210,11564553596.609,14277.616,103981.123,89703.507,49.724,89653.783,-3981.123,1,3981.123,1,174,48,1
40,11564649615.486,11564649671.664,11564753526.180,14205.972,103910.694,89704.722,56.178,89648.544,-3910.694,1,3910.694,1,174,48,1
41,11564849615.486,11564849665.183,11564953506.279,14193.273,103890.793,89697.520,49.697,89647.823,-3890.793,1,3890.793,1,174,48,1
42,11565049615.486,11565049666.453,11565153519.624,14210.886,103904.138,89693.252,50.967,89642.285,-3904.138,1,3904.138,1,174,48,1
43,11565249615.486,11565249667.220,11565353483.695,14163.649,103868.209,89704.560,51.734,89652.826,-3868.209,1,3868.209,1,174,48,1
44,11565449615.486,11565449664.153,11565553531.466,14205.773,103915.980,89710.207,48.667,89661.540,-3915.980,1,3915.980,1,174,48,1
45,11565649615.486,11565649670.879,11565753522.903,14201.578,103907.417,89705.839,55.393,89650.446,-3907.417,1,3907.417,1,174,48,1
46,11565849615.486,11565849671.871,11565953530.829,14215.289,103915.343,89700.054,56.385,89643.669,-3915.343,1,3915.343,1,174,48,1
47,11566049615.486,11566049669.983,11566153584.070,14273.197,103968.584,89695.387,54.497,89640.890,-3968.584,1,3968.584,1,174,48,1
48,11566249615.486,11566249702.188,11566353539.352,14194.421,103923.866,89729.445,86.702,89642.743,-3923.866,1,3923.866,1,174,48,1
49,11566449615.486,11566449667.644,11566553518.313,14207.593,103902.827,89695.234,52.158,89643.076,-3902.827,1,3902.827,1,174,48,1
50,11566649615.486,11566649668.387,11566753506.494,14187.676,103891.008,89703.332,52.901,89650.431,-3891.008,1,3891.008,1,174,48,1
51,11566849615.486,11566849667.716,11566953514.049,14205.075,103898.563,89693.488,52.230,89641.258,-3898.563,1,3898.563,1,174,48,1
52,11567049615.486,11567049668.027,11567153524.784,14213.111,103909.298,89696.187,52.541,89643.646,-3909.298,1,3909.298,1,174,48,1
53,11567249615.486,11567249668.580,11567353510.553,14193.878,103895.067,89701.189,53.094,89648.095,-3895.067,1,3895.067,1,174,48,1
54,11567449615.486,11567449669.273,11567553508.791,14196.801,103893.305,89696.504,53.787,89642.717,-3893.305,1,3893.305,1,174,48,1
55,11567649615.486,11567649671.960,11567753533.927,14198.742,103918.441,89719.699,56.474,89663.225,-3918.441,1,3918.441,1,174,48,1
56,11567849615.486,11567849667.543,11567953511.908,14202.655,103896.422,89693.767,52.057,89641.710,-3896.422,1,3896.422,1,174,48,1
