# probe kind=matmul M=48 K=33 buf_kb=0 period_us=10000 priority=90 cpu=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,38266764764.063,38266764786.758,38266774789.575,2985.120,10025.512,7040.392,22.695,7017.697,-25.512,1,25.512,1,33,48,1
1,38266784764.063,38266784792.487,38266795214.785,3635.215,10450.722,6815.507,28.424,6787.083,-450.722,1,450.722,1,33,48,1
2,38266804764.063,38266804785.309,38266814789.178,2993.847,10025.115,7031.268,21.246,7010.022,-25.115,1,25.115,1,33,48,1
3,38266824764.063,38266824785.603,38266834796.426,3002.763,10032.363,7029.600,21.540,7008.060,-32.363,1,32.363,1,33,48,1
4,38266844764.063,38266844785.458,38266854787.634,3008.053,10023.571,7015.518,21.395,6994.123,-23.571,1,23.571,1,33,48,1
5,38266864764.063,38266864785.512,38266867602.690,2815.905,2838.627,22.722,21.449,1.273,7161.373,0,0.000,0,33,48,0
6,38266874764.063,38266874784.833,38266877605.728,2819.632,2841.665,22.033,20.770,1.263,7158.335,0,0.000,0,33,48,0
7,38266884764.063,38266884785.206,38266887607.834,2821.435,2843.771,22.336,21.143,1.193,7156.229,0,0.000,0,33,48,0
8,38266894764.063,38266894785.148,38266897618.837,2832.496,2854.774,22.278,21.085,1.193,7145.226,0,0.000,0,33,48,0
9,38266904764.063,38266904786.423,38266907621.484,2833.788,2857.421,23.633,22.360,1.273,7142.579,0,0.000,0,33,48,0
10,38266914764.063,38266914785.092,38266917619.843,2833.548,2855.780,22.232,21.029,1.203,7144.220,0,0.000,0,33,48,0
11,38266924764.063,38266924785.545,38266927634.663,2847.844,2870.600,22.756,21.482,1.274,7129.400,0,0.000,0,33,48,0
12,38266934764.063,38266934785.057,38266937633.673,2847.353,2869.610,22.257,20.994,1.263,7130.390,0,0.000,0,33,48,0
13,38266944764.063,38266944784.799,38266947635.749,2849.758,2871.686,21.928,20.736,1.192,7128.314,0,0.000,0,33,48,0
14,38266954764.063,38266954784.931,38266957630.542,2844.438,2866.479,22.041,20.868,1.173,7133.521,0,0.000,0,33,48,0
15,38266964764.063,38266964784.783,38266967642.076,2856.010,2878.013,22.003,20.720,1.283,7121.987,0,0.000,0,33,48,0
16,38266974764.063,38266974785.156,38266977640.004,2853.645,2875.941,22.296,21.093,1.203,7124.059,0,0.000,0,33,48,0
17,38266984764.063,38266984784.717,38266987652.900,2866.940,2888.837,21.897,20.654,1.243,7111.163,0,0.000,0,33,48,0
18,38266994764.063,38266994785.431,38266997659.735,2873.062,2895.672,22.610,21.368,1.242,7104.328,0,0.000,0,33,48,0
19,38267004764.063,38267004785.022,38267007658.174,2871.849,2894.111,22.262,20.959,1.303,7105.889,0,0.000,0,33,48,0
20,38267014764.063,38267014784.994,38267017660.331,2874.134,2896.268,22.134,20.931,1.203,7103.732,0,0.000,0,33,48,0
21,38267024764.063,38267024784.817,38267027668.367,2882.339,2904.304,21.965,20.754,1.211,7095.696,0,0.000,0,33,48,0
22,38267034764.063,38267034784.709,38267037657.640,2871.658,2893.577,21.919,20.646,1.273,7106.423,0,0.000,0,33,48,0
23,38267044764.063,38267044784.701,38267047671.087,2885.204,2907.024,21.820,20.638,1.182,7092.976,0,0.000,0,33,48,0
24,38267054764.063,38267054786.196,38267057672.291,2884.833,2908.228,23.395,22.133,1.262,7091.772,0,0.000,0,33,48,0
25,38267064764.063,38267064785.567,38267067676.181,2889.382,2912.118,22.736,21.504,1.232,7087.882,0,0.000,0,33,48,0
26,38267074764.063,38267074784.818,38267077684.910,2898.790,2920.847,22.057,20.755,1.302,7079.153,0,0.000,0,33,48,0
27,38267084764.063,38267084785.291,38267087689.070,2902.497,2925.007,22.510,21.228,1.282,7074.993,0,0.000,0,33,48,0
28,38267094764.063,38267094784.972,38267097693.690,2907.466,2929.627,22.161,20.909,1.252,7070.373,0,0.000,0,33,48,0
29,38267104764.063,38267104784.895,38267107688.934,2902.777,2924.871,22.094,20.832,1.262,7075.129,0,0.000,0,33,48,0
30,38267114764.063,38267114785.448,38267117689.637,2902.877,2925.574,22.697,21.385,1.312,7074.426,0,0.000,0,33,48,0
31,38267124764.063,38267124785.309,38267127706.050,2919.498,2941.987,22.489,21.246,1.243,7058.013,0,0.000,0,33,48,0
32,38267134764.063,38267134785.853,38267137702.225,2915.090,2938.162,23.072,21.790,1.282,7061.838,0,0.000,0,33,48,0
33,38267144764.063,38267144785.525,38267147708.429,2921.632,2944.366,22.734,21.462,1.272,7055.634,0,0.000,0,33,48,0
34,38267154764.063,38267154785.276,38267157709.693,2923.185,2945.630,22.445,21.213,1.232,7054.370,0,0.000,0,33,48,0
35,38267164764.063,38267164785.659,38267167725.034,2938.153,2960.971,22.818,21.596,1.222,7039.029,0,0.000,0,33,48,0
36,38267174764.063,38267174785.110,38267177728.042,2941.609,2963.979,22.370,21.047,1.323,7036.021,0,0.000,0,33,48,0
37,38267184764.063,38267184782.528,38267187542.359,2758.668,2778.296,19.628,18.465,1.163,7221.704,0,0.000,0,33,48,0
38,38267194764.063,38267194785.546,38267197723.748,2936.970,2959.685,22.715,21.483,1.232,7040.315,0,0.000,0,33,48,0
39,38267204764.063,38267204785.398,38267207730.854,2944.214,2966.791,22.577,21.335,1.242,7033.209,0,0.000,0,33,48,0
40,38267214764.063,38267214785.891,38267217730.846,2943.713,2966.783,23.070,21.828,1.242,7033.217,0,0.000,0,33,48,0
41,38267224764.063,38267224785.312,38267227733.593,2947.020,2969.530,22.510,21.249,1.261,7030.470,0,0.000,0,33,48,0
42,38267234764.063,38267234784.863,38267237738.805,2952.720,2974.742,22.022,20.800,1.222,7025.258,0,0.000,0,33,48,0
43,38267244764.063,38267244785.627,38267247740.631,2953.742,2976.568,22.826,21.564,1.262,7023.432,0,0.000,0,33,48,0
44,38267254764.063,38267254784.667,38267257550.770,2764.850,2786.707,21.857,20.604,1.253,7213.293,0,0.000,0,33,48,0
45,38267264764.063,38267264788.266,38267267761.725,2972.207,2997.662,25.455,24.203,1.252,7002.338,0,0.000,0,33,48,0
46,38267274764.063,38267274786.275,38267277766.015,2978.518,3001.952,23.434,22.212,1.222,6998.048,0,0.000,0,33,48,0
47,38267284764.063,38267284786.467,38267287765.115,2977.457,3001.052,23.595,22.404,1.191,6998.948,0,0.000,0,33,48,0
48,38267294764.063,38267294785.257,38267297764.677,2978.258,3000.614,22.356,21.194,1.162,6999.386,0,0.000,0,33,48,0
49,38267304764.063,38267304790.509,38267307766.182,2974.470,3002.119,27.649,26.446,1.203,6997.881,0,0.000,0,33,48,0
50,38267314764.063,38267314786.153,38267324788.780,2998.976,10024.717,7025.741,22.090,7003.651,-24.717,1,24.717,1,33,48,1
51,38267334764.063,38267334785.697,38267344789.356,2999.918,10025.293,7025.375,21.634,7003.741,-25.293,1,25.293,1,33,48,1
52,38267354764.063,38267354785.661,38267364789.160,2997.073,10025.097,7028.024,21.598,7006.426,-25.097,1,25.097,1,33,48,1
53,38267374764.063,38267374785.175,38267384788.593,3004.848,10024.530,7019.682,21.112,6998.570,-24.530,1,24.530,1,33,48,1
54,38267394764.063,38267394786.161,38267397600.333,2812.929,2836.270,23.341,22.098,1.243,7163.730,0,0.000,0,33,48,0
55,38267404764.063,38267404785.011,38267407604.263,2818.029,2840.200,22.171,20.948,1.223,7159.800,0,0.000,0,33,48,0
56,38267414764.063,38267414794.010,38267417624.373,2829.150,2860.310,31.160,29.947,1.213,7139.690,0,0.000,0,33,48,0
57,38267424764.063,38267424785.456,38267427611.621,2824.912,2847.558,22.646,21.393,1.253,7152.442,0,0.000,0,33,48,0
58,38267434764.063,38267434785.589,38267437616.973,2830.132,2852.910,22.778,21.526,1.252,7147.090,0,0.000,0,33,48,0
59,38267444764.063,38267444785.541,38267447620.392,2833.548,2856.329,22.781,21.478,1.303,7143.671,0,0.000,0,33,48,0
60,38267454764.063,38267454785.052,38267457628.038,2841.773,2863.975,22.202,20.989,1.213,7136.025,0,0.000,0,33,48,0
61,38267464764.063,38267464786.567,38267467626.317,2838.487,2862.254,23.767,22.504,1.263,7137.746,0,0.000,0,33,48,0
62,38267474764.063,38267474786.209,38267477630.006,2842.544,2865.943,23.399,22.146,1.253,7134.057,0,0.000,0,33,48,0
63,38267484764.063,38267484784.759,38267487645.838,2859.847,2881.775,21.928,20.696,1.232,7118.225,0,0.000,0,33,48,0
64,38267494764.063,38267494786.424,38267497638.376,2850.710,2874.313,23.603,22.361,1.242,7125.687,0,0.000,0,33,48,0
65,38267504764.063,38267504785.224,38267507637.497,2851.010,2873.434,22.424,21.161,1.263,7126.566,0,0.000,0,33,48,0
66,38267514764.063,38267514782.852,38267517548.995,2765.010,2784.932,19.922,18.789,1.133,7215.068,0,0.000,0,33,48,0
67,38267524764.063,38267524782.764,38267527542.765,2758.838,2778.702,19.864,18.701,1.163,7221.298,0,0.000,0,33,48,0
68,38267534764.063,38267534785.831,38267537654.064,2867.020,2890.001,22.981,21.768,1.213,7109.999,0,0.000,0,33,48,0
69,38267544764.063,38267544785.573,38267547655.369,2868.543,2891.306,22.763,21.510,1.253,7108.694,0,0.000,0,33,48,0
70,38267554764.063,38267554785.435,38267557665.159,2878.452,2901.096,22.644,21.372,1.272,7098.904,0,0.000,0,33,48,0
71,38267564764.063,38267564784.957,38267567667.456,2881.277,2903.393,22.116,20.894,1.222,7096.607,0,0.000,0,33,48,0
72,38267574764.063,38267574784.919,38267577669.061,2882.830,2904.998,22.168,20.856,1.312,7095.002,0,0.000,0,33,48,0
