# probe kind=matmul M=48 K=440 buf_kb=0 period_us=100000 priority=90 cpu=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,7175449843.241,7175449867.997,7175478156.919,28287.504,28313.678,26.174,24.756,1.418,71686.322,0,0.000,0,440,48,0
1,7175549843.241,7175549864.871,7175578192.545,28326.686,28349.304,22.618,21.630,0.988,71650.696,0,0.000,0,440,48,0
2,7175649843.241,7175649864.269,7175678021.607,28156.419,28178.366,21.947,21.028,0.919,71821.634,0,0.000,0,440,48,0
3,7175749843.241,7175749865.321,7175778180.743,28314.404,28337.502,23.098,22.080,1.018,71662.498,0,0.000,0,440,48,0
4,7175849843.241,7175849863.808,7175878215.918,28351.182,28372.677,21.495,20.567,0.928,71627.323,0,0.000,0,440,48,0
5,7175949843.241,7175949862.745,7175978257.174,28393.511,28413.933,20.422,19.504,0.918,71586.067,0,0.000,0,440,48,0
6,7176049843.241,7176049872.132,7176078109.709,28236.207,28266.468,30.261,28.891,1.370,71733.532,0,0.000,0,440,48,0
7,7176149843.241,7176149865.439,7176178011.346,28144.998,28168.105,23.107,22.198,0.909,71831.895,0,0.000,0,440,48,0
8,7176249843.241,7176249862.604,7176278043.235,28179.723,28199.994,20.271,19.363,0.908,71800.006,0,0.000,0,440,48,0
9,7176349843.241,7176349863.926,7176378095.001,28230.126,28251.760,21.634,20.685,0.949,71748.240,0,0.000,0,440,48,0
10,7176449843.241,7176449866.210,7176478127.641,28260.523,28284.400,23.877,22.969,0.908,71715.600,0,0.000,0,440,48,0
11,7176549843.241,7176549864.456,7176578169.199,28303.874,28325.958,22.084,21.215,0.869,71674.042,0,0.000,0,440,48,0
12,7176649843.241,7176649863.464,7176677987.289,28122.876,28144.048,21.172,20.223,0.949,71855.952,0,0.000,0,440,48,0
13,7176749843.241,7176749863.223,7176778037.913,28173.781,28194.672,20.891,19.982,0.909,71805.328,0,0.000,0,440,48,0
14,7176849843.241,7176849862.762,7176878071.145,28207.484,28227.904,20.420,19.521,0.899,71772.096,0,0.000,0,440,48,0
15,7176949843.241,7176949867.130,7176978119.605,28251.576,28276.364,24.788,23.889,0.899,71723.636,0,0.000,0,440,48,0
16,7177049843.241,7177049863.272,7177078188.032,28323.811,28344.791,20.980,20.031,0.949,71655.209,0,0.000,0,440,48,0
17,7177149843.241,7177149865.515,7177178308.985,28442.562,28465.744,23.182,22.274,0.908,71534.256,0,0.000,0,440,48,0
18,7177249843.241,7177249863.267,7177278134.476,28270.301,28291.235,20.934,20.026,0.908,71708.765,0,0.000,0,440,48,0
19,7177349843.241,7177349863.584,7177378182.392,28317.800,28339.151,21.351,20.343,1.008,71660.849,0,0.000,0,440,48,0
20,7177449843.241,7177449862.729,7177478204.970,28341.344,28361.729,20.385,19.488,0.897,71638.271,0,0.000,0,440,48,0
21,7177549843.241,7177549863.146,7177578245.843,28381.749,28402.602,20.853,19.905,0.948,71597.398,0,0.000,0,440,48,0
22,7177649843.241,7177649863.924,7177678288.859,28423.908,28445.618,21.710,20.683,1.027,71554.382,0,0.000,0,440,48,0
23,7177749843.241,7177749863.941,7177778121.734,28256.896,28278.493,21.597,20.700,0.897,71721.507,0,0.000,0,440,48,0
24,7177849843.241,7177849862.695,7177878167.516,28303.884,28324.275,20.391,19.454,0.937,71675.725,0,0.000,0,440,48,0
25,7177949843.241,7177949864.074,7177978203.089,28338.078,28359.848,21.770,20.833,0.937,71640.152,0,0.000,0,440,48,0
26,7178049843.241,7178049863.439,7178078245.564,28381.088,28402.323,21.235,20.198,1.037,71597.677,0,0.000,0,440,48,0
27,7178149843.241,7178149862.804,7178178273.793,28410.032,28430.552,20.520,19.563,0.957,71569.448,0,0.000,0,440,48,0
28,7178249843.241,7178249865.225,7178278207.045,28340.893,28363.804,22.911,21.984,0.927,71636.196,0,0.000,0,440,48,0
29,7178349843.241,7178349869.098,7178378029.170,28159.014,28185.929,26.915,25.857,1.058,71814.071,0,0.000,0,440,48,0
30,7178449843.241,7178449868.674,7178478073.479,28203.787,28230.238,26.451,25.433,1.018,71769.762,0,0.000,0,440,48,0
31,7178549843.241,7178549864.503,7178578109.473,28244.052,28266.232,22.180,21.262,0.918,71733.768,0,0.000,0,440,48,0
32,7178649843.241,7178649863.217,7178678266.691,28402.528,28423.450,20.922,19.976,0.946,71576.550,0,0.000,0,440,48,0
33,7178749843.241,7178749864.596,7178778185.627,28319.974,28342.386,22.412,21.355,1.057,71657.614,0,0.000,0,440,48,0
34,7178849843.241,7178849863.871,7178878018.933,28154.095,28175.692,21.597,20.630,0.967,71824.308,0,0.000,0,440,48,0
35,7178949843.241,7178949863.647,7178978063.392,28198.778,28220.151,21.373,20.406,0.967,71779.849,0,0.000,0,440,48,0
36,7179049843.241,7179049864.876,7179078128.840,28263.048,28285.599,22.551,21.635,0.916,71714.401,0,0.000,0,440,48,0
37,7179149843.241,7179149863.028,7179178248.419,28384.464,28405.178,20.714,19.787,0.927,71594.822,0,0.000,0,440,48,0
38,7179249843.241,7179249862.874,7179278294.442,28430.591,28451.201,20.610,19.633,0.977,71548.799,0,0.000,0,440,48,0
39,7179349843.241,7179349864.754,7179378131.465,28265.753,28288.224,22.471,21.513,0.958,71711.776,0,0.000,0,440,48,0
40,7179449843.241,7179449866.364,7179478171.505,28304.094,28328.264,24.170,23.123,1.047,71671.736,0,0.000,0,440,48,0
41,7179549843.241,7179549866.390,7179578197.650,28330.334,28354.409,24.075,23.149,0.926,71645.591,0,0.000,0,440,48,0
42,7179649843.241,7179649866.386,7179678234.706,28367.362,28391.465,24.103,23.145,0.958,71608.535,0,0.000,0,440,48,0
43,7179749843.241,7179749865.742,7179778274.747,28408.088,28431.506,23.418,22.501,0.917,71568.494,0,0.000,0,440,48,0
44,7179849843.241,7179849865.638,7179877981.397,28114.781,28138.156,23.375,22.397,0.978,71861.844,0,0.000,0,440,48,0
45,7179949843.241,7179949864.061,7179978279.458,28414.279,28436.217,21.938,20.820,1.118,71563.783,0,0.000,0,440,48,0
46,7180049843.241,7180049871.702,7180078074.834,28202.043,28231.593,29.550,28.461,1.089,71768.407,0,0.000,0,440,48,0
47,7180149843.241,7180149863.533,7180178112.641,28248.220,28269.400,21.180,20.292,0.888,71730.600,0,0.000,0,440,48,0
48,7180249843.241,7180249865.874,7180278146.951,28280.140,28303.710,23.570,22.633,0.937,71696.290,0,0.000,0,440,48,0
49,7180349843.241,7180349864.167,7180378183.235,28318.150,28339.994,21.844,20.926,0.918,71660.006,0,0.000,0,440,48,0
50,7180449843.241,7180449863.502,7180478013.345,28148.905,28170.104,21.199,20.261,0.938,71829.896,0,0.000,0,440,48,0
51,7180549843.241,7180549879.168,7180578250.483,28369.827,28407.242,37.415,35.927,1.488,71592.758,0,0.000,0,440,48,0
52,7180649843.241,7180649868.424,7180678096.673,28227.221,28253.432,26.211,25.183,1.028,71746.568,0,0.000,0,440,48,0
53,7180749843.241,7180749863.782,7180778127.296,28262.446,28284.055,21.609,20.541,1.068,71715.945,0,0.000,0,440,48,0
54,7180849843.241,7180849863.698,7180878160.785,28296.099,28317.544,21.445,20.457,0.988,71682.456,0,0.000,0,440,48,0
55,7180949843.241,7180949864.606,7180978007.356,28141.772,28164.115,22.343,21.365,0.978,71835.885,0,0.000,0,440,48,0
56,7181049843.241,7181049863.110,7181078049.871,28185.874,28206.630,20.756,19.869,0.887,71793.370,0,0.000,0,440,48,0
57,7181149843.241,7181149869.097,7181178088.840,28218.836,28245.599,26.763,25.856,0.907,71754.401,0,0.000,0,440,48,0
58,7181249843.241,7181249864.575,7181278115.276,28249.763,28272.035,22.272,21.334,0.938,71727.965,0,0.000,0,440,48,0
59,7181349843.241,7181349863.249,7181378161.298,28297.142,28318.057,20.915,20.008,0.907,71681.943,0,0.000,0,440,48,0
60,7181449843.241,7181449865.199,7181477979.255,28113.189,28136.014,22.825,21.958,0.867,71863.986,0,0.000,0,440,48,0
61,7181549843.241,7181549864.264,7181578030.818,28165.646,28187.577,21.931,21.023,0.908,71812.423,0,0.000,0,440,48,0
62,7181649843.241,7181649863.820,7181678069.887,28205.180,28226.646,21.466,20.579,0.887,71773.354,0,0.000,0,440,48,0
63,7181749843.241,7181749863.365,7181778103.716,28239.404,28260.475,21.071,20.124,0.947,71739.525,0,0.000,0,440,48,0
64,7181849843.241,7181849863.632,7181878145.009,28280.420,28301.768,21.348,20.391,0.957,71698.232,0,0.000,0,440,48,0
65,7181949843.241,7181949862.967,7181978186.393,28322.478,28343.152,20.674,19.726,0.948,71656.848,0,0.000,0,440,48,0
66,7182049843.241,7182049862.583,7182078011.634,28148.164,28168.393,20.229,19.342,0.887,71831.607,0,0.000,0,440,48,0
67,7182149843.241,7182149864.112,7182178050.763,28185.733,28207.522,21.789,20.871,0.918,71792.478,0,0.000,0,440,48,0
68,7182249843.241,7182249863.547,7182278096.675,28232.190,28253.434,21.244,20.306,0.938,71746.566,0,0.000,0,440,48,0
69,7182349843.241,7182349864.896,7182378132.017,28266.174,28288.776,22.602,21.655,0.947,71711.224,0,0.000,0,440,48,0
70,7182449843.241,7182449863.991,7182478164.133,28299.205,28320.892,21.687,20.750,0.937,71679.108,0,0.000,0,440,48,0
71,7182549843.241,7182549865.310,7182578007.298,28141.050,28164.057,23.007,22.069,0.938,71835.943,0,0.000,0,440,48,0
72,7182649843.241,7182649863.763,7182678035.677,28170.996,28192.436,21.440,20.522,0.918,71807.564,0,0.000,0,440,48,0
73,7182749843.241,7182749863.389,7182778075.438,28211.161,28232.197,21.036,20.148,0.888,71767.803,0,0.000,0,440,48,0
74,7182849843.241,7182849877.922,7182877952.745,28073.714,28109.504,35.790,34.681,1.109,71890.496,0,0.000,0,440,48,0
75,7182949843.241,7182949867.339,7182978160.438,28292.072,28317.197,25.125,24.098,1.027,71682.803,0,0.000,0,440,48,0
76,7183049843.241,7183049862.607,7183078193.847,28330.333,28350.606,20.273,19.366,0.907,71649.394,0,0.000,0,440,48,0
77,7183149843.241,7183149864.466,7183178022.334,28156.939,28179.093,22.154,21.225,0.929,71820.907,0,0.000,0,440,48,0
78,7183249843.241,7183249862.840,7183278066.052,28202.264,28222.811,20.547,19.599,0.948,71777.189,0,0.000,0,440,48,0
79,7183349843.241,7183349862.856,7183378130.077,28266.254,28286.836,20.582,19.615,0.967,71713.164,0,0.000,0,440,48,0
80,7183449843.241,7183449862.963,7183478250.328,28386.398,28407.087,20.689,19.722,0.967,71592.913,0,0.000,0,440,48,0
81,7183549843.241,7183549863.691,7183578301.519,28436.852,28458.278,21.426,20.450,0.976,71541.722,0,0.000,0,440,48,0
82,7183649843.241,7183649863.567,7183678128.574,28264.060,28285.333,21.273,20.326,0.947,71714.667,0,0.000,0,440,48,0
83,7183749843.241,7183749863.493,7183778168.885,28304.425,28325.644,21.219,20.252,0.967,71674.356,0,0.000,0,440,48,0
84,7183849843.241,7183849864.481,7183878207.524,28342.095,28364.283,22.188,21.240,0.948,71635.717,0,0.000,0,440,48,0
85,7183949843.241,7183949866.150,7183978246.733,28379.665,28403.492,23.827,22.909,0.918,71596.508,0,0.000,0,440,48,0
86,7184049843.241,7184049863.492,7184078286.213,28421.764,28442.972,21.208,20.251,0.957,71557.028,0,0.000,0,440,48,0
87,7184149843.241,7184149862.407,7184178109.520,28246.166,28266.279,20.113,19.166,0.947,71733.721,0,0.000,0,440,48,0
88,7184249843.241,7184249864.937,7184278033.665,28167.730,28190.424,22.694,21.696,0.998,71809.576,0,0.000,0,440,48,0
89,7184349843.241,7184349864.323,7184378081.671,28216.361,28238.430,22.069,21.082,0.987,71761.570,0,0.000,0,440,48,0
90,7184449843.241,7184449862.877,7184478111.964,28248.191,28268.723,20.532,19.636,0.896,71731.277,0,0.000,0,440,48,0
91,7184549843.241,7184549863.394,7184578150.272,28285.930,28307.031,21.101,20.153,0.948,71692.969,0,0.000,0,440,48,0
92,7184649843.241,7184649864.562,7184678188.359,28322.889,28345.118,22.229,21.321,0.908,71654.882,0,0.000,0,440,48,0
93,7184749843.241,7184749864.849,7184778018.720,28152.962,28175.479,22.517,21.608,0.909,71824.521,0,0.000,0,440,48,0
94,7184849843.241,7184849863.032,7184878065.744,28201.833,28222.503,20.670,19.791,0.879,71777.497,0,0.000,0,440,48,0
95,7184949843.241,7184949864.511,7184978097.368,28231.950,28254.127,22.177,21.270,0.907,71745.873,0,0.000,0,440,48,0
96,7185049843.241,7185049862.093,7185078275.717,28412.576,28432.476,19.900,18.852,1.048,71567.524,0,0.000,0,440,48,0
97,7185149843.241,7185149871.380,7185178181.315,28308.904,28338.074,29.170,28.139,1.031,71661.926,0,0.000,0,440,48,0
98,7185249843.241,7185249867.051,7185278016.537,28148.484,28173.296,24.812,23.810,1.002,71826.704,0,0.000,0,440,48,0
99,7185349843.241,7185349863.854,7185378152.239,28287.374,28308.998,21.624,20.613,1.011,71691.002,0,0.000,0,440,48,0
100,7185449843.241,7185449864.094,7185478205.938,28340.903,28362.697,21.794,20.853,0.941,71637.303,0,0.000,0,440,48,0
101,7185549843.241,7185549862.800,7185578249.758,28386.047,28406.517,20.470,19.559,0.911,71593.483,0,0.000,0,440,48,0
102,7185649843.241,7185649863.201,7185678106.751,28242.610,28263.510,20.900,19.960,0.940,71736.490,0,0.000,0,440,48,0
103,7185749843.241,7185749865.394,7185777995.693,28129.308,28152.452,23.144,22.153,0.991,71847.548,0,0.000,0,440,48,0
104,7185849843.241,7185849877.205,7185878039.765,28161.569,28196.524,34.955,33.964,0.991,71803.476,0,0.000,0,440,48,0
105,7185949843.241,7185949863.338,7185978070.722,28206.482,28227.481,20.999,20.097,0.902,71772.519,0,0.000,0,440,48,0
106,7186049843.241,7186049865.822,7186078152.082,28285.249,28308.841,23.592,22.581,1.011,71691.159,0,0.000,0,440,48,0
107,7186149843.241,7186149862.895,7186178163.282,28299.325,28320.041,20.716,19.654,1.062,71679.959,0,0.000,0,440,48,0
108,7186249843.241,7186249863.676,7186278187.807,28323.230,28344.566,21.336,20.435,0.901,71655.434,0,0.000,0,440,48,0
109,7186349843.241,7186349864.767,7186378028.569,28162.881,28185.328,22.447,21.526,0.921,71814.672,0,0.000,0,440,48,0
110,7186449843.241,7186449864.285,7186478070.867,28205.630,28227.626,21.996,21.044,0.952,71772.374,0,0.000,0,440,48,0
111,7186549843.241,7186549863.343,7186578104.359,28239.945,28261.118,21.173,20.102,1.071,71738.882,0,0.000,0,440,48,0
112,7186649843.241,7186649862.831,7186678130.767,28267.025,28287.526,20.501,19.590,0.911,71712.474,0,0.000,0,440,48,0
113,7186749843.241,7186749862.780,7186778172.434,28308.753,28329.193,20.440,19.539,0.901,71670.807,0,0.000,0,440,48,0
114,7186849843.241,7186849862.939,7186878006.925,28143.004,28163.684,20.680,19.698,0.982,71836.316,0,0.000,0,440,48,0
115,7186949843.241,7186949867.717,7186978054.512,28185.884,28211.271,25.387,24.476,0.911,71788.729,0,0.000,0,440,48,0
116,7187049843.241,7187049864.651,7187078091.791,28226.169,28248.550,22.381,21.410,0.971,71751.450,0,0.000,0,440,48,0
117,7187149843.241,7187149864.319,7187178128.809,28263.578,28285.568,21.990,21.078,0.912,71714.432,0,0.000,0,440,48,0
118,7187249843.241,7187249863.547,7187278161.048,28296.560,28317.807,21.247,20.306,0.941,71682.193,0,0.000,0,440,48,0
119,7187349843.241,7187349872.523,7187379086.791,29212.889,29243.550,30.661,29.282,1.379,70756.450,0,0.000,0,440,48,0
120,7187449843.241,7187449866.270,7187478038.258,28170.986,28195.017,24.031,23.029,1.002,71804.983,0,0.000,0,440,48,0
121,7187549843.241,7187549864.085,7187578128.325,28263.148,28285.084,21.936,20.844,1.092,71714.916,0,0.000,0,440,48,0
122,7187649843.241,7187649866.289,7187678195.338,28327.798,28352.097,24.299,23.048,1.251,71647.903,0,0.000,0,440,48,0
123,7187749843.241,7187749865.306,7187778122.282,28256.035,28279.041,23.006,22.065,0.941,71720.959,0,0.000,0,440,48,0
124,7187849843.241,7187849864.303,7187878185.649,28320.394,28342.408,22.014,21.062,0.952,71657.592,0,0.000,0,440,48,0
125,7187949843.241,7187949862.790,7187978025.850,28162.130,28182.609,20.479,19.549,0.930,71817.391,0,0.000,0,440,48,0
126,7188049843.241,7188049862.949,7188078188.673,28324.823,28345.432,20.609,19.708,0.901,71654.568,0,0.000,0,440,48,0
