# probe kind=primes M=48 K=136 period_us=100000 priority=90 cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,13789296642.800,13789296665.044,13789401065.924,54740.399,104423.124,49682.725,22.244,49660.481,-4423.124,1,4423.124,1,136,48,1
1,13789496642.800,13789496664.759,13789600637.467,54316.699,103994.667,49677.968,21.959,49656.009,-3994.667,1,3994.667,1,136,48,1
2,13789696642.800,13789696663.632,13789801151.154,54828.253,104508.354,49680.101,20.832,49659.269,-4508.354,1,4508.354,1,136,48,1
3,13789896642.800,13789896663.116,13790000728.708,54405.072,104085.908,49680.836,20.316,49660.520,-4085.908,1,4085.908,1,136,48,1
4,13790096642.800,13790096669.914,13790201237.335,54907.783,104594.535,49686.752,27.114,49659.638,-4594.535,1,4594.535,1,136,48,1
5,13790296642.800,13790296663.607,13790401297.874,54973.415,104655.074,49681.659,20.807,49660.852,-4655.074,1,4655.074,1,136,48,1
6,13790496642.800,13790496663.582,13790600932.254,54610.587,104289.454,49678.867,20.782,49658.085,-4289.454,1,4289.454,1,136,48,1
7,13790696642.800,13790696662.605,13790801293.325,54973.323,104650.525,49677.202,19.805,49657.397,-4650.525,1,4650.525,1,136,48,1
8,13790896642.800,13790896662.971,13791001197.871,54876.564,104555.071,49678.507,20.171,49658.336,-4555.071,1,4555.071,1,136,48,1
9,13791096642.800,13791096664.078,13791200756.971,54433.256,104114.171,49680.915,21.278,49659.637,-4114.171,1,4114.171,1,136,48,1
10,13791296642.800,13791296664.944,13791401574.857,55251.103,104932.057,49680.954,22.144,49658.810,-4932.057,1,4932.057,1,136,48,1
11,13791496642.800,13791496664.298,13791601059.598,54736.242,104416.798,49680.556,21.498,49659.058,-4416.798,1,4416.798,1,136,48,1
12,13791696642.800,13791696662.249,13791800913.129,54590.179,104270.329,49680.150,19.449,49660.701,-4270.329,1,4270.329,1,136,48,1
13,13791896642.800,13791896662.916,13792000545.455,54222.291,103902.655,49680.364,20.116,49660.248,-3902.655,1,3902.655,1,136,48,1
14,13792096642.800,13792096664.133,13792200737.700,54413.288,104094.900,49681.612,21.333,49660.279,-4094.900,1,4094.900,1,136,48,1
15,13792296642.800,13792296669.448,13792400902.764,54573.519,104259.964,49686.445,26.648,49659.797,-4259.964,1,4259.964,1,136,48,1
16,13792496642.800,13792496663.722,13792601081.053,54757.502,104438.253,49680.751,20.922,49659.829,-4438.253,1,4438.253,1,136,48,1
17,13792696642.800,13792696663.788,13792800924.094,54600.449,104281.294,49680.845,20.988,49659.857,-4281.294,1,4281.294,1,136,48,1
18,13792896642.800,13792896663.562,13793001429.625,55105.400,104786.825,49681.425,20.762,49660.663,-4786.825,1,4786.825,1,136,48,1
19,13793096642.800,13793096663.968,13793200952.598,54629.703,104309.798,49680.095,21.168,49658.927,-4309.798,1,4309.798,1,136,48,1
20,13793296642.800,13793296663.783,13793400875.879,54551.738,104233.079,49681.341,20.983,49660.358,-4233.079,1,4233.079,1,136,48,1
21,13793496642.800,13793496665.040,13793601103.911,54779.373,104461.111,49681.738,22.240,49659.498,-4461.111,1,4461.111,1,136,48,1
22,13793696642.800,13793696664.775,13793800767.045,54442.984,104124.245,49681.261,21.975,49659.286,-4124.245,1,4124.245,1,136,48,1
23,13793896642.800,13793896663.988,13794001299.086,54973.986,104656.286,49682.300,21.188,49661.112,-4656.286,1,4656.286,1,136,48,1
24,13794096642.800,13794096663.592,13794200988.450,54664.998,104345.650,49680.652,20.792,49659.860,-4345.650,1,4345.650,1,136,48,1
25,13794296642.800,13794296663.557,13794400614.064,54289.156,103971.264,49682.108,20.757,49661.351,-3971.264,1,3971.264,1,136,48,1
26,13794496642.800,13794496664.384,13794601323.247,54993.192,104680.447,49687.255,21.584,49665.671,-4680.447,1,4680.447,1,136,48,1
27,13794696642.800,13794696663.547,13794801072.302,54749.136,104429.502,49680.366,20.747,49659.619,-4429.502,1,4429.502,1,136,48,1
28,13794896642.800,13794896664.424,13795000694.510,54370.168,104051.710,49681.542,21.624,49659.918,-4051.710,1,4051.710,1,136,48,1
29,13795096642.800,13795096664.449,13795201023.400,54698.521,104380.600,49682.079,21.649,49660.430,-4380.600,1,4380.600,1,136,48,1
30,13795296642.800,13795296663.993,13795400928.989,54604.265,104286.189,49681.924,21.193,49660.731,-4286.189,1,4286.189,1,136,48,1
