# probe kind=primes M=48 K=19 period_us=10000 priority=90 cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,17987722928.288,17987722949.862,17987728452.499,5501.423,5524.211,22.788,21.574,1.214,4475.789,0,0.000,0,19,48,0
1,17987732928.288,17987732947.852,17987738647.047,5697.940,5718.759,20.819,19.564,1.255,4281.241,0,0.000,0,19,48,0
2,17987742928.288,17987742948.266,17987748437.950,5488.469,5509.662,21.193,19.978,1.215,4490.338,0,0.000,0,19,48,0
3,17987752928.288,17987752947.929,17987758983.714,6034.649,6055.426,20.777,19.641,1.136,3944.574,0,0.000,0,19,48,0
4,17987762928.288,17987762945.007,17987768475.227,5529.095,5546.939,17.844,16.719,1.125,4453.061,0,0.000,0,19,48,0
5,17987772928.288,17987772945.432,17987778515.225,5568.568,5586.937,18.369,17.144,1.225,4413.063,0,0.000,0,19,48,0
6,17987782928.288,17987782945.015,17987788523.294,5577.175,5595.006,17.831,16.727,1.104,4404.994,0,0.000,0,19,48,0
7,17987792928.288,17987792946.862,17987798570.686,5622.540,5642.398,19.858,18.574,1.284,4357.602,0,0.000,0,19,48,0
8,17987802928.288,17987802946.465,17987808683.561,5735.941,5755.273,19.332,18.177,1.155,4244.727,0,0.000,0,19,48,0
9,17987812928.288,17987812946.378,17987818813.007,5865.543,5884.719,19.176,18.090,1.086,4115.281,0,0.000,0,19,48,0
10,17987822928.288,17987822947.133,17987828590.514,5642.276,5662.226,19.950,18.845,1.105,4337.774,0,0.000,0,19,48,0
11,17987832928.288,17987832946.105,17987838769.162,5821.922,5840.874,18.952,17.817,1.135,4159.126,0,0.000,0,19,48,0
12,17987842928.288,17987842945.568,17987848832.214,5885.561,5903.926,18.365,17.280,1.085,4096.074,0,0.000,0,19,48,0
13,17987852928.288,17987852945.812,17987858611.064,5664.097,5682.776,18.679,17.524,1.155,4317.224,0,0.000,0,19,48,0
14,17987862928.288,17987862945.996,17987868634.411,5687.360,5706.123,18.763,17.708,1.055,4293.877,0,0.000,0,19,48,0
15,17987872928.288,17987872945.539,17987878642.209,5695.515,5713.921,18.406,17.251,1.155,4286.079,0,0.000,0,19,48,0
16,17987882928.288,17987882945.202,17987888902.190,5955.842,5973.902,18.060,16.914,1.146,4026.098,0,0.000,0,19,48,0
17,17987892928.288,17987892946.137,17987898628.571,5681.359,5700.283,18.924,17.849,1.075,4299.717,0,0.000,0,19,48,0
18,17987902928.288,17987902946.011,17987908923.366,5976.149,5995.078,18.929,17.723,1.206,4004.922,0,0.000,0,19,48,0
19,17987912928.288,17987912946.265,17987918571.953,5624.543,5643.665,19.122,17.977,1.145,4356.335,0,0.000,0,19,48,0
20,17987922928.288,17987922945.467,17987928595.640,5649.019,5667.352,18.333,17.179,1.154,4332.648,0,0.000,0,19,48,0
21,17987932928.288,17987932945.701,17987938770.151,5823.274,5841.863,18.589,17.413,1.176,4158.137,0,0.000,0,19,48,0
22,17987942928.288,17987942945.785,17987948177.285,5230.357,5248.997,18.640,17.497,1.143,4751.003,0,0.000,0,19,48,0
23,17987952928.288,17987952945.979,17987959084.196,6137.171,6155.908,18.737,17.691,1.046,3844.092,0,0.000,0,19,48,0
24,17987962928.288,17987962951.022,17987968741.338,5789.181,5813.050,23.869,22.734,1.135,4186.950,0,0.000,0,19,48,0
25,17987972928.288,17987972945.786,17987978591.100,5644.200,5662.812,18.612,17.498,1.114,4337.188,0,0.000,0,19,48,0
26,17987982928.288,17987982945.709,17987988222.404,5275.571,5294.116,18.545,17.421,1.124,4705.884,0,0.000,0,19,48,0
27,17987992928.288,17987992945.753,17987998329.669,5382.791,5401.381,18.590,17.465,1.125,4598.619,0,0.000,0,19,48,0
28,17988002928.288,17988002947.550,17988008215.268,5266.624,5286.980,20.356,19.262,1.094,4713.020,0,0.000,0,19,48,0
29,17988012928.288,17988012946.712,17988018358.399,5410.574,5430.111,19.537,18.424,1.113,4569.889,0,0.000,0,19,48,0
30,17988022928.288,17988022948.359,17988028602.300,5652.776,5674.012,21.236,20.071,1.165,4325.988,0,0.000,0,19,48,0
31,17988032928.288,17988032948.293,17988038369.808,5420.302,5441.520,21.218,20.005,1.213,4558.480,0,0.000,0,19,48,0
32,17988042928.288,17988042947.334,17988048483.364,5534.765,5555.076,20.311,19.046,1.265,4444.924,0,0.000,0,19,48,0
33,17988052928.288,17988052948.290,17988058520.147,5570.612,5591.859,21.247,20.002,1.245,4408.141,0,0.000,0,19,48,0
34,17988062928.288,17988062946.911,17988068549.325,5601.179,5621.037,19.858,18.623,1.235,4378.963,0,0.000,0,19,48,0
35,17988072928.288,17988072947.355,17988078427.401,5478.811,5499.113,20.302,19.067,1.235,4500.887,0,0.000,0,19,48,0
36,17988082928.288,17988082947.048,17988088330.322,5382.120,5402.034,19.914,18.760,1.154,4597.966,0,0.000,0,19,48,0
37,17988092928.288,17988092947.774,17988098644.975,5696.026,5716.687,20.661,19.486,1.175,4283.313,0,0.000,0,19,48,0
38,17988102928.288,17988102947.497,17988108391.524,5442.834,5463.236,20.402,19.209,1.193,4536.764,0,0.000,0,19,48,0
39,17988112928.288,17988112947.480,17988118655.853,5707.097,5727.565,20.468,19.192,1.276,4272.435,0,0.000,0,19,48,0
40,17988122928.288,17988122947.374,17988128444.551,5495.943,5516.263,20.320,19.086,1.234,4483.737,0,0.000,0,19,48,0
41,17988132928.288,17988132947.688,17988138463.200,5514.287,5534.912,20.625,19.400,1.225,4465.088,0,0.000,0,19,48,0
42,17988142928.288,17988142947.562,17988148375.860,5427.165,5447.572,20.407,19.274,1.133,4552.428,0,0.000,0,19,48,0
43,17988152928.288,17988152948.507,17988158513.712,5563.990,5585.424,21.434,20.219,1.215,4414.576,0,0.000,0,19,48,0
44,17988162928.288,17988162948.100,17988168735.610,5786.345,5807.322,20.977,19.812,1.165,4192.678,0,0.000,0,19,48,0
45,17988172928.288,17988172946.751,17988178550.267,5602.391,5621.979,19.588,18.463,1.125,4378.021,0,0.000,0,19,48,0
46,17988182928.288,17988182947.376,17988188566.411,5617.791,5638.123,20.332,19.088,1.244,4361.877,0,0.000,0,19,48,0
47,17988192928.288,17988192948.201,17988198640.012,5690.576,5711.724,21.148,19.913,1.235,4288.276,0,0.000,0,19,48,0
48,17988202928.288,17988202948.655,17988208672.056,5722.215,5743.768,21.553,20.367,1.186,4256.232,0,0.000,0,19,48,0
49,17988212928.288,17988212948.709,17988218782.607,5832.692,5854.319,21.627,20.421,1.206,4145.681,0,0.000,0,19,48,0
50,17988222928.288,17988222947.400,17988228923.975,5975.388,5995.687,20.299,19.112,1.187,4004.313,0,0.000,0,19,48,0
51,17988232928.288,17988232947.895,17988238639.205,5690.116,5710.917,20.801,19.607,1.194,4289.083,0,0.000,0,19,48,0
52,17988242928.288,17988242947.468,17988248335.891,5387.200,5407.603,20.403,19.180,1.223,4592.397,0,0.000,0,19,48,0
53,17988252928.288,17988252947.842,17988258714.804,5765.746,5786.516,20.770,19.554,1.216,4213.484,0,0.000,0,19,48,0
54,17988262928.288,17988262947.205,17988268817.470,5869.000,5889.182,20.182,18.917,1.265,4110.818,0,0.000,0,19,48,0
55,17988272928.288,17988272947.840,17988278413.828,5464.764,5485.540,20.776,19.552,1.224,4514.460,0,0.000,0,19,48,0
56,17988282928.288,17988282948.064,17988288730.044,5780.814,5801.756,20.942,19.776,1.166,4198.244,0,0.000,0,19,48,0
57,17988292928.288,17988292948.107,17988298876.943,5927.669,5948.655,20.986,19.819,1.167,4051.345,0,0.000,0,19,48,0
58,17988302928.288,17988302948.241,17988308722.777,5773.290,5794.489,21.199,19.953,1.246,4205.511,0,0.000,0,19,48,0
59,17988312928.288,17988312945.530,17988318489.475,5542.740,5561.187,18.447,17.242,1.205,4438.813,0,0.000,0,19,48,0
