# probe kind=ptrchase M=48 K=833 buf_kb=131072 period_us=100000 priority=90 cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,33385222787.904,33385222957.569,33385268224.144,45264.418,45436.240,171.822,169.665,2.157,54563.760,0,0.000,0,833,48,0
1,33385322787.904,33385322820.825,33385368134.335,45311.518,45346.431,34.913,32.921,1.992,54653.569,0,0.000,0,833,48,0
2,33385422787.904,33385422821.363,33385467720.335,44897.254,44932.431,35.177,33.459,1.718,55067.569,0,0.000,0,833,48,0
3,33385522787.904,33385522819.601,33385567523.912,44702.697,44736.008,33.311,31.697,1.614,55263.992,0,0.000,0,833,48,0
4,33385622787.904,33385622821.192,33385667990.414,45167.928,45202.510,34.582,33.288,1.294,54797.490,0,0.000,0,833,48,0
5,33385722787.904,33385722835.187,33385767859.717,45021.579,45071.813,50.234,47.283,2.951,54928.187,0,0.000,0,833,48,0
6,33385822787.904,33385822823.033,33385868240.671,45415.982,45452.767,36.785,35.129,1.656,54547.233,0,0.000,0,833,48,0
7,33385922787.904,33385922822.994,33385967442.851,44618.261,44654.947,36.686,35.090,1.596,55345.053,0,0.000,0,833,48,0
8,33386022787.904,33386022821.088,33386068013.588,45190.978,45225.684,34.706,33.184,1.522,54774.316,0,0.000,0,833,48,0
9,33386122787.904,33386122821.987,33386167939.485,45115.619,45151.581,35.962,34.083,1.879,54848.419,0,0.000,0,833,48,0
10,33386222787.904,33386222821.722,33386267672.896,44849.611,44884.992,35.381,33.818,1.563,55115.008,0,0.000,0,833,48,0
11,33386322787.904,33386322822.831,33386368308.781,45483.760,45520.877,37.117,34.927,2.190,54479.123,0,0.000,0,833,48,0
12,33386422787.904,33386422822.430,33386467291.466,44467.664,44503.562,35.898,34.526,1.372,55496.438,0,0.000,0,833,48,0
13,33386522787.904,33386522821.741,33386568316.492,45493.164,45528.588,35.424,33.837,1.587,54471.412,0,0.000,0,833,48,0
14,33386622787.904,33386622822.475,33386667729.110,44904.924,44941.206,36.282,34.571,1.711,55058.794,0,0.000,0,833,48,0
15,33386722787.904,33386722822.533,33386767514.273,44690.349,44726.369,36.020,34.629,1.391,55273.631,0,0.000,0,833,48,0
16,33386822787.904,33386822826.039,33386868462.392,45634.774,45674.488,39.714,38.135,1.579,54325.512,0,0.000,0,833,48,0
17,33386922787.904,33386922822.261,33386968190.088,45366.149,45402.184,36.035,34.357,1.678,54597.816,0,0.000,0,833,48,0
18,33387022787.904,33387022822.532,33387067683.380,44859.346,44895.476,36.130,34.628,1.502,55104.524,0,0.000,0,833,48,0
19,33387122787.904,33387122820.677,33387167636.350,44814.130,44848.446,34.316,32.773,1.543,55151.554,0,0.000,0,833,48,0
20,33387222787.904,33387222819.860,33387268536.518,45714.839,45748.614,33.775,31.956,1.819,54251.386,0,0.000,0,833,48,0
21,33387322787.904,33387322822.088,33387368958.524,46134.377,46170.620,36.243,34.184,2.059,53829.380,0,0.000,0,833,48,0
22,33387422787.904,33387422827.022,33387468128.777,45300.293,45340.873,40.580,39.118,1.462,54659.127,0,0.000,0,833,48,0
23,33387522787.904,33387522828.757,33387567920.679,45090.366,45132.775,42.409,40.853,1.556,54867.225,0,0.000,0,833,48,0
24,33387622787.904,33387622820.951,33387668294.770,45472.177,45506.866,34.689,33.047,1.642,54493.134,0,0.000,0,833,48,0
25,33387722787.904,33387722825.674,33387768414.427,45587.314,45626.523,39.209,37.770,1.439,54373.477,0,0.000,0,833,48,0
26,33387822787.904,33387822821.475,33387867776.140,44952.597,44988.236,35.639,33.571,2.068,55011.764,0,0.000,0,833,48,0
27,33387922787.904,33387922821.313,33387968461.437,45638.690,45673.533,34.843,33.409,1.434,54326.467,0,0.000,0,833,48,0
28,33388022787.904,33388022825.674,33388068231.561,45403.669,45443.657,39.988,37.770,2.218,54556.343,0,0.000,0,833,48,0
29,33388122787.904,33388122823.495,33388168452.881,45627.838,45664.977,37.139,35.591,1.548,54335.023,0,0.000,0,833,48,0
30,33388222787.904,33388222821.722,33388268685.784,45862.430,45897.880,35.450,33.818,1.632,54102.120,0,0.000,0,833,48,0
31,33388322787.904,33388322823.794,33388368045.391,45220.382,45257.487,37.105,35.890,1.215,54742.513,0,0.000,0,833,48,0
32,33388422787.904,33388422828.395,33388467609.997,44779.657,44822.093,42.436,40.491,1.945,55177.907,0,0.000,0,833,48,0
33,33388522787.904,33388522824.665,33388567890.940,45064.709,45103.036,38.327,36.761,1.566,54896.964,0,0.000,0,833,48,0
34,33388622787.904,33388622817.778,33388667831.174,45012.067,45043.270,31.203,29.874,1.329,54956.730,0,0.000,0,833,48,0
35,33388722787.904,33388722822.418,33388767517.281,44693.195,44729.377,36.182,34.514,1.668,55270.623,0,0.000,0,833,48,0
36,33388822787.904,33388822824.986,33388867576.385,44749.881,44788.481,38.600,37.082,1.518,55211.519,0,0.000,0,833,48,0
37,33388922787.904,33388922823.209,33388967727.109,44901.896,44939.205,37.309,35.305,2.004,55060.795,0,0.000,0,833,48,0
