# probe kind=ptrchase M=48 K=27 buf_kb=131072 period_us=10000 priority=90 cpu=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,8121027152.441,8121027176.315,8121037177.496,1990.981,10025.055,8034.074,23.874,8010.200,-25.055,1,25.055,1,27,48,1
1,8121047152.441,8121047172.621,8121057177.868,1999.120,10025.427,8026.307,20.180,8006.127,-25.427,1,25.427,1,27,48,1
2,8121067152.441,8121067173.280,8121069148.056,1973.637,1995.615,21.978,20.839,1.139,8004.385,0,0.000,0,27,48,0
3,8121077152.441,8121077173.060,8121079116.587,1942.691,1964.146,21.455,20.619,0.836,8035.854,0,0.000,0,27,48,0
4,8121087152.441,8121087172.407,8121089102.641,1929.363,1950.200,20.837,19.966,0.871,8049.800,0,0.000,0,27,48,0
5,8121097152.441,8121097173.554,8121099088.586,1914.058,1936.145,22.087,21.113,0.974,8063.855,0,0.000,0,27,48,0
6,8121107152.441,8121107171.823,8121109080.722,1908.106,1928.281,20.175,19.382,0.793,8071.719,0,0.000,0,27,48,0
7,8121117152.441,8121117172.241,8121119114.687,1941.166,1962.246,21.080,19.800,1.280,8037.754,0,0.000,0,27,48,0
8,8121127152.441,8121127172.059,8121129123.004,1949.925,1970.563,20.638,19.618,1.020,8029.437,0,0.000,0,27,48,0
9,8121137152.441,8121137171.409,8121139107.323,1934.984,1954.882,19.898,18.968,0.930,8045.118,0,0.000,0,27,48,0
10,8121147152.441,8121147172.024,8121149117.959,1945.017,1965.518,20.501,19.583,0.918,8034.482,0,0.000,0,27,48,0
11,8121157152.441,8121157171.702,8121159116.944,1944.358,1964.503,20.145,19.261,0.884,8035.497,0,0.000,0,27,48,0
12,8121167152.441,8121167172.197,8121169138.928,1965.871,1986.487,20.616,19.756,0.860,8013.513,0,0.000,0,27,48,0
13,8121177152.441,8121177171.604,8121179114.554,1942.128,1962.113,19.985,19.163,0.822,8037.887,0,0.000,0,27,48,0
14,8121187152.441,8121187171.280,8121189097.945,1925.860,1945.504,19.644,18.839,0.805,8054.496,0,0.000,0,27,48,0
15,8121197152.441,8121197171.091,8121199092.286,1920.281,1939.845,19.564,18.650,0.914,8060.155,0,0.000,0,27,48,0
16,8121207152.441,8121207171.447,8121209111.566,1939.293,1959.125,19.832,19.006,0.826,8040.875,0,0.000,0,27,48,0
17,8121217152.441,8121217170.899,8121219082.919,1911.374,1930.478,19.104,18.458,0.646,8069.522,0,0.000,0,27,48,0
18,8121227152.441,8121227171.604,8121229085.793,1913.362,1933.352,19.990,19.163,0.827,8066.648,0,0.000,0,27,48,0
19,8121237152.441,8121237171.351,8121239079.008,1906.887,1926.567,19.680,18.910,0.770,8073.433,0,0.000,0,27,48,0
