# probe kind=matmul M=48 K=1563 buf_kb=0 period_us=100000 priority=90 cpu=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,33612184948.999,33612184978.415,33612267164.041,82185.797,82215.042,29.245,29.416,-0.171,17784.958,0,0.000,0,1563,48,0
1,33612284948.999,33612284972.612,33612353113.624,68141.121,68164.625,23.504,23.613,-0.109,31835.375,0,0.000,0,1563,48,0
2,33612384948.999,33612384975.404,33612466836.637,81861.386,81887.638,26.252,26.405,-0.153,18112.362,0,0.000,0,1563,48,0
3,33612484948.999,33612484970.827,33612552620.200,67649.482,67671.201,21.719,21.828,-0.109,32328.799,0,0.000,0,1563,48,0
4,33612584948.999,33612584970.749,33612666804.781,81834.082,81855.782,21.700,21.750,-0.050,18144.218,0,0.000,0,1563,48,0
5,33612684948.999,33612684975.591,33612752698.645,67723.014,67749.646,26.632,26.592,0.040,32250.354,0,0.000,0,1563,48,0
6,33612784948.999,33612784973.938,33612866775.097,81801.382,81826.098,24.716,24.939,-0.223,18173.902,0,0.000,0,1563,48,0
7,33612884948.999,33612884974.509,33612952979.415,68005.034,68030.416,25.382,25.510,-0.128,31969.584,0,0.000,0,1563,48,0
8,33612984948.999,33612984975.679,33613067193.032,82217.544,82244.033,26.489,26.680,-0.191,17755.967,0,0.000,0,1563,48,0
9,33613084948.999,33613084973.894,33613152872.940,67899.014,67923.941,24.927,24.895,0.032,32076.059,0,0.000,0,1563,48,0
10,33613184948.999,33613184977.577,33613267415.401,82438.041,82466.402,28.361,28.578,-0.217,17533.598,0,0.000,0,1563,48,0
11,33613284948.999,33613284969.782,33613353193.357,68223.608,68244.358,20.750,20.783,-0.033,31755.642,0,0.000,0,1563,48,0
12,33613384948.999,33613384977.427,33613467092.188,82115.093,82143.189,28.096,28.428,-0.332,17856.811,0,0.000,0,1563,48,0
13,33613484948.999,33613484971.621,33613553267.887,68296.230,68318.888,22.658,22.622,0.036,31681.112,0,0.000,0,1563,48,0
14,33613584948.999,33613584971.870,33613666635.015,81663.339,81686.016,22.677,22.871,-0.194,18313.984,0,0.000,0,1563,48,0
15,33613684948.999,33613684973.440,33613752583.743,67610.312,67634.744,24.432,24.441,-0.009,32365.256,0,0.000,0,1563,48,0
16,33613784948.999,33613784972.991,33613868556.416,83583.087,83607.417,24.330,23.992,0.338,16392.583,0,0.000,0,1563,48,0
17,33613884948.999,33613884975.548,33613953228.122,68252.186,68279.123,26.937,26.549,0.388,31720.877,0,0.000,0,1563,48,0
18,33613984948.999,33613984974.552,33614066831.797,81857.438,81882.798,25.360,25.553,-0.193,18117.202,0,0.000,0,1563,48,0
19,33614084948.999,33614084971.617,33614153131.153,68159.383,68182.154,22.771,22.618,0.153,31817.846,0,0.000,0,1563,48,0
20,33614184948.999,33614184972.315,33614267195.095,82222.854,82246.096,23.242,23.316,-0.074,17753.904,0,0.000,0,1563,48,0
21,33614284948.999,33614284970.064,33614352824.521,67854.169,67875.522,21.353,21.065,0.288,32124.478,0,0.000,0,1563,48,0
22,33614384948.999,33614384976.248,33614466908.448,81932.285,81959.449,27.164,27.249,-0.085,18040.551,0,0.000,0,1563,48,0
23,33614484948.999,33614484970.203,33614552680.477,67709.882,67731.478,21.596,21.204,0.392,32268.522,0,0.000,0,1563,48,0
24,33614584948.999,33614584975.268,33614667147.273,82172.040,82198.274,26.234,26.269,-0.035,17801.726,0,0.000,0,1563,48,0
25,33614684948.999,33614684971.371,33614752833.545,67861.943,67884.546,22.603,22.372,0.231,32115.454,0,0.000,0,1563,48,0
26,33614784948.999,33614784970.606,33614866814.688,81844.038,81865.689,21.651,21.607,0.044,18134.311,0,0.000,0,1563,48,0
27,33614884948.999,33614884970.381,33614952959.487,67989.086,68010.488,21.402,21.382,0.020,31989.512,0,0.000,0,1563,48,0
28,33614984948.999,33614984975.809,33615066829.974,81854.283,81880.975,26.692,26.810,-0.118,18119.025,0,0.000,0,1563,48,0
29,33615084948.999,33615084977.532,33615153183.146,68205.511,68234.147,28.636,28.533,0.103,31765.853,0,0.000,0,1563,48,0
30,33615184948.999,33615184976.555,33615267365.666,82389.265,82416.667,27.402,27.556,-0.154,17583.333,0,0.000,0,1563,48,0
31,33615284948.999,33615284970.332,33615353174.333,68203.849,68225.334,21.485,21.333,0.152,31774.666,0,0.000,0,1563,48,0
32,33615384948.999,33615384978.528,33615467395.859,82417.467,82446.860,29.393,29.529,-0.136,17553.140,0,0.000,0,1563,48,0
33,33615484948.999,33615484972.822,33615552928.610,67955.578,67979.611,24.033,23.823,0.210,32020.389,0,0.000,0,1563,48,0
34,33615584948.999,33615584970.926,33615667039.354,82068.566,82090.355,21.789,21.927,-0.138,17909.645,0,0.000,0,1563,48,0
35,33615684948.999,33615684977.036,33615753538.248,68560.529,68589.249,28.720,28.037,0.683,31410.751,0,0.000,0,1563,48,0
36,33615784948.999,33615784976.139,33615867435.879,82459.736,82486.880,27.144,27.140,0.004,17513.120,0,0.000,0,1563,48,0
37,33615884948.999,33615884974.256,33615953807.355,68833.005,68858.356,25.351,25.257,0.094,31141.644,0,0.000,0,1563,48,0
38,33615984948.999,33615984971.216,33616066963.438,81992.254,82014.439,22.185,22.217,-0.032,17985.561,0,0.000,0,1563,48,0
39,33616084948.999,33616084974.975,33616153503.123,68528.180,68554.124,25.944,25.976,-0.032,31445.876,0,0.000,0,1563,48,0
40,33616184948.999,33616184970.565,33616267234.865,82264.466,82285.866,21.400,21.566,-0.166,17714.134,0,0.000,0,1563,48,0
41,33616284948.999,33616284972.543,33616353335.512,68362.901,68386.513,23.612,23.544,0.068,31613.487,0,0.000,0,1563,48,0
42,33616384948.999,33616384977.833,33616466850.007,81872.299,81901.008,28.709,28.834,-0.125,18098.992,0,0.000,0,1563,48,0
43,33616484948.999,33616484970.517,33616552896.749,67926.100,67947.750,21.650,21.518,0.132,32052.250,0,0.000,0,1563,48,0
44,33616584948.999,33616584974.602,33616667310.582,82336.060,82361.583,25.523,25.603,-0.080,17638.417,0,0.000,0,1563,48,0
45,33616684948.999,33616684976.189,33616753439.423,68463.197,68490.424,27.227,27.190,0.037,31509.576,0,0.000,0,1563,48,0
