# probe kind=matmul M=48 K=87 buf_kb=0 period_us=10000 priority=90 cpu=3 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,1390155591.908,1390155613.621,1390168035.268,7814.182,12443.360,4629.178,21.713,4607.465,-2443.360,1,2443.360,1,87,48,1
1,1390175591.908,1390175615.648,1390188131.472,7908.578,12539.564,4630.986,23.740,4607.246,-2539.564,1,2539.564,1,87,48,1
2,1390195591.908,1390195617.377,1390208141.080,7910.243,12549.172,4638.929,25.469,4613.460,-2549.172,1,2549.172,1,87,48,1
3,1390215591.908,1390215608.714,1390228019.954,7803.312,12428.046,4624.734,16.806,4607.928,-2428.046,1,2428.046,1,87,48,1
4,1390235591.908,1390235612.508,1390248051.238,7829.276,12459.330,4630.054,20.600,4609.454,-2459.330,1,2459.330,1,87,48,1
5,1390255591.908,1390255613.494,1390268045.576,7823.133,12453.668,4630.535,21.586,4608.949,-2453.668,1,2453.668,1,87,48,1
6,1390275591.908,1390275613.840,1390288038.204,7814.641,12446.296,4631.655,21.932,4609.723,-2446.296,1,2446.296,1,87,48,1
7,1390295591.908,1390295612.993,1390308571.204,8345.980,12979.296,4633.316,21.085,4612.231,-2979.296,1,2979.296,1,87,48,1
8,1390315591.908,1390315611.038,1390328018.610,7797.540,12426.702,4629.162,19.130,4610.032,-2426.702,1,2426.702,1,87,48,1
9,1390335591.908,1390335613.374,1390348043.347,7820.240,12451.439,4631.199,21.466,4609.733,-2451.439,1,2451.439,1,87,48,1
10,1390355591.908,1390355617.257,1390368064.809,7841.896,12472.901,4631.005,25.349,4605.656,-2472.901,1,2472.901,1,87,48,1
11,1390375591.908,1390375619.962,1390388786.903,8556.835,13194.995,4638.160,28.054,4610.106,-3194.995,1,3194.995,1,87,48,1
12,1390395591.908,1390395609.522,1390408028.091,7810.622,12436.183,4625.561,17.614,4607.947,-2436.183,1,2436.183,1,87,48,1
13,1390415591.908,1390415612.520,1390428040.591,7820.626,12448.683,4628.057,20.612,4607.445,-2448.683,1,2448.683,1,87,48,1
14,1390435591.908,1390435613.019,1390448059.685,7838.138,12467.777,4629.639,21.111,4608.528,-2467.777,1,2467.777,1,87,48,1
15,1390455591.908,1390455613.194,1390468045.940,7822.848,12454.032,4631.184,21.286,4609.898,-2454.032,1,2454.032,1,87,48,1
16,1390475591.908,1390475613.944,1390488046.314,7822.547,12454.406,4631.859,22.036,4609.823,-2454.406,1,2454.406,1,87,48,1
17,1390495591.908,1390495613.735,1390508046.494,7823.478,12454.586,4631.108,21.827,4609.281,-2454.586,1,2454.586,1,87,48,1
18,1390515591.908,1390515615.893,1390528057.489,7832.272,12465.581,4633.309,23.985,4609.324,-2465.581,1,2465.581,1,87,48,1
19,1390535591.908,1390535615.287,1390548045.006,7820.261,12453.098,4632.837,23.379,4609.458,-2453.098,1,2453.098,1,87,48,1
20,1390555591.908,1390555615.261,1390568062.456,7836.258,12470.548,4634.290,23.353,4610.937,-2470.548,1,2470.548,1,87,48,1
21,1390575591.908,1390575616.000,1390588307.372,8079.257,12715.464,4636.207,24.092,4612.115,-2715.464,1,2715.464,1,87,48,1
22,1390595591.908,1390595611.197,1390608039.130,7814.069,12447.222,4633.153,19.289,4613.864,-2447.222,1,2447.222,1,87,48,1
23,1390615591.908,1390615613.999,1390628059.080,7834.709,12467.172,4632.463,22.091,4610.372,-2467.172,1,2467.172,1,87,48,1
24,1390635591.908,1390635615.067,1390648048.340,7825.084,12456.432,4631.348,23.159,4608.189,-2456.432,1,2456.432,1,87,48,1
25,1390655591.908,1390655613.578,1390668151.663,7926.123,12559.755,4633.632,21.670,4611.962,-2559.755,1,2559.755,1,87,48,1
26,1390675591.908,1390675610.803,1390688032.749,7812.373,12440.841,4628.468,18.895,4609.573,-2440.841,1,2440.841,1,87,48,1
27,1390695591.908,1390695613.396,1390708043.590,7820.867,12451.682,4630.815,21.488,4609.327,-2451.682,1,2451.682,1,87,48,1
28,1390715591.908,1390715613.969,1390728176.206,7949.606,12584.298,4634.692,22.061,4612.631,-2584.298,1,2584.298,1,87,48,1
29,1390735591.908,1390735611.210,1390748041.094,7819.690,12449.186,4629.496,19.302,4610.194,-2449.186,1,2449.186,1,87,48,1
30,1390755591.908,1390755613.061,1390768286.624,8064.110,12694.716,4630.606,21.153,4609.453,-2694.716,1,2694.716,1,87,48,1
31,1390775591.908,1390775614.384,1390788134.806,7907.393,12542.898,4635.505,22.476,4613.029,-2542.898,1,2542.898,1,87,48,1
32,1390795591.908,1390795610.747,1390808038.313,7817.066,12446.405,4629.339,18.839,4610.500,-2446.405,1,2446.405,1,87,48,1
33,1390815591.908,1390815616.994,1390828068.423,7842.132,12476.515,4634.383,25.086,4609.297,-2476.515,1,2476.515,1,87,48,1
34,1390835591.908,1390835615.498,1390848049.455,7823.856,12457.547,4633.691,23.590,4610.101,-2457.547,1,2457.547,1,87,48,1
35,1390855591.908,1390855613.754,1390868043.164,7818.762,12451.256,4632.494,21.846,4610.648,-2451.256,1,2451.256,1,87,48,1
36,1390875591.908,1390875613.242,1390888054.600,7830.705,12462.692,4631.987,21.334,4610.653,-2462.692,1,2462.692,1,87,48,1
37,1390895591.908,1390895616.890,1390908120.187,7894.863,12528.279,4633.416,24.982,4608.434,-2528.279,1,2528.279,1,87,48,1
38,1390915591.908,1390915615.761,1390928048.389,7823.593,12456.481,4632.888,23.853,4609.035,-2456.481,1,2456.481,1,87,48,1
39,1390935591.908,1390935613.949,1390948044.316,7819.940,12452.408,4632.468,22.041,4610.427,-2452.408,1,2452.408,1,87,48,1
40,1390955591.908,1390955612.927,1390968399.331,8175.520,12807.423,4631.903,21.019,4610.884,-2807.423,1,2807.423,1,87,48,1
41,1390975591.908,1390975617.331,1390988070.083,7841.562,12478.175,4636.613,25.423,4611.190,-2478.175,1,2478.175,1,87,48,1
42,1390995591.908,1390995616.829,1391008060.873,7833.669,12468.965,4635.296,24.921,4610.375,-2468.965,1,2468.965,1,87,48,1
43,1391015591.908,1391015614.267,1391028052.592,7826.168,12460.684,4634.516,22.359,4612.157,-2460.684,1,2460.684,1,87,48,1
