# probe kind=matmul M=48 K=1353 buf_kb=0 period_us=100000 priority=90 cpu=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,11493155040.025,11493155068.835,11493304342.575,130220.028,149302.550,19082.522,28.810,19053.712,-49302.550,1,49302.550,1,1353,48,1
1,11493355040.025,11493355068.305,11493474252.028,100129.776,119212.003,19082.227,28.280,19053.947,-19212.003,1,19212.003,1,1353,48,1
2,11493555040.025,11493555107.364,11493686330.445,112132.930,131290.420,19157.490,67.339,19090.151,-31290.420,1,31290.420,1,1353,48,1
3,11493755040.025,11493755067.802,11493892553.801,118430.215,137513.776,19083.561,27.777,19055.784,-37513.776,1,37513.776,1,1353,48,1
4,11493955040.025,11493955111.802,11494096380.232,122172.588,141340.207,19167.619,71.777,19095.842,-41340.207,1,41340.207,1,1353,48,1
5,11494155040.025,11494155094.104,11494309752.700,135594.764,154712.675,19117.911,54.079,19063.832,-54712.675,1,54712.675,1,1353,48,1
6,11494355040.025,11494355178.502,11494494992.137,120658.304,139952.112,19293.808,138.477,19155.331,-39952.112,1,39952.112,1,1353,48,1
7,11494555040.025,11494555114.329,11494704567.420,130361.672,149527.395,19165.723,74.304,19091.419,-49527.395,1,49527.395,1,1353,48,1
8,11494755040.025,11494755102.268,11494874466.659,100279.446,119426.634,19147.188,62.243,19084.945,-19426.634,1,19426.634,1,1353,48,1
9,11494955040.025,11494955091.377,11495086926.436,112730.441,131886.411,19155.970,51.352,19104.618,-31886.411,1,31886.411,1,1353,48,1
10,11495155040.025,11495155094.407,11495293150.879,118972.089,138110.854,19138.765,54.382,19084.383,-38110.854,1,38110.854,1,1353,48,1
11,11495355040.025,11495355092.337,11495505501.647,131336.987,150461.622,19124.635,52.312,19072.323,-50461.622,1,50461.622,1,1353,48,1
12,11495555040.025,11495555079.745,11495691977.429,117825.686,136937.404,19111.718,39.720,19071.998,-36937.404,1,36937.404,1,1353,48,1
13,11495755040.025,11495755093.529,11495910942.012,136775.105,155901.987,19126.882,53.504,19073.378,-55901.987,1,55901.987,1,1353,48,1
14,11495955040.025,11495955093.406,11496080629.893,106465.210,125589.868,19124.658,53.381,19071.277,-25589.868,1,25589.868,1,1353,48,1
15,11496155040.025,11496155099.971,11496290282.246,116123.092,135242.221,19119.129,59.946,19059.183,-35242.221,1,35242.221,1,1353,48,1
16,11496355040.025,11496355091.864,11496496068.158,121920.844,141028.133,19107.289,51.839,19055.450,-41028.133,1,41028.133,1,1353,48,1
17,11496555040.025,11496555096.782,11496699375.491,125220.683,144335.466,19114.783,56.757,19058.026,-44335.466,1,44335.466,1,1353,48,1
18,11496755040.025,11496755093.308,11496900668.864,126519.282,145628.839,19109.557,53.283,19056.274,-45628.839,1,45628.839,1,1353,48,1
19,11496955040.025,11496955107.869,11497102385.342,128214.054,147345.317,19131.263,67.844,19063.419,-47345.317,1,47345.317,1,1353,48,1
20,11497155040.025,11497155091.658,11497308164.986,134003.154,153124.961,19121.807,51.633,19070.174,-53124.961,1,53124.961,1,1353,48,1
21,11497355040.025,11497355092.417,11497480214.875,106048.675,125174.850,19126.175,52.392,19073.783,-25174.850,1,25174.850,1,1353,48,1
22,11497555040.025,11497555282.521,11497690545.700,116188.705,135505.675,19316.970,242.496,19074.474,-35505.675,1,35505.675,1,1353,48,1
23,11497755040.025,11497755071.094,11497895172.339,121040.975,140132.314,19091.339,31.069,19060.270,-40132.314,1,40132.314,1,1353,48,1
24,11497955040.025,11497955089.965,11498100046.214,125891.268,145006.189,19114.921,49.940,19064.981,-45006.189,1,45006.189,1,1353,48,1
25,11498155040.025,11498155091.779,11498309827.260,135675.487,154787.235,19111.748,51.754,19059.994,-54787.235,1,54787.235,1,1353,48,1
26,11498355040.025,11498355066.780,11498479435.796,105311.102,124395.771,19084.669,26.755,19057.914,-24395.771,1,24395.771,1,1353,48,1
27,11498555040.025,11498555234.204,11498690786.569,116478.933,135746.544,19267.611,194.179,19073.432,-35746.544,1,35746.544,1,1353,48,1
28,11498755040.025,11498755087.079,11498908958.046,134800.668,153918.021,19117.353,47.054,19070.299,-53918.021,1,53918.021,1,1353,48,1
29,11498955040.025,11498955092.283,11499100613.283,126450.772,145573.258,19122.486,52.258,19070.228,-45573.258,1,45573.258,1,1353,48,1
30,11499155040.025,11499155086.824,11499305249.051,131105.131,150209.026,19103.895,46.799,19057.096,-50209.026,1,50209.026,1,1353,48,1
31,11499355040.025,11499355068.900,11499474621.184,100439.111,119581.159,19142.048,28.875,19113.173,-19581.159,1,19581.159,1,1353,48,1
32,11499555040.025,11499555081.207,11499686112.375,111971.541,131072.350,19100.809,41.182,19059.627,-31072.350,1,31072.350,1,1353,48,1
33,11499755040.025,11499755086.488,11499892678.393,118535.413,137638.368,19102.955,46.463,19056.492,-37638.368,1,37638.368,1,1353,48,1
34,11499955040.025,11499955106.080,11500096941.466,122491.389,141901.441,19410.052,66.055,19343.997,-41901.441,1,41901.441,1,1353,48,1
35,11500155040.025,11500155090.033,11500319580.294,145451.939,164540.269,19088.330,50.008,19038.322,-64540.269,1,64540.269,1,1353,48,1
36,11500355040.025,11500355085.732,11500496819.876,122657.792,141779.851,19122.059,45.707,19076.352,-41779.851,1,41779.851,1,1353,48,1
37,11500555040.025,11500555088.404,11500708535.373,134377.449,153495.348,19117.899,48.379,19069.520,-53495.348,1,53495.348,1,1353,48,1
38,11500755040.025,11500755103.445,11500889034.516,114854.929,133994.491,19139.562,63.420,19076.142,-33994.491,1,33994.491,1,1353,48,1
39,11500955040.025,11500955090.287,11501109738.099,135576.262,154698.074,19121.812,50.262,19071.550,-54698.074,1,54698.074,1,1353,48,1
40,11501155040.025,11501155091.881,11501293029.397,118883.194,137989.372,19106.178,51.856,19054.322,-37989.372,1,37989.372,1,1353,48,1
41,11501355040.025,11501357293.623,11501518119.943,141549.437,163079.918,21530.481,2253.598,19276.883,-63079.918,1,63079.918,1,1353,48,1
42,11501555040.025,11501555087.124,11501686135.787,111978.976,131095.762,19116.786,47.099,19069.687,-31095.762,1,31095.762,1,1353,48,1
43,11501755040.025,11501755123.812,11501903932.276,129749.168,148892.251,19143.083,83.787,19059.296,-48892.251,1,48892.251,1,1353,48,1
44,11501955040.025,11501955092.626,11502097302.545,123140.905,142262.520,19121.615,52.601,19069.014,-42262.520,1,42262.520,1,1353,48,1
45,11502155040.025,11502155091.724,11502313651.997,139493.495,158611.972,19118.477,51.699,19066.778,-58611.972,1,58611.972,1,1353,48,1
46,11502355040.025,11502355090.587,11502486491.257,112332.085,131451.232,19119.147,50.562,19068.585,-31451.232,1,31451.232,1,1353,48,1
47,11502555040.025,11502555094.811,11502697512.512,123343.202,142472.487,19129.285,54.786,19074.499,-42472.487,1,42472.487,1,1353,48,1
48,11502755040.025,11502755090.113,11502899330.212,125182.226,144290.187,19107.961,50.088,19057.873,-44290.187,1,44290.187,1,1353,48,1
49,11502955040.025,11502955088.097,11503100277.551,126122.445,145237.526,19115.081,48.072,19067.009,-45237.526,1,45237.526,1,1353,48,1
50,11503155040.025,11503155090.732,11503301105.305,126925.881,146065.280,19139.399,50.707,19088.692,-46065.280,1,46065.280,1,1353,48,1
51,11503355040.025,11503355092.024,11503501445.349,127287.540,146405.324,19117.784,51.999,19065.785,-46405.324,1,46405.324,1,1353,48,1
52,11503555040.025,11503555092.100,11503701818.845,127662.625,146778.820,19116.195,52.075,19064.120,-46778.820,1,46778.820,1,1353,48,1
53,11503755040.025,11503755282.381,11503902166.497,127819.251,147126.472,19307.221,242.356,19064.865,-47126.472,1,47126.472,1,1353,48,1
54,11503955040.025,11503955322.728,11504102491.750,128103.976,147451.725,19347.749,282.703,19065.046,-47451.725,1,47451.725,1,1353,48,1
55,11504155040.025,11504155096.420,11504302301.661,128133.367,147261.636,19128.269,56.395,19071.874,-47261.636,1,47261.636,1,1353,48,1
56,11504355040.025,11504355074.101,11504503329.864,128718.414,148289.839,19571.425,34.076,19537.349,-48289.839,1,48289.839,1,1353,48,1
57,11504555040.025,11504555089.428,11504706938.937,132778.131,151898.912,19120.781,49.403,19071.378,-51898.912,1,51898.912,1,1353,48,1
58,11504755040.025,11504757506.720,11504895882.993,118896.708,140842.968,21946.260,2466.695,19479.565,-40842.968,1,40842.968,1,1353,48,1
59,11504955040.025,11504955095.482,11505104618.772,130452.861,149578.747,19125.886,55.457,19070.429,-49578.747,1,49578.747,1,1353,48,1
60,11505155040.025,11505155088.596,11505275379.270,101218.543,120339.245,19120.702,48.571,19072.131,-20339.245,1,20339.245,1,1353,48,1
61,11505355040.025,11505355097.399,11505496856.134,122701.530,141816.109,19114.579,57.374,19057.205,-41816.109,1,41816.109,1,1353,48,1
