# probe kind=matmul M=48 K=219 buf_kb=0 period_us=100000 priority=90 cpu=2 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,1999199809.332,1999199836.934,1999218233.481,18395.230,18424.149,28.919,27.602,1.317,81575.851,0,0.000,0,219,48,0
1,1999299809.332,1999299835.054,1999318248.393,18412.112,18439.061,26.949,25.722,1.227,81560.939,0,0.000,0,219,48,0
2,1999399809.332,1999399835.149,1999418198.755,18362.209,18389.423,27.214,25.817,1.397,81610.577,0,0.000,0,219,48,0
3,1999499809.332,1999499833.581,1999518116.135,18281.317,18306.803,25.486,24.249,1.237,81693.197,0,0.000,0,219,48,0
4,1999599809.332,1999599833.064,1999618187.162,18352.991,18377.830,24.839,23.732,1.107,81622.170,0,0.000,0,219,48,0
5,1999699809.332,1999699831.836,1999718120.473,18287.579,18311.141,23.562,22.504,1.058,81688.859,0,0.000,0,219,48,0
6,1999799809.332,1999799832.692,1999818208.281,18374.501,18398.949,24.448,23.360,1.088,81601.051,0,0.000,0,219,48,0
7,1999899809.332,1999899834.420,1999918218.034,18382.386,18408.702,26.316,25.088,1.228,81591.298,0,0.000,0,219,48,0
8,1999999809.332,1999999833.353,2000018110.979,18276.569,18301.647,25.078,24.021,1.057,81698.353,0,0.000,0,219,48,0
9,2000099809.332,2000099834.550,2000118119.319,18283.522,18309.987,26.465,25.218,1.247,81690.013,0,0.000,0,219,48,0
10,2000199809.332,2000199832.521,2000218213.298,18379.661,18403.966,24.305,23.189,1.116,81596.034,0,0.000,0,219,48,0
11,2000299809.332,2000299833.236,2000318118.637,18284.303,18309.305,25.002,23.904,1.098,81690.695,0,0.000,0,219,48,0
12,2000399809.332,2000399835.515,2000418263.912,18427.019,18454.580,27.561,26.183,1.378,81545.420,0,0.000,0,219,48,0
13,2000499809.332,2000499844.667,2000518121.762,18275.697,18312.430,36.733,35.335,1.398,81687.570,0,0.000,0,219,48,0
14,2000599809.332,2000599834.262,2000618120.464,18284.884,18311.132,26.248,24.930,1.318,81688.868,0,0.000,0,219,48,0
15,2000699809.332,2000699833.365,2000718357.190,18522.558,18547.858,25.300,24.033,1.267,81452.142,0,0.000,0,219,48,0
16,2000799809.332,2000799838.900,2000818123.789,18283.602,18314.457,30.855,29.568,1.287,81685.543,0,0.000,0,219,48,0
17,2000899809.332,2000899833.003,2000918320.350,18486.009,18511.018,25.009,23.671,1.338,81488.982,0,0.000,0,219,48,0
18,2000999809.332,2000999832.156,2001018151.099,18317.786,18341.767,23.981,22.824,1.157,81658.233,0,0.000,0,219,48,0
19,2001099809.332,2001099833.694,2001118177.333,18342.552,18368.001,25.449,24.362,1.087,81631.999,0,0.000,0,219,48,0
20,2001199809.332,2001199831.995,2001218244.663,18411.581,18435.331,23.750,22.663,1.087,81564.669,0,0.000,0,219,48,0
21,2001299809.332,2001299833.162,2001318265.987,18431.769,18456.655,24.886,23.830,1.056,81543.345,0,0.000,0,219,48,0
22,2001399809.332,2001399835.831,2001418133.234,18296.275,18323.902,27.627,26.499,1.128,81676.098,0,0.000,0,219,48,0
23,2001499809.332,2001499835.185,2001518257.661,18421.149,18448.329,27.180,25.853,1.327,81551.671,0,0.000,0,219,48,0
24,2001599809.332,2001599834.839,2001618133.854,18297.869,18324.522,26.653,25.507,1.146,81675.478,0,0.000,0,219,48,0
