# probe kind=matmul M=48 K=1563 buf_kb=0 period_us=100000 priority=90 cpu=1 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,6870379596.652,6870379636.253,6870445107.073,65470.327,65510.421,40.094,39.601,0.493,34489.579,0,0.000,0,1563,48,0
1,6870479596.652,6870479627.928,6870545552.857,65924.338,65956.205,31.867,31.276,0.591,34043.795,0,0.000,0,1563,48,0
2,6870579596.652,6870579619.767,6870645375.011,65755.364,65778.359,22.995,23.115,-0.120,34221.641,0,0.000,0,1563,48,0
3,6870679596.652,6870679618.748,6870745060.139,65441.435,65463.487,22.052,22.096,-0.044,34536.513,0,0.000,0,1563,48,0
4,6870779596.652,6870779632.401,6870845330.028,65697.721,65733.376,35.655,35.749,-0.094,34266.624,0,0.000,0,1563,48,0
5,6870879596.652,6870879616.545,6870944352.293,64735.881,64755.641,19.760,19.893,-0.133,35244.359,0,0.000,0,1563,48,0
6,6870979596.652,6870979615.430,6871044651.191,65035.962,65054.539,18.577,18.778,-0.201,34945.461,0,0.000,0,1563,48,0
7,6871079596.652,6871079620.112,6871146243.498,66623.485,66646.846,23.361,23.460,-0.099,33353.154,0,0.000,0,1563,48,0
8,6871179596.652,6871179618.177,6871244780.897,65162.964,65184.245,21.281,21.525,-0.244,34815.755,0,0.000,0,1563,48,0
9,6871279596.652,6871279613.719,6871344685.800,65072.013,65089.148,17.135,17.067,0.068,34910.852,0,0.000,0,1563,48,0
10,6871379596.652,6871379616.298,6871444531.483,64915.089,64934.831,19.742,19.646,0.096,35065.169,0,0.000,0,1563,48,0
11,6871479596.652,6871479627.564,6871545905.048,66277.723,66308.396,30.673,30.912,-0.239,33691.604,0,0.000,0,1563,48,0
12,6871579596.652,6871579621.971,6871645360.392,65738.632,65763.740,25.108,25.319,-0.211,34236.260,0,0.000,0,1563,48,0
13,6871679596.652,6871679616.102,6871744905.982,65290.016,65309.330,19.314,19.450,-0.136,34690.670,0,0.000,0,1563,48,0
14,6871779596.652,6871779625.572,6871845306.668,65681.204,65710.016,28.812,28.920,-0.108,34289.984,0,0.000,0,1563,48,0
15,6871879596.652,6871879621.825,6871945855.361,66233.492,66258.709,25.217,25.173,0.044,33741.291,0,0.000,0,1563,48,0
16,6871979596.652,6871979645.104,6872047965.455,68320.186,68368.803,48.617,48.452,0.165,31631.197,0,0.000,0,1563,48,0
17,6872079596.652,6872079635.880,6872145621.500,65985.422,66024.848,39.426,39.228,0.198,33975.152,0,0.000,0,1563,48,0
