# probe kind=matmul M=48 K=70 buf_kb=0 period_us=10000 priority=90 cpu=1 seed=20260713 n_jobs=5000 warmup=200
job_index,release_us,start_us,finish_us,C_cputime_us,R_wall_us,delay_us,dispatch_latency_us,mid_job_preempt_us,slack_us,deadline_miss,tardiness_us,nonvol_ctxt,K_reps,matrix_M,skipped_before
0,9605097858.148,9605097893.930,9605108418.251,4649.944,10560.103,5910.159,35.782,5874.377,-560.103,1,560.103,1,70,48,1
1,9605117858.148,9605117877.867,9605120861.240,2982.530,3003.092,20.562,19.719,0.843,6996.908,0,0.000,0,70,48,0
2,9605127858.148,9605127874.256,9605130861.439,2986.709,3003.291,16.582,16.108,0.474,6996.709,0,0.000,0,70,48,0
3,9605137858.148,9605137875.338,9605140771.096,2895.300,2912.948,17.648,17.190,0.458,7087.052,0,0.000,0,70,48,0
4,9605147858.148,9605147871.793,9605150803.219,2930.988,2945.071,14.083,13.645,0.438,7054.929,0,0.000,0,70,48,0
5,9605157858.148,9605157878.920,9605160750.607,2871.259,2892.459,21.200,20.772,0.428,7107.541,0,0.000,0,70,48,0
6,9605167858.148,9605167880.279,9605170799.415,2918.583,2941.267,22.684,22.131,0.553,7058.733,0,0.000,0,70,48,0
7,9605177858.148,9605177881.766,9605180867.675,2985.490,3009.527,24.037,23.618,0.419,6990.473,0,0.000,0,70,48,0
8,9605187858.148,9605187871.160,9605190785.454,2913.859,2927.306,13.447,13.012,0.435,7072.694,0,0.000,0,70,48,0
9,9605197858.148,9605197884.614,9605201515.812,3630.385,3657.664,27.279,26.466,0.813,6342.336,0,0.000,0,70,48,0
10,9605207858.148,9605207894.337,9605210984.856,3089.768,3126.708,36.940,36.189,0.751,6873.292,0,0.000,0,70,48,0
11,9605217858.148,9605217890.114,9605220829.185,2938.606,2971.037,32.431,31.966,0.465,7028.963,0,0.000,0,70,48,0
12,9605227858.148,9605227876.637,9605230915.760,3038.670,3057.612,18.942,18.489,0.453,6942.388,0,0.000,0,70,48,0
13,9605237858.148,9605237887.992,9605240795.890,2907.480,2937.742,30.262,29.844,0.418,7062.258,0,0.000,0,70,48,0
14,9605247858.148,9605247871.056,9605250768.873,2897.369,2910.725,13.356,12.908,0.448,7089.275,0,0.000,0,70,48,0
15,9605257858.148,9605257883.151,9605260781.989,2898.431,2923.841,25.410,25.003,0.407,7076.159,0,0.000,0,70,48,0
16,9605267858.148,9605267879.892,9605270769.867,2888.969,2911.719,22.750,21.744,1.006,7088.281,0,0.000,0,70,48,0
17,9605277858.148,9605277876.766,9605280732.214,2854.863,2874.066,19.203,18.618,0.585,7125.934,0,0.000,0,70,48,0
18,9605287858.148,9605287874.071,9605290856.120,2981.529,2997.972,16.443,15.923,0.520,7002.028,0,0.000,0,70,48,0
